frequency,raw
20.00,-3.64
20.20,-3.54
20.40,-3.43
20.61,-3.33
20.81,-3.25
21.02,-3.19
21.23,-3.13
21.44,-3.07
21.66,-3.01
21.87,-2.94
22.09,-2.86
22.31,-2.77
22.54,-2.67
22.76,-2.57
22.99,-2.46
23.22,-2.35
23.45,-2.24
23.69,-2.13
23.92,-2.03
24.16,-1.95
24.40,-1.87
24.65,-1.81
24.89,-1.76
25.14,-1.71
25.39,-1.65
25.65,-1.56
25.91,-1.46
26.16,-1.35
26.43,-1.23
26.69,-1.13
26.96,-1.05
27.23,-1.01
27.50,-0.99
27.77,-0.95
28.05,-0.89
28.33,-0.76
28.62,-0.61
28.90,-0.43
29.19,-0.29
29.48,-0.16
29.78,-0.12
30.08,-0.11
30.38,-0.14
30.68,-0.14
30.99,-0.08
31.30,0.01
31.61,0.12
31.93,0.21
32.24,0.25
32.57,0.27
32.89,0.27
33.22,0.29
33.55,0.33
33.89,0.41
34.23,0.49
34.57,0.58
34.92,0.66
35.27,0.73
35.62,0.79
35.97,0.86
36.33,0.93
36.70,0.99
37.06,1.06
37.43,1.12
37.81,1.18
38.19,1.24
38.57,1.28
38.95,1.32
39.34,1.36
39.74,1.41
40.14,1.46
40.54,1.52
40.94,1.59
41.35,1.65
41.76,1.72
42.18,1.77
42.60,1.82
43.03,1.86
43.46,1.91
43.90,1.95
44.33,2.01
44.78,2.06
45.23,2.11
45.68,2.14
46.13,2.17
46.60,2.21
47.06,2.25
47.53,2.29
48.01,2.34
48.49,2.39
48.97,2.45
49.46,2.51
49.96,2.56
50.46,2.57
50.96,2.60
51.47,2.65
51.99,2.75
52.51,2.81
53.03,2.83
53.56,2.78
54.10,2.75
54.64,2.76
55.18,2.84
55.74,2.91
56.29,2.94
56.86,2.94
57.42,2.95
58.00,2.95
58.58,3.00
59.16,3.03
59.76,3.02
60.35,3.02
60.96,3.05
61.57,3.13
62.18,3.18
62.80,3.18
63.43,3.20
64.07,3.22
64.71,3.25
65.35,3.28
66.01,3.31
66.67,3.33
67.33,3.35
68.01,3.36
68.69,3.38
69.37,3.40
70.07,3.41
70.77,3.41
71.48,3.42
72.19,3.44
72.91,3.47
73.64,3.46
74.38,3.46
75.12,3.47
75.87,3.49
76.63,3.50
77.40,3.51
78.17,3.51
78.95,3.51
79.74,3.53
80.54,3.54
81.35,3.55
82.16,3.56
82.98,3.56
83.81,3.55
84.65,3.55
85.50,3.55
86.35,3.56
87.22,3.56
88.09,3.55
88.97,3.54
89.86,3.54
90.76,3.54
91.66,3.54
92.58,3.53
93.51,3.53
94.44,3.52
95.39,3.52
96.34,3.50
97.30,3.49
98.28,3.49
99.26,3.48
100.25,3.47
101.25,3.46
102.27,3.45
103.29,3.44
104.32,3.44
105.37,3.42
106.42,3.40
107.48,3.38
108.56,3.37
109.64,3.36
110.74,3.35
111.85,3.33
112.97,3.31
114.10,3.30
115.24,3.28
116.39,3.26
117.55,3.25
118.73,3.23
119.92,3.20
121.12,3.18
122.33,3.16
123.55,3.14
124.79,3.11
126.03,3.10
127.29,3.08
128.57,3.07
129.85,3.04
131.15,3.02
132.46,3.00
133.79,2.98
135.12,2.95
136.48,2.93
137.84,2.90
139.22,2.88
140.61,2.86
142.02,2.83
143.44,2.80
144.87,2.77
146.32,2.75
147.78,2.72
149.26,2.69
150.75,2.67
152.26,2.64
153.78,2.61
155.32,2.59
156.88,2.56
158.44,2.53
160.03,2.50
161.63,2.47
163.24,2.44
164.88,2.41
166.53,2.38
168.19,2.36
169.87,2.33
171.57,2.30
173.29,2.28
175.02,2.25
176.77,2.22
178.54,2.20
180.32,2.19
182.13,2.14
183.95,2.11
185.79,2.08
187.65,2.05
189.52,2.02
191.42,1.99
193.33,1.95
195.27,1.91
197.22,1.88
199.19,1.85
201.18,1.82
203.19,1.79
205.23,1.75
207.28,1.72
209.35,1.69
211.44,1.65
213.56,1.62
215.69,1.59
217.85,1.56
220.03,1.54
222.23,1.51
224.45,1.48
226.70,1.45
228.96,1.43
231.25,1.40
233.57,1.38
235.90,1.35
238.26,1.31
240.64,1.28
243.05,1.27
245.48,1.25
247.93,1.23
250.41,1.21
252.92,1.19
255.45,1.16
258.00,1.13
260.58,1.11
263.19,1.09
265.82,1.06
268.48,1.03
271.16,1.00
273.87,0.97
276.61,0.94
279.38,0.91
282.17,0.88
284.99,0.85
287.84,0.82
290.72,0.79
293.63,0.76
296.57,0.74
299.53,0.72
302.53,0.68
305.55,0.65
308.61,0.62
311.69,0.59
314.81,0.57
317.96,0.54
321.14,0.52
324.35,0.50
327.59,0.47
330.87,0.44
334.18,0.41
337.52,0.39
340.90,0.36
344.30,0.33
347.75,0.31
351.23,0.29
354.74,0.26
358.28,0.24
361.87,0.21
365.49,0.19
369.14,0.17
372.83,0.14
376.56,0.12
380.33,0.10
384.13,0.08
387.97,0.06
391.85,0.03
395.77,0.01
399.73,-0.01
403.72,-0.03
407.76,-0.05
411.84,-0.08
415.96,-0.10
420.12,-0.12
424.32,-0.14
428.56,-0.16
432.85,-0.18
437.18,-0.21
441.55,-0.23
445.96,-0.25
450.42,-0.27
454.93,-0.28
459.48,-0.31
464.07,-0.32
468.71,-0.34
473.40,-0.36
478.13,-0.38
482.91,-0.40
487.74,-0.41
492.62,-0.43
497.55,-0.45
502.52,-0.46
507.55,-0.48
512.62,-0.50
517.75,-0.51
522.93,-0.53
528.16,-0.55
533.44,-0.56
538.77,-0.57
544.16,-0.59
549.60,-0.60
555.10,-0.62
560.65,-0.63
566.25,-0.65
571.92,-0.66
577.64,-0.67
583.41,-0.68
589.25,-0.70
595.14,-0.71
601.09,-0.73
607.10,-0.73
613.17,-0.74
619.30,-0.75
625.50,-0.76
631.75,-0.77
638.07,-0.78
644.45,-0.78
650.89,-0.79
657.40,-0.80
663.98,-0.81
670.62,-0.81
677.32,-0.82
684.10,-0.82
690.94,-0.83
697.85,-0.83
704.83,-0.83
711.87,-0.84
718.99,-0.84
726.18,-0.84
733.44,-0.84
740.78,-0.84
748.19,-0.83
755.67,-0.83
763.23,-0.82
770.86,-0.82
778.57,-0.81
786.35,-0.80
794.22,-0.79
802.16,-0.78
810.18,-0.77
818.28,-0.75
826.46,-0.74
834.73,-0.72
843.08,-0.70
851.51,-0.68
860.02,-0.66
868.62,-0.63
877.31,-0.60
886.08,-0.57
894.94,-0.54
903.89,-0.51
912.93,-0.47
922.06,-0.43
931.28,-0.39
940.59,-0.34
950.00,-0.29
959.50,-0.24
969.09,-0.18
978.78,-0.13
988.57,-0.07
998.46,-0.01
1008.44,0.06
1018.53,0.13
1028.71,0.19
1039.00,0.27
1049.39,0.34
1059.88,0.42
1070.48,0.50
1081.19,0.58
1092.00,0.66
1102.92,0.75
1113.95,0.84
1125.09,0.92
1136.34,1.01
1147.70,1.10
1159.18,1.19
1170.77,1.27
1182.48,1.36
1194.30,1.45
1206.25,1.54
1218.31,1.62
1230.49,1.71
1242.80,1.79
1255.22,1.87
1267.78,1.95
1280.45,2.03
1293.26,2.11
1306.19,2.19
1319.25,2.26
1332.45,2.33
1345.77,2.40
1359.23,2.48
1372.82,2.54
1386.55,2.61
1400.41,2.67
1414.42,2.74
1428.56,2.80
1442.85,2.86
1457.28,2.92
1471.85,2.99
1486.57,3.04
1501.43,3.10
1516.45,3.16
1531.61,3.21
1546.93,3.27
1562.40,3.33
1578.02,3.39
1593.80,3.44
1609.74,3.50
1625.84,3.56
1642.10,3.62
1658.52,3.67
1675.10,3.72
1691.85,3.78
1708.77,3.84
1725.86,3.90
1743.12,3.96
1760.55,4.02
1778.15,4.08
1795.94,4.14
1813.90,4.20
1832.03,4.26
1850.36,4.32
1868.86,4.38
1887.55,4.44
1906.42,4.50
1925.49,4.56
1944.74,4.62
1964.19,4.68
1983.83,4.75
2003.67,4.81
2023.71,4.87
2043.94,4.93
2064.38,4.99
2085.03,5.05
2105.88,5.11
2126.94,5.17
2148.20,5.23
2169.69,5.29
2191.38,5.35
2213.30,5.40
2235.43,5.46
2257.78,5.51
2280.36,5.57
2303.17,5.62
2326.20,5.67
2349.46,5.72
2372.95,5.76
2396.68,5.81
2420.65,5.85
2444.86,5.89
2469.31,5.93
2494.00,5.97
2518.94,6.00
2544.13,6.04
2569.57,6.06
2595.27,6.09
2621.22,6.12
2647.43,6.14
2673.90,6.16
2700.64,6.18
2727.65,6.19
2754.93,6.21
2782.48,6.22
2810.30,6.24
2838.40,6.27
2866.79,6.29
2895.46,6.32
2924.41,6.36
2953.65,6.40
2983.19,6.44
3013.02,6.48
3043.15,6.52
3073.58,6.56
3104.32,6.60
3135.36,6.63
3166.72,6.66
3198.38,6.69
3230.37,6.71
3262.67,6.74
3295.30,6.77
3328.25,6.79
3361.53,6.82
3395.15,6.84
3429.10,6.86
3463.39,6.89
3498.03,6.91
3533.01,6.92
3568.34,6.94
3604.02,6.95
3640.06,6.96
3676.46,6.96
3713.22,6.97
3750.36,6.98
3787.86,6.99
3825.74,7.00
3864.00,7.01
3902.64,7.02
3941.66,7.03
3981.08,7.04
4020.89,7.05
4061.10,7.06
4101.71,7.06
4142.73,7.06
4184.15,7.06
4226.00,7.04
4268.26,7.03
4310.94,7.01
4354.05,6.98
4397.59,6.94
4441.56,6.91
4485.98,6.86
4530.84,6.81
4576.15,6.77
4621.91,6.73
4668.13,6.69
4714.81,6.65
4761.96,6.61
4809.58,6.58
4857.67,6.55
4906.25,6.52
4955.31,6.50
5004.87,6.47
5054.91,6.43
5105.46,6.39
5156.52,6.35
5208.08,6.31
5260.16,6.26
5312.77,6.20
5365.89,6.15
5419.55,6.10
5473.75,6.04
5528.49,5.98
5583.77,5.92
5639.61,5.86
5696.00,5.80
5752.96,5.74
5810.49,5.68
5868.60,5.62
5927.28,5.56
5986.56,5.51
6046.42,5.46
6106.89,5.42
6167.96,5.38
6229.64,5.34
6291.93,5.32
6354.85,5.30
6418.40,5.29
6482.58,5.30
6547.41,5.31
6612.88,5.33
6679.01,5.36
6745.80,5.39
6813.26,5.43
6881.39,5.48
6950.21,5.52
7019.71,5.56
7089.91,5.62
7160.81,5.68
7232.41,5.77
7304.74,5.88
7377.79,6.03
7451.56,6.22
7526.08,6.46
7601.34,6.73
7677.35,7.05
7754.13,7.39
7831.67,7.73
7909.98,8.04
7989.08,8.29
8068.98,8.40
8149.67,8.39
8231.16,8.22
8313.47,7.86
8396.61,7.40
8480.57,6.79
8565.38,6.10
8651.03,5.36
8737.54,4.57
8824.92,3.74
8913.17,2.92
9002.30,2.10
9092.32,1.32
9183.25,0.56
9275.08,-0.17
9367.83,-0.88
9461.51,-1.54
9556.12,-2.18
9651.68,-2.79
9748.20,-3.37
9845.68,-3.91
9944.14,-4.44
10043.58,-4.92
10144.02,-5.35
10245.46,-5.70
10347.91,-5.95
10451.39,-6.07
10555.91,-5.96
10661.46,-5.64
10768.08,-5.12
10875.76,-4.34
10984.52,-3.44
11094.36,-2.51
11205.31,-1.60
11317.36,-0.88
11430.53,-0.27
11544.84,0.15
11660.29,0.46
11776.89,0.75
11894.66,1.07
12013.60,1.40
12133.74,1.82
12255.08,2.38
12377.63,3.04
12501.41,3.85
12626.42,4.90
12752.68,6.16
12880.21,7.53
13009.01,8.93
13139.10,10.33
13270.49,10.26
13403.20,9.53
13537.23,7.79
13672.60,6.04
13809.33,4.32
13947.42,2.87
14086.90,1.63
14227.77,0.53
14370.04,-0.44
14513.74,-1.24
14658.88,-1.84
14805.47,-2.39
14953.52,-2.84
15103.06,-3.10
15254.09,-3.26
15406.63,-3.28
15560.70,-3.22
15716.30,-3.04
15873.47,-2.69
16032.20,-2.24
16192.52,-1.61
16354.45,-0.85
16517.99,-0.04
16683.17,0.69
16850.01,1.07
17018.51,1.11
17188.69,0.31
17360.58,-0.96
17534.18,-2.53
17709.53,-4.27
17886.62,-5.83
18065.49,-7.25
18246.14,-8.52
18428.60,-9.64
18612.89,-10.90
18799.02,-12.53
18987.01,-14.93
19176.88,-16.23
19368.65,-17.19
19562.33,-18.19
19757.96,-19.62
19955.54,-21.05
