frequency,raw
20.00,1.96
20.20,2.03
20.40,2.09
20.61,2.16
20.81,2.22
21.02,2.29
21.23,2.36
21.44,2.43
21.66,2.52
21.87,2.60
22.09,2.68
22.31,2.76
22.54,2.83
22.76,2.89
22.99,2.94
23.22,2.99
23.45,3.04
23.69,3.09
23.92,3.15
24.16,3.21
24.40,3.27
24.65,3.34
24.89,3.40
25.14,3.45
25.39,3.49
25.65,3.53
25.91,3.58
26.16,3.64
26.43,3.72
26.69,3.81
26.96,3.90
27.23,4.00
27.50,4.07
27.77,4.11
28.05,4.14
28.33,4.14
28.62,4.15
28.90,4.16
29.19,4.19
29.48,4.24
29.78,4.28
30.08,4.31
30.38,4.33
30.68,4.33
30.99,4.35
31.30,4.38
31.61,4.45
31.93,4.55
32.24,4.65
32.57,4.75
32.89,4.82
33.22,4.86
33.55,4.88
33.89,4.88
34.23,4.89
34.57,4.90
34.92,4.93
35.27,4.97
35.62,5.01
35.97,5.05
36.33,5.09
36.70,5.13
37.06,5.16
37.43,5.17
37.81,5.18
38.19,5.19
38.57,5.21
38.95,5.24
39.34,5.27
39.74,5.31
40.14,5.35
40.54,5.38
40.94,5.39
41.35,5.40
41.76,5.41
42.18,5.45
42.60,5.48
43.03,5.52
43.46,5.54
43.90,5.55
44.33,5.56
44.78,5.57
45.23,5.58
45.68,5.59
46.13,5.60
46.60,5.60
47.06,5.61
47.53,5.62
48.01,5.63
48.49,5.63
48.97,5.63
49.46,5.64
49.96,5.67
50.46,5.68
50.96,5.69
51.47,5.69
51.99,5.67
52.51,5.67
53.03,5.67
53.56,5.70
54.10,5.73
54.64,5.75
55.18,5.75
55.74,5.73
56.29,5.72
56.86,5.71
57.42,5.68
58.00,5.65
58.58,5.71
59.16,5.75
59.76,5.76
60.35,5.73
60.96,5.69
61.57,5.69
62.18,5.70
62.80,5.67
63.43,5.66
64.07,5.66
64.71,5.66
65.35,5.64
66.01,5.63
66.67,5.64
67.33,5.64
68.01,5.62
68.69,5.61
69.37,5.59
70.07,5.58
70.77,5.57
71.48,5.55
72.19,5.53
72.91,5.51
73.64,5.51
74.38,5.50
75.12,5.48
75.87,5.47
76.63,5.45
77.40,5.43
78.17,5.40
78.95,5.37
79.74,5.36
80.54,5.34
81.35,5.31
82.16,5.30
82.98,5.29
83.81,5.26
84.65,5.24
85.50,5.21
86.35,5.19
87.22,5.17
88.09,5.14
88.97,5.12
89.86,5.10
90.76,5.07
91.66,5.04
92.58,5.01
93.51,4.99
94.44,4.96
95.39,4.93
96.34,4.91
97.30,4.88
98.28,4.85
99.26,4.82
100.25,4.79
101.25,4.76
102.27,4.72
103.29,4.69
104.32,4.66
105.37,4.63
106.42,4.60
107.48,4.56
108.56,4.53
109.64,4.50
110.74,4.47
111.85,4.43
112.97,4.39
114.10,4.36
115.24,4.32
116.39,4.28
117.55,4.25
118.73,4.21
119.92,4.17
121.12,4.14
122.33,4.13
123.55,4.09
124.79,4.05
126.03,4.01
127.29,3.97
128.57,3.94
129.85,3.90
131.15,3.86
132.46,3.83
133.79,3.79
135.12,3.75
136.48,3.71
137.84,3.68
139.22,3.64
140.61,3.59
142.02,3.56
143.44,3.52
144.87,3.48
146.32,3.44
147.78,3.40
149.26,3.36
150.75,3.32
152.26,3.28
153.78,3.24
155.32,3.20
