frequency,raw
20.00,5.45
20.20,5.45
20.40,5.46
20.61,5.47
20.81,5.48
21.02,5.49
21.23,5.51
21.44,5.53
21.66,5.54
21.87,5.54
22.09,5.54
22.31,5.53
22.54,5.51
22.76,5.49
22.99,5.48
23.22,5.47
23.45,5.47
23.69,5.47
23.92,5.48
24.16,5.50
24.40,5.52
24.65,5.53
24.89,5.54
25.14,5.55
25.39,5.55
25.65,5.56
25.91,5.56
26.16,5.57
26.43,5.57
26.69,5.58
26.96,5.58
27.23,5.57
27.50,5.57
27.77,5.57
28.05,5.57
28.33,5.58
28.62,5.59
28.90,5.60
29.19,5.60
29.48,5.61
29.78,5.61
30.08,5.61
30.38,5.61
30.68,5.61
30.99,5.60
31.30,5.60
31.61,5.60
31.93,5.60
32.24,5.60
32.57,5.59
32.89,5.59
33.22,5.59
33.55,5.59
33.89,5.59
34.23,5.59
34.57,5.59
34.92,5.59
35.27,5.58
35.62,5.58
35.97,5.58
36.33,5.58
36.70,5.58
37.06,5.59
37.43,5.58
37.81,5.58
38.19,5.57
38.57,5.56
38.95,5.56
39.34,5.56
39.74,5.55
40.14,5.55
40.54,5.55
40.94,5.54
41.35,5.54
41.76,5.54
42.18,5.53
42.60,5.53
43.03,5.52
43.46,5.51
43.90,5.50
44.33,5.49
44.78,5.49
45.23,5.48
45.68,5.48
46.13,5.47
46.60,5.47
47.06,5.47
47.53,5.47
48.01,5.46
48.49,5.45
48.97,5.44
49.46,5.43
49.96,5.43
50.46,5.43
50.96,5.42
51.47,5.40
51.99,5.38
52.51,5.36
53.03,5.35
53.56,5.34
54.10,5.33
54.64,5.31
55.18,5.30
55.74,5.29
56.29,5.28
56.86,5.26
57.42,5.24
58.00,5.22
58.58,5.20
59.16,5.19
59.76,5.18
60.35,5.17
60.96,5.16
61.57,5.13
62.18,5.11
62.80,5.10
63.43,5.08
64.07,5.05
64.71,5.03
65.35,5.02
66.01,5.01
66.67,4.99
67.33,4.97
68.01,4.95
68.69,4.92
69.37,4.89
70.07,4.86
70.77,4.85
71.48,4.83
72.19,4.81
72.91,4.79
73.64,4.76
74.38,4.73
75.12,4.70
75.87,4.69
76.63,4.66
77.40,4.62
78.17,4.59
78.95,4.56
79.74,4.53
80.54,4.50
81.35,4.47
82.16,4.44
82.98,4.40
83.81,4.37
84.65,4.34
85.50,4.31
86.35,4.29
87.22,4.25
88.09,4.20
88.97,4.17
89.86,4.14
90.76,4.12
91.66,4.08
92.58,4.03
93.51,3.98
94.44,3.94
95.39,3.91
96.34,3.87
97.30,3.83
98.28,3.78
99.26,3.74
100.25,3.69
101.25,3.65
102.27,3.61
103.29,3.57
104.32,3.53
105.37,3.49
106.42,3.45
107.48,3.39
108.56,3.34
109.64,3.30
110.74,3.26
111.85,3.18
112.97,3.15
114.10,3.11
115.24,3.06
116.39,3.02
117.55,2.98
118.73,2.92
119.92,2.85
121.12,2.81
122.33,2.79
123.55,2.73
124.79,2.68
126.03,2.63
127.29,2.58
128.57,2.53
129.85,2.48
131.15,2.44
132.46,2.39
133.79,2.33
135.12,2.28
136.48,2.22
137.84,2.17
139.22,2.13
140.61,2.08
142.02,2.03
143.44,1.98
144.87,1.93
146.32,1.89
147.78,1.84
149.26,1.79
150.75,1.74
152.26,1.69
153.78,1.64
155.32,1.60
156.88,1.55
158.44,1.53
160.03,1.52
161.63,1.43
163.24,1.36
164.88,1.32
166.53,1.28
168.19,1.23
169.87,1.19
171.57,1.15
173.29,1.10
175.02,1.06
176.77,1.02
178.54,0.97
180.32,0.93
182.13,0.89
183.95,0.85
185.79,0.81
187.65,0.78
189.52,0.73
191.42,0.69
193.33,0.66
195.27,0.63
197.22,0.60
199.19,0.59
201.18,0.58
203.19,0.56
205.23,0.55
207.28,0.53
209.35,0.51
211.44,0.48
213.56,0.47
215.69,0.43
217.85,0.40
220.03,0.40
222.23,0.38
224.45,0.36
226.70,0.34
228.96,0.33
231.25,0.34
233.57,0.35
235.90,0.35
238.26,0.36
240.64,0.36
243.05,0.34
245.48,0.33
247.93,0.32
250.41,0.31
252.92,0.31
255.45,0.30
258.00,0.29
260.58,0.28
263.19,0.27
265.82,0.26
268.48,0.26
271.16,0.25
273.87,0.25
276.61,0.24
279.38,0.24
282.17,0.24
284.99,0.24
287.84,0.24
290.72,0.24
293.63,0.24
296.57,0.24
299.53,0.23
302.53,0.24
305.55,0.24
308.61,0.24
311.69,0.25
314.81,0.25
317.96,0.25
321.14,0.25
324.35,0.25
327.59,0.25
330.87,0.25
334.18,0.25
337.52,0.25
340.90,0.24
344.30,0.25
347.75,0.25
351.23,0.25
354.74,0.25
358.28,0.24
361.87,0.24
365.49,0.24
369.14,0.24
372.83,0.24
376.56,0.24
380.33,0.24
384.13,0.24
387.97,0.24
391.85,0.24
395.77,0.24
399.73,0.24
403.72,0.24
407.76,0.24
411.84,0.24
415.96,0.23
420.12,0.23
424.32,0.23
428.56,0.23
432.85,0.23
437.18,0.22
441.55,0.23
445.96,0.23
450.42,0.23
454.93,0.23
459.48,0.23
464.07,0.22
468.71,0.21
473.40,0.22
478.13,0.21
482.91,0.21
487.74,0.20
492.62,0.20
497.55,0.19
502.52,0.19
507.55,0.18
512.62,0.17
517.75,0.16
522.93,0.15
528.16,0.14
533.44,0.13
538.77,0.13
544.16,0.13
549.60,0.11
555.10,0.10
560.65,0.09
566.25,0.07
571.92,0.06
577.64,0.06
583.41,0.05
589.25,0.04
595.14,0.03
601.09,0.01
607.10,-0.00
613.17,-0.02
619.30,-0.03
625.50,-0.05
631.75,-0.06
638.07,-0.07
644.45,-0.08
650.89,-0.09
657.40,-0.11
663.98,-0.13
670.62,-0.14
677.32,-0.16
684.10,-0.17
690.94,-0.18
697.85,-0.20
704.83,-0.21
711.87,-0.21
718.99,-0.23
726.18,-0.25
733.44,-0.27
740.78,-0.28
748.19,-0.29
755.67,-0.29
763.23,-0.30
770.86,-0.30
778.57,-0.31
786.35,-0.33
794.22,-0.34
802.16,-0.34
810.18,-0.34
818.28,-0.34
826.46,-0.35
834.73,-0.36
843.08,-0.36
851.51,-0.35
860.02,-0.35
868.62,-0.34
877.31,-0.33
886.08,-0.32
894.94,-0.31
903.89,-0.29
912.93,-0.27
922.06,-0.26
931.28,-0.24
940.59,-0.21
950.00,-0.18
959.50,-0.16
969.09,-0.12
978.78,-0.09
988.57,-0.05
998.46,-0.01
1008.44,0.04
1018.53,0.09
1028.71,0.13
