frequency,raw
20.00,5.16
20.20,5.19
20.40,5.22
20.61,5.25
20.81,5.27
21.02,5.28
21.23,5.30
21.44,5.31
21.66,5.32
21.87,5.33
22.09,5.36
22.31,5.39
22.54,5.42
22.76,5.46
22.99,5.50
23.22,5.54
23.45,5.57
23.69,5.59
23.92,5.61
24.16,5.62
24.40,5.63
24.65,5.64
24.89,5.66
25.14,5.68
25.39,5.70
25.65,5.72
25.91,5.74
26.16,5.76
26.43,5.78
26.69,5.80
26.96,5.82
27.23,5.84
27.50,5.85
27.77,5.87
28.05,5.89
28.33,5.91
28.62,5.93
28.90,5.94
29.19,5.96
29.48,5.97
29.78,5.98
30.08,5.99
30.38,6.00
30.68,6.01
30.99,6.03
31.30,6.04
31.61,6.06
31.93,6.07
32.24,6.09
32.57,6.10
32.89,6.10
33.22,6.11
33.55,6.12
33.89,6.14
34.23,6.15
34.57,6.16
34.92,6.17
35.27,6.18
35.62,6.19
35.97,6.19
36.33,6.20
36.70,6.21
37.06,6.22
37.43,6.23
37.81,6.24
38.19,6.24
38.57,6.25
38.95,6.26
39.34,6.27
39.74,6.28
40.14,6.28
40.54,6.28
40.94,6.28
41.35,6.29
41.76,6.29
42.18,6.30
42.60,6.30
43.03,6.31
43.46,6.32
43.90,6.32
44.33,6.32
44.78,6.32
45.23,6.32
45.68,6.33
46.13,6.34
46.60,6.34
47.06,6.34
47.53,6.34
48.01,6.34
48.49,6.34
48.97,6.34
49.46,6.34
49.96,6.34
50.46,6.34
50.96,6.34
51.47,6.34
51.99,6.34
52.51,6.34
53.03,6.34
53.56,6.33
54.10,6.33
54.64,6.33
55.18,6.32
55.74,6.31
56.29,6.30
56.86,6.31
57.42,6.31
58.00,6.31
58.58,6.31
59.16,6.31
59.76,6.30
60.35,6.30
60.96,6.29
61.57,6.28
62.18,6.28
62.80,6.27
63.43,6.27
64.07,6.26
64.71,6.25
65.35,6.24
66.01,6.23
66.67,6.22
67.33,6.21
68.01,6.20
68.69,6.20
69.37,6.20
70.07,6.19
70.77,6.18
71.48,6.17
72.19,6.16
72.91,6.14
73.64,6.14
74.38,6.13
75.12,6.11
75.87,6.10
76.63,6.09
77.40,6.08
78.17,6.07
78.95,6.06
79.74,6.05
80.54,6.03
81.35,6.01
82.16,6.00
82.98,5.99
83.81,5.97
84.65,5.95
85.50,5.94
86.35,5.93
87.22,5.92
88.09,5.90
88.97,5.88
89.86,5.86
90.76,5.84
91.66,5.83
92.58,5.81
93.51,5.80
94.44,5.78
95.39,5.76
96.34,5.74
97.30,5.72
98.28,5.70
99.26,5.68
100.25,5.66
101.25,5.64
102.27,5.62
103.29,5.60
104.32,5.58
105.37,5.56
106.42,5.53
107.48,5.51
108.56,5.49
109.64,5.47
110.74,5.45
111.85,5.42
112.97,5.40
114.10,5.37
115.24,5.35
116.39,5.32
117.55,5.30
118.73,5.27
119.92,5.23
121.12,5.21
122.33,5.20
123.55,5.17
124.79,5.14
126.03,5.11
127.29,5.08
128.57,5.05
129.85,5.03
131.15,5.00
132.46,4.97
133.79,4.94
135.12,4.91
136.48,4.88
137.84,4.85
139.22,4.82
140.61,4.80
142.02,4.76
143.44,4.72
144.87,4.69
146.32,4.66
147.78,4.64
149.26,4.60
150.75,4.56
152.26,4.54
153.78,4.50
155.32,4.46
156.88,4.43
158.44,4.41
160.03,4.39
161.63,4.32
163.24,4.27
164.88,4.25
166.53,4.22
168.19,4.18
169.87,4.14
171.57,4.10
173.29,4.06
175.02,4.02
176.77,3.98
178.54,3.93
180.32,3.88
182.13,3.85
183.95,3.81
185.79,3.77
187.65,3.74
189.52,3.70
191.42,3.66
193.33,3.62
195.27,3.59
197.22,3.55
199.19,3.51
201.18,3.48
203.19,3.44
205.23,3.39
207.28,3.36
209.35,3.33
211.44,3.29
213.56,3.25
215.69,3.22
217.85,3.18
220.03,3.16
222.23,3.13
224.45,3.11
226.70,3.08
228.96,3.05
231.25,3.02
233.57,3.00
235.90,2.98
238.26,2.94
240.64,2.91
243.05,2.89
245.48,2.86
247.93,2.82
250.41,2.79
252.92,2.75
255.45,2.71
258.00,2.67
260.58,2.63
263.19,2.58
265.82,2.55
268.48,2.51
271.16,2.47
273.87,2.43
276.61,2.39
279.38,2.35
282.17,2.31
284.99,2.27
287.84,2.23
290.72,2.19
293.63,2.15
296.57,2.12
299.53,2.07
302.53,2.03
305.55,1.99
308.61,1.95
311.69,1.91
314.81,1.87
317.96,1.83
321.14,1.79
324.35,1.75
327.59,1.71
330.87,1.67
334.18,1.63
337.52,1.59
340.90,1.55
344.30,1.51
347.75,1.47
351.23,1.43
354.74,1.40
358.28,1.35
361.87,1.32
365.49,1.28
369.14,1.24
372.83,1.20
376.56,1.17
380.33,1.12
384.13,1.08
387.97,1.05
391.85,1.01
395.77,0.98
399.73,0.94
403.72,0.90
407.76,0.86
411.84,0.83
415.96,0.79
420.12,0.76
424.32,0.72
428.56,0.69
432.85,0.66
437.18,0.63
441.55,0.60
445.96,0.57
450.42,0.54
454.93,0.52
459.48,0.48
464.07,0.45
468.71,0.43
473.40,0.39
478.13,0.36
482.91,0.33
487.74,0.29
492.62,0.26
497.55,0.23
502.52,0.20
507.55,0.17
512.62,0.14
517.75,0.11
522.93,0.08
528.16,0.06
533.44,0.03
538.77,0.00
544.16,-0.02
549.60,-0.05
555.10,-0.08
560.65,-0.10
566.25,-0.13
571.92,-0.16
577.64,-0.18
583.41,-0.21
589.25,-0.23
595.14,-0.26
601.09,-0.28
607.10,-0.30
613.17,-0.33
619.30,-0.36
625.50,-0.38
631.75,-0.40
638.07,-0.42
644.45,-0.44
650.89,-0.46
657.40,-0.48
663.98,-0.50
670.62,-0.52
677.32,-0.53
684.10,-0.55
690.94,-0.57
697.85,-0.58
704.83,-0.59
711.87,-0.60
718.99,-0.62
726.18,-0.63
733.44,-0.64
740.78,-0.65
748.19,-0.66
755.67,-0.66
763.23,-0.66
770.86,-0.67
778.57,-0.68
786.35,-0.69
794.22,-0.68
802.16,-0.67
810.18,-0.65
818.28,-0.65
826.46,-0.65
834.73,-0.64
843.08,-0.63
851.51,-0.61
860.02,-0.59
868.62,-0.57
877.31,-0.55
886.08,-0.53
894.94,-0.50
903.89,-0.47
912.93,-0.44
922.06,-0.41
931.28,-0.37
940.59,-0.33
950.00,-0.29
959.50,-0.24
969.09,-0.19
978.78,-0.13
988.57,-0.07
998.46,-0.01
1008.44,0.05
1018.53,0.12
1028.71,0.19
1039.00,0.27
1049.39,0.35
1059.88,0.43
1070.48,0.51
1081.19,0.60
1092.00,0.69
1102.92,0.77
1113.95,0.86
1125.09,0.95
1136.34,1.05
1147.70,1.14
1159.18,1.24
1170.77,1.33
1182.48,1.42
1194.30,1.52
1206.25,1.62
1218.31,1.71
1230.49,1.80
1242.80,1.90
1255.22,1.99
1267.78,2.08
1280.45,2.17
1293.26,2.26
1306.19,2.34
1319.25,2.43
1332.45,2.51
1345.77,2.60
1359.23,2.68
1372.82,2.76
1386.55,2.84
1400.41,2.92
1414.42,2.99
1428.56,3.07
1442.85,3.15
1457.28,3.22
1471.85,3.30
1486.57,3.37
1501.43,3.44
1516.45,3.51
1531.61,3.58
1546.93,3.65
1562.40,3.72
1578.02,3.79
1593.80,3.86
1609.74,3.93
1625.84,3.99
1642.10,4.06
1658.52,4.13
1675.10,4.20
1691.85,4.26
1708.77,4.33
1725.86,4.40
1743.12,4.46
1760.55,4.53
1778.15,4.60
1795.94,4.66
1813.90,4.73
1832.03,4.80
1850.36,4.87
1868.86,4.94
1887.55,5.00
1906.42,5.07
1925.49,5.14
1944.74,5.21
1964.19,5.28
1983.83,5.35
2003.67,5.42
2023.71,5.48
2043.94,5.55
2064.38,5.62
2085.03,5.69
2105.88,5.76
2126.94,5.82
2148.20,5.89
2169.69,5.95
2191.38,6.02
2213.30,6.08
2235.43,6.14
2257.78,6.20
2280.36,6.26
2303.17,6.32
2326.20,6.37
2349.46,6.42
2372.95,6.47
2396.68,6.52
2420.65,6.56
2444.86,6.60
2469.31,6.64
2494.00,6.67
2518.94,6.70
2544.13,6.73
2569.57,6.75
2595.27,6.77
2621.22,6.79
2647.43,6.80
2673.90,6.81
2700.64,6.82
2727.65,6.83
2754.93,6.83
2782.48,6.83
2810.30,6.83
2838.40,6.82
2866.79,6.81
2895.46,6.80
2924.41,6.79
2953.65,6.78
2983.19,6.76
3013.02,6.75
3043.15,6.73
3073.58,6.71
3104.32,6.69
3135.36,6.67
3166.72,6.66
3198.38,6.64
3230.37,6.62
3262.67,6.60
3295.30,6.58
3328.25,6.57
3361.53,6.55
3395.15,6.54
3429.10,6.53
3463.39,6.53
3498.03,6.51
3533.01,6.51
3568.34,6.50
3604.02,6.48
3640.06,6.47
3676.46,6.46
3713.22,6.44
3750.36,6.42
3787.86,6.41
3825.74,6.39
3864.00,6.37
3902.64,6.35
3941.66,6.33
3981.08,6.31
4020.89,6.29
4061.10,6.26
4101.71,6.24
4142.73,6.22
4184.15,6.20
