frequency,raw
20.00,5.85
20.20,5.86
20.40,5.87
20.61,5.88
20.81,5.89
21.02,5.90
21.23,5.91
21.44,5.92
21.66,5.93
21.87,5.94
22.09,5.95
22.31,5.95
22.54,5.96
22.76,5.97
22.99,5.98
23.22,5.98
23.45,5.99
23.69,6.00
23.92,6.00
24.16,6.01
24.40,6.01
24.65,6.02
24.89,6.02
25.14,6.03
25.39,6.03
25.65,6.04
25.91,6.04
26.16,6.04
26.43,6.05
26.69,6.05
26.96,6.05
27.23,6.05
27.50,6.06
27.77,6.06
28.05,6.06
28.33,6.06
28.62,6.06
28.90,6.07
29.19,6.07
29.48,6.07
29.78,6.07
30.08,6.08
30.38,6.08
30.68,6.08
30.99,6.08
31.30,6.09
31.61,6.09
31.93,6.09
32.24,6.09
32.57,6.09
32.89,6.09
33.22,6.10
33.55,6.10
33.89,6.10
34.23,6.10
34.57,6.10
34.92,6.10
35.27,6.10
35.62,6.10
35.97,6.10
36.33,6.10
36.70,6.10
37.06,6.10
37.43,6.10
37.81,6.10
38.19,6.10
38.57,6.10
38.95,6.09
39.34,6.09
39.74,6.09
40.14,6.09
40.54,6.09
40.94,6.08
41.35,6.08
41.76,6.08
42.18,6.07
42.60,6.07
43.03,6.07
43.46,6.06
43.90,6.06
44.33,6.06
44.78,6.05
45.23,6.05
45.68,6.04
46.13,6.04
46.60,6.04
47.06,6.03
47.53,6.03
48.01,6.02
48.49,6.02
48.97,6.01
49.46,6.01
49.96,6.00
50.46,5.99
50.96,5.98
51.47,5.97
51.99,5.97
52.51,5.96
53.03,5.96
53.56,5.94
54.10,5.94
54.64,5.93
55.18,5.92
55.74,5.91
56.29,5.91
56.86,5.90
57.42,5.90
58.00,5.90
58.58,5.89
59.16,5.89
59.76,5.88
60.35,5.87
60.96,5.85
61.57,5.83
62.18,5.81
62.80,5.79
63.43,5.78
64.07,5.76
64.71,5.74
65.35,5.72
66.01,5.71
66.67,5.69
67.33,5.68
68.01,5.67
68.69,5.65
69.37,5.63
70.07,5.62
70.77,5.61
71.48,5.59
72.19,5.58
72.91,5.56
73.64,5.54
74.38,5.52
75.12,5.51
75.87,5.49
76.63,5.47
77.40,5.46
78.17,5.44
78.95,5.42
79.74,5.40
80.54,5.38
81.35,5.36
82.16,5.34
82.98,5.32
83.81,5.31
84.65,5.28
85.50,5.26
86.35,5.24
87.22,5.22
88.09,5.20
88.97,5.17
89.86,5.15
90.76,5.13
91.66,5.10
92.58,5.08
93.51,5.06
94.44,5.03
95.39,5.01
96.34,4.98
97.30,4.96
98.28,4.93
99.26,4.91
100.25,4.88
101.25,4.85
102.27,4.83
103.29,4.80
104.32,4.77
105.37,4.74
106.42,4.71
107.48,4.68
108.56,4.66
109.64,4.63
110.74,4.60
111.85,4.57
112.97,4.54
114.10,4.51
115.24,4.49
116.39,4.46
117.55,4.42
118.73,4.39
119.92,4.36
121.12,4.33
122.33,4.30
123.55,4.27
124.79,4.24
126.03,4.20
127.29,4.17
128.57,4.13
129.85,4.10
131.15,4.07
132.46,4.03
133.79,4.00
135.12,3.96
136.48,3.92
137.84,3.89
139.22,3.85
140.61,3.81
142.02,3.77
143.44,3.73
144.87,3.69
146.32,3.65
147.78,3.62
149.26,3.58
150.75,3.54
152.26,3.51
153.78,3.47
155.32,3.43
156.88,3.39
158.44,3.36
160.03,3.32
161.63,3.29
163.24,3.25
164.88,3.20
166.53,3.16
168.19,3.12
169.87,3.07
171.57,3.03
173.29,2.98
175.02,2.94
176.77,2.90
178.54,2.87
180.32,2.84
182.13,2.80
183.95,2.78
185.79,2.76
187.65,2.74
189.52,2.73
191.42,2.72
193.33,2.70
195.27,2.69
197.22,2.68
199.19,2.67
201.18,2.66
203.19,2.65
205.23,2.63
207.28,2.62
209.35,2.61
211.44,2.59
213.56,2.58
215.69,2.56
217.85,2.54
220.03,2.52
222.23,2.50
224.45,2.47
226.70,2.44
228.96,2.41
231.25,2.37
233.57,2.34
235.90,2.30
238.26,2.26
240.64,2.22
243.05,2.19
245.48,2.15
247.93,2.12
250.41,2.08
252.92,2.04
255.45,2.00
258.00,1.96
260.58,1.92
263.19,1.88
265.82,1.84
268.48,1.80
271.16,1.76
273.87,1.72
276.61,1.68
279.38,1.64
282.17,1.60
284.99,1.56
287.84,1.53
290.72,1.49
293.63,1.46
296.57,1.42
299.53,1.38
302.53,1.35
305.55,1.31
308.61,1.27
311.69,1.24
314.81,1.20
317.96,1.17
321.14,1.13
324.35,1.10
327.59,1.06
330.87,1.02
334.18,0.99
337.52,0.95
340.90,0.92
344.30,0.88
347.75,0.85
351.23,0.82
354.74,0.78
358.28,0.75
361.87,0.72
365.49,0.68
369.14,0.65
372.83,0.62
376.56,0.58
380.33,0.55
384.13,0.52
387.97,0.49
391.85,0.45
395.77,0.42
399.73,0.39
403.72,0.36
407.76,0.33
411.84,0.30
415.96,0.27
420.12,0.24
424.32,0.22
428.56,0.19
432.85,0.16
437.18,0.14
441.55,0.12
445.96,0.09
450.42,0.07
454.93,0.05
459.48,0.03
464.07,0.00
468.71,-0.02
473.40,-0.04
478.13,-0.07
482.91,-0.09
487.74,-0.11
492.62,-0.14
497.55,-0.16
502.52,-0.18
507.55,-0.20
512.62,-0.23
517.75,-0.25
522.93,-0.27
528.16,-0.30
533.44,-0.32
538.77,-0.34
544.16,-0.37
549.60,-0.39
555.10,-0.41
560.65,-0.43
566.25,-0.45
571.92,-0.47
577.64,-0.49
583.41,-0.51
589.25,-0.53
595.14,-0.55
601.09,-0.56
607.10,-0.58
613.17,-0.60
619.30,-0.61
625.50,-0.62
631.75,-0.63
638.07,-0.65
644.45,-0.66
650.89,-0.67
657.40,-0.68
663.98,-0.69
670.62,-0.70
677.32,-0.71
684.10,-0.72
690.94,-0.72
697.85,-0.73
704.83,-0.74
711.87,-0.75
718.99,-0.75
726.18,-0.76
733.44,-0.76
740.78,-0.76
748.19,-0.77
755.67,-0.77
763.23,-0.77
770.86,-0.77
778.57,-0.76
786.35,-0.76
794.22,-0.76
802.16,-0.75
810.18,-0.74
818.28,-0.73
826.46,-0.72
834.73,-0.71
843.08,-0.69
851.51,-0.68
860.02,-0.66
868.62,-0.63
877.31,-0.61
886.08,-0.58
894.94,-0.55
903.89,-0.52
912.93,-0.48
922.06,-0.44
931.28,-0.40
940.59,-0.35
950.00,-0.30
959.50,-0.25
969.09,-0.20
978.78,-0.14
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.13
1028.71,0.20
1039.00,0.27
1049.39,0.35
1059.88,0.43
1070.48,0.51
1081.19,0.59
1092.00,0.67
1102.92,0.75
