frequency,raw
20.00,5.78
20.20,5.80
20.40,5.82
20.61,5.85
20.81,5.86
21.02,5.88
21.23,5.90
21.44,5.91
21.66,5.93
21.87,5.95
22.09,5.97
22.31,5.98
22.54,6.00
22.76,6.02
22.99,6.03
23.22,6.05
23.45,6.06
23.69,6.07
23.92,6.09
24.16,6.10
24.40,6.11
24.65,6.12
24.89,6.14
25.14,6.16
25.39,6.17
25.65,6.19
25.91,6.21
26.16,6.22
26.43,6.23
26.69,6.24
26.96,6.24
27.23,6.25
27.50,6.25
27.77,6.26
28.05,6.27
28.33,6.28
28.62,6.29
28.90,6.30
29.19,6.32
29.48,6.32
29.78,6.33
30.08,6.34
30.38,6.35
30.68,6.36
30.99,6.37
31.30,6.37
31.61,6.38
31.93,6.40
32.24,6.41
32.57,6.41
32.89,6.42
33.22,6.42
33.55,6.42
33.89,6.43
34.23,6.43
34.57,6.44
34.92,6.44
35.27,6.45
35.62,6.46
35.97,6.46
36.33,6.47
36.70,6.47
37.06,6.47
37.43,6.48
37.81,6.48
38.19,6.49
38.57,6.49
38.95,6.50
39.34,6.51
39.74,6.52
40.14,6.52
40.54,6.52
40.94,6.52
41.35,6.52
41.76,6.51
42.18,6.51
42.60,6.51
43.03,6.52
43.46,6.53
43.90,6.53
44.33,6.53
44.78,6.52
45.23,6.52
45.68,6.52
46.13,6.52
46.60,6.52
47.06,6.53
47.53,6.53
48.01,6.53
48.49,6.51
48.97,6.50
49.46,6.49
49.96,6.50
50.46,6.50
50.96,6.51
51.47,6.50
51.99,6.51
52.51,6.51
53.03,6.51
53.56,6.49
54.10,6.49
54.64,6.49
55.18,6.50
55.74,6.49
56.29,6.49
56.86,6.49
57.42,6.48
58.00,6.46
58.58,6.45
59.16,6.44
59.76,6.44
60.35,6.44
60.96,6.43
61.57,6.43
62.18,6.43
62.80,6.41
63.43,6.40
64.07,6.40
64.71,6.39
65.35,6.39
66.01,6.38
66.67,6.36
67.33,6.36
68.01,6.36
68.69,6.35
69.37,6.34
70.07,6.33
70.77,6.36
71.48,6.32
72.19,6.26
72.91,6.24
73.64,6.28
74.38,6.29
75.12,6.27
75.87,6.25
76.63,6.24
77.40,6.23
78.17,6.22
78.95,6.21
79.74,6.19
80.54,6.17
81.35,6.16
82.16,6.15
82.98,6.14
83.81,6.13
84.65,6.11
85.50,6.09
86.35,6.08
87.22,6.06
88.09,6.05
88.97,6.03
89.86,6.01
90.76,6.00
91.66,5.98
92.58,5.97
93.51,5.95
94.44,5.93
95.39,5.91
96.34,5.90
97.30,5.88
98.28,5.86
99.26,5.85
100.25,5.83
101.25,5.81
102.27,5.79
103.29,5.77
104.32,5.75
105.37,5.73
106.42,5.70
107.48,5.67
108.56,5.66
109.64,5.65
110.74,5.62
111.85,5.60
112.97,5.57
114.10,5.55
115.24,5.53
116.39,5.50
117.55,5.48
118.73,5.45
119.92,5.43
121.12,5.41
122.33,5.38
123.55,5.35
124.79,5.33
126.03,5.30
127.29,5.27
128.57,5.25
129.85,5.22
131.15,5.20
132.46,5.17
133.79,5.14
135.12,5.11
136.48,5.08
137.84,5.05
139.22,5.02
140.61,4.99
142.02,4.96
143.44,4.92
144.87,4.88
146.32,4.85
147.78,4.82
149.26,4.78
150.75,4.75
152.26,4.71
153.78,4.67
155.32,4.63
156.88,4.59
158.44,4.56
160.03,4.52
161.63,4.49
163.24,4.45
164.88,4.41
166.53,4.38
168.19,4.36
169.87,4.33
171.57,4.30
173.29,4.28
175.02,4.25
176.77,4.23
178.54,4.20
180.32,4.17
182.13,4.16
183.95,4.12
185.79,4.09
187.65,4.05
189.52,4.02
191.42,3.99
193.33,3.96
195.27,3.93
197.22,3.89
199.19,3.86
201.18,3.83
203.19,3.80
205.23,3.77
207.28,3.73
209.35,3.70
211.44,3.67
213.56,3.63
215.69,3.60
217.85,3.56
220.03,3.52
222.23,3.48
224.45,3.45
226.70,3.41
228.96,3.37
231.25,3.33
233.57,3.29
235.90,3.26
238.26,3.21
240.64,3.17
243.05,3.14
245.48,3.10
247.93,3.06
250.41,3.02
252.92,2.98
255.45,2.94
258.00,2.89
260.58,2.85
263.19,2.81
265.82,2.78
268.48,2.74
271.16,2.69
273.87,2.65
276.61,2.61
279.38,2.57
282.17,2.53
284.99,2.49
287.84,2.45
290.72,2.41
293.63,2.36
296.57,2.32
299.53,2.28
302.53,2.24
305.55,2.20
308.61,2.16
311.69,2.12
314.81,2.08
317.96,2.04
321.14,2.00
324.35,1.95
327.59,1.91
330.87,1.88
334.18,1.83
337.52,1.79
340.90,1.75
344.30,1.71
347.75,1.68
351.23,1.64
354.74,1.60
358.28,1.56
361.87,1.52
365.49,1.49
369.14,1.45
372.83,1.41
376.56,1.37
380.33,1.34
384.13,1.30
387.97,1.26
391.85,1.23
395.77,1.19
399.73,1.15
403.72,1.12
407.76,1.08
411.84,1.05
415.96,1.01
420.12,0.97
424.32,0.94
428.56,0.90
432.85,0.87
437.18,0.83
441.55,0.80
445.96,0.76
450.42,0.72
454.93,0.69
459.48,0.66
464.07,0.62
468.71,0.59
473.40,0.55
478.13,0.52
482.91,0.49
487.74,0.45
492.62,0.42
497.55,0.39
502.52,0.36
507.55,0.33
512.62,0.30
517.75,0.27
522.93,0.24
528.16,0.21
533.44,0.18
538.77,0.15
544.16,0.12
549.60,0.09
555.10,0.06
560.65,0.03
566.25,0.01
571.92,-0.02
577.64,-0.04
583.41,-0.07
589.25,-0.09
595.14,-0.12
601.09,-0.14
607.10,-0.17
613.17,-0.19
619.30,-0.22
625.50,-0.24
631.75,-0.26
638.07,-0.28
644.45,-0.30
650.89,-0.33
657.40,-0.35
663.98,-0.36
670.62,-0.38
677.32,-0.40
684.10,-0.41
690.94,-0.43
697.85,-0.45
704.83,-0.46
711.87,-0.47
718.99,-0.49
726.18,-0.50
733.44,-0.51
740.78,-0.52
748.19,-0.53
755.67,-0.54
763.23,-0.54
770.86,-0.55
778.57,-0.56
786.35,-0.56
794.22,-0.56
802.16,-0.56
810.18,-0.56
818.28,-0.56
826.46,-0.56
834.73,-0.55
843.08,-0.54
851.51,-0.53
860.02,-0.51
868.62,-0.50
877.31,-0.48
886.08,-0.46
894.94,-0.44
903.89,-0.41
912.93,-0.39
922.06,-0.36
931.28,-0.32
940.59,-0.29
950.00,-0.25
959.50,-0.21
969.09,-0.16
978.78,-0.11
988.57,-0.06
998.46,-0.01
1008.44,0.05
1018.53,0.11
1028.71,0.17
1039.00,0.24
1049.39,0.31
1059.88,0.38
1070.48,0.45
1081.19,0.53
1092.00,0.60
1102.92,0.68
1113.95,0.77
1125.09,0.85
1136.34,0.93
1147.70,1.02
1159.18,1.10
1170.77,1.18
1182.48,1.27
1194.30,1.35
1206.25,1.44
1218.31,1.52
1230.49,1.60
1242.80,1.68
1255.22,1.76
1267.78,1.84
1280.45,1.92
1293.26,2.00
1306.19,2.07
1319.25,2.14
1332.45,2.22
1345.77,2.29
1359.23,2.36
1372.82,2.42
1386.55,2.49
1400.41,2.56
1414.42,2.62
1428.56,2.69
1442.85,2.75
1457.28,2.81
1471.85,2.88
1486.57,2.94
1501.43,3.01
1516.45,3.07
1531.61,3.13
1546.93,3.20
1562.40,3.26
1578.02,3.33
1593.80,3.39
1609.74,3.46
1625.84,3.53
1642.10,3.60
1658.52,3.68
1675.10,3.75
1691.85,3.83
1708.77,3.90
1725.86,3.98
1743.12,4.06
1760.55,4.14
1778.15,4.22
1795.94,4.30
1813.90,4.38
1832.03,4.47
1850.36,4.55
1868.86,4.64
1887.55,4.73
1906.42,4.81
1925.49,4.90
1944.74,4.99
1964.19,5.08
1983.83,5.17
2003.67,5.26
2023.71,5.35
2043.94,5.43
2064.38,5.52
2085.03,5.61
2105.88,5.70
2126.94,5.79
2148.20,5.87
2169.69,5.96
2191.38,6.05
2213.30,6.14
2235.43,6.22
2257.78,6.31
2280.36,6.39
2303.17,6.48
2326.20,6.57
2349.46,6.65
2372.95,6.73
2396.68,6.82
2420.65,6.90
2444.86,6.98
2469.31,7.06
2494.00,7.14
2518.94,7.21
2544.13,7.29
2569.57,7.37
2595.27,7.45
2621.22,7.53
2647.43,7.62
2673.90,7.72
2700.64,7.82
2727.65,7.91
2754.93,8.00
2782.48,8.08
2810.30,8.16
2838.40,8.24
2866.79,8.32
2895.46,8.39
2924.41,8.47
2953.65,8.55
2983.19,8.64
3013.02,8.72
3043.15,8.80
3073.58,8.88
3104.32,8.94
3135.36,9.01
3166.72,9.06
3198.38,9.11
3230.37,9.16
3262.67,9.19
3295.30,9.22
3328.25,9.25
3361.53,9.27
3395.15,9.29
3429.10,9.31
3463.39,9.33
3498.03,9.34
3533.01,9.34
3568.34,9.35
3604.02,9.35
3640.06,9.34
3676.46,9.32
3713.22,9.30
3750.36,9.27
3787.86,9.23
3825.74,9.18
3864.00,9.12
3902.64,9.04
3941.66,8.96
3981.08,8.86
4020.89,8.75
4061.10,8.64
4101.71,8.52
4142.73,8.39
4184.15,8.27
4226.00,8.15
4268.26,8.03
4310.94,7.91
4354.05,7.80
4397.59,7.68
4441.56,7.57
4485.98,7.46
4530.84,7.35
4576.15,7.23
4621.91,7.11
4668.13,6.99
4714.81,6.87
4761.96,6.75
4809.58,6.63
4857.67,6.51
4906.25,6.40
4955.31,6.29
5004.87,6.18
5054.91,6.08
5105.46,5.97
5156.52,5.86
5208.08,5.75
5260.16,5.65
5312.77,5.54
5365.89,5.43
5419.55,5.33
5473.75,5.23
5528.49,5.14
5583.77,5.05
5639.61,4.97
5696.00,4.89
5752.96,4.83
5810.49,4.76
5868.60,4.71
5927.28,4.67
5986.56,4.64
6046.42,4.62
6106.89,4.61
6167.96,4.61
6229.64,4.62
6291.93,4.64
6354.85,4.68
6418.40,4.72
6482.58,4.77
6547.41,4.82
6612.88,4.88
6679.01,4.95
6745.80,5.02
6813.26,5.09
6881.39,5.17
6950.21,5.26
7019.71,5.36
7089.91,5.48
7160.81,5.64
7232.41,5.83
7304.74,6.06
7377.79,6.35
7451.56,6.68
7526.08,7.06
7601.34,7.48
7677.35,7.93
7754.13,8.39
7831.67,8.80
7909.98,9.15
7989.08,9.39
8068.98,9.40
8149.67,9.25
8231.16,8.92
8313.47,8.42
8396.61,7.84
8480.57,7.18
8565.38,6.47
8651.03,5.75
8737.54,5.03
8824.92,4.31
8913.17,3.63
9002.30,2.96
9092.32,2.34
9183.25,1.77
9275.08,1.22
9367.83,0.72
9461.51,0.26
9556.12,-0.16
9651.68,-0.55
9748.20,-0.91
9845.68,-1.22
9944.14,-1.50
10043.58,-1.76
10144.02,-1.99
10245.46,-2.18
10347.91,-2.35
10451.39,-2.50
10555.91,-2.62
10661.46,-2.71
10768.08,-2.78
10875.76,-2.81
10984.52,-2.80
11094.36,-2.76
11205.31,-2.70
11317.36,-2.58
11430.53,-2.44
11544.84,-2.23
11660.29,-1.99
11776.89,-1.69
11894.66,-1.27
12013.60,-0.83
12133.74,-0.27
12255.08,0.46
12377.63,1.32
12501.41,2.35
12626.42,3.58
12752.68,4.93
12880.21,5.68
13009.01,6.07
13139.10,6.45
13270.49,5.26
13403.20,3.68
13537.23,1.92
13672.60,0.31
13809.33,-1.15
13947.42,-2.34
14086.90,-3.35
14227.77,-4.24
14370.04,-5.01
14513.74,-5.63
14658.88,-6.09
14805.47,-6.49
14953.52,-6.81
15103.06,-6.90
15254.09,-6.89
15406.63,-6.75
15560.70,-6.52
15716.30,-6.13
15873.47,-5.56
16032.20,-4.89
16192.52,-4.03
16354.45,-3.06
16517.99,-2.06
16683.17,-1.23
16850.01,-0.90
17018.51,-0.98
17188.69,-1.87
17360.58,-2.97
17534.18,-4.17
17709.53,-5.31
17886.62,-6.34
18065.49,-7.30
18246.14,-8.21
18428.60,-9.19
18612.89,-10.36
18799.02,-11.77
18987.01,-13.51
19176.88,-16.01
19368.65,-18.65
19562.33,-21.52
19757.96,-24.79
19955.54,-28.06
