frequency,raw
20.00,4.07
20.20,4.09
20.40,4.11
20.61,4.12
20.81,4.13
21.02,4.14
21.23,4.15
21.44,4.17
21.66,4.19
21.87,4.21
22.09,4.25
22.31,4.28
22.54,4.32
22.76,4.35
22.99,4.38
23.22,4.40
23.45,4.41
23.69,4.40
23.92,4.40
24.16,4.39
24.40,4.38
24.65,4.37
24.89,4.38
25.14,4.40
25.39,4.43
25.65,4.46
25.91,4.50
26.16,4.53
26.43,4.55
26.69,4.56
26.96,4.57
27.23,4.58
27.50,4.58
27.77,4.59
28.05,4.60
28.33,4.62
28.62,4.64
28.90,4.66
29.19,4.67
29.48,4.68
29.78,4.68
30.08,4.69
30.38,4.69
30.68,4.69
30.99,4.70
31.30,4.71
31.61,4.72
31.93,4.73
32.24,4.74
32.57,4.74
32.89,4.75
33.22,4.76
33.55,4.77
33.89,4.78
34.23,4.78
34.57,4.79
34.92,4.80
35.27,4.80
35.62,4.81
35.97,4.83
36.33,4.84
36.70,4.84
37.06,4.85
37.43,4.85
37.81,4.86
38.19,4.86
38.57,4.87
38.95,4.87
39.34,4.88
39.74,4.88
40.14,4.88
40.54,4.88
40.94,4.89
41.35,4.90
41.76,4.91
42.18,4.92
42.60,4.92
43.03,4.92
43.46,4.92
43.90,4.93
44.33,4.94
44.78,4.95
45.23,4.96
45.68,4.96
46.13,4.95
46.60,4.94
47.06,4.94
47.53,4.93
48.01,4.92
48.49,4.93
48.97,4.95
49.46,4.98
49.96,5.03
50.46,5.05
50.96,5.05
51.47,5.02
51.99,4.95
52.51,4.90
53.03,4.88
53.56,4.92
54.10,4.96
54.64,5.00
55.18,5.00
55.74,4.99
56.29,4.98
56.86,4.98
57.42,4.97
58.00,4.97
58.58,4.96
59.16,4.96
59.76,4.94
60.35,4.94
60.96,4.94
61.57,4.95
62.18,4.95
62.80,4.94
63.43,4.94
64.07,4.93
64.71,4.92
65.35,4.92
66.01,4.92
66.67,4.91
67.33,4.91
68.01,4.91
68.69,4.91
69.37,4.90
70.07,4.89
70.77,4.89
71.48,4.88
72.19,4.88
72.91,4.87
73.64,4.87
74.38,4.86
75.12,4.86
75.87,4.86
76.63,4.85
77.40,4.84
78.17,4.83
78.95,4.83
79.74,4.82
80.54,4.81
81.35,4.80
82.16,4.80
82.98,4.79
83.81,4.78
84.65,4.77
85.50,4.76
86.35,4.75
87.22,4.74
88.09,4.73
88.97,4.72
89.86,4.71
90.76,4.70
91.66,4.69
92.58,4.68
93.51,4.67
94.44,4.66
95.39,4.65
96.34,4.64
97.30,4.62
98.28,4.61
99.26,4.60
100.25,4.59
101.25,4.57
102.27,4.56
103.29,4.55
104.32,4.53
105.37,4.52
106.42,4.50
107.48,4.49
108.56,4.48
109.64,4.46
110.74,4.45
111.85,4.43
112.97,4.41
114.10,4.40
115.24,4.38
116.39,4.37
117.55,4.35
118.73,4.34
119.92,4.33
121.12,4.31
122.33,4.28
123.55,4.26
124.79,4.24
126.03,4.22
127.29,4.20
128.57,4.19
129.85,4.17
131.15,4.14
132.46,4.12
133.79,4.10
135.12,4.08
136.48,4.06
137.84,4.04
139.22,4.01
140.61,3.99
142.02,3.96
143.44,3.93
144.87,3.91
146.32,3.88
147.78,3.85
149.26,3.82
150.75,3.79
152.26,3.76
153.78,3.72
155.32,3.69
156.88,3.65
158.44,3.63
160.03,3.60
161.63,3.58
163.24,3.56
164.88,3.54
166.53,3.52
168.19,3.51
169.87,3.49
171.57,3.49
173.29,3.49
175.02,3.49
176.77,3.48
178.54,3.46
180.32,3.44
182.13,3.42
183.95,3.40
185.79,3.37
187.65,3.35
189.52,3.32
191.42,3.30
193.33,3.27
195.27,3.24
197.22,3.21
199.19,3.19
201.18,3.16
203.19,3.13
205.23,3.10
207.28,3.07
209.35,3.04
211.44,3.01
213.56,2.98
215.69,2.95
217.85,2.92
220.03,2.89
222.23,2.86
224.45,2.82
226.70,2.79
228.96,2.76
231.25,2.73
233.57,2.69
235.90,2.66
238.26,2.63
240.64,2.60
243.05,2.56
245.48,2.54
247.93,2.50
250.41,2.47
252.92,2.43
255.45,2.40
258.00,2.37
260.58,2.34
263.19,2.30
265.82,2.27
268.48,2.23
