frequency,raw
20.00,5.25
20.20,5.27
20.40,5.30
20.61,5.33
20.81,5.34
21.02,5.35
21.23,5.35
21.44,5.35
21.66,5.35
21.87,5.35
22.09,5.36
22.31,5.37
22.54,5.40
22.76,5.43
22.99,5.46
23.22,5.49
23.45,5.51
23.69,5.52
23.92,5.53
24.16,5.53
24.40,5.53
24.65,5.53
24.89,5.54
25.14,5.56
25.39,5.58
25.65,5.61
25.91,5.64
26.16,5.66
26.43,5.67
26.69,5.68
26.96,5.69
27.23,5.69
27.50,5.70
27.77,5.72
28.05,5.74
28.33,5.76
28.62,5.78
28.90,5.79
29.19,5.79
29.48,5.79
29.78,5.80
30.08,5.80
30.38,5.81
30.68,5.83
30.99,5.84
31.30,5.85
31.61,5.86
31.93,5.87
32.24,5.88
32.57,5.89
32.89,5.90
33.22,5.90
33.55,5.91
33.89,5.91
34.23,5.92
34.57,5.93
34.92,5.94
35.27,5.95
35.62,5.96
35.97,5.97
36.33,5.98
36.70,5.99
37.06,6.00
37.43,6.00
37.81,5.99
38.19,5.99
38.57,5.99
38.95,5.99
39.34,5.99
39.74,6.00
40.14,6.01
40.54,6.01
40.94,6.02
41.35,6.03
41.76,6.04
42.18,6.04
42.60,6.04
43.03,6.04
43.46,6.04
43.90,6.05
44.33,6.06
44.78,6.06
45.23,6.06
45.68,6.06
46.13,6.07
46.60,6.07
47.06,6.06
47.53,6.05
48.01,6.06
48.49,6.08
48.97,6.10
49.46,6.11
49.96,6.08
50.46,6.05
50.96,6.03
51.47,6.04
51.99,6.05
52.51,6.06
53.03,6.06
53.56,6.05
54.10,6.04
54.64,6.04
55.18,6.03
55.74,6.03
56.29,6.02
56.86,6.01
57.42,6.01
58.00,6.01
58.58,6.02
59.16,6.03
59.76,6.02
60.35,6.02
60.96,6.01
61.57,6.00
62.18,5.99
62.80,5.98
63.43,5.98
64.07,5.99
64.71,5.98
65.35,5.97
66.01,5.97
66.67,5.96
67.33,5.96
68.01,5.95
68.69,5.95
69.37,5.93
70.07,5.90
70.77,5.89
71.48,5.90
72.19,5.91
