frequency,raw
20.00,-17.88
20.20,-17.84
20.40,-17.80
20.61,-17.77
20.81,-17.77
21.02,-17.78
21.23,-17.78
21.44,-17.76
21.66,-17.68
21.87,-17.59
22.09,-17.42
22.31,-17.23
22.54,-17.04
22.76,-16.84
22.99,-16.65
23.22,-16.48
23.45,-16.33
23.69,-16.18
23.92,-16.04
24.16,-15.89
24.40,-15.74
24.65,-15.60
24.89,-15.48
25.14,-15.38
25.39,-15.29
25.65,-15.24
25.91,-15.18
26.16,-15.11
26.43,-15.03
26.69,-14.92
26.96,-14.81
27.23,-14.70
27.50,-14.61
27.77,-14.53
28.05,-14.45
28.33,-14.38
28.62,-14.29
28.90,-14.19
29.19,-14.08
29.48,-13.97
29.78,-13.87
30.08,-13.76
30.38,-13.68
30.68,-13.59
30.99,-13.49
31.30,-13.38
31.61,-13.27
31.93,-13.15
32.24,-13.04
32.57,-12.93
32.89,-12.84
33.22,-12.76
33.55,-12.68
33.89,-12.60
34.23,-12.51
34.57,-12.41
34.92,-12.31
35.27,-12.21
35.62,-12.12
35.97,-12.04
36.33,-11.96
36.70,-11.88
37.06,-11.80
37.43,-11.71
37.81,-11.62
38.19,-11.52
38.57,-11.43
38.95,-11.34
39.34,-11.25
39.74,-11.16
40.14,-11.06
40.54,-10.98
40.94,-10.91
41.35,-10.84
41.76,-10.77
42.18,-10.68
42.60,-10.58
43.03,-10.49
43.46,-10.42
43.90,-10.34
44.33,-10.25
44.78,-10.12
45.23,-10.00
45.68,-9.90
46.13,-9.82
46.60,-9.73
47.06,-9.62
47.53,-9.52
48.01,-9.46
48.49,-9.40
48.97,-9.32
49.46,-9.22
49.96,-9.14
50.46,-9.09
50.96,-9.03
51.47,-8.91
51.99,-8.86
52.51,-8.91
53.03,-9.03
53.56,-8.98
54.10,-8.77
54.64,-8.47
55.18,-8.25
55.74,-8.25
56.29,-8.22
56.86,-8.16
57.42,-8.09
58.00,-8.01
58.58,-7.97
59.16,-7.90
59.76,-7.76
60.35,-7.64
60.96,-7.53
61.57,-7.47
62.18,-7.40
62.80,-7.34
63.43,-7.30
64.07,-7.25
64.71,-7.15
65.35,-7.05
66.01,-6.97
66.67,-6.88
67.33,-6.81
68.01,-6.75
68.69,-6.69
69.37,-6.60
70.07,-6.49
70.77,-6.44
71.48,-6.38
72.19,-6.31
72.91,-6.26
73.64,-6.19
74.38,-6.12
75.12,-6.04
75.87,-5.97
76.63,-5.88
77.40,-5.78
78.17,-5.71
78.95,-5.65
79.74,-5.59
80.54,-5.51
81.35,-5.44
82.16,-5.40
82.98,-5.33
83.81,-5.24
84.65,-5.18
85.50,-5.12
86.35,-5.05
87.22,-4.98
88.09,-4.92
88.97,-4.86
89.86,-4.80
90.76,-4.73
91.66,-4.66
92.58,-4.59
93.51,-4.53
94.44,-4.47
95.39,-4.41
96.34,-4.35
97.30,-4.31
98.28,-4.24
99.26,-4.17
100.25,-4.11
101.25,-4.05
102.27,-3.99
103.29,-3.93
104.32,-3.87
105.37,-3.82
106.42,-3.77
107.48,-3.70
108.56,-3.65
109.64,-3.59
110.74,-3.53
111.85,-3.47
112.97,-3.42
114.10,-3.37
115.24,-3.31
116.39,-3.25
117.55,-3.20
118.73,-3.15
119.92,-3.09
121.12,-3.05
122.33,-3.01
123.55,-2.96
124.79,-2.90
126.03,-2.87
127.29,-2.81
128.57,-2.75
129.85,-2.71
131.15,-2.67
132.46,-2.62
133.79,-2.58
135.12,-2.54
136.48,-2.48
137.84,-2.43
139.22,-2.41
140.61,-2.37
142.02,-2.32
143.44,-2.28
144.87,-2.25
146.32,-2.20
147.78,-2.16
149.26,-2.13
150.75,-2.09
152.26,-2.06
153.78,-2.04
155.32,-2.01
156.88,-1.96
158.44,-1.94
160.03,-1.94
161.63,-1.89
163.24,-1.85
164.88,-1.81
166.53,-1.81
168.19,-1.78
169.87,-1.70
171.57,-1.67
173.29,-1.63
175.02,-1.56
176.77,-1.52
178.54,-1.48
180.32,-1.44
182.13,-1.39
183.95,-1.37
185.79,-1.34
187.65,-1.30
189.52,-1.26
191.42,-1.23
193.33,-1.20
195.27,-1.18
197.22,-1.14
199.19,-1.11
201.18,-1.08
203.19,-1.05
205.23,-1.03
207.28,-1.00
209.35,-0.98
211.44,-0.96
213.56,-0.93
215.69,-0.91
217.85,-0.89
220.03,-0.87
222.23,-0.85
224.45,-0.83
226.70,-0.82
228.96,-0.80
231.25,-0.78
233.57,-0.76
235.90,-0.75
238.26,-0.73
240.64,-0.72
243.05,-0.71
245.48,-0.70
247.93,-0.68
250.41,-0.67
252.92,-0.66
255.45,-0.65
258.00,-0.63
260.58,-0.62
263.19,-0.61
265.82,-0.61
268.48,-0.59
271.16,-0.59
273.87,-0.58
276.61,-0.57
279.38,-0.56
282.17,-0.56
284.99,-0.55
287.84,-0.55
290.72,-0.54
293.63,-0.54
296.57,-0.53
299.53,-0.53
302.53,-0.53
305.55,-0.52
308.61,-0.52
311.69,-0.51
314.81,-0.51
317.96,-0.51
321.14,-0.51
324.35,-0.51
327.59,-0.51
330.87,-0.51
334.18,-0.51
337.52,-0.51
340.90,-0.51
344.30,-0.51
347.75,-0.51
351.23,-0.51
354.74,-0.51
358.28,-0.52
361.87,-0.52
365.49,-0.52
369.14,-0.52
372.83,-0.53
376.56,-0.54
380.33,-0.54
384.13,-0.54
387.97,-0.54
391.85,-0.54
395.77,-0.55
399.73,-0.55
403.72,-0.56
407.76,-0.57
411.84,-0.57
415.96,-0.57
420.12,-0.58
424.32,-0.57
428.56,-0.57
432.85,-0.58
437.18,-0.59
441.55,-0.59
445.96,-0.60
450.42,-0.60
454.93,-0.61
459.48,-0.62
464.07,-0.63
468.71,-0.64
473.40,-0.64
478.13,-0.65
482.91,-0.65
487.74,-0.66
492.62,-0.67
497.55,-0.67
502.52,-0.68
507.55,-0.69
512.62,-0.70
517.75,-0.70
522.93,-0.71
528.16,-0.72
533.44,-0.73
538.77,-0.73
544.16,-0.73
549.60,-0.75
555.10,-0.76
560.65,-0.76
566.25,-0.77
571.92,-0.78
577.64,-0.78
583.41,-0.79
589.25,-0.80
595.14,-0.80
601.09,-0.80
607.10,-0.80
613.17,-0.81
619.30,-0.82
625.50,-0.83
631.75,-0.83
638.07,-0.84
644.45,-0.84
650.89,-0.84
657.40,-0.84
663.98,-0.85
670.62,-0.85
677.32,-0.86
684.10,-0.86
690.94,-0.86
697.85,-0.86
704.83,-0.86
711.87,-0.86
718.99,-0.87
726.18,-0.86
733.44,-0.86
740.78,-0.86
748.19,-0.85
755.67,-0.84
763.23,-0.84
770.86,-0.84
778.57,-0.83
786.35,-0.82
794.22,-0.81
802.16,-0.80
810.18,-0.78
818.28,-0.77
826.46,-0.76
834.73,-0.74
843.08,-0.72
851.51,-0.70
860.02,-0.67
868.62,-0.64
877.31,-0.62
886.08,-0.58
894.94,-0.55
903.89,-0.52
912.93,-0.48
922.06,-0.44
931.28,-0.39
940.59,-0.35
950.00,-0.30
959.50,-0.25
969.09,-0.19
978.78,-0.13
988.57,-0.07
998.46,-0.01
1008.44,0.06
1018.53,0.13
1028.71,0.19
1039.00,0.27
1049.39,0.34
1059.88,0.42
1070.48,0.51
1081.19,0.59
1092.00,0.67
1102.92,0.76
1113.95,0.85
1125.09,0.94
1136.34,1.03
1147.70,1.12
1159.18,1.21
1170.77,1.31
1182.48,1.39
1194.30,1.49
1206.25,1.58
1218.31,1.67
1230.49,1.76
1242.80,1.84
1255.22,1.93
1267.78,2.02
1280.45,2.10
1293.26,2.18
1306.19,2.26
1319.25,2.34
1332.45,2.42
1345.77,2.50
1359.23,2.58
1372.82,2.65
1386.55,2.73
1400.41,2.80
1414.42,2.87
1428.56,2.94
1442.85,3.02
1457.28,3.09
1471.85,3.16
1486.57,3.23
1501.43,3.29
1516.45,3.37
1531.61,3.44
1546.93,3.51
1562.40,3.58
1578.02,3.66
1593.80,3.73
1609.74,3.81
1625.84,3.89
1642.10,3.98
1658.52,4.07
1675.10,4.16
1691.85,4.25
1708.77,4.34
1725.86,4.43
1743.12,4.52
1760.55,4.61
1778.15,4.71
1795.94,4.80
1813.90,4.89
1832.03,4.99
1850.36,5.08
1868.86,5.18
1887.55,5.28
1906.42,5.37
1925.49,5.47
1944.74,5.57
1964.19,5.67
1983.83,5.77
2003.67,5.87
2023.71,5.96
2043.94,6.06
2064.38,6.16
2085.03,6.26
2105.88,6.35
2126.94,6.45
2148.20,6.54
2169.69,6.64
2191.38,6.73
2213.30,6.82
2235.43,6.92
2257.78,7.01
2280.36,7.10
2303.17,7.19
2326.20,7.28
2349.46,7.37
2372.95,7.46
2396.68,7.54
2420.65,7.63
2444.86,7.71
2469.31,7.79
2494.00,7.86
2518.94,7.94
2544.13,8.01
2569.57,8.08
2595.27,8.15
2621.22,8.21
2647.43,8.27
2673.90,8.33
2700.64,8.40
2727.65,8.46
2754.93,8.52
2782.48,8.59
2810.30,8.65
2838.40,8.72
2866.79,8.77
2895.46,8.83
2924.41,8.88
2953.65,8.94
2983.19,8.99
3013.02,9.05
3043.15,9.11
3073.58,9.17
3104.32,9.23
3135.36,9.29
3166.72,9.35
3198.38,9.40
3230.37,9.45
3262.67,9.49
3295.30,9.53
3328.25,9.56
3361.53,9.59
3395.15,9.61
3429.10,9.63
3463.39,9.63
3498.03,9.63
3533.01,9.62
3568.34,9.60
3604.02,9.58
3640.06,9.55
3676.46,9.51
3713.22,9.48
3750.36,9.44
3787.86,9.40
3825.74,9.36
3864.00,9.32
3902.64,9.27
3941.66,9.22
3981.08,9.16
4020.89,9.10
4061.10,9.04
4101.71,8.98
4142.73,8.92
4184.15,8.87
4226.00,8.81
4268.26,8.75
4310.94,8.69
4354.05,8.62
4397.59,8.55
4441.56,8.48
4485.98,8.40
4530.84,8.32
4576.15,8.24
4621.91,8.15
4668.13,8.05
4714.81,7.95
4761.96,7.85
4809.58,7.75
4857.67,7.63
4906.25,7.52
4955.31,7.41
5004.87,7.29
5054.91,7.17
5105.46,7.04
5156.52,6.91
