frequency,raw
20.00,-9.78
20.20,-9.73
20.40,-9.67
20.61,-9.62
20.81,-9.57
21.02,-9.49
21.23,-9.40
21.44,-9.27
21.66,-9.11
21.87,-8.96
22.09,-8.80
22.31,-8.65
22.54,-8.52
22.76,-8.40
22.99,-8.30
23.22,-8.22
23.45,-8.14
23.69,-8.06
23.92,-7.99
24.16,-7.91
24.40,-7.83
24.65,-7.76
24.89,-7.69
25.14,-7.62
25.39,-7.56
25.65,-7.49
25.91,-7.41
26.16,-7.32
26.43,-7.22
26.69,-7.12
26.96,-7.01
27.23,-6.90
27.50,-6.80
27.77,-6.69
28.05,-6.59
28.33,-6.49
28.62,-6.39
28.90,-6.29
29.19,-6.20
29.48,-6.10
29.78,-6.02
30.08,-5.93
30.38,-5.85
30.68,-5.76
30.99,-5.67
31.30,-5.57
31.61,-5.48
31.93,-5.38
32.24,-5.28
32.57,-5.20
32.89,-5.12
33.22,-5.04
33.55,-4.97
33.89,-4.89
34.23,-4.80
34.57,-4.72
34.92,-4.63
35.27,-4.54
35.62,-4.46
35.97,-4.36
36.33,-4.26
36.70,-4.16
37.06,-4.06
37.43,-3.97
37.81,-3.91
38.19,-3.85
38.57,-3.78
38.95,-3.70
39.34,-3.60
39.74,-3.51
40.14,-3.43
40.54,-3.36
40.94,-3.29
41.35,-3.22
41.76,-3.14
42.18,-3.06
42.60,-2.98
43.03,-2.91
43.46,-2.84
43.90,-2.77
44.33,-2.69
44.78,-2.63
45.23,-2.57
45.68,-2.50
46.13,-2.41
46.60,-2.31
47.06,-2.22
47.53,-2.15
48.01,-2.11
48.49,-2.06
48.97,-1.98
49.46,-1.88
49.96,-1.78
50.46,-1.71
50.96,-1.64
51.47,-1.59
51.99,-1.54
52.51,-1.45
53.03,-1.34
53.56,-1.21
54.10,-1.11
54.64,-1.05
55.18,-1.04
55.74,-1.02
56.29,-0.96
56.86,-0.87
57.42,-0.80
58.00,-0.73
58.58,-0.71
59.16,-0.68
59.76,-0.61
60.35,-0.54
60.96,-0.47
61.57,-0.39
62.18,-0.31
62.80,-0.25
63.43,-0.21
64.07,-0.17
64.71,-0.10
65.35,-0.03
66.01,0.04
66.67,0.08
67.33,0.12
68.01,0.17
68.69,0.23
69.37,0.29
70.07,0.36
70.77,0.41
71.48,0.46
72.19,0.51
72.91,0.57
73.64,0.61
74.38,0.65
75.12,0.70
75.87,0.76
76.63,0.81
77.40,0.84
78.17,0.91
78.95,0.98
79.74,1.02
80.54,1.06
81.35,1.09
82.16,1.13
82.98,1.17
83.81,1.23
84.65,1.28
85.50,1.33
86.35,1.38
87.22,1.41
88.09,1.45
88.97,1.48
89.86,1.52
90.76,1.56
91.66,1.59
92.58,1.63
93.51,1.67
94.44,1.71
95.39,1.74
96.34,1.78
97.30,1.81
98.28,1.84
99.26,1.87
100.25,1.90
101.25,1.93
102.27,1.96
103.29,1.99
104.32,2.01
105.37,2.04
106.42,2.08
107.48,2.11
108.56,2.12
109.64,2.15
110.74,2.18
111.85,2.20
112.97,2.22
114.10,2.25
115.24,2.26
116.39,2.28
117.55,2.30
118.73,2.31
119.92,2.32
121.12,2.35
122.33,2.38
123.55,2.40
124.79,2.41
126.03,2.42
127.29,2.44
128.57,2.45
129.85,2.46
131.15,2.47
