frequency,raw
20.00,-4.87
20.20,-4.78
20.40,-4.70
20.61,-4.61
20.81,-4.54
21.02,-4.47
21.23,-4.39
21.44,-4.31
21.66,-4.21
21.87,-4.12
22.09,-4.01
22.31,-3.91
22.54,-3.81
22.76,-3.72
22.99,-3.63
23.22,-3.55
23.45,-3.48
23.69,-3.40
23.92,-3.32
24.16,-3.24
24.40,-3.15
24.65,-3.05
24.89,-2.96
25.14,-2.87
25.39,-2.78
25.65,-2.70
25.91,-2.61
26.16,-2.53
26.43,-2.44
26.69,-2.35
26.96,-2.25
27.23,-2.15
27.50,-2.06
27.77,-1.98
28.05,-1.89
28.33,-1.81
28.62,-1.73
28.90,-1.65
29.19,-1.58
29.48,-1.50
29.78,-1.43
30.08,-1.36
30.38,-1.29
30.68,-1.22
30.99,-1.14
31.30,-1.05
31.61,-0.97
31.93,-0.88
32.24,-0.81
32.57,-0.74
32.89,-0.68
33.22,-0.60
33.55,-0.52
33.89,-0.44
34.23,-0.36
34.57,-0.29
34.92,-0.23
35.27,-0.17
35.62,-0.11
35.97,-0.05
36.33,0.02
36.70,0.08
37.06,0.15
37.43,0.22
37.81,0.30
38.19,0.38
38.57,0.46
38.95,0.53
39.34,0.59
39.74,0.66
40.14,0.74
40.54,0.82
40.94,0.89
41.35,0.95
41.76,1.00
42.18,1.04
42.60,1.08
43.03,1.14
43.46,1.20
43.90,1.26
44.33,1.31
44.78,1.37
45.23,1.43
45.68,1.49
46.13,1.56
46.60,1.62
47.06,1.68
47.53,1.73
48.01,1.79
48.49,1.85
48.97,1.93
49.46,2.00
49.96,2.04
50.46,2.07
50.96,2.10
51.47,2.12
51.99,2.12
52.51,2.13
53.03,2.16
53.56,2.28
54.10,2.39
54.64,2.47
55.18,2.49
55.74,2.51
56.29,2.54
56.86,2.59
57.42,2.62
58.00,2.65
58.58,2.70
59.16,2.75
59.76,2.79
60.35,2.83
60.96,2.86
61.57,2.92
62.18,2.98
62.80,3.01
63.43,3.04
64.07,3.07
64.71,3.12
65.35,3.15
66.01,3.18
66.67,3.21
67.33,3.25
68.01,3.28
68.69,3.32
69.37,3.35
70.07,3.37
70.77,3.41
71.48,3.44
72.19,3.45
72.91,3.46
73.64,3.50
74.38,3.56
75.12,3.62
75.87,3.63
76.63,3.63
77.40,3.63
78.17,3.66
78.95,3.69
79.74,3.71
80.54,3.73
81.35,3.75
82.16,3.77
82.98,3.79
83.81,3.81
84.65,3.83
85.50,3.85
86.35,3.86
87.22,3.88
88.09,3.90
88.97,3.91
89.86,3.92
90.76,3.94
91.66,3.95
92.58,3.97
93.51,3.98
94.44,3.98
95.39,3.99
96.34,4.01
97.30,4.02
98.28,4.03
99.26,4.03
100.25,4.04
101.25,4.04
102.27,4.05
103.29,4.06
104.32,4.07
105.37,4.07
106.42,4.07
107.48,4.08
108.56,4.08
109.64,4.09
110.74,4.09
111.85,4.08
112.97,4.08
114.10,4.08
115.24,4.08
116.39,4.08
117.55,4.08
118.73,4.07
119.92,4.07
121.12,4.06
122.33,4.06
123.55,4.05
124.79,4.05
126.03,4.04
127.29,4.04
128.57,4.03
129.85,4.02
131.15,4.01
132.46,4.00
133.79,3.99
135.12,3.98
136.48,3.97
137.84,3.95
139.22,3.94
140.61,3.93
142.02,3.91
143.44,3.89
144.87,3.87
146.32,3.86
147.78,3.84
149.26,3.82
150.75,3.80
152.26,3.77
153.78,3.74
155.32,3.71
156.88,3.68
158.44,3.65
160.03,3.62
161.63,3.61
163.24,3.60
164.88,3.58
166.53,3.58
168.19,3.59
169.87,3.59
171.57,3.58
173.29,3.58
175.02,3.57
176.77,3.56
178.54,3.54
180.32,3.52
182.13,3.50
183.95,3.48
185.79,3.46
187.65,3.44
189.52,3.41
191.42,3.39
