frequency,raw
20.00,17.75
20.20,17.75
20.40,17.75
20.61,17.75
20.81,17.76
21.02,17.76
21.23,17.76
21.44,17.76
21.66,17.76
21.87,17.76
22.09,17.76
22.31,17.76
22.54,17.76
22.76,17.75
22.99,17.75
23.22,17.75
23.45,17.75
23.69,17.75
23.92,17.75
24.16,17.74
24.40,17.74
24.65,17.74
24.89,17.73
25.14,17.73
25.39,17.73
25.65,17.72
25.91,17.72
26.16,17.71
26.43,17.71
26.69,17.70
26.96,17.70
27.23,17.69
27.50,17.68
27.77,17.68
28.05,17.67
28.33,17.66
28.62,17.65
28.90,17.64
29.19,17.64
29.48,17.63
29.78,17.62
30.08,17.61
30.38,17.60
30.68,17.59
30.99,17.58
31.30,17.57
31.61,17.56
31.93,17.55
32.24,17.54
32.57,17.53
32.89,17.52
33.22,17.51
33.55,17.49
33.89,17.48
34.23,17.47
34.57,17.45
34.92,17.44
35.27,17.43
35.62,17.41
35.97,17.40
36.33,17.38
36.70,17.36
37.06,17.35
37.43,17.33
37.81,17.32
38.19,17.30
38.57,17.28
38.95,17.27
39.34,17.25
39.74,17.23
40.14,17.21
40.54,17.19
40.94,17.17
41.35,17.15
41.76,17.13
42.18,17.11
42.60,17.09
43.03,17.07
43.46,17.05
43.90,17.03
44.33,17.01
44.78,16.98
45.23,16.96
45.68,16.94
46.13,16.92
46.60,16.89
47.06,16.87
47.53,16.84
48.01,16.82
48.49,16.79
48.97,16.77
49.46,16.74
49.96,16.71
50.46,16.69
50.96,16.66
51.47,16.63
51.99,16.60
52.51,16.58
53.03,16.55
53.56,16.52
54.10,16.49
54.64,16.46
55.18,16.43
55.74,16.40
56.29,16.37
56.86,16.33
57.42,16.30
58.00,16.27
58.58,16.24
59.16,16.20
59.76,16.17
60.35,16.14
60.96,16.10
61.57,16.07
62.18,16.03
62.80,16.00
63.43,15.96
64.07,15.93
64.71,15.89
65.35,15.85
66.01,15.81
66.67,15.77
67.33,15.74
68.01,15.70
68.69,15.66
69.37,15.62
70.07,15.58
70.77,15.54
71.48,15.50
72.19,15.46
72.91,15.41
73.64,15.37
74.38,15.33
75.12,15.29
75.87,15.24
76.63,15.20
77.40,15.15
78.17,15.11
78.95,15.06
79.74,15.02
80.54,14.97
81.35,14.93
82.16,14.88
82.98,14.83
83.81,14.78
84.65,14.74
85.50,14.69
86.35,14.64
87.22,14.59
88.09,14.54
88.97,14.49
89.86,14.44
90.76,14.39
91.66,14.34
92.58,14.28
93.51,14.23
94.44,14.18
95.39,14.13
96.34,14.07
97.30,14.02
98.28,13.96
99.26,13.91
100.25,13.85
101.25,13.80
102.27,13.74
103.29,13.69
104.32,13.63
105.37,13.57
106.42,13.51
107.48,13.46
108.56,13.40
109.64,13.34
110.74,13.28
111.85,13.22
112.97,13.16
114.10,13.10
115.24,13.04
116.39,12.98
117.55,12.91
118.73,12.85
119.92,12.79
121.12,12.73
122.33,12.66
123.55,12.60
124.79,12.54
126.03,12.47
127.29,12.41
128.57,12.35
129.85,12.28
131.15,12.22
132.46,12.15
133.79,12.09
135.12,12.02
136.48,11.95
137.84,11.89
139.22,11.82
140.61,11.75
142.02,11.68
143.44,11.61
144.87,11.54
146.32,11.47
147.78,11.40
149.26,11.33
150.75,11.26
152.26,11.19
153.78,11.12
155.32,11.05
156.88,10.98
158.44,10.92
160.03,10.85
161.63,10.78
163.24,10.72
164.88,10.66
166.53,10.61
168.19,10.55
169.87,10.49
171.57,10.43
173.29,10.36
175.02,10.29
176.77,10.22
178.54,10.15
180.32,10.08
182.13,10.01
183.95,9.94
185.79,9.86
187.65,9.79
189.52,9.72
191.42,9.64
193.33,9.57
195.27,9.49
197.22,9.42
199.19,9.34
201.18,9.26
203.19,9.18
205.23,9.10
207.28,9.03
209.35,8.95
211.44,8.87
213.56,8.79
