frequency,raw
20.00,9.01
20.20,9.00
20.40,8.99
20.61,8.98
20.81,8.97
21.02,8.95
21.23,8.94
21.44,8.93
21.66,8.93
21.87,8.92
22.09,8.92
22.31,8.92
22.54,8.92
22.76,8.93
22.99,8.95
23.22,8.97
23.45,9.00
23.69,9.02
23.92,9.04
24.16,9.05
24.40,9.06
24.65,9.05
24.89,9.04
25.14,9.02
25.39,8.99
25.65,8.98
25.91,8.97
26.16,8.97
26.43,8.97
26.69,8.98
26.96,8.98
27.23,8.98
27.50,8.98
27.77,8.97
28.05,8.95
28.33,8.94
28.62,8.93
28.90,8.92
29.19,8.91
29.48,8.91
29.78,8.90
30.08,8.89
30.38,8.87
30.68,8.86
30.99,8.85
31.30,8.85
31.61,8.84
31.93,8.83
32.24,8.83
32.57,8.81
32.89,8.80
33.22,8.79
33.55,8.77
33.89,8.76
34.23,8.75
34.57,8.75
34.92,8.73
35.27,8.72
35.62,8.71
35.97,8.69
36.33,8.67
36.70,8.66
37.06,8.64
37.43,8.63
37.81,8.61
38.19,8.60
38.57,8.58
38.95,8.57
39.34,8.55
39.74,8.54
40.14,8.52
40.54,8.50
40.94,8.48
41.35,8.46
41.76,8.44
42.18,8.42
42.60,8.40
43.03,8.39
43.46,8.38
43.90,8.36
44.33,8.34
44.78,8.32
45.23,8.29
45.68,8.27
46.13,8.24
46.60,8.22
47.06,8.20
47.53,8.17
48.01,8.15
48.49,8.13
48.97,8.10
49.46,8.08
49.96,8.05
50.46,8.03
50.96,8.00
51.47,7.98
51.99,7.95
52.51,7.92
53.03,7.90
53.56,7.87
54.10,7.84
54.64,7.81
55.18,7.79
55.74,7.76
56.29,7.73
56.86,7.70
57.42,7.67
58.00,7.64
58.58,7.61
59.16,7.58
59.76,7.57
60.35,7.55
60.96,7.51
61.57,7.45
62.18,7.41
62.80,7.38
63.43,7.35
64.07,7.31
64.71,7.27
65.35,7.24
66.01,7.20
66.67,7.17
67.33,7.13
68.01,7.09
68.69,7.06
69.37,7.02
70.07,6.98
70.77,6.94
71.48,6.90
72.19,6.86
72.91,6.82
73.64,6.78
74.38,6.74
75.12,6.69
75.87,6.66
76.63,6.61
77.40,6.57
78.17,6.53
78.95,6.49
79.74,6.44
80.54,6.40
81.35,6.36
82.16,6.31
82.98,6.26
83.81,6.22
84.65,6.18
85.50,6.13
86.35,6.08
87.22,6.03
88.09,5.98
88.97,5.94
89.86,5.89
90.76,5.84
91.66,5.79
92.58,5.74
93.51,5.69
94.44,5.64
95.39,5.59
96.34,5.54
97.30,5.49
98.28,5.44
99.26,5.39
100.25,5.34
101.25,5.30
102.27,5.25
103.29,5.19
104.32,5.14
105.37,5.10
106.42,5.05
107.48,4.99
108.56,4.93
109.64,4.88
110.74,4.83
111.85,4.77
112.97,4.72
114.10,4.67
115.24,4.61
116.39,4.56
117.55,4.51
118.73,4.46
119.92,4.41
121.12,4.35
122.33,4.30
123.55,4.25
124.79,4.19
126.03,4.14
127.29,4.08
128.57,4.03
129.85,3.98
131.15,3.93
132.46,3.88
133.79,3.83
135.12,3.77
136.48,3.72
137.84,3.67
139.22,3.62
140.61,3.56
142.02,3.52
143.44,3.47
144.87,3.41
146.32,3.36
147.78,3.31
149.26,3.26
150.75,3.21
152.26,3.16
153.78,3.12
155.32,3.07
156.88,3.02
158.44,2.98
160.03,2.93
161.63,2.89
163.24,2.84
164.88,2.78
166.53,2.74
168.19,2.69
169.87,2.64
171.57,2.60
173.29,2.55
175.02,2.50
176.77,2.46
178.54,2.42
180.32,2.37
182.13,2.33
183.95,2.29
185.79,2.25
187.65,2.21
189.52,2.17
191.42,2.13
193.33,2.08
195.27,2.04
197.22,2.01
199.19,1.96
201.18,1.92
203.19,1.88
205.23,1.85
207.28,1.81
209.35,1.77
211.44,1.73
213.56,1.70
215.69,1.66
217.85,1.62
220.03,1.59
222.23,1.55
224.45,1.52
226.70,1.49
228.96,1.45
231.25,1.42
233.57,1.39
235.90,1.36
238.26,1.33
240.64,1.31
243.05,1.28
245.48,1.25
247.93,1.23
250.41,1.20
252.92,1.17
255.45,1.14
258.00,1.11
260.58,1.08
263.19,1.06
265.82,1.03
268.48,1.01
271.16,0.99
273.87,0.97
276.61,0.95
279.38,0.93
282.17,0.91
284.99,0.89
287.84,0.86
290.72,0.84
293.63,0.82
296.57,0.79
299.53,0.77
302.53,0.75
305.55,0.72
308.61,0.70
311.69,0.68
314.81,0.66
317.96,0.63
321.14,0.61
324.35,0.59
327.59,0.57
330.87,0.55
334.18,0.52
337.52,0.50
340.90,0.48
344.30,0.46
347.75,0.44
351.23,0.42
354.74,0.40
358.28,0.38
361.87,0.36
365.49,0.34
369.14,0.32
372.83,0.30
376.56,0.28
380.33,0.26
384.13,0.24
387.97,0.22
391.85,0.20
395.77,0.19
399.73,0.17
403.72,0.16
407.76,0.16
411.84,0.16
415.96,0.15
420.12,0.14
424.32,0.14
428.56,0.13
432.85,0.11
437.18,0.10
441.55,0.09
445.96,0.08
450.42,0.06
454.93,0.05
459.48,0.06
464.07,0.07
468.71,0.10
473.40,0.18
478.13,0.17
482.91,0.13
487.74,0.06
492.62,-0.01
497.55,-0.06
502.52,-0.08
507.55,-0.08
512.62,-0.10
517.75,-0.13
