frequency,raw
20.00,12.98
20.20,12.98
20.40,12.97
20.61,12.97
20.81,12.97
21.02,12.96
21.23,12.96
21.44,12.95
21.66,12.95
21.87,12.94
22.09,12.94
22.31,12.93
22.54,12.92
22.76,12.92
22.99,12.91
23.22,12.91
23.45,12.90
23.69,12.90
23.92,12.89
24.16,12.89
24.40,12.88
24.65,12.87
24.89,12.86
25.14,12.85
25.39,12.83
25.65,12.83
25.91,12.82
26.16,12.81
26.43,12.81
26.69,12.80
26.96,12.79
27.23,12.78
27.50,12.77
27.77,12.76
28.05,12.74
28.33,12.73
28.62,12.72
28.90,12.71
29.19,12.69
29.48,12.68
29.78,12.66
30.08,12.65
30.38,12.63
30.68,12.62
30.99,12.61
31.30,12.60
31.61,12.58
31.93,12.57
32.24,12.55
32.57,12.53
32.89,12.52
33.22,12.50
33.55,12.48
33.89,12.46
34.23,12.45
34.57,12.43
34.92,12.41
35.27,12.39
35.62,12.37
35.97,12.35
36.33,12.33
36.70,12.31
37.06,12.29
37.43,12.27
37.81,12.24
38.19,12.22
38.57,12.20
38.95,12.18
39.34,12.15
39.74,12.13
40.14,12.11
40.54,12.08
40.94,12.06
41.35,12.04
41.76,12.01
42.18,11.98
42.60,11.96
43.03,11.93
43.46,11.90
43.90,11.88
44.33,11.85
44.78,11.82
45.23,11.79
45.68,11.76
46.13,11.73
46.60,11.70
47.06,11.67
47.53,11.63
48.01,11.60
48.49,11.57
48.97,11.54
49.46,11.51
49.96,11.48
50.46,11.45
50.96,11.41
51.47,11.38
51.99,11.34
52.51,11.30
53.03,11.26
53.56,11.23
54.10,11.19
54.64,11.16
55.18,11.12
55.74,11.08
56.29,11.04
56.86,11.00
57.42,10.96
58.00,10.92
58.58,10.88
59.16,10.83
59.76,10.78
60.35,10.74
60.96,10.70
61.57,10.66
62.18,10.62
62.80,10.57
63.43,10.52
64.07,10.48
64.71,10.43
65.35,10.38
66.01,10.33
66.67,10.29
67.33,10.24
68.01,10.19
68.69,10.14
69.37,10.09
70.07,10.03
70.77,9.98
71.48,9.93
72.19,9.88
72.91,9.83
73.64,9.77
74.38,9.71
75.12,9.66
75.87,9.60
76.63,9.54
77.40,9.49
78.17,9.43
78.95,9.37
79.74,9.31
80.54,9.25
81.35,9.19
82.16,9.13
82.98,9.07
83.81,9.01
84.65,8.95
85.50,8.88
86.35,8.82
87.22,8.76
88.09,8.69
88.97,8.62
89.86,8.56
90.76,8.49
91.66,8.42
92.58,8.36
93.51,8.28
94.44,8.22
95.39,8.15
96.34,8.08
97.30,8.01
98.28,7.94
99.26,7.86
100.25,7.79
101.25,7.72
102.27,7.64
103.29,7.57
104.32,7.51
105.37,7.42
106.42,7.34
107.48,7.26
108.56,7.18
109.64,7.11
110.74,7.03
111.85,6.95
112.97,6.87
114.10,6.78
115.24,6.71
116.39,6.63
117.55,6.54
118.73,6.47
119.92,6.41
121.12,6.33
122.33,6.22
123.55,6.13
124.79,6.05
126.03,5.97
127.29,5.89
128.57,5.81
129.85,5.71
131.15,5.62
132.46,5.54
133.79,5.44
135.12,5.37
136.48,5.29
137.84,5.20
139.22,5.10
140.61,5.01
142.02,4.92
143.44,4.84
144.87,4.77
146.32,4.67
147.78,4.57
149.26,4.47
150.75,4.38
152.26,4.31
153.78,4.21
155.32,4.12
156.88,4.03
158.44,3.94
160.03,3.85
161.63,3.76
163.24,3.67
164.88,3.57
166.53,3.49
168.19,3.42
169.87,3.37
171.57,3.28
173.29,3.20
175.02,3.14
176.77,3.04
178.54,2.97
180.32,2.93
182.13,2.84
183.95,2.78
185.79,2.70
187.65,2.58
189.52,2.51
191.42,2.43
193.33,2.36
195.27,2.31
197.22,2.25
199.19,2.21
201.18,2.17
203.19,2.14
205.23,2.11
207.28,2.08
209.35,2.05
211.44,2.02
213.56,1.98
215.69,1.92
217.85,1.85
220.03,1.77
222.23,1.68
224.45,1.60
226.70,1.54
228.96,1.50
231.25,1.47
233.57,1.44
235.90,1.42
238.26,1.41
240.64,1.40
243.05,1.40
245.48,1.43
247.93,1.48
250.41,1.53
252.92,1.49
255.45,1.40
258.00,1.27
260.58,1.36
263.19,1.44
265.82,1.48
268.48,1.48
271.16,1.43
273.87,1.37
276.61,1.30
279.38,1.24
282.17,1.18
284.99,1.13
287.84,1.07
290.72,1.01
293.63,0.94
296.57,0.88
299.53,0.82
302.53,0.79
305.55,0.76
308.61,0.74
311.69,0.72
314.81,0.68
317.96,0.63
321.14,0.61
324.35,0.61
327.59,0.63
330.87,0.64
334.18,0.65
337.52,0.65
340.90,0.64
344.30,0.64
347.75,0.63
351.23,0.62
354.74,0.61
358.28,0.61
361.87,0.60
365.49,0.58
369.14,0.57
372.83,0.56
