frequency,raw
20.00,10.34
20.20,10.35
20.40,10.36
20.61,10.38
20.81,10.38
21.02,10.39
21.23,10.39
21.44,10.39
21.66,10.40
21.87,10.40
22.09,10.41
22.31,10.42
22.54,10.42
22.76,10.43
22.99,10.43
23.22,10.44
23.45,10.44
23.69,10.44
23.92,10.45
24.16,10.45
24.40,10.45
24.65,10.45
24.89,10.45
25.14,10.45
25.39,10.45
25.65,10.45
25.91,10.45
26.16,10.45
26.43,10.45
26.69,10.45
26.96,10.44
27.23,10.44
27.50,10.44
27.77,10.44
28.05,10.43
28.33,10.42
28.62,10.42
28.90,10.41
29.19,10.40
29.48,10.39
29.78,10.39
30.08,10.38
30.38,10.37
30.68,10.36
30.99,10.35
31.30,10.34
31.61,10.33
31.93,10.32
32.24,10.31
32.57,10.30
32.89,10.29
33.22,10.27
33.55,10.26
33.89,10.25
34.23,10.24
34.57,10.22
34.92,10.21
35.27,10.20
35.62,10.18
35.97,10.16
36.33,10.15
36.70,10.13
37.06,10.12
37.43,10.10
37.81,10.08
38.19,10.06
38.57,10.04
38.95,10.02
39.34,10.00
39.74,9.98
40.14,9.96
40.54,9.95
40.94,9.93
41.35,9.91
41.76,9.88
42.18,9.86
42.60,9.84
43.03,9.81
43.46,9.79
43.90,9.77
44.33,9.74
44.78,9.72
45.23,9.69
45.68,9.67
46.13,9.64
46.60,9.60
47.06,9.57
47.53,9.55
48.01,9.53
48.49,9.51
48.97,9.48
49.46,9.44
49.96,9.41
50.46,9.38
50.96,9.36
51.47,9.33
51.99,9.30
52.51,9.26
53.03,9.23
53.56,9.21
54.10,9.17
54.64,9.13
55.18,9.09
55.74,9.07
56.29,9.04
56.86,9.01
57.42,8.98
58.00,8.95
58.58,8.91
59.16,8.88
59.76,8.84
60.35,8.80
60.96,8.76
61.57,8.73
62.18,8.69
62.80,8.65
63.43,8.62
64.07,8.58
64.71,8.54
65.35,8.50
66.01,8.46
66.67,8.43
67.33,8.39
68.01,8.34
68.69,8.30
69.37,8.26
70.07,8.22
70.77,8.18
71.48,8.14
72.19,8.10
72.91,8.05
73.64,8.01
74.38,7.97
75.12,7.93
75.87,7.89
76.63,7.84
77.40,7.80
78.17,7.75
78.95,7.70
79.74,7.66
80.54,7.61
81.35,7.57
82.16,7.52
82.98,7.48
83.81,7.44
84.65,7.39
85.50,7.34
86.35,7.30
87.22,7.25
88.09,7.20
88.97,7.15
89.86,7.11
90.76,7.06
91.66,7.01
92.58,6.96
