frequency,raw
20.00,10.25
20.20,10.25
20.40,10.26
20.61,10.27
20.81,10.28
21.02,10.29
21.23,10.29
21.44,10.30
21.66,10.31
21.87,10.32
22.09,10.32
22.31,10.32
22.54,10.32
22.76,10.32
22.99,10.32
23.22,10.32
23.45,10.32
23.69,10.33
23.92,10.33
24.16,10.34
24.40,10.34
24.65,10.34
24.89,10.35
25.14,10.34
25.39,10.34
25.65,10.34
25.91,10.33
26.16,10.33
26.43,10.33
26.69,10.33
26.96,10.32
27.23,10.32
27.50,10.31
27.77,10.30
28.05,10.29
28.33,10.29
28.62,10.28
28.90,10.27
29.19,10.26
29.48,10.26
29.78,10.25
30.08,10.24
30.38,10.24
30.68,10.23
30.99,10.22
31.30,10.21
31.61,10.20
31.93,10.19
32.24,10.17
32.57,10.16
32.89,10.14
33.22,10.13
33.55,10.12
33.89,10.11
34.23,10.09
34.57,10.08
34.92,10.06
35.27,10.04
35.62,10.02
35.97,10.01
36.33,9.99
36.70,9.98
37.06,9.96
37.43,9.94
37.81,9.92
38.19,9.90
38.57,9.88
38.95,9.86
39.34,9.84
39.74,9.82
40.14,9.80
40.54,9.77
40.94,9.75
41.35,9.73
41.76,9.70
42.18,9.68
42.60,9.66
43.03,9.63
43.46,9.60
43.90,9.58
44.33,9.55
44.78,9.53
45.23,9.50
45.68,9.48
46.13,9.45
46.60,9.42
47.06,9.39
47.53,9.35
48.01,9.33
48.49,9.30
48.97,9.28
49.46,9.26
49.96,9.22
50.46,9.17
50.96,9.14
51.47,9.11
51.99,9.09
52.51,9.07
53.03,9.04
53.56,8.99
54.10,8.95
54.64,8.91
55.18,8.88
55.74,8.85
56.29,8.82
56.86,8.79
57.42,8.75
58.00,8.71
58.58,8.67
59.16,8.63
59.76,8.60
60.35,8.57
60.96,8.53
61.57,8.49
62.18,8.44
62.80,8.40
63.43,8.37
64.07,8.34
64.71,8.29
65.35,8.25
66.01,8.20
66.67,8.16
67.33,8.12
68.01,8.08
68.69,8.04
69.37,7.99
70.07,7.95
70.77,7.91
71.48,7.86
72.19,7.82
72.91,7.78
73.64,7.74
74.38,7.69
75.12,7.65
75.87,7.60
76.63,7.56
77.40,7.51
78.17,7.46
78.95,7.42
79.74,7.38
80.54,7.33
81.35,7.28
82.16,7.24
82.98,7.19
83.81,7.14
84.65,7.09
85.50,7.04
86.35,6.99
87.22,6.95
88.09,6.90
88.97,6.85
89.86,6.80
90.76,6.75
91.66,6.70
92.58,6.65
93.51,6.60
