frequency,raw
20.00,10.96
20.20,10.97
20.40,10.98
20.61,10.99
20.81,10.99
21.02,11.00
21.23,11.00
21.44,11.00
21.66,11.01
21.87,11.02
22.09,11.03
22.31,11.04
22.54,11.06
22.76,11.07
22.99,11.08
23.22,11.09
23.45,11.09
23.69,11.09
23.92,11.09
24.16,11.09
24.40,11.09
24.65,11.09
24.89,11.08
25.14,11.08
25.39,11.08
25.65,11.09
25.91,11.09
26.16,11.09
26.43,11.09
26.69,11.09
26.96,11.09
27.23,11.09
27.50,11.08
27.77,11.08
28.05,11.07
28.33,11.06
28.62,11.06
28.90,11.05
29.19,11.05
29.48,11.04
29.78,11.03
30.08,11.02
30.38,11.01
30.68,11.00
30.99,10.99
31.30,10.98
31.61,10.97
31.93,10.97
32.24,10.96
32.57,10.95
32.89,10.93
33.22,10.92
33.55,10.90
33.89,10.89
34.23,10.87
34.57,10.85
34.92,10.83
35.27,10.81
35.62,10.80
35.97,10.79
36.33,10.78
36.70,10.76
37.06,10.75
37.43,10.73
37.81,10.71
38.19,10.69
38.57,10.67
38.95,10.65
39.34,10.62
39.74,10.60
40.14,10.57
40.54,10.55
40.94,10.54
41.35,10.52
41.76,10.50
42.18,10.47
42.60,10.43
43.03,10.40
43.46,10.38
43.90,10.36
44.33,10.34
44.78,10.32
45.23,10.29
45.68,10.26
46.13,10.22
46.60,10.19
47.06,10.16
47.53,10.13
48.01,10.11
48.49,10.08
48.97,10.05
49.46,10.03
49.96,10.00
50.46,9.96
50.96,9.92
51.47,9.89
51.99,9.86
52.51,9.83
53.03,9.80
53.56,9.76
54.10,9.73
54.64,9.69
55.18,9.65
55.74,9.62
56.29,9.59
56.86,9.56
57.42,9.52
58.00,9.48
58.58,9.44
59.16,9.39
59.76,9.32
60.35,9.27
60.96,9.25
61.57,9.24
62.18,9.22
62.80,9.17
63.43,9.12
64.07,9.08
64.71,9.04
65.35,9.00
66.01,8.96
66.67,8.91
67.33,8.87
68.01,8.83
68.69,8.79
69.37,8.74
70.07,8.69
70.77,8.65
71.48,8.61
72.19,8.56
72.91,8.52
73.64,8.47
74.38,8.43
75.12,8.38
75.87,8.33
76.63,8.28
77.40,8.24
78.17,8.19
78.95,8.14
79.74,8.09
80.54,8.04
81.35,7.98
82.16,7.93
82.98,7.89
83.81,7.85
84.65,7.80
85.50,7.75
86.35,7.70
87.22,7.65
88.09,7.60
88.97,7.55
89.86,7.50
90.76,7.45
91.66,7.40
92.58,7.35
93.51,7.29
94.44,7.24
95.39,7.19
96.34,7.13
97.30,7.08
98.28,7.04
99.26,6.98
100.25,6.93
101.25,6.88
102.27,6.82
103.29,6.77
104.32,6.71
105.37,6.66
106.42,6.60
107.48,6.55
108.56,6.50
109.64,6.44
110.74,6.39
111.85,6.33
112.97,6.28
114.10,6.23
115.24,6.17
116.39,6.12
117.55,6.06
118.73,6.00
119.92,5.94
121.12,5.88
122.33,5.84
123.55,5.78
124.79,5.73
126.03,5.67
127.29,5.61
128.57,5.56
129.85,5.50
131.15,5.45
132.46,5.39
133.79,5.33
135.12,5.28
136.48,5.23
137.84,5.17
139.22,5.11
140.61,5.06
142.02,5.00
143.44,4.95
144.87,4.89
146.32,4.83
147.78,4.78
149.26,4.72
150.75,4.66
152.26,4.61
153.78,4.55
155.32,4.50
156.88,4.43
158.44,4.37
160.03,4.32
161.63,4.27
163.24,4.22
164.88,4.17
166.53,4.11
168.19,4.05
169.87,4.00
171.57,3.93
173.29,3.87
175.02,3.82
176.77,3.77
178.54,3.71
180.32,3.65
182.13,3.58
183.95,3.53
185.79,3.47
187.65,3.40
189.52,3.35
191.42,3.28
193.33,3.23
195.27,3.20
197.22,3.12
199.19,3.08
201.18,3.07
203.19,3.06
205.23,3.04
207.28,3.01
209.35,2.97
211.44,2.92
213.56,2.86
215.69,2.81
217.85,2.77
220.03,2.70
222.23,2.66
224.45,2.62
226.70,2.56
228.96,2.51
231.25,2.46
233.57,2.41
235.90,2.37
238.26,2.28
240.64,2.21
243.05,2.21
245.48,2.16
247.93,2.11
250.41,2.07
252.92,2.02
255.45,1.97
258.00,1.92
260.58,1.87
263.19,1.83
265.82,1.78
268.48,1.74
271.16,1.69
273.87,1.65
276.61,1.60
279.38,1.56
282.17,1.51
284.99,1.47
287.84,1.42
290.72,1.38
293.63,1.33
296.57,1.29
299.53,1.24
302.53,1.20
305.55,1.16
308.61,1.12
311.69,1.07
314.81,1.03
317.96,0.99
321.14,0.95
324.35,0.91
327.59,0.87
330.87,0.83
334.18,0.79
337.52,0.75
340.90,0.72
344.30,0.70
347.75,0.67
351.23,0.63
354.74,0.61
358.28,0.57
361.87,0.54
365.49,0.50
369.14,0.47
372.83,0.43
