frequency,raw
20.00,11.55
20.20,11.56
20.40,11.58
20.61,11.60
20.81,11.61
21.02,11.61
21.23,11.62
21.44,11.63
21.66,11.63
21.87,11.64
22.09,11.64
22.31,11.65
22.54,11.65
22.76,11.65
22.99,11.66
23.22,11.66
23.45,11.66
23.69,11.67
23.92,11.67
24.16,11.68
24.40,11.68
24.65,11.69
24.89,11.69
25.14,11.69
25.39,11.69
25.65,11.69
25.91,11.69
26.16,11.69
26.43,11.69
26.69,11.69
26.96,11.69
27.23,11.68
27.50,11.68
27.77,11.67
28.05,11.66
28.33,11.65
28.62,11.64
28.90,11.63
29.19,11.62
29.48,11.61
29.78,11.61
30.08,11.61
30.38,11.61
30.68,11.60
30.99,11.59
31.30,11.57
31.61,11.56
31.93,11.54
32.24,11.53
32.57,11.52
32.89,11.51
33.22,11.51
33.55,11.50
33.89,11.49
34.23,11.48
34.57,11.46
34.92,11.44
35.27,11.42
35.62,11.41
35.97,11.39
36.33,11.37
36.70,11.35
37.06,11.32
37.43,11.30
37.81,11.29
38.19,11.28
38.57,11.28
38.95,11.26
39.34,11.23
39.74,11.20
40.14,11.16
40.54,11.13
40.94,11.11
41.35,11.10
41.76,11.08
42.18,11.06
42.60,11.04
43.03,11.01
43.46,10.98
43.90,10.95
44.33,10.91
44.78,10.88
45.23,10.84
45.68,10.81
46.13,10.79
46.60,10.77
47.06,10.76
47.53,10.74
48.01,10.71
48.49,10.67
48.97,10.64
49.46,10.60
49.96,10.58
50.46,10.55
50.96,10.52
51.47,10.49
51.99,10.45
52.51,10.41
53.03,10.38
53.56,10.35
54.10,10.32
54.64,10.29
55.18,10.24
55.74,10.20
56.29,10.17
56.86,10.14
57.42,10.11
58.00,10.08
58.58,10.00
59.16,9.93
59.76,9.86
60.35,9.83
60.96,9.83
61.57,9.82
62.18,9.79
62.80,9.74
63.43,9.69
64.07,9.65
64.71,9.60
65.35,9.57
66.01,9.53
66.67,9.49
67.33,9.45
68.01,9.40
68.69,9.35
69.37,9.31
70.07,9.27
70.77,9.23
71.48,9.18
72.19,9.13
72.91,9.08
73.64,9.04
74.38,8.99
75.12,8.95
75.87,8.90
76.63,8.85
77.40,8.80
78.17,8.75
78.95,8.69
79.74,8.64
80.54,8.60
81.35,8.56
82.16,8.51
82.98,8.46
83.81,8.40
84.65,8.35
85.50,8.30
86.35,8.26
87.22,8.20
88.09,8.15
88.97,8.09
89.86,8.03
90.76,7.98
91.66,7.94
92.58,7.89
93.51,7.83
94.44,7.78
95.39,7.73
96.34,7.67
97.30,7.62
98.28,7.56
99.26,7.51
100.25,7.46
101.25,7.40
102.27,7.34
103.29,7.29
104.32,7.24
105.37,7.18
106.42,7.13
107.48,7.07
108.56,7.02
109.64,6.96
110.74,6.91
111.85,6.85
112.97,6.79
114.10,6.74
115.24,6.68
116.39,6.62
117.55,6.57
118.73,6.50
119.92,6.44
121.12,6.38
122.33,6.33
123.55,6.28
124.79,6.22
126.03,6.17
127.29,6.11
128.57,6.05
129.85,5.99
131.15,5.93
