frequency,raw
20.00,12.64
20.20,12.64
20.40,12.64
20.61,12.64
20.81,12.64
21.02,12.63
21.23,12.63
21.44,12.62
21.66,12.62
21.87,12.62
22.09,12.62
22.31,12.62
22.54,12.62
22.76,12.62
22.99,12.62
23.22,12.61
23.45,12.61
23.69,12.60
23.92,12.59
24.16,12.59
24.40,12.58
24.65,12.58
24.89,12.58
25.14,12.57
25.39,12.57
25.65,12.56
25.91,12.55
26.16,12.54
26.43,12.53
26.69,12.52
26.96,12.51
27.23,12.51
27.50,12.50
27.77,12.49
28.05,12.48
28.33,12.46
28.62,12.44
28.90,12.43
29.19,12.42
29.48,12.41
29.78,12.40
30.08,12.39
30.38,12.37
30.68,12.35
30.99,12.32
31.30,12.30
31.61,12.29
31.93,12.28
32.24,12.27
32.57,12.26
32.89,12.24
33.22,12.21
33.55,12.18
33.89,12.15
34.23,12.13
34.57,12.12
34.92,12.12
35.27,12.11
35.62,12.10
35.97,12.07
36.33,12.03
36.70,11.99
37.06,11.96
37.43,11.94
37.81,11.92
38.19,11.91
38.57,11.89
38.95,11.87
39.34,11.84
39.74,11.81
40.14,11.78
40.54,11.75
40.94,11.72
41.35,11.69
41.76,11.66
42.18,11.63
42.60,11.60
43.03,11.58
43.46,11.56
43.90,11.53
44.33,11.50
44.78,11.47
45.23,11.43
45.68,11.40
46.13,11.37
46.60,11.33
47.06,11.30
47.53,11.26
48.01,11.23
48.49,11.19
48.97,11.16
49.46,11.13
49.96,11.09
50.46,11.06
50.96,11.02
51.47,10.99
51.99,10.95
52.51,10.92
53.03,10.88
53.56,10.84
54.10,10.80
54.64,10.77
55.18,10.73
55.74,10.69
56.29,10.65
56.86,10.61
57.42,10.57
58.00,10.54
58.58,10.49
59.16,10.44
59.76,10.39
60.35,10.35
60.96,10.31
61.57,10.26
62.18,10.22
62.80,10.18
63.43,10.14
64.07,10.10
64.71,10.05
65.35,10.01
66.01,9.96
66.67,9.92
67.33,9.88
68.01,9.83
68.69,9.78
69.37,9.73
70.07,9.69
70.77,9.64
71.48,9.59
72.19,9.54
72.91,9.50
73.64,9.45
74.38,9.40
75.12,9.35
75.87,9.30
76.63,9.25
77.40,9.20
78.17,9.15
78.95,9.10
79.74,9.05
80.54,9.00
81.35,8.95
82.16,8.89
82.98,8.84
83.81,8.79
84.65,8.74
85.50,8.69
86.35,8.63
87.22,8.58
88.09,8.53
88.97,8.47
89.86,8.42
90.76,8.37
91.66,8.31
92.58,8.26
93.51,8.20
94.44,8.15
95.39,8.09
96.34,8.04
97.30,7.98
98.28,7.93
99.26,7.87
100.25,7.82
101.25,7.76
102.27,7.70
103.29,7.65
104.32,7.59
105.37,7.54
106.42,7.48
107.48,7.42
108.56,7.36
109.64,7.31
110.74,7.25
111.85,7.19
112.97,7.14
114.10,7.08
115.24,7.02
116.39,6.96
117.55,6.90
118.73,6.85
119.92,6.79
121.12,6.73
122.33,6.67
123.55,6.61
124.79,6.55
126.03,6.49
127.29,6.43
128.57,6.37
129.85,6.32
