frequency,raw
20.00,8.79
20.20,8.82
20.40,8.86
20.61,8.90
20.81,8.93
21.02,8.96
21.23,8.99
21.44,9.00
21.66,9.01
21.87,9.02
22.09,9.03
22.31,9.03
22.54,9.04
22.76,9.05
22.99,9.06
23.22,9.08
23.45,9.10
23.69,9.12
23.92,9.14
24.16,9.15
24.40,9.16
24.65,9.17
24.89,9.18
25.14,9.19
25.39,9.20
25.65,9.21
25.91,9.22
26.16,9.24
26.43,9.25
26.69,9.26
26.96,9.26
27.23,9.27
27.50,9.28
27.77,9.29
28.05,9.29
28.33,9.30
28.62,9.31
28.90,9.32
29.19,9.32
29.48,9.32
29.78,9.31
30.08,9.31
30.38,9.31
30.68,9.31
30.99,9.31
31.30,9.32
31.61,9.32
31.93,9.32
32.24,9.32
32.57,9.32
32.89,9.31
33.22,9.31
33.55,9.31
33.89,9.31
34.23,9.30
34.57,9.30
34.92,9.30
35.27,9.29
35.62,9.28
35.97,9.27
36.33,9.26
36.70,9.26
37.06,9.25
37.43,9.25
37.81,9.24
38.19,9.24
38.57,9.23
38.95,9.22
39.34,9.20
39.74,9.19
40.14,9.18
40.54,9.16
40.94,9.15
41.35,9.14
41.76,9.14
42.18,9.12
42.60,9.11
43.03,9.09
43.46,9.07
43.90,9.06
44.33,9.04
44.78,9.03
45.23,9.01
45.68,8.99
46.13,8.97
46.60,8.95
47.06,8.93
47.53,8.91
48.01,8.89
48.49,8.87
48.97,8.85
49.46,8.83
49.96,8.81
50.46,8.79
50.96,8.77
51.47,8.74
51.99,8.72
52.51,8.70
53.03,8.67
53.56,8.65
54.10,8.62
54.64,8.60
55.18,8.57
55.74,8.55
56.29,8.52
56.86,8.49
57.42,8.46
58.00,8.43
58.58,8.40
59.16,8.37
59.76,8.35
60.35,8.33
60.96,8.31
61.57,8.27
62.18,8.22
62.80,8.19
63.43,8.16
64.07,8.13
64.71,8.09
65.35,8.06
66.01,8.03
66.67,8.00
67.33,7.96
68.01,7.93
68.69,7.89
69.37,7.85
70.07,7.81
70.77,7.78
71.48,7.74
72.19,7.70
72.91,7.67
73.64,7.63
74.38,7.59
75.12,7.56
75.87,7.51
76.63,7.47
77.40,7.44
78.17,7.40
78.95,7.36
79.74,7.33
80.54,7.29
81.35,7.24
82.16,7.20
82.98,7.16
83.81,7.11
84.65,7.07
85.50,7.03
86.35,6.99
87.22,6.94
88.09,6.90
88.97,6.86
89.86,6.82
90.76,6.77
91.66,6.73
92.58,6.68
93.51,6.63
94.44,6.58
95.39,6.54
96.34,6.49
97.30,6.45
98.28,6.41
99.26,6.36
100.25,6.31
101.25,6.26
102.27,6.22
103.29,6.17
104.32,6.12
105.37,6.07
106.42,6.02
107.48,5.97
108.56,5.92
109.64,5.88
110.74,5.83
111.85,5.78
112.97,5.73
114.10,5.69
115.24,5.64
116.39,5.59
117.55,5.54
118.73,5.49
119.92,5.45
121.12,5.39
122.33,5.33
123.55,5.27
124.79,5.22
126.03,5.17
127.29,5.12
128.57,5.07
129.85,5.02
131.15,4.98
132.46,4.93
133.79,4.88
135.12,4.82
136.48,4.77
137.84,4.72
139.22,4.67
140.61,4.62
142.02,4.57
143.44,4.51
144.87,4.46
146.32,4.41
147.78,4.36
149.26,4.32
150.75,4.26
152.26,4.20
153.78,4.15
155.32,4.10
156.88,4.05
158.44,3.99
160.03,3.94
161.63,3.89
163.24,3.83
164.88,3.78
166.53,3.73
168.19,3.68
169.87,3.63
171.57,3.57
173.29,3.52
175.02,3.46
176.77,3.41
178.54,3.36
180.32,3.30
182.13,3.25
183.95,3.20
185.79,3.15
187.65,3.10
189.52,3.06
191.42,3.01
193.33,2.96
195.27,2.91
197.22,2.87
199.19,2.82
201.18,2.78
203.19,2.74
205.23,2.70
207.28,2.67
209.35,2.63
211.44,2.59
213.56,2.54
215.69,2.50
217.85,2.46
220.03,2.41
222.23,2.36
224.45,2.32
226.70,2.27
228.96,2.22
231.25,2.18
233.57,2.13
235.90,2.08
238.26,2.03
240.64,1.99
243.05,1.94
245.48,1.89
247.93,1.84
250.41,1.80
252.92,1.75
255.45,1.71
258.00,1.67
260.58,1.62
263.19,1.58
265.82,1.54
268.48,1.50
271.16,1.45
273.87,1.41
276.61,1.37
279.38,1.33
282.17,1.29
284.99,1.24
287.84,1.20
290.72,1.16
293.63,1.11
296.57,1.07
299.53,1.03
302.53,0.99
305.55,0.95
308.61,0.91
311.69,0.87
314.81,0.83
317.96,0.78
321.14,0.74
324.35,0.71
327.59,0.67
330.87,0.63
334.18,0.59
337.52,0.56
340.90,0.52
344.30,0.48
347.75,0.45
351.23,0.41
354.74,0.38
358.28,0.35
361.87,0.31
365.49,0.28
369.14,0.25
372.83,0.21
376.56,0.18
380.33,0.15
384.13,0.11
387.97,0.08
391.85,0.05
395.77,0.02
399.73,-0.01
403.72,-0.05
407.76,-0.08
411.84,-0.11
415.96,-0.14
420.12,-0.17
424.32,-0.20
428.56,-0.23
432.85,-0.25
437.18,-0.29
441.55,-0.31
445.96,-0.34
450.42,-0.36
454.93,-0.39
459.48,-0.41
464.07,-0.43
468.71,-0.46
473.40,-0.49
478.13,-0.52
482.91,-0.54
487.74,-0.56
492.62,-0.59
497.55,-0.61
502.52,-0.64
507.55,-0.66
512.62,-0.68
517.75,-0.70
522.93,-0.72
528.16,-0.74
533.44,-0.77
538.77,-0.79
544.16,-0.81
549.60,-0.83
555.10,-0.84
560.65,-0.86
566.25,-0.88
571.92,-0.90
577.64,-0.91
583.41,-0.93
589.25,-0.95
595.14,-0.96
601.09,-0.98
607.10,-0.99
613.17,-1.01
619.30,-1.02
625.50,-1.03
631.75,-1.05
638.07,-1.05
644.45,-1.06
650.89,-1.07
657.40,-1.08
663.98,-1.09
670.62,-1.10
677.32,-1.10
684.10,-1.11
690.94,-1.12
697.85,-1.12
704.83,-1.13
711.87,-1.13
718.99,-1.13
726.18,-1.13
733.44,-1.13
740.78,-1.12
748.19,-1.12
755.67,-1.11
763.23,-1.11
770.86,-1.10
778.57,-1.09
786.35,-1.07
794.22,-1.06
802.16,-1.04
810.18,-1.02
818.28,-1.01
826.46,-0.99
834.73,-0.96
843.08,-0.93
851.51,-0.91
860.02,-0.87
868.62,-0.84
877.31,-0.80
886.08,-0.77
894.94,-0.72
903.89,-0.67
912.93,-0.63
922.06,-0.57
931.28,-0.52
940.59,-0.46
950.00,-0.39
959.50,-0.32
969.09,-0.25
978.78,-0.18
988.57,-0.09
998.46,-0.01
1008.44,0.05
1018.53,0.06
1028.71,-0.01
1039.00,0.02
1049.39,0.11
1059.88,0.23
1070.48,0.35
1081.19,0.46
1092.00,0.57
1102.92,0.67
1113.95,0.78
1125.09,0.89
1136.34,0.99
1147.70,1.10
1159.18,1.19
1170.77,1.29
1182.48,1.38
1194.30,1.47
1206.25,1.56
1218.31,1.65
1230.49,1.74
1242.80,1.83
1255.22,1.91
1267.78,2.00
1280.45,2.08
1293.26,2.16
1306.19,2.24
1319.25,2.32
1332.45,2.39
1345.77,2.47
1359.23,2.54
1372.82,2.62
1386.55,2.69
1400.41,2.76
1414.42,2.83
1428.56,2.90
1442.85,2.97
1457.28,3.04
1471.85,3.10
1486.57,3.17
1501.43,3.24
1516.45,3.31
1531.61,3.38
1546.93,3.45
1562.40,3.52
1578.02,3.59
1593.80,3.66
1609.74,3.73
1625.84,3.80
1642.10,3.88
1658.52,3.95
1675.10,4.03
1691.85,4.10
1708.77,4.17
1725.86,4.25
1743.12,4.33
1760.55,4.40
1778.15,4.48
1795.94,4.56
1813.90,4.63
1832.03,4.71
1850.36,4.79
1868.86,4.87
1887.55,4.95
1906.42,5.03
1925.49,5.11
1944.74,5.19
1964.19,5.27
1983.83,5.34
2003.67,5.42
2023.71,5.49
2043.94,5.57
2064.38,5.64
2085.03,5.71
2105.88,5.78
2126.94,5.85
2148.20,5.92
2169.69,5.97
2191.38,6.03
2213.30,6.08
2235.43,6.13
2257.78,6.18
2280.36,6.22
2303.17,6.26
2326.20,6.30
2349.46,6.33
2372.95,6.36
2396.68,6.38
2420.65,6.40
2444.86,6.41
2469.31,6.43
2494.00,6.43
2518.94,6.43
2544.13,6.43
2569.57,6.43
2595.27,6.42
2621.22,6.41
2647.43,6.39
2673.90,6.37
2700.64,6.35
2727.65,6.33
2754.93,6.31
2782.48,6.28
2810.30,6.25
2838.40,6.23
2866.79,6.20
2895.46,6.17
2924.41,6.14
2953.65,6.11
2983.19,6.09
3013.02,6.06
3043.15,6.03
3073.58,6.00
3104.32,5.98
3135.36,5.96
3166.72,5.94
3198.38,5.92
3230.37,5.90
3262.67,5.88
3295.30,5.86
3328.25,5.84
3361.53,5.83
3395.15,5.81
3429.10,5.80
3463.39,5.79
3498.03,5.77
3533.01,5.76
3568.34,5.75
3604.02,5.74
3640.06,5.73
3676.46,5.72
3713.22,5.70
3750.36,5.69
3787.86,5.67
3825.74,5.66
3864.00,5.65
3902.64,5.64
3941.66,5.63
3981.08,5.62
4020.89,5.62
4061.10,5.61
4101.71,5.61
4142.73,5.61
4184.15,5.62
4226.00,5.62
4268.26,5.63
4310.94,5.65
4354.05,5.66
4397.59,5.68
4441.56,5.68
4485.98,5.68
4530.84,5.66
4576.15,5.64
4621.91,5.62
4668.13,5.58
4714.81,5.53
4761.96,5.48
4809.58,5.43
4857.67,5.36
4906.25,5.28
4955.31,5.20
5004.87,5.11
5054.91,5.01
5105.46,4.91
5156.52,4.80
5208.08,4.69
5260.16,4.58
5312.77,4.47
5365.89,4.37
5419.55,4.24
5473.75,4.10
5528.49,3.94
5583.77,3.78
5639.61,3.73
5696.00,3.72
5752.96,3.92
5810.49,4.07
5868.60,3.91
5927.28,3.76
5986.56,3.62
6046.42,3.49
6106.89,3.38
6167.96,3.27
6229.64,3.18
6291.93,3.10
6354.85,3.02
6418.40,2.96
6482.58,2.91
6547.41,2.88
6612.88,2.87
6679.01,2.87
6745.80,2.89
6813.26,2.93
6881.39,2.99
6950.21,3.08
7019.71,3.19
7089.91,3.32
7160.81,3.48
7232.41,3.67
7304.74,3.88
7377.79,4.12
7451.56,4.35
7526.08,4.59
7601.34,4.81
7677.35,5.00
7754.13,5.16
7831.67,5.24
7909.98,5.27
7989.08,5.23
8068.98,5.11
8149.67,4.92
8231.16,4.67
8313.47,4.32
8396.61,3.93
8480.57,3.43
8565.38,2.86
8651.03,2.23
8737.54,1.54
8824.92,0.82
8913.17,0.09
