frequency,raw
20.00,8.14
20.20,8.15
20.40,8.16
20.61,8.17
20.81,8.18
21.02,8.19
21.23,8.19
21.44,8.20
21.66,8.20
21.87,8.20
22.09,8.20
22.31,8.21
22.54,8.21
22.76,8.21
22.99,8.21
23.22,8.21
23.45,8.21
23.69,8.21
23.92,8.21
24.16,8.21
24.40,8.21
24.65,8.21
24.89,8.21
25.14,8.21
25.39,8.20
25.65,8.20
25.91,8.19
26.16,8.19
26.43,8.19
26.69,8.19
26.96,8.19
27.23,8.18
27.50,8.18
27.77,8.18
28.05,8.17
28.33,8.16
28.62,8.15
28.90,8.13
29.19,8.13
29.48,8.12
29.78,8.12
30.08,8.12
30.38,8.11
30.68,8.10
30.99,8.09
31.30,8.07
31.61,8.06
31.93,8.06
32.24,8.07
32.57,8.07
32.89,8.07
33.22,8.05
33.55,8.03
33.89,7.99
34.23,7.96
34.57,7.94
34.92,7.92
35.27,7.90
35.62,7.89
35.97,7.87
36.33,7.85
36.70,7.84
37.06,7.82
37.43,7.80
37.81,7.77
38.19,7.74
38.57,7.71
38.95,7.69
39.34,7.66
39.74,7.65
40.14,7.63
40.54,7.60
40.94,7.58
41.35,7.55
41.76,7.53
42.18,7.51
42.60,7.49
43.03,7.47
43.46,7.43
43.90,7.40
44.33,7.38
44.78,7.36
45.23,7.34
45.68,7.32
46.13,7.29
46.60,7.26
47.06,7.24
47.53,7.23
48.01,7.21
48.49,7.18
48.97,7.14
49.46,7.10
49.96,7.06
50.46,7.01
50.96,6.98
51.47,6.95
51.99,6.93
52.51,6.90
53.03,6.87
53.56,6.83
54.10,6.80
54.64,6.78
55.18,6.77
55.74,6.74
56.29,6.71
56.86,6.68
57.42,6.65
58.00,6.62
58.58,6.60
59.16,6.57
59.76,6.55
60.35,6.52
60.96,6.47
61.57,6.41
62.18,6.36
62.80,6.34
63.43,6.31
64.07,6.28
64.71,6.24
65.35,6.20
66.01,6.16
66.67,6.12
67.33,6.09
68.01,6.05
68.69,6.01
