frequency,raw
20.00,8.85
20.20,8.83
20.40,8.81
20.61,8.80
20.81,8.78
21.02,8.76
21.23,8.74
21.44,8.73
21.66,8.71
21.87,8.70
22.09,8.69
22.31,8.67
22.54,8.66
22.76,8.64
22.99,8.63
23.22,8.61
23.45,8.60
23.69,8.58
23.92,8.56
24.16,8.55
24.40,8.53
24.65,8.51
24.89,8.49
25.14,8.47
25.39,8.44
25.65,8.42
25.91,8.40
26.16,8.38
26.43,8.36
26.69,8.34
26.96,8.32
27.23,8.30
27.50,8.28
27.77,8.26
28.05,8.25
28.33,8.23
28.62,8.21
28.90,8.18
29.19,8.15
29.48,8.11
29.78,8.07
30.08,8.03
30.38,7.99
30.68,7.96
30.99,7.95
31.30,7.93
31.61,7.92
31.93,7.91
32.24,7.89
32.57,7.87
32.89,7.84
33.22,7.81
33.55,7.78
33.89,7.74
34.23,7.70
34.57,7.66
34.92,7.63
35.27,7.60
35.62,7.58
35.97,7.56
36.33,7.53
36.70,7.51
37.06,7.48
37.43,7.44
37.81,7.41
38.19,7.37
38.57,7.34
38.95,7.31
39.34,7.28
39.74,7.25
40.14,7.22
40.54,7.19
40.94,7.15
41.35,7.12
41.76,7.08
42.18,7.04
42.60,7.00
43.03,6.97
43.46,6.94
43.90,6.91
44.33,6.87
44.78,6.83
45.23,6.80
45.68,6.76
46.13,6.72
46.60,6.68
47.06,6.65
47.53,6.61
48.01,6.58
48.49,6.54
48.97,6.51
49.46,6.47
49.96,6.43
50.46,6.40
50.96,6.36
51.47,6.33
51.99,6.29
52.51,6.25
53.03,6.21
53.56,6.17
54.10,6.14
54.64,6.10
55.18,6.06
55.74,6.02
56.29,5.98
56.86,5.95
57.42,5.91
58.00,5.87
58.58,5.85
59.16,5.84
59.76,5.84
60.35,5.81
60.96,5.75
61.57,5.68
62.18,5.64
62.80,5.61
63.43,5.57
64.07,5.54
64.71,5.50
65.35,5.46
66.01,5.42
66.67,5.38
67.33,5.35
68.01,5.31
68.69,5.27
69.37,5.23
70.07,5.19
70.77,5.15
71.48,5.11
72.19,5.07
72.91,5.03
73.64,4.99
74.38,4.96
75.12,4.92
75.87,4.88
76.63,4.84
77.40,4.80
78.17,4.76
78.95,4.73
79.74,4.69
80.54,4.65
81.35,4.61
82.16,4.58
82.98,4.54
83.81,4.50
84.65,4.46
85.50,4.42
86.35,4.39
87.22,4.35
88.09,4.31
88.97,4.27
89.86,4.23
90.76,4.20
91.66,4.16
92.58,4.12
93.51,4.08
94.44,4.05
95.39,4.02
96.34,3.99
97.30,3.94
98.28,3.92
99.26,3.89
100.25,3.86
101.25,3.82
102.27,3.79
103.29,3.76
104.32,3.73
105.37,3.69
106.42,3.65
107.48,3.62
108.56,3.59
109.64,3.55
110.74,3.52
111.85,3.49
112.97,3.46
114.10,3.42
115.24,3.39
116.39,3.36
117.55,3.32
118.73,3.28
119.92,3.26
121.12,3.24
122.33,3.21
123.55,3.17
124.79,3.14
126.03,3.11
127.29,3.07
128.57,3.04
129.85,3.01
131.15,2.98
132.46,2.95
133.79,2.92
135.12,2.89
136.48,2.86
137.84,2.82
139.22,2.79
140.61,2.76
142.02,2.73
143.44,2.70
144.87,2.67
146.32,2.65
147.78,2.62
149.26,2.59
150.75,2.56
152.26,2.53
153.78,2.50
155.32,2.47
156.88,2.44
158.44,2.41
160.03,2.38
161.63,2.35
163.24,2.32
164.88,2.29
166.53,2.26
168.19,2.23
169.87,2.20
171.57,2.17
173.29,2.14
175.02,2.11
176.77,2.08
178.54,2.05
180.32,2.02
182.13,1.99
183.95,1.97
185.79,1.94
187.65,1.92
189.52,1.90
191.42,1.89
193.33,1.89
195.27,1.88
197.22,1.89
199.19,1.89
201.18,1.89
203.19,1.88
205.23,1.87
207.28,1.86
209.35,1.85
211.44,1.83
213.56,1.81
215.69,1.79
217.85,1.76
220.03,1.74
222.23,1.71
224.45,1.69
226.70,1.66
228.96,1.64
231.25,1.61
233.57,1.59
235.90,1.57
238.26,1.55
240.64,1.54
243.05,1.50
245.48,1.48
247.93,1.46
250.41,1.44
252.92,1.42
255.45,1.39
258.00,1.37
260.58,1.35
263.19,1.33
265.82,1.31
268.48,1.29
271.16,1.27
273.87,1.25
276.61,1.23
279.38,1.21
282.17,1.19
284.99,1.16
287.84,1.14
290.72,1.13
293.63,1.11
296.57,1.09
299.53,1.09
302.53,1.05
305.55,1.02
308.61,1.00
311.69,0.98
314.81,0.96
317.96,0.94
321.14,0.92
324.35,0.90
327.59,0.88
330.87,0.86
334.18,0.83
337.52,0.81
340.90,0.79
344.30,0.78
347.75,0.76
351.23,0.76
354.74,0.75
358.28,0.75
361.87,0.74
365.49,0.73
369.14,0.72
372.83,0.70
376.56,0.68
380.33,0.67
384.13,0.65
387.97,0.64
391.85,0.62
395.77,0.61
399.73,0.60
403.72,0.60
407.76,0.59
411.84,0.57
415.96,0.55
420.12,0.54
424.32,0.52
428.56,0.50
432.85,0.48
437.18,0.46
441.55,0.44
445.96,0.42
450.42,0.40
454.93,0.38
459.48,0.36
464.07,0.35
468.71,0.33
473.40,0.31
478.13,0.29
482.91,0.27
487.74,0.25
492.62,0.23
497.55,0.22
502.52,0.20
507.55,0.18
512.62,0.16
517.75,0.14
