frequency,raw
20.00,10.06
20.20,10.04
20.40,10.03
20.61,10.01
20.81,9.99
21.02,9.97
21.23,9.94
21.44,9.92
21.66,9.90
21.87,9.88
22.09,9.87
22.31,9.85
22.54,9.84
22.76,9.82
22.99,9.80
23.22,9.78
23.45,9.77
23.69,9.75
23.92,9.72
24.16,9.70
24.40,9.68
24.65,9.66
24.89,9.64
25.14,9.61
25.39,9.59
25.65,9.57
25.91,9.55
26.16,9.53
26.43,9.50
26.69,9.48
26.96,9.46
27.23,9.44
27.50,9.41
27.77,9.39
28.05,9.36
28.33,9.33
28.62,9.30
28.90,9.28
29.19,9.25
29.48,9.22
29.78,9.20
30.08,9.17
30.38,9.15
30.68,9.12
30.99,9.09
31.30,9.06
31.61,9.03
31.93,9.00
32.24,8.97
32.57,8.95
32.89,8.92
33.22,8.89
33.55,8.86
33.89,8.83
34.23,8.80
34.57,8.77
34.92,8.74
35.27,8.71
35.62,8.68
35.97,8.65
36.33,8.61
36.70,8.58
37.06,8.55
37.43,8.52
37.81,8.49
38.19,8.46
38.57,8.42
38.95,8.39
39.34,8.36
39.74,8.33
40.14,8.29
40.54,8.26
40.94,8.23
41.35,8.19
41.76,8.16
42.18,8.12
42.60,8.08
43.03,8.05
43.46,8.02
43.90,7.99
44.33,7.96
44.78,7.92
45.23,7.89
45.68,7.85
46.13,7.82
46.60,7.78
47.06,7.75
47.53,7.71
48.01,7.68
48.49,7.64
48.97,7.61
49.46,7.57
49.96,7.53
50.46,7.50
50.96,7.46
51.47,7.43
51.99,7.39
52.51,7.36
53.03,7.33
53.56,7.29
54.10,7.25
54.64,7.22
55.18,7.18
55.74,7.15
56.29,7.11
56.86,7.07
57.42,7.03
58.00,7.00
58.58,6.97
59.16,6.94
59.76,6.91
60.35,6.87
60.96,6.83
61.57,6.79
62.18,6.76
62.80,6.73
63.43,6.69
64.07,6.65
64.71,6.62
65.35,6.58
66.01,6.55
66.67,6.51
67.33,6.48
68.01,6.44
68.69,6.41
69.37,6.38
70.07,6.34
70.77,6.31
71.48,6.28
72.19,6.24
72.91,6.21
73.64,6.17
74.38,6.14
75.12,6.11
75.87,6.08
76.63,6.04
77.40,6.00
78.17,5.97
78.95,5.94
79.74,5.91
80.54,5.88
81.35,5.84
82.16,5.81
82.98,5.78
83.81,5.75
84.65,5.72
85.50,5.69
86.35,5.65
87.22,5.62
88.09,5.59
88.97,5.56
89.86,5.53
90.76,5.50
91.66,5.47
92.58,5.44
93.51,5.41
94.44,5.38
95.39,5.35
96.34,5.32
97.30,5.29
98.28,5.26
99.26,5.23
100.25,5.20
101.25,5.17
102.27,5.14
103.29,5.12
104.32,5.09
105.37,5.06
106.42,5.03
107.48,5.00
108.56,4.97
109.64,4.95
110.74,4.92
111.85,4.89
112.97,4.86
114.10,4.84
115.24,4.81
116.39,4.78
117.55,4.76
118.73,4.73
119.92,4.71
121.12,4.68
122.33,4.65
123.55,4.63
124.79,4.60
126.03,4.58
127.29,4.55
128.57,4.53
129.85,4.50
131.15,4.48
132.46,4.45
133.79,4.43
135.12,4.40
136.48,4.38
137.84,4.35
139.22,4.33
140.61,4.30
142.02,4.28
143.44,4.26
144.87,4.23
146.32,4.21
147.78,4.18
149.26,4.16
150.75,4.13
152.26,4.11
153.78,4.09
155.32,4.06
156.88,4.04
158.44,4.02
160.03,3.99
161.63,3.97
163.24,3.95
164.88,3.92
166.53,3.90
168.19,3.87
169.87,3.85
171.57,3.83
173.29,3.80
175.02,3.78
176.77,3.75
178.54,3.72
180.32,3.70
182.13,3.68
183.95,3.65
185.79,3.63
187.65,3.60
189.52,3.58
191.42,3.56
193.33,3.55
195.27,3.54
197.22,3.53
199.19,3.52
201.18,3.51
203.19,3.50
205.23,3.49
207.28,3.48
209.35,3.46
211.44,3.45
213.56,3.44
215.69,3.42
217.85,3.41
220.03,3.39
222.23,3.37
224.45,3.35
226.70,3.33
228.96,3.31
231.25,3.29
233.57,3.27
235.90,3.25
238.26,3.22
240.64,3.20
243.05,3.19
245.48,3.17
247.93,3.14
250.41,3.13
252.92,3.10
255.45,3.08
258.00,3.06
260.58,3.04
263.19,3.02
265.82,2.99
268.48,2.97
271.16,2.95
273.87,2.93
276.61,2.91
279.38,2.89
282.17,2.87
284.99,2.85
287.84,2.83
290.72,2.81
293.63,2.80
296.57,2.78
299.53,2.76
302.53,2.73
305.55,2.71
308.61,2.69
311.69,2.67
314.81,2.65
317.96,2.62
321.14,2.60
324.35,2.58
327.59,2.55
330.87,2.53
334.18,2.50
337.52,2.48
340.90,2.45
344.30,2.43
347.75,2.40
351.23,2.38
354.74,2.35
358.28,2.32
361.87,2.30
365.49,2.27
369.14,2.24
372.83,2.22
376.56,2.19
380.33,2.16
384.13,2.13
387.97,2.10
391.85,2.08
395.77,2.05
399.73,2.02
403.72,1.99
407.76,1.96
411.84,1.93
415.96,1.90
420.12,1.88
424.32,1.85
428.56,1.82
432.85,1.79
437.18,1.76
441.55,1.73
445.96,1.71
450.42,1.68
454.93,1.65
459.48,1.62
464.07,1.59
468.71,1.56
473.40,1.53
478.13,1.51
482.91,1.47
487.74,1.44
492.62,1.41
497.55,1.38
502.52,1.35
507.55,1.32
512.62,1.29
517.75,1.25
522.93,1.22
528.16,1.19
533.44,1.16
538.77,1.12
544.16,1.09
549.60,1.06
555.10,1.02
560.65,0.99
566.25,0.95
571.92,0.92
577.64,0.88
583.41,0.85
589.25,0.81
595.14,0.78
601.09,0.75
607.10,0.71
613.17,0.67
619.30,0.64
625.50,0.60
631.75,0.57
638.07,0.53
644.45,0.50
650.89,0.47
657.40,0.43
663.98,0.40
670.62,0.36
677.32,0.33
684.10,0.30
690.94,0.27
697.85,0.23
704.83,0.20
711.87,0.17
718.99,0.14
726.18,0.11
733.44,0.08
740.78,0.05
748.19,0.03
755.67,0.00
763.23,-0.03
770.86,-0.05
778.57,-0.08
786.35,-0.10
794.22,-0.12
802.16,-0.14
810.18,-0.16
818.28,-0.17
826.46,-0.19
834.73,-0.20
843.08,-0.21
851.51,-0.22
860.02,-0.23
868.62,-0.23
877.31,-0.23
886.08,-0.23
894.94,-0.23
903.89,-0.22
912.93,-0.22
922.06,-0.21
931.28,-0.19
940.59,-0.17
950.00,-0.15
959.50,-0.13
969.09,-0.10
978.78,-0.07
988.57,-0.04
998.46,-0.01
1008.44,0.03
1018.53,0.08
1028.71,0.12
1039.00,0.17
1049.39,0.22
1059.88,0.27
1070.48,0.33
1081.19,0.38
1092.00,0.44
1102.92,0.50
1113.95,0.56
1125.09,0.62
1136.34,0.68
1147.70,0.74
1159.18,0.80
1170.77,0.86
1182.48,0.92
1194.30,0.98
1206.25,1.04
1218.31,1.09
1230.49,1.15
1242.80,1.20
1255.22,1.25
1267.78,1.30
1280.45,1.34
1293.26,1.38
1306.19,1.43
1319.25,1.47
1332.45,1.50
1345.77,1.54
1359.23,1.57
1372.82,1.60
1386.55,1.63
1400.41,1.66
1414.42,1.69
1428.56,1.71
1442.85,1.74
1457.28,1.76
1471.85,1.78
1486.57,1.80
1501.43,1.83
1516.45,1.85
1531.61,1.87
1546.93,1.89
1562.40,1.91
1578.02,1.94
1593.80,1.96
1609.74,1.98
1625.84,2.01
1642.10,2.03
1658.52,2.06
1675.10,2.09
1691.85,2.12
1708.77,2.15
1725.86,2.18
1743.12,2.21
1760.55,2.25
1778.15,2.29
1795.94,2.33
1813.90,2.37
1832.03,2.41
1850.36,2.46
1868.86,2.51
1887.55,2.56
1906.42,2.61
1925.49,2.66
1944.74,2.72
1964.19,2.78
1983.83,2.84
2003.67,2.91
2023.71,2.98
2043.94,3.05
2064.38,3.12
2085.03,3.20
2105.88,3.28
2126.94,3.36
2148.20,3.45
2169.69,3.54
2191.38,3.63
2213.30,3.72
2235.43,3.82
2257.78,3.92
2280.36,4.02
2303.17,4.12
2326.20,4.23
2349.46,4.34
2372.95,4.45
2396.68,4.56
2420.65,4.67
2444.86,4.79
2469.31,4.90
2494.00,5.02
2518.94,5.14
2544.13,5.25
2569.57,5.37
2595.27,5.49
2621.22,5.60
2647.43,5.72
2673.90,5.84
2700.64,5.95
2727.65,6.06
2754.93,6.17
2782.48,6.28
2810.30,6.39
2838.40,6.49
2866.79,6.58
2895.46,6.67
2924.41,6.74
2953.65,6.81
2983.19,6.87
3013.02,6.91
3043.15,6.95
3073.58,6.97
3104.32,6.98
3135.36,6.98
3166.72,6.97
3198.38,6.96
3230.37,6.93
3262.67,6.90
3295.30,6.86
3328.25,6.81
3361.53,6.76
3395.15,6.70
3429.10,6.64
3463.39,6.58
3498.03,6.51
3533.01,6.44
3568.34,6.37
3604.02,6.30
3640.06,6.23
3676.46,6.15
