frequency,raw
20.00,9.73
20.20,9.73
20.40,9.73
20.61,9.72
20.81,9.72
21.02,9.71
21.23,9.70
21.44,9.70
21.66,9.71
21.87,9.72
22.09,9.74
22.31,9.76
22.54,9.77
22.76,9.78
22.99,9.79
23.22,9.79
23.45,9.78
23.69,9.77
23.92,9.76
24.16,9.75
24.40,9.74
24.65,9.75
24.89,9.75
25.14,9.75
25.39,9.76
25.65,9.75
25.91,9.74
26.16,9.73
26.43,9.72
26.69,9.70
26.96,9.70
27.23,9.69
27.50,9.69
27.77,9.69
28.05,9.69
28.33,9.69
28.62,9.69
28.90,9.68
29.19,9.67
29.48,9.66
29.78,9.65
30.08,9.64
30.38,9.62
30.68,9.60
30.99,9.58
31.30,9.57
31.61,9.56
31.93,9.55
32.24,9.55
32.57,9.54
32.89,9.53
33.22,9.51
33.55,9.49
33.89,9.47
34.23,9.45
34.57,9.44
34.92,9.42
35.27,9.41
35.62,9.39
35.97,9.38
36.33,9.36
36.70,9.34
37.06,9.32
37.43,9.29
37.81,9.27
38.19,9.24
38.57,9.22
38.95,9.20
39.34,9.18
39.74,9.16
40.14,9.14
40.54,9.11
40.94,9.09
41.35,9.06
41.76,9.03
42.18,9.01
42.60,8.99
43.03,8.96
43.46,8.93
43.90,8.90
44.33,8.87
44.78,8.84
45.23,8.81
45.68,8.78
46.13,8.75
46.60,8.72
47.06,8.68
47.53,8.65
48.01,8.62
48.49,8.59
48.97,8.55
49.46,8.52
49.96,8.48
50.46,8.44
50.96,8.41
51.47,8.38
51.99,8.35
52.51,8.31
53.03,8.26
53.56,8.22
54.10,8.17
54.64,8.13
55.18,8.09
55.74,8.05
56.29,8.01
56.86,7.97
57.42,7.91
58.00,7.86
58.58,7.83
59.16,7.81
59.76,7.78
60.35,7.73
60.96,7.67
61.57,7.60
62.18,7.55
62.80,7.50
63.43,7.45
64.07,7.40
64.71,7.35
65.35,7.30
66.01,7.24
66.67,7.19
67.33,7.13
68.01,7.08
68.69,7.02
69.37,6.97
70.07,6.91
70.77,6.85
71.48,6.79
72.19,6.73
72.91,6.67
73.64,6.62
74.38,6.56
75.12,6.50
75.87,6.43
76.63,6.36
77.40,6.29
78.17,6.24
78.95,6.19
79.74,6.12
80.54,6.05
81.35,5.98
82.16,5.91
82.98,5.84
83.81,5.76
84.65,5.70
85.50,5.63
86.35,5.56
87.22,5.49
88.09,5.42
88.97,5.33
89.86,5.25
90.76,5.18
91.66,5.12
92.58,5.05
93.51,4.97
94.44,4.89
95.39,4.81
96.34,4.73
97.30,4.64
98.28,4.57
99.26,4.50
100.25,4.42
101.25,4.35
102.27,4.26
103.29,4.17
104.32,4.09
105.37,3.99
106.42,3.91
107.48,3.84
108.56,3.76
109.64,3.67
110.74,3.58
111.85,3.49
112.97,3.40
114.10,3.31
115.24,3.22
116.39,3.14
117.55,3.05
118.73,2.96
119.92,2.86
121.12,2.78
122.33,2.69
123.55,2.60
124.79,2.51
126.03,2.42
127.29,2.33
128.57,2.23
129.85,2.14
131.15,2.05
132.46,1.96
133.79,1.86
135.12,1.77
136.48,1.68
137.84,1.59
139.22,1.51
140.61,1.43
142.02,1.33
143.44,1.24
144.87,1.15
146.32,1.05
147.78,0.96
149.26,0.90
150.75,0.81
152.26,0.70
153.78,0.61
155.32,0.52
156.88,0.48
158.44,0.41
160.03,0.33
161.63,0.23
