frequency,raw
20.00,10.99
20.20,11.00
20.40,11.01
20.61,11.02
20.81,11.03
21.02,11.03
21.23,11.03
21.44,11.03
21.66,11.03
21.87,11.03
22.09,11.03
22.31,11.02
22.54,11.02
22.76,11.01
22.99,11.01
23.22,11.00
23.45,11.00
23.69,10.99
23.92,10.99
24.16,10.98
24.40,10.98
24.65,10.98
24.89,10.98
25.14,10.98
25.39,10.98
25.65,10.98
25.91,10.97
26.16,10.97
26.43,10.96
26.69,10.95
26.96,10.94
27.23,10.93
27.50,10.92
27.77,10.92
28.05,10.91
28.33,10.90
28.62,10.89
28.90,10.88
29.19,10.87
29.48,10.85
29.78,10.84
30.08,10.83
30.38,10.81
30.68,10.80
30.99,10.79
31.30,10.77
31.61,10.75
31.93,10.74
32.24,10.72
32.57,10.71
32.89,10.70
33.22,10.69
33.55,10.67
33.89,10.65
34.23,10.63
34.57,10.61
34.92,10.59
35.27,10.57
35.62,10.55
35.97,10.53
36.33,10.51
36.70,10.49
37.06,10.47
37.43,10.44
37.81,10.42
38.19,10.40
38.57,10.37
38.95,10.35
39.34,10.32
39.74,10.30
40.14,10.27
40.54,10.24
40.94,10.21
41.35,10.18
41.76,10.15
42.18,10.13
42.60,10.10
43.03,10.07
43.46,10.04
43.90,10.01
44.33,9.98
44.78,9.95
45.23,9.92
45.68,9.88
46.13,9.83
46.60,9.80
47.06,9.76
47.53,9.73
48.01,9.70
48.49,9.67
48.97,9.63
49.46,9.60
49.96,9.56
50.46,9.51
50.96,9.47
51.47,9.43
51.99,9.39
52.51,9.35
53.03,9.31
53.56,9.26
54.10,9.22
54.64,9.17
55.18,9.13
55.74,9.08
56.29,9.04
56.86,9.00
57.42,8.95
58.00,8.90
58.58,8.84
59.16,8.79
59.76,8.72
60.35,8.67
60.96,8.62
61.57,8.59
62.18,8.54
62.80,8.49
63.43,8.44
64.07,8.39
64.71,8.33
65.35,8.28
66.01,8.23
66.67,8.16
67.33,8.10
68.01,8.05
68.69,7.99
69.37,7.92
70.07,7.86
70.77,7.80
71.48,7.74
72.19,7.69
72.91,7.62
73.64,7.56
74.38,7.49
75.12,7.43
75.87,7.36
76.63,7.30
77.40,7.24
78.17,7.17
78.95,7.09
79.74,7.02
80.54,6.96
81.35,6.90
82.16,6.82
82.98,6.75
83.81,6.67
84.65,6.60
85.50,6.52
86.35,6.44
87.22,6.37
88.09,6.29
88.97,6.22
89.86,6.15
90.76,6.07
91.66,5.99
92.58,5.90
93.51,5.82
94.44,5.74
95.39,5.66
96.34,5.56
97.30,5.48
98.28,5.41
99.26,5.32
100.25,5.22
101.25,5.13
102.27,5.06
103.29,4.99
104.32,4.90
105.37,4.81
106.42,4.73
107.48,4.65
108.56,4.55
109.64,4.44
110.74,4.32
111.85,4.24
112.97,4.15
114.10,4.06
115.24,3.97
116.39,3.88
117.55,3.79
118.73,3.69
119.92,3.60
121.12,3.49
122.33,3.39
123.55,3.29
124.79,3.18
126.03,3.09
127.29,3.00
128.57,2.91
129.85,2.81
131.15,2.71
132.46,2.61
133.79,2.53
135.12,2.42
136.48,2.30
137.84,2.18
139.22,2.11
140.61,2.03
142.02,1.92
143.44,1.82
144.87,1.69
146.32,1.60
147.78,1.52
149.26,1.41
150.75,1.31
152.26,1.22
153.78,1.12
155.32,1.03
156.88,0.92
158.44,0.83
160.03,0.75
161.63,0.62
163.24,0.51
164.88,0.43
166.53,0.35
168.19,0.26
169.87,0.16
171.57,0.06
173.29,-0.04
175.02,-0.11
176.77,-0.20
178.54,-0.30
180.32,-0.39
182.13,-0.44
183.95,-0.52
185.79,-0.61
187.65,-0.69
189.52,-0.74
191.42,-0.77
193.33,-0.84
195.27,-0.94
197.22,-1.01
199.19,-1.07
201.18,-1.11
203.19,-1.13
205.23,-1.18
207.28,-1.22
209.35,-1.26
211.44,-1.30
213.56,-1.35
215.69,-1.40
217.85,-1.44
220.03,-1.47
222.23,-1.51
224.45,-1.55
226.70,-1.57
228.96,-1.60
231.25,-1.63
233.57,-1.65
235.90,-1.68
238.26,-1.73
240.64,-1.76
243.05,-1.73
245.48,-1.77
247.93,-1.79
250.41,-1.79
252.92,-1.79
255.45,-1.79
258.00,-1.80
260.58,-1.80
263.19,-1.81
265.82,-1.81
268.48,-1.80
271.16,-1.79
273.87,-1.79
276.61,-1.78
279.38,-1.78
282.17,-1.77
284.99,-1.76
287.84,-1.75
290.72,-1.73
293.63,-1.73
296.57,-1.72
299.53,-1.71
302.53,-1.69
305.55,-1.67
308.61,-1.65
311.69,-1.64
314.81,-1.63
317.96,-1.61
321.14,-1.59
324.35,-1.57
327.59,-1.56
330.87,-1.54
334.18,-1.52
337.52,-1.50
340.90,-1.48
344.30,-1.47
347.75,-1.45
351.23,-1.43
354.74,-1.42
358.28,-1.40
361.87,-1.38
365.49,-1.37
369.14,-1.35
372.83,-1.33
376.56,-1.31
380.33,-1.30
384.13,-1.28
387.97,-1.27
391.85,-1.25
395.77,-1.23
399.73,-1.22
403.72,-1.20
407.76,-1.19
411.84,-1.18
415.96,-1.16
420.12,-1.14
424.32,-1.13
428.56,-1.12
432.85,-1.10
437.18,-1.08
441.55,-1.07
445.96,-1.06
450.42,-1.05
454.93,-1.04
459.48,-1.03
464.07,-1.02
468.71,-1.01
473.40,-1.01
478.13,-1.00
482.91,-0.99
487.74,-0.98
492.62,-0.97
497.55,-0.96
502.52,-0.95
507.55,-0.95
512.62,-0.93
517.75,-0.93
522.93,-0.93
528.16,-0.92
533.44,-0.91
538.77,-0.91
544.16,-0.90
549.60,-0.90
555.10,-0.89
560.65,-0.89
566.25,-0.88
571.92,-0.88
577.64,-0.88
583.41,-0.87
589.25,-0.87
595.14,-0.86
601.09,-0.86
607.10,-0.86
613.17,-0.86
619.30,-0.85
625.50,-0.85
631.75,-0.85
638.07,-0.85
644.45,-0.85
650.89,-0.84
657.40,-0.84
663.98,-0.84
670.62,-0.84
677.32,-0.83
684.10,-0.83
690.94,-0.84
697.85,-0.84
704.83,-0.84
711.87,-0.83
718.99,-0.83
726.18,-0.83
733.44,-0.82
740.78,-0.82
748.19,-0.81
755.67,-0.80
763.23,-0.79
770.86,-0.78
778.57,-0.78
786.35,-0.77
794.22,-0.75
802.16,-0.74
810.18,-0.73
818.28,-0.71
826.46,-0.70
834.73,-0.68
843.08,-0.66
851.51,-0.64
860.02,-0.62
868.62,-0.59
877.31,-0.56
886.08,-0.54
894.94,-0.51
903.89,-0.47
912.93,-0.44
922.06,-0.40
931.28,-0.36
940.59,-0.32
950.00,-0.27
959.50,-0.23
969.09,-0.18
978.78,-0.12
988.57,-0.07
998.46,-0.01
1008.44,0.05
1018.53,0.11
1028.71,0.18
1039.00,0.24
1049.39,0.31
1059.88,0.38
1070.48,0.46
1081.19,0.53
1092.00,0.60
1102.92,0.67
1113.95,0.75
1125.09,0.83
1136.34,0.90
1147.70,0.98
1159.18,1.05
1170.77,1.12
1182.48,1.19
1194.30,1.26
1206.25,1.33
1218.31,1.40
1230.49,1.47
1242.80,1.53
1255.22,1.59
1267.78,1.65
1280.45,1.71
1293.26,1.76
1306.19,1.82
1319.25,1.87
1332.45,1.92
1345.77,1.98
1359.23,2.02
1372.82,2.07
1386.55,2.12
1400.41,2.17
1414.42,2.22
1428.56,2.27
1442.85,2.32
1457.28,2.37
1471.85,2.43
1486.57,2.49
1501.43,2.55
1516.45,2.62
1531.61,2.69
1546.93,2.77
1562.40,2.85
1578.02,2.93
1593.80,3.01
1609.74,3.10
1625.84,3.19
1642.10,3.27
1658.52,3.36
1675.10,3.44
1691.85,3.51
1708.77,3.58
1725.86,3.64
1743.12,3.69
1760.55,3.74
1778.15,3.78
1795.94,3.81
1813.90,3.84
1832.03,3.87
1850.36,3.89
1868.86,3.91
1887.55,3.94
1906.42,3.96
1925.49,3.98
1944.74,4.01
1964.19,4.03
1983.83,4.06
2003.67,4.09
2023.71,4.12
2043.94,4.16
2064.38,4.20
2085.03,4.24
2105.88,4.28
2126.94,4.32
2148.20,4.37
2169.69,4.42
2191.38,4.47
2213.30,4.53
2235.43,4.58
2257.78,4.64
2280.36,4.70
2303.17,4.76
2326.20,4.82
2349.46,4.89
2372.95,4.95
2396.68,5.02
2420.65,5.09
2444.86,5.16
2469.31,5.24
2494.00,5.31
2518.94,5.39
2544.13,5.46
2569.57,5.54
2595.27,5.62
2621.22,5.71
2647.43,5.79
2673.90,5.88
2700.64,5.96
2727.65,6.05
2754.93,6.14
2782.48,6.23
2810.30,6.32
2838.40,6.41
2866.79,6.50
2895.46,6.59
2924.41,6.68
2953.65,6.77
2983.19,6.86
3013.02,6.95
3043.15,7.05
3073.58,7.14
3104.32,7.23
3135.36,7.32
3166.72,7.41
3198.38,7.50
3230.37,7.59
3262.67,7.68
3295.30,7.77
3328.25,7.86
3361.53,7.94
3395.15,8.02
3429.10,8.10
3463.39,8.18
3498.03,8.25
3533.01,8.31
3568.34,8.38
3604.02,8.44
3640.06,8.49
3676.46,8.54
3713.22,8.59
3750.36,8.63
3787.86,8.66
3825.74,8.70
3864.00,8.73
3902.64,8.75
3941.66,8.77
3981.08,8.78
4020.89,8.79
4061.10,8.80
4101.71,8.79
4142.73,8.79
4184.15,8.78
4226.00,8.76
4268.26,8.73
4310.94,8.70
4354.05,8.67
4397.59,8.63
4441.56,8.59
4485.98,8.55
4530.84,8.50
4576.15,8.45
4621.91,8.40
4668.13,8.35
4714.81,8.29
4761.96,8.24
4809.58,8.18
4857.67,8.12
4906.25,8.07
4955.31,8.01
5004.87,7.96
5054.91,7.90
5105.46,7.84
5156.52,7.78
5208.08,7.72
5260.16,7.65
5312.77,7.59
5365.89,7.52
5419.55,7.46
5473.75,7.39
5528.49,7.33
5583.77,7.26
5639.61,7.20
5696.00,7.13
5752.96,7.07
5810.49,7.01
5868.60,6.95
5927.28,6.90
5986.56,6.84
6046.42,6.79
6106.89,6.75
6167.96,6.72
6229.64,6.68
6291.93,6.66
6354.85,6.65
6418.40,6.65
6482.58,6.66
6547.41,6.67
6612.88,6.69
6679.01,6.73
6745.80,6.78
6813.26,6.83
6881.39,6.90
6950.21,6.98
7019.71,7.07
7089.91,7.17
7160.81,7.30
7232.41,7.44
7304.74,7.60
7377.79,7.77
7451.56,7.95
7526.08,8.13
7601.34,8.30
7677.35,8.47
7754.13,8.63
7831.67,8.74
7909.98,8.83
7989.08,8.87
8068.98,8.80
8149.67,8.66
8231.16,8.41
8313.47,8.02
8396.61,7.58
8480.57,7.02
8565.38,6.39
8651.03,5.71
8737.54,4.98
8824.92,4.22
8913.17,3.43
9002.30,2.64
9092.32,1.86
9183.25,1.10
9275.08,0.37
9367.83,-0.33
9461.51,-0.96
9556.12,-1.56
9651.68,-2.11
9748.20,-2.62
9845.68,-3.07
9944.14,-3.48
10043.58,-3.85
10144.02,-4.20
10245.46,-4.51
10347.91,-4.79
10451.39,-5.03
10555.91,-5.25
10661.46,-5.43
10768.08,-5.60
10875.76,-5.74
10984.52,-5.85
11094.36,-5.94
11205.31,-5.99
11317.36,-6.00
11430.53,-6.01
11544.84,-5.98
11660.29,-5.92
11776.89,-5.83
11894.66,-5.69
12013.60,-5.55
12133.74,-5.38
12255.08,-5.16
12377.63,-4.90
12501.41,-4.62
12626.42,-4.28
12752.68,-3.91
12880.21,-3.45
13009.01,-2.95
13139.10,-2.45
13270.49,-1.79
13403.20,-1.09
13537.23,-0.23
13672.60,0.74
13809.33,1.82
13947.42,3.17
14086.90,4.84
14227.77,6.70
14370.04,8.94
14513.74,11.47
14658.88,13.03
14805.47,13.19
14953.52,11.01
15103.06,8.85
15254.09,6.71
15406.63,5.28
15560.70,4.06
15716.30,3.17
15873.47,2.58
16032.20,2.14
16192.52,1.96
16354.45,1.93
16517.99,2.00
16683.17,2.19
16850.01,2.33
17018.51,2.41
17188.69,2.25
17360.58,1.86
17534.18,1.29
17709.53,0.51
17886.62,-0.32
18065.49,-1.15
18246.14,-1.93
18428.60,-2.58
18612.89,-3.16
18799.02,-3.67
18987.01,-4.12
19176.88,-4.53
19368.65,-5.02
19562.33,-5.66
19757.96,-6.52
19955.54,-7.39
