frequency,raw
20.00,10.83
20.20,10.83
20.40,10.83
20.61,10.83
20.81,10.82
21.02,10.81
21.23,10.81
21.44,10.80
21.66,10.79
21.87,10.79
22.09,10.78
22.31,10.78
22.54,10.78
22.76,10.77
22.99,10.77
23.22,10.77
23.45,10.76
23.69,10.76
23.92,10.75
24.16,10.75
24.40,10.74
24.65,10.72
24.89,10.71
25.14,10.70
25.39,10.69
25.65,10.68
25.91,10.67
26.16,10.66
26.43,10.66
26.69,10.65
26.96,10.64
27.23,10.63
27.50,10.62
27.77,10.60
28.05,10.59
28.33,10.58
28.62,10.57
28.90,10.55
29.19,10.54
29.48,10.53
29.78,10.52
30.08,10.50
30.38,10.49
30.68,10.47
30.99,10.45
31.30,10.44
31.61,10.42
31.93,10.40
32.24,10.39
32.57,10.37
32.89,10.35
33.22,10.33
33.55,10.31
33.89,10.29
34.23,10.27
34.57,10.25
34.92,10.23
35.27,10.21
35.62,10.19
35.97,10.17
36.33,10.15
36.70,10.13
37.06,10.11
37.43,10.09
37.81,10.06
38.19,10.04
38.57,10.02
38.95,9.99
39.34,9.97
39.74,9.94
40.14,9.92
40.54,9.89
40.94,9.87
41.35,9.84
41.76,9.80
42.18,9.78
42.60,9.75
43.03,9.72
43.46,9.70
43.90,9.67
44.33,9.63
44.78,9.60
45.23,9.57
45.68,9.55
46.13,9.52
46.60,9.48
47.06,9.45
47.53,9.41
48.01,9.38
48.49,9.35
48.97,9.32
49.46,9.28
49.96,9.24
50.46,9.21
50.96,9.17
51.47,9.13
51.99,9.09
52.51,9.06
53.03,9.03
53.56,8.98
54.10,8.94
54.64,8.89
55.18,8.83
55.74,8.79
56.29,8.75
56.86,8.71
57.42,8.68
58.00,8.65
58.58,8.60
59.16,8.55
59.76,8.50
60.35,8.45
60.96,8.41
61.57,8.36
62.18,8.32
62.80,8.27
63.43,8.22
64.07,8.17
64.71,8.12
65.35,8.07
66.01,8.02
66.67,7.97
67.33,7.92
68.01,7.87
68.69,7.81
69.37,7.76
70.07,7.70
70.77,7.64
71.48,7.59
72.19,7.53
72.91,7.48
73.64,7.42
74.38,7.37
75.12,7.31
75.87,7.25
76.63,7.19
77.40,7.14
78.17,7.08
78.95,7.02
79.74,6.95
80.54,6.89
81.35,6.83
82.16,6.77
82.98,6.71
83.81,6.64
84.65,6.58
85.50,6.52
86.35,6.45
87.22,6.39
88.09,6.32
88.97,6.26
89.86,6.19
90.76,6.12
91.66,6.06
92.58,5.99
93.51,5.92
94.44,5.85
95.39,5.79
96.34,5.72
97.30,5.65
98.28,5.58
99.26,5.51
100.25,5.44
101.25,5.37
102.27,5.31
103.29,5.24
104.32,5.17
105.37,5.10
106.42,5.03
107.48,4.96
108.56,4.89
109.64,4.82
110.74,4.75
111.85,4.68
112.97,4.61
114.10,4.55
115.24,4.48
116.39,4.41
117.55,4.34
118.73,4.27
119.92,4.21
121.12,4.14
122.33,4.07
123.55,4.00
124.79,3.94
126.03,3.88
127.29,3.81
128.57,3.75
129.85,3.68
131.15,3.62
132.46,3.56
133.79,3.50
135.12,3.44
136.48,3.38
137.84,3.32
139.22,3.26
140.61,3.21
142.02,3.15
143.44,3.09
144.87,3.04
146.32,2.99
147.78,2.93
149.26,2.88
150.75,2.83
152.26,2.78
153.78,2.73
155.32,2.69
156.88,2.64
158.44,2.60
160.03,2.55
161.63,2.51
163.24,2.47
164.88,2.43
166.53,2.39
168.19,2.35
169.87,2.31
171.57,2.27
173.29,2.24
175.02,2.20
176.77,2.17
178.54,2.14
180.32,2.11
182.13,2.07
183.95,2.04
185.79,2.01
187.65,1.98
189.52,1.96
191.42,1.95
193.33,1.94
195.27,1.93
197.22,1.93
199.19,1.95
201.18,1.96
203.19,1.97
205.23,1.97
207.28,1.97
209.35,1.96
211.44,1.95
213.56,1.94
215.69,1.93
217.85,1.92
220.03,1.90
222.23,1.90
224.45,1.89
226.70,1.88
228.96,1.87
231.25,1.87
233.57,1.87
235.90,1.86
238.26,1.86
240.64,1.85
243.05,1.84
245.48,1.84
247.93,1.83
250.41,1.83
252.92,1.82
255.45,1.81
258.00,1.81
260.58,1.80
263.19,1.80
265.82,1.79
268.48,1.78
271.16,1.78
273.87,1.77
276.61,1.77
279.38,1.76
282.17,1.75
284.99,1.75
287.84,1.74
290.72,1.73
293.63,1.73
296.57,1.73
299.53,1.72
302.53,1.72
305.55,1.72
308.61,1.71
311.69,1.71
314.81,1.70
317.96,1.69
321.14,1.68
324.35,1.68
327.59,1.67
330.87,1.66
334.18,1.65
337.52,1.64
340.90,1.63
344.30,1.62
347.75,1.61
351.23,1.60
354.74,1.59
358.28,1.58
361.87,1.57
365.49,1.56
369.14,1.55
372.83,1.54
376.56,1.52
380.33,1.51
384.13,1.50
387.97,1.48
391.85,1.46
395.77,1.44
399.73,1.42
403.72,1.40
407.76,1.38
411.84,1.36
415.96,1.34
420.12,1.32
424.32,1.30
428.56,1.28
432.85,1.26
437.18,1.24
441.55,1.22
445.96,1.20
450.42,1.18
454.93,1.15
459.48,1.13
464.07,1.10
468.71,1.08
473.40,1.05
478.13,1.02
482.91,0.99
487.74,0.96
492.62,0.93
497.55,0.90
502.52,0.87
507.55,0.84
512.62,0.81
517.75,0.78
522.93,0.75
528.16,0.72
533.44,0.69
538.77,0.66
544.16,0.63
549.60,0.59
555.10,0.56
560.65,0.52
566.25,0.49
571.92,0.46
577.64,0.42
583.41,0.39
589.25,0.35
595.14,0.31
601.09,0.28
607.10,0.24
613.17,0.20
619.30,0.17
625.50,0.13
631.75,0.09
638.07,0.06
644.45,0.02
650.89,-0.01
657.40,-0.05
663.98,-0.09
670.62,-0.12
677.32,-0.16
684.10,-0.19
690.94,-0.23
697.85,-0.26
704.83,-0.30
711.87,-0.33
718.99,-0.36
726.18,-0.39
733.44,-0.43
740.78,-0.46
748.19,-0.49
755.67,-0.51
763.23,-0.54
770.86,-0.56
778.57,-0.59
786.35,-0.61
794.22,-0.63
802.16,-0.65
810.18,-0.67
818.28,-0.68
826.46,-0.69
834.73,-0.69
843.08,-0.68
851.51,-0.68
860.02,-0.66
868.62,-0.63
877.31,-0.60
886.08,-0.57
894.94,-0.53
903.89,-0.48
912.93,-0.43
922.06,-0.38
931.28,-0.33
940.59,-0.28
950.00,-0.23
959.50,-0.19
969.09,-0.14
978.78,-0.09
988.57,-0.05
998.46,-0.01
1008.44,0.03
1018.53,0.08
1028.71,0.12
1039.00,0.17
1049.39,0.22
1059.88,0.27
1070.48,0.32
1081.19,0.38
1092.00,0.43
1102.92,0.49
1113.95,0.56
1125.09,0.62
1136.34,0.69
1147.70,0.75
1159.18,0.82
1170.77,0.89
1182.48,0.96
1194.30,1.02
1206.25,1.09
1218.31,1.16
1230.49,1.23
1242.80,1.30
1255.22,1.37
1267.78,1.44
1280.45,1.50
1293.26,1.57
1306.19,1.64
1319.25,1.70
1332.45,1.77
1345.77,1.83
1359.23,1.90
1372.82,1.96
1386.55,2.03
1400.41,2.09
1414.42,2.16
1428.56,2.22
1442.85,2.29
1457.28,2.36
1471.85,2.42
1486.57,2.49
1501.43,2.56
1516.45,2.64
1531.61,2.71
1546.93,2.78
1562.40,2.86
1578.02,2.94
1593.80,3.02
1609.74,3.10
1625.84,3.18
1642.10,3.27
1658.52,3.36
1675.10,3.45
1691.85,3.54
1708.77,3.64
1725.86,3.73
1743.12,3.83
1760.55,3.93
1778.15,4.04
1795.94,4.14
1813.90,4.25
1832.03,4.36
1850.36,4.48
1868.86,4.59
1887.55,4.70
1906.42,4.82
1925.49,4.94
1944.74,5.05
1964.19,5.17
1983.83,5.29
2003.67,5.41
2023.71,5.53
2043.94,5.65
2064.38,5.77
2085.03,5.89
2105.88,6.00
2126.94,6.12
2148.20,6.23
2169.69,6.34
2191.38,6.44
2213.30,6.54
2235.43,6.64
2257.78,6.73
2280.36,6.82
2303.17,6.91
2326.20,6.99
2349.46,7.06
2372.95,7.12
2396.68,7.19
2420.65,7.24
2444.86,7.29
2469.31,7.33
2494.00,7.36
2518.94,7.39
2544.13,7.42
2569.57,7.44
2595.27,7.45
2621.22,7.46
2647.43,7.47
2673.90,7.46
2700.64,7.46
2727.65,7.45
2754.93,7.44
2782.48,7.42
2810.30,7.40
2838.40,7.38
2866.79,7.36
2895.46,7.33
2924.41,7.31
2953.65,7.28
2983.19,7.26
3013.02,7.23
3043.15,7.20
3073.58,7.18
3104.32,7.17
3135.36,7.15
3166.72,7.14
3198.38,7.13
3230.37,7.13
3262.67,7.13
3295.30,7.13
3328.25,7.14
3361.53,7.15
3395.15,7.16
3429.10,7.17
3463.39,7.19
3498.03,7.20
3533.01,7.22
3568.34,7.24
3604.02,7.25
3640.06,7.26
3676.46,7.28
3713.22,7.29
3750.36,7.30
3787.86,7.30
3825.74,7.31
3864.00,7.30
3902.64,7.29
3941.66,7.28
3981.08,7.26
4020.89,7.23
4061.10,7.20
4101.71,7.16
4142.73,7.12
4184.15,7.07
4226.00,7.02
4268.26,6.97
4310.94,6.91
4354.05,6.85
4397.59,6.79
4441.56,6.72
4485.98,6.63
4530.84,6.54
4576.15,6.43
4621.91,6.30
4668.13,6.15
4714.81,5.99
4761.96,5.81
4809.58,5.62
4857.67,5.43
4906.25,5.22
4955.31,5.02
5004.87,4.82
5054.91,4.63
5105.46,4.43
5156.52,4.25
5208.08,4.07
5260.16,3.90
5312.77,3.74
5365.89,3.59
5419.55,3.46
5473.75,3.34
5528.49,3.23
5583.77,3.14
5639.61,3.07
5696.00,3.00
5752.96,2.97
5810.49,2.94
5868.60,2.94
5927.28,2.96
5986.56,3.00
6046.42,3.07
6106.89,3.15
6167.96,3.27
6229.64,3.41
6291.93,3.58
6354.85,3.77
6418.40,3.97
6482.58,4.19
6547.41,4.42
6612.88,4.66
6679.01,4.90
6745.80,5.15
6813.26,5.40
6881.39,5.63
6950.21,5.85
7019.71,6.04
7089.91,6.19
7160.81,6.31
7232.41,6.40
7304.74,6.46
7377.79,6.47
7451.56,6.45
7526.08,6.41
7601.34,6.35
7677.35,6.29
7754.13,6.22
7831.67,6.17
7909.98,6.12
7989.08,6.08
8068.98,6.01
8149.67,5.91
8231.16,5.77
8313.47,5.58
8396.61,5.35
8480.57,5.06
8565.38,4.73
8651.03,4.34
8737.54,3.91
8824.92,3.44
8913.17,2.96
9002.30,2.48
9092.32,2.01
9183.25,1.56
9275.08,1.14
9367.83,0.76
9461.51,0.42
9556.12,0.13
9651.68,-0.11
9748.20,-0.32
9845.68,-0.45
9944.14,-0.54
10043.58,-0.57
10144.02,-0.56
10245.46,-0.47
10347.91,-0.34
10451.39,-0.15
10555.91,0.11
10661.46,0.42
10768.08,0.75
10875.76,1.09
10984.52,1.39
11094.36,1.63
11205.31,1.75
11317.36,1.63
11430.53,1.43
11544.84,1.10
11660.29,0.72
11776.89,0.35
11894.66,0.14
12013.60,-0.03
12133.74,-0.03
12255.08,0.18
12377.63,0.51
12501.41,0.92
12626.42,1.35
12752.68,1.69
12880.21,1.83
13009.01,1.87
13139.10,1.91
