frequency,raw
20.00,4.25
20.20,4.25
20.40,4.24
20.61,4.24
20.81,4.23
21.02,4.23
21.23,4.22
21.44,4.21
21.66,4.19
21.87,4.18
22.09,4.17
22.31,4.16
22.54,4.15
22.76,4.14
22.99,4.13
23.22,4.12
23.45,4.12
23.69,4.12
23.92,4.12
24.16,4.11
24.40,4.11
24.65,4.10
24.89,4.09
25.14,4.07
25.39,4.05
25.65,4.02
25.91,4.00
26.16,3.98
26.43,3.97
26.69,3.95
26.96,3.94
27.23,3.93
27.50,3.91
27.77,3.90
28.05,3.89
28.33,3.87
28.62,3.85
28.90,3.84
29.19,3.82
29.48,3.80
29.78,3.78
30.08,3.76
30.38,3.74
30.68,3.72
30.99,3.69
31.30,3.67
31.61,3.64
31.93,3.62
32.24,3.60
32.57,3.58
32.89,3.56
33.22,3.53
33.55,3.51
33.89,3.48
34.23,3.45
34.57,3.42
34.92,3.39
35.27,3.36
35.62,3.33
35.97,3.30
36.33,3.27
36.70,3.25
37.06,3.23
37.43,3.20
37.81,3.16
38.19,3.13
38.57,3.10
38.95,3.06
39.34,3.03
39.74,3.00
40.14,2.97
40.54,2.94
40.94,2.90
41.35,2.87
41.76,2.83
42.18,2.79
42.60,2.75
43.03,2.71
43.46,2.67
43.90,2.64
44.33,2.60
44.78,2.57
45.23,2.53
45.68,2.49
46.13,2.46
46.60,2.42
47.06,2.37
47.53,2.32
48.01,2.27
48.49,2.22
48.97,2.18
49.46,2.14
49.96,2.10
50.46,2.05
50.96,1.99
51.47,1.95
51.99,1.91
52.51,1.86
53.03,1.82
53.56,1.77
54.10,1.72
54.64,1.67
55.18,1.62
55.74,1.57
56.29,1.52
56.86,1.46
57.42,1.41
58.00,1.36
58.58,1.31
59.16,1.26
59.76,1.19
60.35,1.13
60.96,1.08
61.57,1.03
62.18,0.98
62.80,0.92
63.43,0.86
64.07,0.80
64.71,0.75
65.35,0.69
66.01,0.64
66.67,0.58
67.33,0.52
68.01,0.47
68.69,0.41
69.37,0.35
70.07,0.29
70.77,0.24
71.48,0.18
72.19,0.12
72.91,0.05
73.64,0.01
74.38,-0.04
75.12,-0.09
75.87,-0.16
76.63,-0.22
77.40,-0.28
78.17,-0.32
78.95,-0.37
79.74,-0.45
80.54,-0.52
81.35,-0.58
82.16,-0.62
82.98,-0.66
83.81,-0.71
84.65,-0.78
85.50,-0.84
86.35,-0.90
87.22,-0.95
88.09,-1.00
88.97,-1.05
89.86,-1.11
90.76,-1.15
91.66,-1.20
92.58,-1.25
93.51,-1.30
94.44,-1.35
95.39,-1.39
96.34,-1.44
97.30,-1.48
98.28,-1.53
99.26,-1.57
100.25,-1.61
101.25,-1.65
102.27,-1.69
103.29,-1.73
104.32,-1.77
105.37,-1.80
106.42,-1.84
107.48,-1.87
108.56,-1.91
109.64,-1.94
110.74,-1.97
111.85,-1.99
112.97,-2.02
114.10,-2.05
115.24,-2.08
