frequency,raw
20.00,6.68
20.20,6.68
20.40,6.68
20.61,6.68
20.81,6.68
21.02,6.67
21.23,6.66
21.44,6.65
21.66,6.65
21.87,6.64
22.09,6.63
22.31,6.62
22.54,6.61
22.76,6.60
22.99,6.60
23.22,6.59
23.45,6.58
23.69,6.58
23.92,6.57
24.16,6.56
24.40,6.56
24.65,6.55
24.89,6.54
25.14,6.53
25.39,6.52
25.65,6.51
25.91,6.50
26.16,6.49
26.43,6.47
26.69,6.46
26.96,6.44
27.23,6.43
27.50,6.41
27.77,6.40
28.05,6.39
28.33,6.37
28.62,6.36
28.90,6.34
29.19,6.32
29.48,6.31
29.78,6.29
30.08,6.27
30.38,6.25
30.68,6.23
30.99,6.21
31.30,6.20
31.61,6.18
31.93,6.16
32.24,6.14
32.57,6.12
32.89,6.10
33.22,6.08
33.55,6.06
33.89,6.04
34.23,6.01
34.57,5.99
34.92,5.97
35.27,5.94
35.62,5.91
35.97,5.88
36.33,5.86
36.70,5.83
37.06,5.81
37.43,5.79
37.81,5.76
38.19,5.73
38.57,5.70
38.95,5.68
39.34,5.65
39.74,5.62
40.14,5.59
40.54,5.55
40.94,5.52
41.35,5.49
41.76,5.46
42.18,5.42
42.60,5.39
43.03,5.36
43.46,5.33
43.90,5.30
44.33,5.27
44.78,5.23
45.23,5.19
45.68,5.16
46.13,5.12
46.60,5.09
47.06,5.05
47.53,5.02
48.01,4.97
48.49,4.93
48.97,4.90
49.46,4.86
49.96,4.82
50.46,4.76
50.96,4.71
51.47,4.66
51.99,4.62
52.51,4.58
53.03,4.54
53.56,4.49
54.10,4.45
54.64,4.41
55.18,4.38
55.74,4.34
56.29,4.30
56.86,4.25
57.42,4.20
58.00,4.15
58.58,4.09
59.16,4.04
59.76,3.99
60.35,3.94
60.96,3.90
61.57,3.85
62.18,3.79
62.80,3.74
63.43,3.69
64.07,3.65
64.71,3.60
65.35,3.55
66.01,3.49
66.67,3.44
67.33,3.39
68.01,3.34
68.69,3.28
69.37,3.23
70.07,3.17
70.77,3.12
71.48,3.06
72.19,3.01
72.91,2.95
73.64,2.90
74.38,2.84
75.12,2.79
75.87,2.73
