frequency,raw
20.00,6.68
20.20,6.67
20.40,6.67
20.61,6.67
20.81,6.66
21.02,6.66
21.23,6.65
21.44,6.64
21.66,6.63
21.87,6.62
22.09,6.61
22.31,6.60
22.54,6.60
22.76,6.59
22.99,6.59
23.22,6.58
23.45,6.57
23.69,6.57
23.92,6.56
24.16,6.55
24.40,6.54
24.65,6.53
24.89,6.52
25.14,6.51
25.39,6.50
25.65,6.49
25.91,6.48
26.16,6.47
26.43,6.46
26.69,6.45
26.96,6.43
27.23,6.42
27.50,6.40
27.77,6.39
28.05,6.37
28.33,6.36
28.62,6.34
28.90,6.32
29.19,6.31
29.48,6.29
29.78,6.28
30.08,6.26
30.38,6.24
30.68,6.22
30.99,6.20
31.30,6.18
31.61,6.16
31.93,6.14
32.24,6.12
32.57,6.10
32.89,6.08
33.22,6.06
33.55,6.04
33.89,6.02
34.23,6.00
34.57,5.97
34.92,5.95
35.27,5.92
35.62,5.89
35.97,5.87
36.33,5.84
36.70,5.81
37.06,5.79
37.43,5.76
37.81,5.73
38.19,5.71
38.57,5.68
38.95,5.66
39.34,5.63
39.74,5.60
40.14,5.57
40.54,5.54
40.94,5.51
41.35,5.47
41.76,5.44
42.18,5.41
42.60,5.37
43.03,5.34
43.46,5.31
43.90,5.27
44.33,5.24
44.78,5.21
45.23,5.17
45.68,5.14
46.13,5.10
46.60,5.06
47.06,5.02
47.53,4.99
48.01,4.96
48.49,4.92
48.97,4.88
49.46,4.83
49.96,4.79
50.46,4.75
50.96,4.71
51.47,4.67
51.99,4.63
52.51,4.58
53.03,4.54
53.56,4.49
54.10,4.44
54.64,4.39
55.18,4.36
55.74,4.32
56.29,4.27
56.86,4.22
57.42,4.17
58.00,4.13
58.58,4.08
59.16,4.03
59.76,3.98
60.35,3.94
60.96,3.89
61.57,3.84
62.18,3.78
62.80,3.73
63.43,3.68
64.07,3.63
64.71,3.58
65.35,3.52
66.01,3.47
66.67,3.42
67.33,3.36
68.01,3.31
68.69,3.26
69.37,3.20
70.07,3.15
70.77,3.10
71.48,3.04
72.19,2.99
72.91,2.93
73.64,2.88
74.38,2.82
75.12,2.77
75.87,2.71
76.63,2.66
77.40,2.60
78.17,2.54
78.95,2.49
79.74,2.43
80.54,2.38
81.35,2.32
82.16,2.26
82.98,2.20
83.81,2.15
84.65,2.09
85.50,2.03
86.35,1.98
87.22,1.92
88.09,1.87
88.97,1.81
89.86,1.76
90.76,1.70
91.66,1.65
92.58,1.59
93.51,1.54
94.44,1.48
95.39,1.43
96.34,1.37
97.30,1.32
98.28,1.27
99.26,1.21
100.25,1.16
101.25,1.11
102.27,1.06
103.29,1.01
104.32,0.96
105.37,0.91
106.42,0.86
107.48,0.81
108.56,0.76
109.64,0.71
110.74,0.67
111.85,0.62
112.97,0.57
114.10,0.53
115.24,0.48
116.39,0.44
117.55,0.40
118.73,0.36
119.92,0.32
121.12,0.27
122.33,0.23
123.55,0.19
124.79,0.15
126.03,0.12
127.29,0.08
128.57,0.04
129.85,0.01
131.15,-0.03
132.46,-0.06
133.79,-0.09
135.12,-0.13
136.48,-0.16
137.84,-0.19
139.22,-0.22
140.61,-0.25
142.02,-0.28
143.44,-0.30
144.87,-0.33
