frequency,raw
20.00,7.67
20.20,7.67
20.40,7.66
20.61,7.66
20.81,7.65
21.02,7.64
21.23,7.63
21.44,7.63
21.66,7.62
21.87,7.62
22.09,7.62
22.31,7.62
22.54,7.61
22.76,7.61
22.99,7.61
23.22,7.60
23.45,7.59
23.69,7.58
23.92,7.57
24.16,7.56
24.40,7.55
24.65,7.54
24.89,7.53
25.14,7.52
25.39,7.51
25.65,7.50
25.91,7.49
26.16,7.48
26.43,7.47
26.69,7.46
26.96,7.44
27.23,7.43
27.50,7.42
27.77,7.40
28.05,7.38
28.33,7.37
28.62,7.35
28.90,7.34
29.19,7.32
29.48,7.31
29.78,7.30
30.08,7.28
30.38,7.27
30.68,7.25
30.99,7.23
31.30,7.21
31.61,7.19
31.93,7.17
32.24,7.15
32.57,7.14
32.89,7.12
33.22,7.10
33.55,7.08
33.89,7.05
34.23,7.03
34.57,7.01
34.92,6.99
35.27,6.96
35.62,6.94
35.97,6.92
36.33,6.89
36.70,6.87
37.06,6.84
37.43,6.82
37.81,6.79
38.19,6.77
38.57,6.74
38.95,6.71
39.34,6.68
39.74,6.65
40.14,6.62
40.54,6.59
40.94,6.56
41.35,6.53
41.76,6.50
42.18,6.47
42.60,6.44
43.03,6.41
43.46,6.38
43.90,6.34
44.33,6.31
44.78,6.27
45.23,6.24
45.68,6.21
46.13,6.17
46.60,6.13
47.06,6.09
47.53,6.06
48.01,6.03
48.49,5.99
48.97,5.95
49.46,5.90
49.96,5.85
50.46,5.82
50.96,5.79
51.47,5.76
51.99,5.71
52.51,5.67
53.03,5.63
53.56,5.59
54.10,5.56
54.64,5.52
55.18,5.48
55.74,5.43
56.29,5.38
56.86,5.32
57.42,5.27
58.00,5.23
58.58,5.19
59.16,5.14
59.76,5.10
60.35,5.05
60.96,5.01
61.57,4.95
62.18,4.90
62.80,4.86
63.43,4.81
64.07,4.76
64.71,4.71
65.35,4.66
66.01,4.61
66.67,4.56
67.33,4.51
68.01,4.45
68.69,4.41
69.37,4.35
70.07,4.30
70.77,4.24
71.48,4.19
72.19,4.14
72.91,4.08
73.64,4.03
74.38,3.97
75.12,3.92
75.87,3.87
76.63,3.81
77.40,3.75
78.17,3.70
78.95,3.65
