frequency,raw
20.00,7.38
20.20,7.37
20.40,7.37
20.61,7.37
20.81,7.37
21.02,7.36
21.23,7.36
21.44,7.35
21.66,7.35
21.87,7.35
22.09,7.34
22.31,7.34
22.54,7.34
22.76,7.33
22.99,7.33
23.22,7.33
23.45,7.33
23.69,7.32
23.92,7.32
24.16,7.32
24.40,7.31
24.65,7.30
24.89,7.30
25.14,7.29
25.39,7.28
25.65,7.28
25.91,7.27
26.16,7.26
26.43,7.25
26.69,7.24
26.96,7.23
27.23,7.22
27.50,7.21
27.77,7.20
28.05,7.19
28.33,7.17
28.62,7.16
28.90,7.15
29.19,7.14
29.48,7.12
29.78,7.11
30.08,7.10
30.38,7.08
30.68,7.07
30.99,7.05
31.30,7.04
31.61,7.02
31.93,7.00
32.24,6.98
32.57,6.96
32.89,6.95
33.22,6.93
33.55,6.91
33.89,6.89
34.23,6.87
34.57,6.85
34.92,6.83
35.27,6.81
35.62,6.79
35.97,6.77
36.33,6.74
36.70,6.72
37.06,6.70
37.43,6.68
37.81,6.65
38.19,6.63
38.57,6.60
38.95,6.58
39.34,6.55
39.74,6.53
40.14,6.50
40.54,6.48
40.94,6.45
41.35,6.42
41.76,6.39
42.18,6.36
42.60,6.33
43.03,6.30
43.46,6.27
43.90,6.24
44.33,6.21
44.78,6.18
45.23,6.15
45.68,6.12
46.13,6.09
46.60,6.05
47.06,6.02
47.53,5.98
48.01,5.95
48.49,5.92
48.97,5.88
49.46,5.84
49.96,5.80
50.46,5.77
50.96,5.73
51.47,5.69
51.99,5.65
52.51,5.61
53.03,5.59
53.56,5.56
54.10,5.52
54.64,5.46
55.18,5.41
55.74,5.38
56.29,5.34
56.86,5.30
57.42,5.25
58.00,5.20
58.58,5.16
59.16,5.11
59.76,5.07
60.35,5.03
60.96,4.99
61.57,4.94
62.18,4.90
62.80,4.85
63.43,4.80
64.07,4.76
64.71,4.71
65.35,4.66
66.01,4.62
66.67,4.56
67.33,4.51
68.01,4.46
68.69,4.41
69.37,4.36
70.07,4.31
70.77,4.27
71.48,4.21
72.19,4.16
72.91,4.11
73.64,4.06
74.38,4.01
75.12,3.96
75.87,3.91
76.63,3.85
77.40,3.79
78.17,3.74
78.95,3.69
79.74,3.64
80.54,3.58
81.35,3.53
82.16,3.47
82.98,3.42
83.81,3.37
84.65,3.31
85.50,3.25
86.35,3.20
87.22,3.14
88.09,3.09
88.97,3.03
89.86,2.98
90.76,2.92
91.66,2.86
92.58,2.81
93.51,2.75
94.44,2.70
95.39,2.64
96.34,2.59
97.30,2.53
98.28,2.48
99.26,2.42
100.25,2.37
101.25,2.31
102.27,2.26
103.29,2.20
104.32,2.15
105.37,2.09
106.42,2.04
107.48,1.99
108.56,1.93
109.64,1.88
110.74,1.82
111.85,1.77
112.97,1.72
114.10,1.67
115.24,1.61
116.39,1.56
117.55,1.51
118.73,1.46
119.92,1.40
121.12,1.35
122.33,1.30
123.55,1.25
124.79,1.20
126.03,1.15
127.29,1.11
128.57,1.06
129.85,1.01
131.15,0.96
132.46,0.91
133.79,0.87
135.12,0.82
136.48,0.77
137.84,0.73
139.22,0.68
140.61,0.64
142.02,0.60
143.44,0.55
144.87,0.51
146.32,0.47
147.78,0.42
149.26,0.38
150.75,0.34
152.26,0.30
153.78,0.26
155.32,0.22
156.88,0.17
158.44,0.13
160.03,0.09
161.63,0.06
163.24,0.02
164.88,-0.03
166.53,-0.07
168.19,-0.11
169.87,-0.15
171.57,-0.19
173.29,-0.23
175.02,-0.27
176.77,-0.30
178.54,-0.33
180.32,-0.35
182.13,-0.36
183.95,-0.36
185.79,-0.38
187.65,-0.39
189.52,-0.41
191.42,-0.43
193.33,-0.46
195.27,-0.49
197.22,-0.51
199.19,-0.53
201.18,-0.56
203.19,-0.58
205.23,-0.59
207.28,-0.60
209.35,-0.61
211.44,-0.62
213.56,-0.63
215.69,-0.65
217.85,-0.66
220.03,-0.69
222.23,-0.71
224.45,-0.73
226.70,-0.75
228.96,-0.77
231.25,-0.79
233.57,-0.81
235.90,-0.83
238.26,-0.84
240.64,-0.86
243.05,-0.88
245.48,-0.89
247.93,-0.91
250.41,-0.93
252.92,-0.94
255.45,-0.96
258.00,-0.97
260.58,-0.99
263.19,-1.00
265.82,-1.02
268.48,-1.04
271.16,-1.05
273.87,-1.07
276.61,-1.08
279.38,-1.10
282.17,-1.11
284.99,-1.13
287.84,-1.14
290.72,-1.15
293.63,-1.16
296.57,-1.17
299.53,-1.18
302.53,-1.19
305.55,-1.19
308.61,-1.20
311.69,-1.21
314.81,-1.23
317.96,-1.24
321.14,-1.25
324.35,-1.26
327.59,-1.26
330.87,-1.27
334.18,-1.27
337.52,-1.27
340.90,-1.28
344.30,-1.28
347.75,-1.28
351.23,-1.29
354.74,-1.29
358.28,-1.30
361.87,-1.31
365.49,-1.31
369.14,-1.32
372.83,-1.33
376.56,-1.34
380.33,-1.35
384.13,-1.36
387.97,-1.37
391.85,-1.37
395.77,-1.38
399.73,-1.39
403.72,-1.40
407.76,-1.40
411.84,-1.41
415.96,-1.41
420.12,-1.42
424.32,-1.42
428.56,-1.42
432.85,-1.42
437.18,-1.41
441.55,-1.41
445.96,-1.40
450.42,-1.40
454.93,-1.39
459.48,-1.39
464.07,-1.39
468.71,-1.40
473.40,-1.40
478.13,-1.40
482.91,-1.40
487.74,-1.41
492.62,-1.41
497.55,-1.41
502.52,-1.42
507.55,-1.42
512.62,-1.42
517.75,-1.42
522.93,-1.42
528.16,-1.42
533.44,-1.42
538.77,-1.42
544.16,-1.42
549.60,-1.42
555.10,-1.42
560.65,-1.42
566.25,-1.42
571.92,-1.41
577.64,-1.41
583.41,-1.41
589.25,-1.41
595.14,-1.40
601.09,-1.40
607.10,-1.40
613.17,-1.39
619.30,-1.38
625.50,-1.38
631.75,-1.37
638.07,-1.36
644.45,-1.35
650.89,-1.35
657.40,-1.34
663.98,-1.33
670.62,-1.32
677.32,-1.31
684.10,-1.30
690.94,-1.29
697.85,-1.29
704.83,-1.28
711.87,-1.27
718.99,-1.25
726.18,-1.24
733.44,-1.23
740.78,-1.22
748.19,-1.20
755.67,-1.19
763.23,-1.17
770.86,-1.16
778.57,-1.14
786.35,-1.12
794.22,-1.10
802.16,-1.08
810.18,-1.06
818.28,-1.04
826.46,-1.01
834.73,-0.98
843.08,-0.95
851.51,-0.92
860.02,-0.88
868.62,-0.84
877.31,-0.80
886.08,-0.76
894.94,-0.71
903.89,-0.66
912.93,-0.61
922.06,-0.55
931.28,-0.49
940.59,-0.43
950.00,-0.37
959.50,-0.30
969.09,-0.23
978.78,-0.16
988.57,-0.09
998.46,-0.01
1008.44,0.07
1018.53,0.15
1028.71,0.23
1039.00,0.31
1049.39,0.40
1059.88,0.48
1070.48,0.57
1081.19,0.66
1092.00,0.75
1102.92,0.84
1113.95,0.93
1125.09,1.02
1136.34,1.11
1147.70,1.20
1159.18,1.28
1170.77,1.37
1182.48,1.46
1194.30,1.54
1206.25,1.62
1218.31,1.70
1230.49,1.77
1242.80,1.85
1255.22,1.92
1267.78,1.98
1280.45,2.05
1293.26,2.11
1306.19,2.16
1319.25,2.22
1332.45,2.27
1345.77,2.32
1359.23,2.37
1372.82,2.41
1386.55,2.45
1400.41,2.48
1414.42,2.52
1428.56,2.55
1442.85,2.57
1457.28,2.60
1471.85,2.63
1486.57,2.65
1501.43,2.67
1516.45,2.68
1531.61,2.70
1546.93,2.72
1562.40,2.73
1578.02,2.74
1593.80,2.75
1609.74,2.76
1625.84,2.77
1642.10,2.78
1658.52,2.79
1675.10,2.79
1691.85,2.80
1708.77,2.81
1725.86,2.82
1743.12,2.83
1760.55,2.84
1778.15,2.85
1795.94,2.86
1813.90,2.88
1832.03,2.89
1850.36,2.91
1868.86,2.93
1887.55,2.96
1906.42,2.98
1925.49,3.01
1944.74,3.04
1964.19,3.08
1983.83,3.12
2003.67,3.16
2023.71,3.21
2043.94,3.26
2064.38,3.31
2085.03,3.37
2105.88,3.43
2126.94,3.50
2148.20,3.57
2169.69,3.64
2191.38,3.71
2213.30,3.79
2235.43,3.87
2257.78,3.95
2280.36,4.03
2303.17,4.11
2326.20,4.19
2349.46,4.27
2372.95,4.35
2396.68,4.42
2420.65,4.48
2444.86,4.55
2469.31,4.60
2494.00,4.65
2518.94,4.69
2544.13,4.73
2569.57,4.75
2595.27,4.77
2621.22,4.78
2647.43,4.78
2673.90,4.76
2700.64,4.74
2727.65,4.72
2754.93,4.68
2782.48,4.64
2810.30,4.59
2838.40,4.53
2866.79,4.47
2895.46,4.41
2924.41,4.34
2953.65,4.27
2983.19,4.20
3013.02,4.12
3043.15,4.04
3073.58,3.97
3104.32,3.89
3135.36,3.82
3166.72,3.76
3198.38,3.70
3230.37,3.66
3262.67,3.62
3295.30,3.60
3328.25,3.57
3361.53,3.55
3395.15,3.54
3429.10,3.52
3463.39,3.50
3498.03,3.48
3533.01,3.47
3568.34,3.46
3604.02,3.44
3640.06,3.43
3676.46,3.42
3713.22,3.40
3750.36,3.38
3787.86,3.35
3825.74,3.32
3864.00,3.27
3902.64,3.20
3941.66,3.12
3981.08,3.00
4020.89,2.89
4061.10,2.78
4101.71,2.69
4142.73,2.59
4184.15,2.46
4226.00,2.33
4268.26,2.20
4310.94,2.08
4354.05,1.97
4397.59,1.89
4441.56,1.82
4485.98,1.80
4530.84,1.80
4576.15,1.83
4621.91,1.87
4668.13,1.91
4714.81,1.93
4761.96,1.94
4809.58,1.91
4857.67,1.85
4906.25,1.75
4955.31,1.62
5004.87,1.45
5054.91,1.25
5105.46,1.02
5156.52,0.77
5208.08,0.51
5260.16,0.24
5312.77,-0.04
5365.89,-0.32
5419.55,-0.60
5473.75,-0.87
5528.49,-1.13
5583.77,-1.37
5639.61,-1.59
5696.00,-1.80
5752.96,-1.98
5810.49,-2.14
5868.60,-2.26
5927.28,-2.35
5986.56,-2.42
6046.42,-2.44
6106.89,-2.43
6167.96,-2.38
6229.64,-2.29
6291.93,-2.15
6354.85,-1.96
6418.40,-1.74
6482.58,-1.48
6547.41,-1.18
6612.88,-0.84
6679.01,-0.46
6745.80,-0.03
6813.26,0.42
6881.39,0.90
6950.21,1.38
7019.71,1.83
7089.91,2.19
7160.81,2.41
7232.41,2.52
7304.74,2.52
7377.79,2.35
7451.56,2.10
7526.08,1.82
7601.34,1.51
7677.35,1.24
7754.13,0.97
7831.67,0.77
7909.98,0.61
7989.08,0.49
8068.98,0.45
8149.67,0.45
8231.16,0.51
8313.47,0.62
8396.61,0.75
8480.57,0.93
8565.38,1.13
8651.03,1.34
8737.54,1.54
8824.92,1.73
8913.17,1.88
9002.30,2.01
9092.32,2.06
9183.25,2.05
9275.08,1.99
9367.83,1.89
9461.51,1.72
9556.12,1.53
9651.68,1.31
9748.20,1.09
9845.68,0.87
9944.14,0.66
10043.58,0.46
10144.02,0.28
10245.46,0.11
10347.91,-0.06
10451.39,-0.21
10555.91,-0.37
10661.46,-0.50
10768.08,-0.62
10875.76,-0.70
10984.52,-0.74
11094.36,-0.76
11205.31,-0.75
11317.36,-0.69
11430.53,-0.63
11544.84,-0.60
11660.29,-0.61
11776.89,-0.65
11894.66,-0.76
12013.60,-0.88
12133.74,-1.02
12255.08,-1.19
12377.63,-1.37
12501.41,-1.56
12626.42,-1.76
12752.68,-1.95
12880.21,-2.13
13009.01,-2.28
13139.10,-2.44
13270.49,-2.53
13403.20,-2.57
13537.23,-2.53
13672.60,-2.41
13809.33,-2.22
13947.42,-1.94
14086.90,-1.61
14227.77,-1.27
14370.04,-0.99
14513.74,-0.83
14658.88,-1.09
14805.47,-1.56
14953.52,-2.41
15103.06,-3.49
15254.09,-4.68
15406.63,-5.87
15560.70,-7.01
15716.30,-8.06
15873.47,-8.92
16032.20,-9.67
16192.52,-10.13
16354.45,-10.35
16517.99,-10.39
16683.17,-9.98
16850.01,-9.21
17018.51,-8.18
17188.69,-6.98
17360.58,-6.83
17534.18,-7.61
17709.53,-9.82
17886.62,-12.08
18065.49,-14.23
18246.14,-16.16
18428.60,-17.87
18612.89,-19.34
18799.02,-20.67
18987.01,-22.00
19176.88,-23.10
19368.65,-24.39
19562.33,-25.99
19757.96,-28.02
19955.54,-30.04
