frequency,raw
20.00,11.91
20.20,11.90
20.40,11.90
20.61,11.90
20.81,11.89
21.02,11.89
21.23,11.88
21.44,11.88
21.66,11.87
21.87,11.87
22.09,11.87
22.31,11.86
22.54,11.86
22.76,11.86
22.99,11.85
23.22,11.84
23.45,11.84
23.69,11.83
23.92,11.83
24.16,11.82
24.40,11.82
24.65,11.81
24.89,11.81
25.14,11.80
25.39,11.79
25.65,11.78
25.91,11.77
26.16,11.76
26.43,11.75
26.69,11.74
26.96,11.73
27.23,11.72
27.50,11.71
27.77,11.70
28.05,11.68
28.33,11.67
28.62,11.66
28.90,11.65
29.19,11.63
29.48,11.62
29.78,11.60
30.08,11.59
30.38,11.57
30.68,11.56
30.99,11.54
31.30,11.53
31.61,11.51
31.93,11.49
32.24,11.48
32.57,11.46
32.89,11.44
33.22,11.42
33.55,11.40
33.89,11.38
34.23,11.36
34.57,11.34
34.92,11.32
35.27,11.30
35.62,11.28
35.97,11.26
36.33,11.24
36.70,11.22
37.06,11.20
37.43,11.18
37.81,11.15
38.19,11.13
38.57,11.10
38.95,11.07
39.34,11.05
39.74,11.02
40.14,11.00
40.54,10.97
40.94,10.94
41.35,10.91
41.76,10.89
42.18,10.86
42.60,10.83
43.03,10.80
43.46,10.77
43.90,10.74
44.33,10.71
44.78,10.68
45.23,10.65
45.68,10.62
46.13,10.59
46.60,10.55
47.06,10.52
47.53,10.48
48.01,10.44
48.49,10.41
48.97,10.37
49.46,10.34
49.96,10.30
50.46,10.27
50.96,10.23
51.47,10.19
51.99,10.15
52.51,10.12
53.03,10.08
53.56,10.04
54.10,10.00
54.64,9.96
55.18,9.92
55.74,9.88
56.29,9.83
56.86,9.79
57.42,9.75
58.00,9.71
58.58,9.66
59.16,9.62
59.76,9.57
60.35,9.52
60.96,9.48
61.57,9.43
62.18,9.38
62.80,9.34
63.43,9.29
64.07,9.24
64.71,9.19
65.35,9.14
66.01,9.09
66.67,9.04
67.33,8.99
68.01,8.94
68.69,8.88
69.37,8.83
70.07,8.77
70.77,8.72
71.48,8.67
72.19,8.61
72.91,8.56
73.64,8.50
74.38,8.45
75.12,8.39
75.87,8.33
76.63,8.28
77.40,8.22
78.17,8.16
78.95,8.10
79.74,8.04
80.54,7.98
81.35,7.92
82.16,7.85
82.98,7.79
83.81,7.73
84.65,7.67
85.50,7.61
86.35,7.54
87.22,7.48
88.09,7.42
88.97,7.35
89.86,7.29
90.76,7.22
91.66,7.16
92.58,7.09
93.51,7.02
94.44,6.96
95.39,6.89
96.34,6.82
97.30,6.75
98.28,6.69
99.26,6.62
100.25,6.55
101.25,6.48
102.27,6.41
103.29,6.34
104.32,6.27
105.37,6.20
106.42,6.13
107.48,6.06
108.56,5.99
109.64,5.92
110.74,5.85
111.85,5.78
112.97,5.70
114.10,5.63
115.24,5.56
116.39,5.49
117.55,5.41
118.73,5.34
119.92,5.27
121.12,5.20
122.33,5.13
123.55,5.06
124.79,4.98
126.03,4.91
127.29,4.84
128.57,4.76
