frequency,raw
20.00,6.77
20.20,6.78
20.40,6.80
20.61,6.81
20.81,6.82
21.02,6.83
21.23,6.85
21.44,6.86
21.66,6.87
21.87,6.88
22.09,6.89
22.31,6.91
22.54,6.91
22.76,6.92
22.99,6.93
23.22,6.94
23.45,6.94
23.69,6.95
23.92,6.96
24.16,6.97
24.40,6.97
24.65,6.98
24.89,6.98
25.14,6.99
25.39,6.99
25.65,7.00
25.91,7.01
26.16,7.01
26.43,7.02
26.69,7.03
26.96,7.03
27.23,7.04
27.50,7.04
27.77,7.05
28.05,7.05
28.33,7.05
28.62,7.05
28.90,7.05
29.19,7.05
29.48,7.06
29.78,7.06
30.08,7.06
30.38,7.05
30.68,7.05
30.99,7.05
31.30,7.04
31.61,7.04
31.93,7.03
32.24,7.03
32.57,7.03
32.89,7.02
33.22,7.02
33.55,7.02
33.89,7.01
34.23,7.01
34.57,7.00
34.92,6.99
35.27,6.99
35.62,6.98
35.97,6.97
36.33,6.96
36.70,6.95
37.06,6.94
37.43,6.93
37.81,6.92
38.19,6.91
38.57,6.90
38.95,6.89
39.34,6.88
39.74,6.87
40.14,6.85
40.54,6.84
40.94,6.83
41.35,6.81
41.76,6.80
42.18,6.78
42.60,6.77
43.03,6.76
43.46,6.74
43.90,6.72
44.33,6.70
44.78,6.69
45.23,6.67
45.68,6.66
46.13,6.64
46.60,6.62
47.06,6.60
47.53,6.58
48.01,6.56
48.49,6.54
48.97,6.52
49.46,6.50
49.96,6.49
50.46,6.46
50.96,6.43
51.47,6.40
51.99,6.37
52.51,6.34
53.03,6.32
53.56,6.30
54.10,6.28
54.64,6.25
55.18,6.22
55.74,6.19
56.29,6.16
56.86,6.13
57.42,6.10
58.00,6.08
58.58,6.05
59.16,6.02
59.76,5.98
60.35,5.96
60.96,5.94
61.57,5.90
62.18,5.85
62.80,5.83
63.43,5.80
64.07,5.76
64.71,5.72
65.35,5.69
66.01,5.67
66.67,5.62
67.33,5.58
68.01,5.54
68.69,5.51
69.37,5.47
70.07,5.43
70.77,5.39
71.48,5.36
72.19,5.33
72.91,5.28
73.64,5.23
74.38,5.19
75.12,5.15
75.87,5.11
76.63,5.07
77.40,5.02
78.17,4.98
78.95,4.95
79.74,4.90
80.54,4.85
81.35,4.80
82.16,4.76
82.98,4.72
83.81,4.67
84.65,4.62
85.50,4.57
86.35,4.53
87.22,4.48
88.09,4.43
88.97,4.39
89.86,4.34
90.76,4.29
91.66,4.24
92.58,4.19
93.51,4.14
94.44,4.09
95.39,4.04
96.34,3.99
97.30,3.94
98.28,3.89
99.26,3.83
100.25,3.78
101.25,3.73
102.27,3.68
103.29,3.63
104.32,3.58
105.37,3.53
106.42,3.48
107.48,3.43
108.56,3.37
109.64,3.32
110.74,3.27
111.85,3.22
112.97,3.16
114.10,3.11
115.24,3.06
116.39,3.01
117.55,2.96
118.73,2.90
119.92,2.85
121.12,2.80
122.33,2.76
123.55,2.70
124.79,2.65
126.03,2.60
127.29,2.55
128.57,2.50
129.85,2.46
131.15,2.41
132.46,2.36
133.79,2.31
135.12,2.26
136.48,2.22
137.84,2.17
139.22,2.13
140.61,2.08
142.02,2.04
143.44,1.99
144.87,1.95
146.32,1.91
147.78,1.87
149.26,1.83
150.75,1.78
152.26,1.74
153.78,1.70
155.32,1.66
156.88,1.63
158.44,1.59
160.03,1.55
161.63,1.52
163.24,1.48
164.88,1.45
166.53,1.42
168.19,1.38
169.87,1.35
171.57,1.32
173.29,1.29
175.02,1.26
176.77,1.23
178.54,1.20
180.32,1.18
182.13,1.15
183.95,1.13
185.79,1.10
187.65,1.08
189.52,1.05
191.42,1.03
193.33,1.01
195.27,0.99
197.22,0.97
199.19,0.95
201.18,0.94
203.19,0.92
205.23,0.90
207.28,0.89
209.35,0.87
211.44,0.86
213.56,0.85
215.69,0.83
217.85,0.82
220.03,0.81
222.23,0.80
224.45,0.79
226.70,0.78
228.96,0.77
231.25,0.77
233.57,0.76
235.90,0.76
238.26,0.75
240.64,0.74
243.05,0.73
245.48,0.73
247.93,0.73
250.41,0.72
252.92,0.72
255.45,0.71
258.00,0.71
260.58,0.70
263.19,0.70
265.82,0.70
268.48,0.69
271.16,0.69
273.87,0.69
276.61,0.69
279.38,0.69
282.17,0.69
284.99,0.69
287.84,0.69
