frequency,raw
20.00,0.94
20.20,0.97
20.40,1.00
20.61,1.03
20.81,1.06
21.02,1.08
21.23,1.10
21.44,1.12
21.66,1.14
21.87,1.16
22.09,1.18
22.31,1.21
22.54,1.23
22.76,1.26
22.99,1.29
23.22,1.33
23.45,1.36
23.69,1.38
23.92,1.40
24.16,1.42
24.40,1.43
24.65,1.45
24.89,1.46
25.14,1.47
25.39,1.49
25.65,1.50
25.91,1.51
26.16,1.52
26.43,1.53
26.69,1.54
26.96,1.55
27.23,1.55
27.50,1.56
27.77,1.57
28.05,1.58
28.33,1.58
28.62,1.59
28.90,1.59
29.19,1.59
29.48,1.59
29.78,1.59
30.08,1.60
30.38,1.60
30.68,1.61
30.99,1.61
31.30,1.61
31.61,1.61
31.93,1.60
32.24,1.60
32.57,1.59
32.89,1.59
33.22,1.58
33.55,1.57
33.89,1.56
34.23,1.55
34.57,1.54
34.92,1.53
35.27,1.52
35.62,1.51
35.97,1.51
36.33,1.49
36.70,1.48
37.06,1.46
37.43,1.45
37.81,1.43
38.19,1.42
38.57,1.40
38.95,1.38
39.34,1.36
39.74,1.34
40.14,1.33
40.54,1.31
40.94,1.29
41.35,1.27
41.76,1.25
42.18,1.23
42.60,1.21
43.03,1.19
43.46,1.17
43.90,1.15
44.33,1.12
44.78,1.09
45.23,1.07
45.68,1.05
46.13,1.02
46.60,0.99
47.06,0.96
47.53,0.94
48.01,0.91
48.49,0.89
48.97,0.86
49.46,0.83
49.96,0.80
50.46,0.77
50.96,0.74
51.47,0.71
51.99,0.67
52.51,0.64
53.03,0.61
53.56,0.58
54.10,0.55
54.64,0.51
55.18,0.48
55.74,0.44
56.29,0.41
56.86,0.38
57.42,0.35
58.00,0.32
58.58,0.28
59.16,0.25
59.76,0.22
60.35,0.18
60.96,0.13
61.57,0.07
62.18,0.04
62.80,0.01
63.43,-0.03
64.07,-0.07
64.71,-0.10
65.35,-0.14
66.01,-0.17
66.67,-0.22
67.33,-0.27
68.01,-0.31
68.69,-0.35
69.37,-0.39
70.07,-0.44
70.77,-0.48
71.48,-0.52
72.19,-0.57
72.91,-0.62
73.64,-0.67
74.38,-0.72
75.12,-0.76
75.87,-0.81
76.63,-0.86
77.40,-0.91
78.17,-0.96
78.95,-1.00
79.74,-1.05
80.54,-1.10
81.35,-1.15
82.16,-1.19
82.98,-1.24
83.81,-1.28
84.65,-1.33
85.50,-1.37
86.35,-1.42
87.22,-1.47
88.09,-1.51
88.97,-1.54
89.86,-1.58
90.76,-1.62
91.66,-1.66
92.58,-1.70
93.51,-1.73
94.44,-1.75
95.39,-1.77
96.34,-1.80
97.30,-1.81
98.28,-1.83
99.26,-1.84
100.25,-1.85
101.25,-1.87
102.27,-1.88
103.29,-1.89
104.32,-1.90
105.37,-1.93
106.42,-1.94
107.48,-1.95
108.56,-1.97
109.64,-2.00
110.74,-2.04
111.85,-2.08
112.97,-2.11
114.10,-2.15
115.24,-2.20
116.39,-2.24
117.55,-2.29
118.73,-2.33
119.92,-2.37
121.12,-2.42
122.33,-2.48
123.55,-2.52
124.79,-2.56
126.03,-2.61
127.29,-2.64
128.57,-2.67
129.85,-2.71
131.15,-2.74
132.46,-2.78
133.79,-2.81
135.12,-2.84
136.48,-2.87
137.84,-2.89
139.22,-2.92
140.61,-2.94
142.02,-2.97
143.44,-3.00
144.87,-3.03
146.32,-3.07
147.78,-3.10
149.26,-3.15
150.75,-3.19
152.26,-3.23
153.78,-3.28
155.32,-3.31
156.88,-3.30
158.44,-3.36
160.03,-3.47
161.63,-3.50
163.24,-3.55
164.88,-3.60
166.53,-3.64
168.19,-3.69
169.87,-3.74
171.57,-3.78
173.29,-3.81
175.02,-3.85
176.77,-3.88
178.54,-3.89
180.32,-3.90
182.13,-3.94
183.95,-3.97
185.79,-3.98
187.65,-3.97
189.52,-3.98
191.42,-3.99
193.33,-4.01
195.27,-4.02
197.22,-3.97
199.19,-3.97
201.18,-3.95
203.19,-3.92
205.23,-3.89
207.28,-3.87
209.35,-3.84
211.44,-3.81
213.56,-3.78
215.69,-3.75
217.85,-3.74
220.03,-3.70
222.23,-3.69
224.45,-3.67
226.70,-3.65
228.96,-3.64
231.25,-3.63
233.57,-3.63
235.90,-3.63
238.26,-3.64
240.64,-3.64
243.05,-3.65
245.48,-3.65
247.93,-3.64
250.41,-3.63
252.92,-3.64
255.45,-3.63
258.00,-3.61
260.58,-3.60
263.19,-3.58
265.82,-3.56
268.48,-3.55
271.16,-3.54
273.87,-3.52
276.61,-3.51
279.38,-3.51
282.17,-3.52
284.99,-3.53
287.84,-3.52
290.72,-3.52
293.63,-3.51
296.57,-3.50
299.53,-3.49
302.53,-3.48
305.55,-3.47
308.61,-3.46
311.69,-3.47
314.81,-3.44
317.96,-3.44
321.14,-3.44
324.35,-3.43
327.59,-3.44
330.87,-3.44
334.18,-3.43
337.52,-3.42
340.90,-3.40
344.30,-3.39
347.75,-3.36
351.23,-3.35
354.74,-3.34
358.28,-3.34
361.87,-3.33
365.49,-3.30
369.14,-3.28
372.83,-3.26
376.56,-3.23
380.33,-3.21
384.13,-3.20
387.97,-3.18
391.85,-3.17
395.77,-3.16
399.73,-3.15
403.72,-3.15
407.76,-3.13
