frequency,raw
20.00,-8.83
20.20,-8.76
20.40,-8.68
20.61,-8.61
20.81,-8.55
21.02,-8.49
21.23,-8.42
21.44,-8.35
21.66,-8.26
21.87,-8.17
22.09,-8.06
22.31,-7.94
22.54,-7.82
22.76,-7.69
22.99,-7.58
23.22,-7.48
23.45,-7.39
23.69,-7.32
23.92,-7.26
24.16,-7.20
24.40,-7.14
24.65,-7.07
24.89,-6.99
25.14,-6.91
25.39,-6.82
25.65,-6.74
25.91,-6.66
26.16,-6.59
26.43,-6.52
26.69,-6.45
26.96,-6.38
27.23,-6.30
27.50,-6.22
27.77,-6.14
28.05,-6.06
28.33,-5.98
28.62,-5.90
28.90,-5.82
29.19,-5.75
29.48,-5.67
29.78,-5.60
30.08,-5.52
30.38,-5.45
30.68,-5.38
30.99,-5.30
31.30,-5.23
31.61,-5.15
31.93,-5.08
32.24,-5.01
32.57,-4.95
32.89,-4.89
33.22,-4.83
33.55,-4.77
33.89,-4.71
34.23,-4.64
34.57,-4.58
34.92,-4.52
35.27,-4.45
35.62,-4.39
35.97,-4.34
36.33,-4.29
36.70,-4.24
37.06,-4.19
37.43,-4.13
37.81,-4.07
38.19,-4.01
38.57,-3.95
38.95,-3.89
39.34,-3.84
39.74,-3.79
40.14,-3.74
40.54,-3.69
40.94,-3.62
41.35,-3.56
41.76,-3.49
42.18,-3.44
42.60,-3.39
43.03,-3.35
43.46,-3.31
43.90,-3.26
44.33,-3.22
44.78,-3.18
45.23,-3.14
45.68,-3.10
46.13,-3.06
46.60,-3.01
47.06,-2.97
47.53,-2.93
48.01,-2.90
48.49,-2.85
48.97,-2.81
49.46,-2.77
49.96,-2.73
50.46,-2.71
50.96,-2.68
51.47,-2.64
51.99,-2.60
52.51,-2.58
53.03,-2.55
53.56,-2.53
54.10,-2.50
54.64,-2.47
55.18,-2.44
55.74,-2.43
56.29,-2.41
56.86,-2.39
57.42,-2.37
58.00,-2.34
58.58,-2.33
59.16,-2.32
59.76,-2.30
60.35,-2.29
60.96,-2.29
61.57,-2.29
62.18,-2.29
62.80,-2.28
63.43,-2.27
64.07,-2.27
64.71,-2.27
65.35,-2.28
66.01,-2.28
66.67,-2.28
67.33,-2.28
68.01,-2.28
68.69,-2.29
69.37,-2.30
70.07,-2.32
70.77,-2.33
71.48,-2.33
72.19,-2.34
72.91,-2.36
73.64,-2.37
74.38,-2.39
75.12,-2.40
75.87,-2.40
76.63,-2.41
77.40,-2.43
78.17,-2.45
78.95,-2.47
79.74,-2.49
80.54,-2.50
81.35,-2.51
82.16,-2.52
82.98,-2.54
83.81,-2.55
84.65,-2.58
85.50,-2.59
86.35,-2.59
87.22,-2.60
88.09,-2.61
88.97,-2.61
89.86,-2.63
90.76,-2.64
91.66,-2.66
92.58,-2.67
93.51,-2.68
94.44,-2.70
95.39,-2.71
96.34,-2.71
97.30,-2.72
98.28,-2.73
99.26,-2.74
100.25,-2.75
101.25,-2.77
102.27,-2.79
103.29,-2.80
104.32,-2.81
105.37,-2.83
106.42,-2.86
107.48,-2.88
108.56,-2.91
109.64,-2.94
110.74,-2.96
111.85,-2.97
112.97,-2.99
114.10,-3.02
115.24,-3.04
116.39,-3.05
117.55,-3.08
118.73,-3.10
119.92,-3.10
121.12,-3.13
122.33,-3.17
123.55,-3.19
124.79,-3.22
126.03,-3.25
127.29,-3.27
128.57,-3.30
129.85,-3.32
131.15,-3.35
132.46,-3.38
133.79,-3.41
135.12,-3.43
136.48,-3.46
137.84,-3.48
139.22,-3.51
140.61,-3.54
142.02,-3.57
143.44,-3.60
144.87,-3.63
146.32,-3.66
147.78,-3.69
149.26,-3.72
150.75,-3.75
152.26,-3.79
153.78,-3.82
155.32,-3.86
156.88,-3.89
158.44,-3.92
160.03,-3.96
161.63,-3.98
163.24,-4.02
164.88,-4.06
166.53,-4.08
168.19,-4.09
169.87,-4.11
171.57,-4.12
173.29,-4.12
175.02,-4.11
176.77,-4.11
178.54,-4.09
180.32,-4.08
182.13,-4.06
183.95,-4.05
185.79,-4.04
187.65,-4.03
189.52,-4.02
191.42,-4.02
193.33,-4.03
195.27,-4.03
197.22,-4.05
199.19,-4.06
201.18,-4.08
203.19,-4.09
205.23,-4.10
207.28,-4.10
209.35,-4.10
211.44,-4.11
213.56,-4.11
215.69,-4.10
217.85,-4.09
220.03,-4.08
222.23,-4.06
224.45,-4.04
226.70,-4.02
228.96,-4.00
231.25,-3.98
233.57,-3.95
235.90,-3.93
238.26,-3.92
240.64,-3.90
243.05,-3.88
245.48,-3.87
247.93,-3.86
250.41,-3.85
252.92,-3.84
255.45,-3.83
258.00,-3.83
260.58,-3.81
263.19,-3.80
265.82,-3.79
268.48,-3.78
271.16,-3.77
273.87,-3.77
276.61,-3.76
279.38,-3.77
282.17,-3.77
