frequency,raw
20.00,-1.94
20.20,-1.91
20.40,-1.87
20.61,-1.84
20.81,-1.82
21.02,-1.81
21.23,-1.80
21.44,-1.79
21.66,-1.76
21.87,-1.74
22.09,-1.69
22.31,-1.64
22.54,-1.59
22.76,-1.54
22.99,-1.49
23.22,-1.46
23.45,-1.43
23.69,-1.41
23.92,-1.39
24.16,-1.38
24.40,-1.36
24.65,-1.34
24.89,-1.32
25.14,-1.30
25.39,-1.27
25.65,-1.25
25.91,-1.24
26.16,-1.23
26.43,-1.22
26.69,-1.22
26.96,-1.22
27.23,-1.21
27.50,-1.20
27.77,-1.19
28.05,-1.17
28.33,-1.16
28.62,-1.15
28.90,-1.15
29.19,-1.14
29.48,-1.13
29.78,-1.12
30.08,-1.11
30.38,-1.11
30.68,-1.11
30.99,-1.11
31.30,-1.12
31.61,-1.13
31.93,-1.14
32.24,-1.14
32.57,-1.13
32.89,-1.12
33.22,-1.12
33.55,-1.11
33.89,-1.12
34.23,-1.13
34.57,-1.13
34.92,-1.14
35.27,-1.14
35.62,-1.15
35.97,-1.16
36.33,-1.17
36.70,-1.18
37.06,-1.19
37.43,-1.19
37.81,-1.19
38.19,-1.19
38.57,-1.20
38.95,-1.20
39.34,-1.21
39.74,-1.21
40.14,-1.21
40.54,-1.21
40.94,-1.21
41.35,-1.21
41.76,-1.22
42.18,-1.23
42.60,-1.24
43.03,-1.25
43.46,-1.27
43.90,-1.28
44.33,-1.29
44.78,-1.30
45.23,-1.30
45.68,-1.30
46.13,-1.30
46.60,-1.30
47.06,-1.30
47.53,-1.31
48.01,-1.33
48.49,-1.35
48.97,-1.37
49.46,-1.38
49.96,-1.39
50.46,-1.39
50.96,-1.39
51.47,-1.41
51.99,-1.42
52.51,-1.43
53.03,-1.44
53.56,-1.46
54.10,-1.47
54.64,-1.48
55.18,-1.49
55.74,-1.51
56.29,-1.52
56.86,-1.53
57.42,-1.54
58.00,-1.55
58.58,-1.57
59.16,-1.58
59.76,-1.59
60.35,-1.60
60.96,-1.62
61.57,-1.65
62.18,-1.67
62.80,-1.67
63.43,-1.68
64.07,-1.69
64.71,-1.70
65.35,-1.72
66.01,-1.73
66.67,-1.74
67.33,-1.75
68.01,-1.76
68.69,-1.78
69.37,-1.79
70.07,-1.80
