frequency,raw
20.00,-3.44
20.20,-3.37
20.40,-3.31
20.61,-3.25
20.81,-3.19
21.02,-3.14
21.23,-3.09
21.44,-3.05
21.66,-3.00
21.87,-2.95
22.09,-2.90
22.31,-2.85
22.54,-2.80
22.76,-2.74
22.99,-2.68
23.22,-2.62
23.45,-2.56
23.69,-2.50
23.92,-2.45
24.16,-2.40
24.40,-2.36
24.65,-2.32
24.89,-2.29
25.14,-2.26
25.39,-2.23
25.65,-2.19
25.91,-2.16
26.16,-2.12
26.43,-2.08
26.69,-2.05
26.96,-2.03
27.23,-2.00
27.50,-1.99
27.77,-1.97
28.05,-1.95
28.33,-1.92
28.62,-1.90
28.90,-1.88
29.19,-1.86
29.48,-1.84
29.78,-1.82
30.08,-1.81
30.38,-1.79
30.68,-1.77
30.99,-1.75
31.30,-1.74
31.61,-1.73
31.93,-1.72
32.24,-1.71
32.57,-1.70
32.89,-1.69
33.22,-1.68
33.55,-1.67
33.89,-1.65
34.23,-1.65
34.57,-1.64
34.92,-1.64
35.27,-1.64
35.62,-1.64
35.97,-1.64
36.33,-1.65
36.70,-1.65
37.06,-1.65
37.43,-1.65
37.81,-1.64
38.19,-1.64
38.57,-1.63
38.95,-1.63
39.34,-1.62
39.74,-1.62
40.14,-1.62
40.54,-1.62
40.94,-1.62
41.35,-1.62
41.76,-1.63
42.18,-1.63
42.60,-1.64
43.03,-1.65
43.46,-1.67
43.90,-1.69
44.33,-1.71
44.78,-1.72
45.23,-1.73
45.68,-1.74
46.13,-1.76
46.60,-1.77
47.06,-1.78
47.53,-1.80
48.01,-1.81
48.49,-1.82
48.97,-1.83
49.46,-1.84
49.96,-1.85
50.46,-1.87
50.96,-1.89
51.47,-1.90
51.99,-1.91
52.51,-1.91
53.03,-1.92
53.56,-1.93
54.10,-1.95
54.64,-1.97
55.18,-1.99
55.74,-2.00
56.29,-2.01
56.86,-2.02
57.42,-2.03
58.00,-2.04
58.58,-2.05
59.16,-2.05
59.76,-2.07
60.35,-2.08
60.96,-2.09
61.57,-2.10
62.18,-2.11
62.80,-2.12
63.43,-2.12
64.07,-2.12
64.71,-2.13
65.35,-2.14
66.01,-2.14
66.67,-2.15
67.33,-2.17
68.01,-2.18
68.69,-2.18
69.37,-2.19
70.07,-2.21
70.77,-2.22
71.48,-2.23
72.19,-2.24
72.91,-2.24
73.64,-2.26
74.38,-2.27
75.12,-2.27
75.87,-2.28
76.63,-2.29
77.40,-2.30
78.17,-2.31
78.95,-2.31
79.74,-2.31
80.54,-2.31
81.35,-2.32
82.16,-2.33
82.98,-2.35
83.81,-2.37
84.65,-2.38
85.50,-2.39
86.35,-2.40
87.22,-2.40
88.09,-2.41
88.97,-2.43
89.86,-2.46
90.76,-2.48
91.66,-2.49
92.58,-2.50
93.51,-2.51
94.44,-2.52
95.39,-2.53
96.34,-2.54
97.30,-2.56
98.28,-2.57
99.26,-2.59
100.25,-2.60
101.25,-2.61
102.27,-2.62
103.29,-2.63
104.32,-2.64
105.37,-2.64
106.42,-2.65
107.48,-2.65
108.56,-2.66
109.64,-2.68
110.74,-2.68
111.85,-2.68
112.97,-2.69
114.10,-2.70
115.24,-2.71
116.39,-2.72
117.55,-2.72
118.73,-2.73
119.92,-2.76
121.12,-2.76
122.33,-2.74
123.55,-2.75
124.79,-2.75
126.03,-2.76
127.29,-2.76
128.57,-2.76
129.85,-2.77
131.15,-2.78
132.46,-2.77
133.79,-2.76
135.12,-2.76
136.48,-2.77
137.84,-2.78
139.22,-2.79
140.61,-2.80
142.02,-2.80
143.44,-2.81
144.87,-2.82
146.32,-2.83
147.78,-2.84
149.26,-2.84
150.75,-2.85
152.26,-2.85
