frequency,raw
20.00,-6.47
20.20,-6.42
20.40,-6.36
20.61,-6.31
20.81,-6.26
21.02,-6.21
21.23,-6.16
21.44,-6.10
21.66,-6.04
21.87,-5.98
22.09,-5.92
22.31,-5.86
22.54,-5.80
22.76,-5.74
22.99,-5.68
23.22,-5.61
23.45,-5.55
23.69,-5.49
23.92,-5.43
24.16,-5.38
24.40,-5.34
24.65,-5.31
24.89,-5.28
25.14,-5.25
25.39,-5.23
25.65,-5.19
25.91,-5.15
26.16,-5.10
26.43,-5.05
26.69,-5.00
26.96,-4.94
27.23,-4.89
27.50,-4.85
27.77,-4.81
28.05,-4.77
28.33,-4.73
28.62,-4.69
28.90,-4.65
29.19,-4.61
29.48,-4.57
29.78,-4.54
30.08,-4.50
30.38,-4.47
30.68,-4.43
30.99,-4.39
31.30,-4.35
31.61,-4.31
31.93,-4.27
32.24,-4.24
32.57,-4.20
32.89,-4.17
33.22,-4.14
33.55,-4.10
33.89,-4.06
34.23,-4.03
34.57,-3.99
34.92,-3.96
35.27,-3.93
35.62,-3.90
35.97,-3.87
36.33,-3.83
36.70,-3.80
37.06,-3.77
37.43,-3.74
37.81,-3.71
38.19,-3.69
38.57,-3.66
38.95,-3.62
39.34,-3.59
39.74,-3.56
40.14,-3.53
40.54,-3.50
40.94,-3.47
41.35,-3.44
41.76,-3.42
42.18,-3.39
42.60,-3.35
43.03,-3.32
43.46,-3.29
43.90,-3.26
44.33,-3.23
44.78,-3.20
45.23,-3.17
45.68,-3.15
46.13,-3.12
46.60,-3.10
47.06,-3.07
47.53,-3.05
48.01,-3.02
48.49,-3.00
48.97,-2.97
49.46,-2.94
49.96,-2.92
50.46,-2.90
50.96,-2.88
51.47,-2.86
51.99,-2.83
52.51,-2.81
53.03,-2.78
53.56,-2.76
54.10,-2.74
54.64,-2.73
55.18,-2.71
55.74,-2.69
56.29,-2.68
56.86,-2.67
57.42,-2.65
58.00,-2.63
58.58,-2.61
59.16,-2.59
59.76,-2.59
60.35,-2.57
60.96,-2.55
61.57,-2.54
62.18,-2.54
62.80,-2.51
63.43,-2.48
64.07,-2.45
64.71,-2.44
65.35,-2.43
66.01,-2.42
66.67,-2.41
67.33,-2.39
68.01,-2.37
68.69,-2.35
69.37,-2.33
70.07,-2.32
70.77,-2.31
71.48,-2.29
72.19,-2.28
72.91,-2.27
73.64,-2.26
74.38,-2.25
75.12,-2.24
75.87,-2.23
76.63,-2.22
77.40,-2.22
78.17,-2.21
78.95,-2.21
79.74,-2.21
80.54,-2.21
81.35,-2.21
82.16,-2.21
82.98,-2.21
83.81,-2.21
84.65,-2.21
85.50,-2.20
86.35,-2.19
87.22,-2.19
88.09,-2.18
88.97,-2.16
89.86,-2.16
90.76,-2.14
91.66,-2.13
92.58,-2.11
93.51,-2.09
94.44,-2.08
95.39,-2.07
96.34,-2.05
97.30,-2.03
98.28,-2.03
99.26,-2.02
100.25,-2.01
101.25,-2.00
102.27,-2.00
103.29,-1.99
104.32,-1.99
105.37,-1.98
106.42,-1.98
107.48,-1.98
108.56,-1.98
109.64,-1.98
110.74,-1.98
111.85,-1.98
112.97,-1.98
114.10,-1.98
115.24,-1.98
116.39,-1.98
117.55,-1.98
118.73,-1.98
119.92,-1.97
121.12,-1.97
122.33,-1.98
123.55,-1.98
124.79,-1.98
126.03,-1.99
127.29,-1.99
128.57,-1.99
129.85,-2.00
131.15,-2.00
132.46,-2.01
133.79,-2.01
135.12,-2.02
136.48,-2.02
137.84,-2.03
139.22,-2.03
140.61,-2.04
142.02,-2.05
143.44,-2.05
144.87,-2.06
146.32,-2.07
147.78,-2.08
149.26,-2.10
150.75,-2.11
152.26,-2.13
153.78,-2.14
155.32,-2.15
156.88,-2.16
158.44,-2.17
160.03,-2.17
161.63,-2.19
163.24,-2.20
164.88,-2.21
166.53,-2.22
168.19,-2.23
169.87,-2.24
171.57,-2.25
173.29,-2.26
175.02,-2.27
176.77,-2.28
178.54,-2.29
180.32,-2.30
182.13,-2.30
183.95,-2.31
185.79,-2.32
187.65,-2.33
189.52,-2.34
191.42,-2.35
193.33,-2.36
195.27,-2.37
197.22,-2.38
199.19,-2.38
201.18,-2.40
203.19,-2.41
205.23,-2.41
207.28,-2.42
209.35,-2.43
211.44,-2.44
213.56,-2.45
215.69,-2.46
217.85,-2.47
220.03,-2.48
222.23,-2.49
224.45,-2.50
226.70,-2.51
228.96,-2.52
231.25,-2.53
233.57,-2.53
235.90,-2.54
238.26,-2.55
240.64,-2.57
243.05,-2.57
245.48,-2.58
247.93,-2.59
250.41,-2.59
252.92,-2.60
255.45,-2.61
258.00,-2.61
260.58,-2.62
263.19,-2.63
265.82,-2.64
268.48,-2.65
271.16,-2.66
273.87,-2.67
276.61,-2.68
279.38,-2.70
282.17,-2.72
284.99,-2.73
287.84,-2.74
290.72,-2.76
293.63,-2.77
296.57,-2.78
299.53,-2.79
302.53,-2.79
305.55,-2.80
308.61,-2.81
311.69,-2.81
314.81,-2.82
317.96,-2.82
321.14,-2.83
324.35,-2.83
327.59,-2.84
330.87,-2.84
334.18,-2.85
337.52,-2.85
340.90,-2.86
344.30,-2.88
347.75,-2.89
351.23,-2.90
354.74,-2.91
358.28,-2.92
361.87,-2.92
365.49,-2.93
369.14,-2.93
372.83,-2.93
376.56,-2.92
380.33,-2.92
384.13,-2.92
387.97,-2.92
391.85,-2.92
395.77,-2.92
399.73,-2.92
403.72,-2.92
407.76,-2.92
411.84,-2.91
415.96,-2.91
420.12,-2.91
424.32,-2.90
428.56,-2.90
432.85,-2.90
437.18,-2.91
441.55,-2.90
445.96,-2.89
450.42,-2.89
454.93,-2.88
459.48,-2.88
464.07,-2.88
468.71,-2.87
473.40,-2.87
478.13,-2.86
482.91,-2.86
487.74,-2.84
492.62,-2.84
497.55,-2.84
502.52,-2.84
507.55,-2.83
512.62,-2.82
517.75,-2.81
522.93,-2.79
528.16,-2.78
533.44,-2.76
538.77,-2.74
544.16,-2.71
549.60,-2.70
555.10,-2.68
560.65,-2.65
566.25,-2.63
571.92,-2.61
577.64,-2.59
583.41,-2.57
589.25,-2.55
595.14,-2.52
601.09,-2.49
607.10,-2.46
613.17,-2.44
619.30,-2.42
625.50,-2.39
631.75,-2.37
638.07,-2.34
644.45,-2.30
650.89,-2.26
657.40,-2.24
663.98,-2.21
670.62,-2.18
677.32,-2.13
684.10,-2.09
690.94,-2.06
697.85,-2.02
704.83,-1.98
711.87,-1.95
718.99,-1.93
726.18,-1.88
733.44,-1.83
740.78,-1.77
748.19,-1.73
755.67,-1.68
763.23,-1.64
770.86,-1.59
778.57,-1.55
786.35,-1.50
794.22,-1.46
802.16,-1.41
810.18,-1.35
818.28,-1.29
826.46,-1.23
834.73,-1.18
843.08,-1.12
851.51,-1.06
860.02,-1.00
868.62,-0.93
877.31,-0.87
886.08,-0.83
894.94,-0.78
903.89,-0.71
912.93,-0.62
922.06,-0.56
931.28,-0.48
940.59,-0.39
950.00,-0.35
959.50,-0.28
969.09,-0.21
978.78,-0.15
988.57,-0.11
998.46,-0.01
1008.44,0.07
1018.53,0.16
1028.71,0.25
1039.00,0.31
1049.39,0.40
1059.88,0.52
1070.48,0.59
1081.19,0.61
1092.00,0.60
1102.92,0.66
1113.95,0.75
1125.09,0.82
1136.34,0.85
1147.70,0.88
1159.18,1.00
1170.77,1.14
1182.48,1.16
1194.30,1.13
1206.25,1.11
1218.31,1.19
1230.49,1.25
1242.80,1.31
1255.22,1.34
1267.78,1.40
1280.45,1.58
1293.26,1.58
1306.19,1.57
1319.25,1.55
1332.45,1.75
1345.77,1.87
1359.23,1.87
1372.82,1.85
1386.55,1.91
1400.41,2.06
1414.42,2.17
1428.56,2.28
1442.85,2.34
1457.28,2.34
1471.85,2.28
1486.57,2.32
1501.43,2.39
1516.45,2.41
1531.61,2.37
1546.93,2.26
1562.40,2.34
1578.02,2.46
1593.80,2.50
1609.74,2.45
1625.84,2.34
1642.10,2.47
1658.52,2.57
1675.10,2.65
1691.85,2.33
1708.77,2.09
1725.86,1.95
1743.12,2.12
1760.55,2.05
1778.15,1.85
1795.94,1.74
1813.90,1.65
1832.03,1.70
1850.36,1.95
1868.86,1.80
1887.55,2.04
1906.42,2.23
1925.49,1.95
1944.74,2.19
1964.19,2.22
1983.83,2.22
2003.67,2.28
2023.71,2.31
2043.94,2.35
2064.38,2.39
2085.03,2.36
2105.88,2.34
2126.94,2.39
2148.20,2.50
2169.69,2.54
2191.38,2.76
2213.30,2.94
2235.43,2.98
2257.78,3.16
2280.36,3.37
2303.17,3.55
2326.20,3.77
2349.46,3.96
2372.95,4.09
2396.68,4.18
2420.65,4.17
2444.86,4.22
2469.31,4.33
2494.00,4.56
2518.94,4.65
2544.13,4.74
2569.57,5.02
2595.27,5.23
2621.22,5.39
2647.43,5.73
2673.90,5.86
2700.64,5.92
2727.65,5.98
2754.93,6.11
2782.48,6.21
2810.30,6.25
2838.40,6.19
2866.79,6.25
2895.46,6.38
2924.41,6.44
2953.65,6.46
2983.19,6.36
3013.02,6.33
3043.15,6.39
3073.58,6.20
3104.32,6.09
3135.36,5.83
3166.72,5.55
3198.38,5.29
3230.37,5.18
3262.67,5.09
3295.30,5.01
3328.25,4.78
3361.53,4.49
3395.15,4.12
3429.10,3.86
3463.39,3.55
3498.03,3.15
3533.01,2.84
3568.34,2.57
3604.02,2.32
3640.06,1.91
3676.46,1.58
3713.22,1.25
3750.36,0.88
3787.86,0.30
3825.74,-0.27
3864.00,-0.84
3902.64,-1.60
3941.66,-2.40
3981.08,-3.27
4020.89,-3.95
4061.10,-4.40
4101.71,-3.82
4142.73,-3.38
4184.15,-3.05
4226.00,-2.81
4268.26,-2.75
4310.94,-2.92
4354.05,-2.59
4397.59,-2.45
4441.56,-2.43
4485.98,-2.56
4530.84,-2.54
4576.15,-2.50
4621.91,-2.50
4668.13,-2.57
4714.81,-2.68
4761.96,-2.82
4809.58,-2.97
4857.67,-2.95
4906.25,-3.01
4955.31,-3.14
5004.87,-3.34
5054.91,-3.50
5105.46,-3.66
5156.52,-3.80
5208.08,-3.87
5260.16,-4.02
5312.77,-4.22
5365.89,-4.46
5419.55,-4.55
5473.75,-4.60
5528.49,-4.65
5583.77,-4.59
5639.61,-4.37
5696.00,-4.08
5752.96,-3.39
5810.49,-2.63
5868.60,-1.70
5927.28,-0.73
5986.56,0.30
6046.42,1.30
6106.89,2.30
6167.96,3.24
6229.64,3.96
6291.93,4.40
6354.85,4.35
6418.40,4.03
6482.58,3.24
6547.41,2.25
6612.88,1.20
6679.01,0.21
6745.80,-0.64
6813.26,-1.36
6881.39,-1.82
6950.21,-2.07
7019.71,-2.18
7089.91,-2.12
7160.81,-1.99
7232.41,-1.86
7304.74,-1.76
7377.79,-1.81
7451.56,-1.95
7526.08,-2.12
7601.34,-2.28
7677.35,-2.47
7754.13,-2.70
7831.67,-3.18
7909.98,-3.76
7989.08,-4.51
8068.98,-5.62
8149.67,-6.90
8231.16,-8.39
8313.47,-9.29
8396.61,-9.85
8480.57,-9.72
8565.38,-8.22
8651.03,-6.97
8737.54,-6.89
8824.92,-7.46
8913.17,-8.18
9002.30,-8.92
9092.32,-9.51
9183.25,-9.70
9275.08,-9.68
9367.83,-9.59
9461.51,-8.90
9556.12,-7.80
9651.68,-6.63
9748.20,-5.73
9845.68,-5.53
9944.14,-5.23
10043.58,-5.00
10144.02,-4.96
10245.46,-5.68
10347.91,-6.34
10451.39,-6.83
10555.91,-6.69
10661.46,-6.49
10768.08,-6.26
10875.76,-6.20
10984.52,-6.29
11094.36,-6.36
11205.31,-6.28
11317.36,-5.95
11430.53,-5.66
11544.84,-5.43
11660.29,-5.22
11776.89,-5.14
11894.66,-7.00
12013.60,-9.29
12133.74,-11.87
12255.08,-13.47
12377.63,-13.66
12501.41,-13.64
12626.42,-13.84
12752.68,-14.32
12880.21,-15.54
13009.01,-17.14
13139.10,-18.74
13270.49,-19.19
13403.20,-18.70
13537.23,-18.65
13672.60,-18.50
13809.33,-18.11
13947.42,-15.54
14086.90,-12.96
14227.77,-10.37
14370.04,-8.54
14513.74,-7.57
14658.88,-7.36
14805.47,-6.84
14953.52,-5.83
15103.06,-5.10
15254.09,-4.54
15406.63,-4.95
15560.70,-5.20
15716.30,-5.19
15873.47,-4.31
16032.20,-3.34
16192.52,-2.96
16354.45,-3.37
16517.99,-4.42
16683.17,-7.21
16850.01,-9.82
17018.51,-12.21
17188.69,-13.78
17360.58,-15.29
17534.18,-16.39
17709.53,-16.02
17886.62,-13.92
18065.49,-11.25
18246.14,-8.48
18428.60,-7.78
18612.89,-7.68
18799.02,-8.11
18987.01,-9.02
19176.88,-10.45
19368.65,-11.78
19562.33,-13.13
19757.96,-14.69
19955.54,-16.25
