frequency,raw
20.00,-5.65
20.20,-5.59
20.40,-5.52
20.61,-5.45
20.81,-5.38
21.02,-5.31
21.23,-5.24
21.44,-5.17
21.66,-5.12
21.87,-5.06
22.09,-5.02
22.31,-4.98
22.54,-4.94
22.76,-4.90
22.99,-4.86
23.22,-4.81
23.45,-4.75
23.69,-4.68
23.92,-4.61
24.16,-4.54
24.40,-4.47
24.65,-4.41
24.89,-4.36
25.14,-4.31
25.39,-4.27
25.65,-4.23
25.91,-4.19
26.16,-4.15
26.43,-4.10
26.69,-4.06
26.96,-4.02
27.23,-3.98
27.50,-3.94
27.77,-3.91
28.05,-3.87
28.33,-3.83
28.62,-3.79
28.90,-3.74
29.19,-3.69
29.48,-3.65
29.78,-3.61
30.08,-3.57
30.38,-3.53
30.68,-3.49
30.99,-3.45
31.30,-3.41
31.61,-3.37
31.93,-3.32
32.24,-3.28
32.57,-3.25
32.89,-3.22
33.22,-3.19
33.55,-3.16
33.89,-3.12
34.23,-3.08
34.57,-3.04
34.92,-3.00
35.27,-2.97
35.62,-2.94
35.97,-2.91
36.33,-2.88
36.70,-2.85
37.06,-2.82
37.43,-2.79
37.81,-2.75
38.19,-2.72
38.57,-2.69
38.95,-2.66
39.34,-2.63
39.74,-2.60
40.14,-2.57
40.54,-2.53
40.94,-2.50
41.35,-2.48
41.76,-2.45
42.18,-2.43
42.60,-2.40
43.03,-2.38
43.46,-2.35
43.90,-2.32
44.33,-2.30
44.78,-2.27
45.23,-2.24
45.68,-2.21
46.13,-2.19
46.60,-2.17
47.06,-2.15
47.53,-2.13
48.01,-2.10
48.49,-2.08
48.97,-2.05
49.46,-2.02
49.96,-1.99
50.46,-1.97
50.96,-1.95
51.47,-1.93
51.99,-1.92
52.51,-1.90
53.03,-1.88
53.56,-1.86
54.10,-1.84
54.64,-1.82
55.18,-1.81
55.74,-1.80
56.29,-1.78
56.86,-1.75
57.42,-1.73
58.00,-1.70
58.58,-1.69
59.16,-1.68
59.76,-1.66
60.35,-1.65
60.96,-1.64
61.57,-1.64
62.18,-1.64
62.80,-1.62
63.43,-1.60
64.07,-1.59
64.71,-1.58
65.35,-1.57
66.01,-1.56
66.67,-1.55
67.33,-1.54
68.01,-1.53
68.69,-1.52
69.37,-1.51
70.07,-1.51
70.77,-1.51
71.48,-1.50
72.19,-1.49
72.91,-1.48
73.64,-1.48
74.38,-1.47
75.12,-1.47
75.87,-1.48
76.63,-1.47
77.40,-1.46
78.17,-1.48
78.95,-1.49
79.74,-1.48
80.54,-1.48
81.35,-1.48
82.16,-1.49
82.98,-1.49
83.81,-1.49
84.65,-1.50
85.50,-1.49
86.35,-1.48
87.22,-1.49
88.09,-1.49
88.97,-1.47
89.86,-1.46
90.76,-1.44
91.66,-1.44
92.58,-1.43
93.51,-1.43
94.44,-1.42
95.39,-1.40
96.34,-1.39
97.30,-1.36
98.28,-1.38
99.26,-1.39
100.25,-1.38
101.25,-1.38
102.27,-1.38
103.29,-1.37
104.32,-1.37
105.37,-1.37
106.42,-1.37
107.48,-1.37
108.56,-1.37
109.64,-1.37
110.74,-1.38
111.85,-1.38
112.97,-1.39
114.10,-1.39
115.24,-1.40
116.39,-1.40
117.55,-1.40
118.73,-1.41
119.92,-1.41
121.12,-1.41
122.33,-1.43
123.55,-1.43
124.79,-1.44
126.03,-1.45
127.29,-1.46
128.57,-1.47
129.85,-1.47
131.15,-1.48
132.46,-1.49
133.79,-1.49
135.12,-1.50
136.48,-1.52
137.84,-1.53
139.22,-1.54
140.61,-1.55
142.02,-1.56
143.44,-1.57
144.87,-1.58
146.32,-1.59
147.78,-1.61
149.26,-1.62
150.75,-1.63
152.26,-1.63
153.78,-1.65
155.32,-1.67
156.88,-1.67
158.44,-1.68
160.03,-1.69
161.63,-1.71
163.24,-1.73
164.88,-1.75
166.53,-1.76
168.19,-1.77
169.87,-1.80
171.57,-1.81
173.29,-1.82
175.02,-1.84
176.77,-1.84
178.54,-1.86
180.32,-1.87
182.13,-1.88
183.95,-1.90
185.79,-1.92
187.65,-1.93
189.52,-1.94
191.42,-1.96
193.33,-1.98
195.27,-2.01
197.22,-2.02
199.19,-2.03
201.18,-2.04
203.19,-2.06
205.23,-2.08
207.28,-2.09
209.35,-2.10
211.44,-2.12
213.56,-2.12
215.69,-2.14
217.85,-2.15
220.03,-2.17
222.23,-2.18
224.45,-2.20
226.70,-2.21
228.96,-2.22
231.25,-2.23
233.57,-2.25
235.90,-2.27
238.26,-2.27
240.64,-2.29
243.05,-2.31
245.48,-2.32
247.93,-2.33
250.41,-2.34
252.92,-2.35
255.45,-2.36
258.00,-2.37
260.58,-2.39
263.19,-2.40
265.82,-2.41
268.48,-2.43
271.16,-2.43
273.87,-2.44
276.61,-2.46
279.38,-2.48
282.17,-2.50
284.99,-2.51
287.84,-2.52
290.72,-2.53
293.63,-2.55
296.57,-2.56
299.53,-2.57
302.53,-2.58
305.55,-2.59
308.61,-2.60
311.69,-2.61
314.81,-2.62
317.96,-2.64
321.14,-2.65
324.35,-2.65
327.59,-2.66
330.87,-2.67
334.18,-2.68
337.52,-2.69
340.90,-2.69
344.30,-2.70
347.75,-2.71
351.23,-2.73
354.74,-2.73
358.28,-2.74
361.87,-2.75
365.49,-2.75
369.14,-2.75
372.83,-2.76
376.56,-2.75
380.33,-2.75
384.13,-2.75
387.97,-2.75
391.85,-2.75
395.77,-2.75
399.73,-2.76
403.72,-2.75
407.76,-2.74
411.84,-2.73
415.96,-2.73
420.12,-2.72
424.32,-2.71
428.56,-2.72
432.85,-2.72
437.18,-2.72
441.55,-2.71
445.96,-2.70
450.42,-2.70
454.93,-2.69
459.48,-2.69
464.07,-2.68
468.71,-2.68
473.40,-2.67
478.13,-2.67
482.91,-2.66
487.74,-2.65
492.62,-2.64
497.55,-2.65
502.52,-2.65
507.55,-2.64
512.62,-2.63
517.75,-2.61
522.93,-2.59
528.16,-2.58
533.44,-2.57
538.77,-2.55
544.16,-2.53
549.60,-2.52
555.10,-2.50
560.65,-2.47
566.25,-2.45
571.92,-2.43
577.64,-2.42
583.41,-2.40
589.25,-2.38
595.14,-2.36
601.09,-2.33
607.10,-2.30
613.17,-2.28
619.30,-2.25
625.50,-2.22
631.75,-2.20
638.07,-2.18
644.45,-2.14
650.89,-2.10
657.40,-2.08
663.98,-2.06
670.62,-2.02
677.32,-1.98
684.10,-1.94
690.94,-1.91
697.85,-1.87
704.83,-1.83
711.87,-1.80
718.99,-1.79
726.18,-1.74
733.44,-1.68
740.78,-1.62
748.19,-1.58
755.67,-1.55
763.23,-1.51
770.86,-1.46
778.57,-1.42
786.35,-1.38
794.22,-1.34
802.16,-1.29
810.18,-1.25
818.28,-1.19
826.46,-1.13
834.73,-1.08
843.08,-1.03
851.51,-0.97
860.02,-0.93
868.62,-0.86
877.31,-0.80
886.08,-0.77
894.94,-0.72
903.89,-0.65
912.93,-0.57
922.06,-0.52
931.28,-0.44
940.59,-0.37
950.00,-0.33
959.50,-0.28
969.09,-0.22
978.78,-0.17
988.57,-0.12
998.46,-0.01
1008.44,0.07
1018.53,0.14
1028.71,0.21
1039.00,0.26
1049.39,0.35
1059.88,0.47
1070.48,0.55
1081.19,0.56
1092.00,0.53
1102.92,0.60
1113.95,0.67
1125.09,0.73
1136.34,0.75
1147.70,0.80
1159.18,0.92
1170.77,1.05
1182.48,1.05
1194.30,1.07
1206.25,1.09
1218.31,1.11
1230.49,1.20
1242.80,1.29
1255.22,1.30
1267.78,1.35
1280.45,1.59
1293.26,1.57
1306.19,1.55
1319.25,1.53
1332.45,1.77
1345.77,1.93
1359.23,1.97
1372.82,1.97
1386.55,2.04
1400.41,2.19
1414.42,2.35
1428.56,2.50
1442.85,2.60
1457.28,2.58
1471.85,2.45
1486.57,2.49
1501.43,2.58
1516.45,2.64
1531.61,2.61
1546.93,2.47
1562.40,2.60
1578.02,2.79
1593.80,2.87
1609.74,2.77
1625.84,2.58
1642.10,2.81
1658.52,2.96
1675.10,3.04
1691.85,2.76
1708.77,2.52
1725.86,2.34
1743.12,2.63
1760.55,2.59
1778.15,2.33
1795.94,2.17
1813.90,2.00
1832.03,1.96
1850.36,2.16
1868.86,2.00
1887.55,2.22
1906.42,2.42
1925.49,2.21
1944.74,2.48
1964.19,2.58
1983.83,2.61
2003.67,2.64
2023.71,2.73
2043.94,2.81
2064.38,2.87
2085.03,2.85
2105.88,2.80
2126.94,2.83
2148.20,2.93
2169.69,2.83
2191.38,3.05
2213.30,3.26
2235.43,3.29
2257.78,3.52
2280.36,3.79
2303.17,4.05
2326.20,4.37
2349.46,4.64
2372.95,4.82
2396.68,4.94
2420.65,4.92
