frequency,raw
20.00,-16.20
20.20,-15.98
20.40,-15.76
20.61,-15.54
20.81,-15.35
21.02,-15.17
21.23,-15.00
21.44,-14.85
21.66,-14.71
21.87,-14.58
22.09,-14.47
22.31,-14.38
22.54,-14.30
22.76,-14.25
22.99,-14.21
23.22,-14.16
23.45,-14.11
23.69,-14.03
23.92,-13.92
24.16,-13.78
24.40,-13.61
24.65,-13.43
24.89,-13.24
25.14,-13.07
25.39,-12.90
25.65,-12.76
25.91,-12.62
26.16,-12.50
26.43,-12.38
26.69,-12.26
26.96,-12.14
27.23,-12.03
27.50,-11.90
27.77,-11.78
28.05,-11.66
28.33,-11.52
28.62,-11.39
28.90,-11.24
29.19,-11.09
29.48,-10.94
29.78,-10.79
30.08,-10.64
30.38,-10.49
30.68,-10.35
30.99,-10.20
31.30,-10.07
31.61,-9.93
31.93,-9.79
32.24,-9.65
32.57,-9.50
32.89,-9.34
33.22,-9.17
33.55,-9.01
33.89,-8.85
34.23,-8.71
34.57,-8.56
34.92,-8.41
35.27,-8.25
35.62,-8.09
35.97,-7.91
36.33,-7.74
36.70,-7.57
37.06,-7.41
37.43,-7.25
37.81,-7.10
38.19,-6.95
38.57,-6.79
38.95,-6.62
39.34,-6.45
39.74,-6.27
40.14,-6.09
40.54,-5.92
40.94,-5.74
41.35,-5.58
41.76,-5.41
42.18,-5.25
42.60,-5.09
43.03,-4.94
43.46,-4.77
43.90,-4.60
44.33,-4.43
44.78,-4.27
45.23,-4.11
45.68,-3.94
46.13,-3.77
46.60,-3.60
47.06,-3.44
47.53,-3.28
48.01,-3.11
48.49,-2.94
48.97,-2.77
49.46,-2.60
49.96,-2.43
50.46,-2.27
50.96,-2.10
51.47,-1.93
51.99,-1.77
52.51,-1.61
53.03,-1.45
53.56,-1.28
54.10,-1.11
54.64,-0.94
55.18,-0.79
55.74,-0.63
56.29,-0.47
56.86,-0.31
57.42,-0.15
58.00,0.02
58.58,0.17
59.16,0.32
59.76,0.46
60.35,0.61
60.96,0.75
61.57,0.88
62.18,1.01
62.80,1.15
63.43,1.30
64.07,1.44
64.71,1.56
65.35,1.66
66.01,1.76
66.67,1.87
67.33,1.97
68.01,2.07
68.69,2.15
69.37,2.23
70.07,2.32
70.77,2.39
71.48,2.46
72.19,2.52
72.91,2.58
73.64,2.62
74.38,2.66
75.12,2.70
75.87,2.73
76.63,2.76
77.40,2.79
78.17,2.81
78.95,2.83
79.74,2.83
80.54,2.83
81.35,2.83
82.16,2.82
82.98,2.81
83.81,2.78
84.65,2.75
85.50,2.72
86.35,2.69
87.22,2.65
88.09,2.62
88.97,2.57
89.86,2.53
90.76,2.48
91.66,2.43
92.58,2.37
93.51,2.31
94.44,2.26
95.39,2.20
96.34,2.14
97.30,2.08
98.28,2.02
99.26,1.95
100.25,1.89
101.25,1.82
102.27,1.76
103.29,1.69
104.32,1.63
105.37,1.58
106.42,1.53
107.48,1.46
108.56,1.41
109.64,1.35
110.74,1.28
111.85,1.22
112.97,1.17
114.10,1.11
115.24,1.04
116.39,0.98
117.55,0.92
118.73,0.87
119.92,0.81
121.12,0.77
122.33,0.75
123.55,0.69
124.79,0.65
126.03,0.61
127.29,0.56
128.57,0.52
129.85,0.48
131.15,0.44
132.46,0.39
133.79,0.35
135.12,0.31
136.48,0.27
137.84,0.23
139.22,0.19
140.61,0.15
142.02,0.12
143.44,0.08
144.87,0.05
146.32,0.01
147.78,-0.02
149.26,-0.06
150.75,-0.09
152.26,-0.11
153.78,-0.14
155.32,-0.16
156.88,-0.19
158.44,-0.22
160.03,-0.24
161.63,-0.26
163.24,-0.29
164.88,-0.32
166.53,-0.34
168.19,-0.36
169.87,-0.38
171.57,-0.41
173.29,-0.44
175.02,-0.47
176.77,-0.49
178.54,-0.51
180.32,-0.52
182.13,-0.55
183.95,-0.57
185.79,-0.59
187.65,-0.61
189.52,-0.62
191.42,-0.64
193.33,-0.66
195.27,-0.67
197.22,-0.68
199.19,-0.70
201.18,-0.72
203.19,-0.73
205.23,-0.75
207.28,-0.76
209.35,-0.76
211.44,-0.77
213.56,-0.78
215.69,-0.79
217.85,-0.79
220.03,-0.80
222.23,-0.81
224.45,-0.82
226.70,-0.82
228.96,-0.83
231.25,-0.83
233.57,-0.84
235.90,-0.85
238.26,-0.84
240.64,-0.83
243.05,-0.85
245.48,-0.85
247.93,-0.85
250.41,-0.85
252.92,-0.85
255.45,-0.85
258.00,-0.85
260.58,-0.85
263.19,-0.85
265.82,-0.84
268.48,-0.84
271.16,-0.83
273.87,-0.82
276.61,-0.82
279.38,-0.82
282.17,-0.80
284.99,-0.78
287.84,-0.76
290.72,-0.75
293.63,-0.74
296.57,-0.73
299.53,-0.71
302.53,-0.70
305.55,-0.69
308.61,-0.69
311.69,-0.69
314.81,-0.68
317.96,-0.67
321.14,-0.66
324.35,-0.66
327.59,-0.66
330.87,-0.65
334.18,-0.64
337.52,-0.62
340.90,-0.61
344.30,-0.59
347.75,-0.58
351.23,-0.57
354.74,-0.55
358.28,-0.54
361.87,-0.54
365.49,-0.54
369.14,-0.55
372.83,-0.57
376.56,-0.62
380.33,-0.70
384.13,-0.80
387.97,-0.90
391.85,-0.95
395.77,-0.99
399.73,-0.98
403.72,-0.94
407.76,-0.92
411.84,-0.90
415.96,-0.94
420.12,-0.99
424.32,-1.05
428.56,-1.17
432.85,-1.31
437.18,-1.49
441.55,-1.75
445.96,-2.03
450.42,-2.34
454.93,-2.68
459.48,-3.09
464.07,-3.44
468.71,-3.65
473.40,-3.62
478.13,-3.48
482.91,-3.28
487.74,-3.05
492.62,-2.85
497.55,-2.68
502.52,-2.52
507.55,-2.37
512.62,-2.22
517.75,-2.08
522.93,-1.95
528.16,-1.84
533.44,-1.73
538.77,-1.63
544.16,-1.54
549.60,-1.41
555.10,-1.26
560.65,-1.12
566.25,-1.02
571.92,-0.93
577.64,-0.85
583.41,-0.78
589.25,-0.71
595.14,-0.61
601.09,-0.51
607.10,-0.42
613.17,-0.34
619.30,-0.25
625.50,-0.17
631.75,-0.10
638.07,-0.00
644.45,0.11
650.89,0.22
657.40,0.32
663.98,0.44
670.62,0.57
677.32,0.71
684.10,0.84
690.94,0.98
697.85,1.16
704.83,1.34
711.87,1.51
718.99,1.65
726.18,1.65
733.44,1.48
740.78,1.16
748.19,0.87
755.67,0.80
763.23,0.86
770.86,1.21
778.57,1.54
786.35,1.85
794.22,2.10
802.16,2.37
810.18,2.71
818.28,3.11
826.46,3.49
834.73,3.79
843.08,3.72
851.51,3.35
860.02,2.72
868.62,2.89
877.31,3.16
886.08,2.90
894.94,1.45
903.89,-0.64
912.93,-3.42
922.06,-4.78
931.28,-4.53
940.59,-3.50
950.00,-2.38
959.50,-1.54
969.09,-0.89
978.78,-0.50
988.57,-0.41
998.46,-0.07
1008.44,0.39
1018.53,0.77
1028.71,1.00
1039.00,1.37
1049.39,1.72
1059.88,2.04
1070.48,2.20
1081.19,2.31
1092.00,2.37
1102.92,2.30
1113.95,1.58
1125.09,0.99
1136.34,0.86
1147.70,0.97
1159.18,1.46
1170.77,2.03
1182.48,2.54
1194.30,2.86
1206.25,3.18
1218.31,3.43
1230.49,3.96
1242.80,4.51
1255.22,4.85
1267.78,5.15
1280.45,5.65
1293.26,5.12
1306.19,4.60
1319.25,3.99
1332.45,4.72
1345.77,5.34
1359.23,5.71
1372.82,4.69
1386.55,1.80
1400.41,-2.95
1414.42,-4.42
1428.56,-5.88
1442.85,-3.34
1457.28,-1.51
1471.85,-0.83
1486.57,-0.21
1501.43,0.40
1516.45,1.13
1531.61,1.65
1546.93,1.91
1562.40,2.24
1578.02,2.58
1593.80,2.91
1609.74,2.99
1625.84,2.93
1642.10,3.38
1658.52,3.93
1675.10,4.56
1691.85,4.37
1708.77,4.38
1725.86,4.60
1743.12,5.36
1760.55,5.59
1778.15,5.48
1795.94,5.37
1813.90,5.19
1832.03,5.02
1850.36,4.86
1868.86,3.79
1887.55,-0.53
1906.42,-4.54
1925.49,-4.75
1944.74,-1.88
1964.19,-0.39
1983.83,0.29
2003.67,0.65
2023.71,1.18
2043.94,1.46
2064.38,1.60
2085.03,1.61
2105.88,1.89
2126.94,2.21
2148.20,2.46
2169.69,2.76
2191.38,3.07
2213.30,3.16
2235.43,3.11
2257.78,3.48
2280.36,4.04
2303.17,4.57
2326.20,4.31
2349.46,5.37
2372.95,5.35
2396.68,4.25
2420.65,2.59
2444.86,2.11
2469.31,2.43
2494.00,3.19
2518.94,3.86
2544.13,4.47
2569.57,4.90
2595.27,5.16
2621.22,5.31
2647.43,5.68
2673.90,5.71
2700.64,6.00
2727.65,6.22
2754.93,5.10
2782.48,4.69
2810.30,4.68
2838.40,5.08
2866.79,5.38
2895.46,5.61
2924.41,5.63
2953.65,5.61
2983.19,5.58
3013.02,4.96
3043.15,3.85
3073.58,4.73
3104.32,4.98
3135.36,5.23
3166.72,5.17
3198.38,4.83
3230.37,4.35
3262.67,4.11
3295.30,4.27
3328.25,2.45
3361.53,1.20
3395.15,1.65
3429.10,1.79
3463.39,1.41
3498.03,0.31
3533.01,0.94
3568.34,1.76
3604.02,2.46
3640.06,1.71
3676.46,1.25
3713.22,1.04
3750.36,1.05
3787.86,1.18
3825.74,1.09
3864.00,-0.30
3902.64,-0.56
3941.66,-0.62
3981.08,-0.60
4020.89,-0.87
4061.10,-1.39
4101.71,-0.88
4142.73,-0.01
4184.15,0.87
4226.00,-0.82
4268.26,-1.75
4310.94,-1.64
4354.05,-1.49
4397.59,-1.51
4441.56,-1.61
4485.98,-1.36
4530.84,-1.12
4576.15,-0.72
4621.91,-0.18
4668.13,1.12
4714.81,0.94
4761.96,0.20
4809.58,-0.65
4857.67,-0.09
4906.25,0.69
4955.31,1.26
5004.87,1.53
5054.91,2.02
5105.46,2.36
5156.52,2.62
5208.08,3.34
5260.16,3.17
5312.77,2.86
5365.89,2.99
5419.55,3.71
5473.75,4.50
5528.49,4.98
5583.77,4.82
5639.61,5.17
5696.00,5.73
5752.96,6.14
5810.49,6.45
5868.60,6.34
5927.28,6.09
5986.56,5.68
6046.42,5.72
6106.89,5.86
6167.96,5.82
6229.64,5.56
6291.93,5.47
6354.85,5.69
6418.40,4.94
6482.58,1.71
6547.41,0.75
6612.88,0.67
6679.01,0.77
6745.80,0.46
6813.26,0.08
6881.39,0.17
6950.21,0.65
7019.71,1.05
7089.91,0.85
7160.81,1.05
7232.41,1.30
7304.74,1.56
7377.79,2.24
7451.56,2.58
7526.08,2.88
7601.34,3.34
7677.35,3.85
7754.13,4.38
7831.67,4.86
7909.98,5.09
7989.08,4.90
8068.98,4.70
8149.67,4.39
8231.16,3.92
8313.47,3.30
8396.61,2.43
8480.57,0.72
