frequency,raw
20.00,-7.61
20.20,-7.53
20.40,-7.46
20.61,-7.39
20.81,-7.33
21.02,-7.27
21.23,-7.21
21.44,-7.15
21.66,-7.08
21.87,-7.02
22.09,-6.94
22.31,-6.85
22.54,-6.77
22.76,-6.67
22.99,-6.58
23.22,-6.49
23.45,-6.40
23.69,-6.32
23.92,-6.24
24.16,-6.16
24.40,-6.09
24.65,-6.02
24.89,-5.95
25.14,-5.88
25.39,-5.81
25.65,-5.73
25.91,-5.66
26.16,-5.60
26.43,-5.53
26.69,-5.45
26.96,-5.38
27.23,-5.31
27.50,-5.24
27.77,-5.16
28.05,-5.09
28.33,-5.02
28.62,-4.96
28.90,-4.90
29.19,-4.84
29.48,-4.78
29.78,-4.72
30.08,-4.66
30.38,-4.60
30.68,-4.54
30.99,-4.48
31.30,-4.41
31.61,-4.35
31.93,-4.29
32.24,-4.23
32.57,-4.18
32.89,-4.12
33.22,-4.06
33.55,-4.01
33.89,-3.95
34.23,-3.90
34.57,-3.85
34.92,-3.80
35.27,-3.75
35.62,-3.70
35.97,-3.65
36.33,-3.60
36.70,-3.55
37.06,-3.51
37.43,-3.46
37.81,-3.42
38.19,-3.38
38.57,-3.34
38.95,-3.30
39.34,-3.25
39.74,-3.21
40.14,-3.17
40.54,-3.14
40.94,-3.11
41.35,-3.07
41.76,-3.03
42.18,-3.00
42.60,-2.96
43.03,-2.93
43.46,-2.90
43.90,-2.88
44.33,-2.85
44.78,-2.82
45.23,-2.79
45.68,-2.77
46.13,-2.75
46.60,-2.73
47.06,-2.71
47.53,-2.69
48.01,-2.67
48.49,-2.65
48.97,-2.64
49.46,-2.62
49.96,-2.61
50.46,-2.59
50.96,-2.58
51.47,-2.57
51.99,-2.56
52.51,-2.55
53.03,-2.55
53.56,-2.54
54.10,-2.54
54.64,-2.54
55.18,-2.54
55.74,-2.54
56.29,-2.54
56.86,-2.54
57.42,-2.54
58.00,-2.54
58.58,-2.55
59.16,-2.55
59.76,-2.56
60.35,-2.57
60.96,-2.59
61.57,-2.59
62.18,-2.60
62.80,-2.61
63.43,-2.62
64.07,-2.64
64.71,-2.65
65.35,-2.66
66.01,-2.68
66.67,-2.70
67.33,-2.72
68.01,-2.74
68.69,-2.76
69.37,-2.79
70.07,-2.81
70.77,-2.84
71.48,-2.86
72.19,-2.88
72.91,-2.90
73.64,-2.92
74.38,-2.94
75.12,-2.96
75.87,-3.00
76.63,-3.03
77.40,-3.06
78.17,-3.08
78.95,-3.10
79.74,-3.14
80.54,-3.17
81.35,-3.19
82.16,-3.22
82.98,-3.25
83.81,-3.28
84.65,-3.30
85.50,-3.32
86.35,-3.35
87.22,-3.38
88.09,-3.41
88.97,-3.43
89.86,-3.46
90.76,-3.48
91.66,-3.51
92.58,-3.53
93.51,-3.54
94.44,-3.57
95.39,-3.60
96.34,-3.64
97.30,-3.66
98.28,-3.70
99.26,-3.74
100.25,-3.78
101.25,-3.82
102.27,-3.85
103.29,-3.89
104.32,-3.92
105.37,-3.95
106.42,-3.98
107.48,-4.00
108.56,-4.03
109.64,-4.05
110.74,-4.07
111.85,-4.10
112.97,-4.12
114.10,-4.15
115.24,-4.17
116.39,-4.19
117.55,-4.21
118.73,-4.24
119.92,-4.26
121.12,-4.28
122.33,-4.30
123.55,-4.32
124.79,-4.35
126.03,-4.38
127.29,-4.40
128.57,-4.43
129.85,-4.46
131.15,-4.48
132.46,-4.52
133.79,-4.54
135.12,-4.57
136.48,-4.61
137.84,-4.64
139.22,-4.67
140.61,-4.71
142.02,-4.73
143.44,-4.76
144.87,-4.80
146.32,-4.83
147.78,-4.87
149.26,-4.90
150.75,-4.94
152.26,-4.97
