frequency,raw
20.00,-16.03
20.20,-15.78
20.40,-15.52
20.61,-15.26
20.81,-15.05
21.02,-14.84
21.23,-14.65
21.44,-14.44
21.66,-14.21
21.87,-13.96
22.09,-13.68
22.31,-13.37
22.54,-13.05
22.76,-12.73
22.99,-12.43
23.22,-12.15
23.45,-11.90
23.69,-11.66
23.92,-11.44
24.16,-11.21
24.40,-10.98
24.65,-10.74
24.89,-10.49
25.14,-10.24
25.39,-9.99
25.65,-9.73
25.91,-9.47
26.16,-9.22
26.43,-8.96
26.69,-8.71
26.96,-8.45
27.23,-8.21
27.50,-7.96
27.77,-7.72
28.05,-7.48
28.33,-7.23
28.62,-6.98
28.90,-6.72
29.19,-6.46
29.48,-6.19
29.78,-5.93
30.08,-5.68
30.38,-5.43
30.68,-5.19
30.99,-4.94
31.30,-4.70
31.61,-4.45
31.93,-4.21
32.24,-3.97
32.57,-3.72
32.89,-3.48
33.22,-3.23
33.55,-2.99
33.89,-2.73
34.23,-2.48
34.57,-2.23
34.92,-1.99
35.27,-1.75
35.62,-1.51
35.97,-1.28
36.33,-1.05
36.70,-0.82
37.06,-0.60
37.43,-0.37
37.81,-0.15
38.19,0.08
38.57,0.30
38.95,0.51
39.34,0.70
39.74,0.90
40.14,1.09
40.54,1.28
40.94,1.46
41.35,1.64
41.76,1.81
42.18,1.97
42.60,2.13
43.03,2.28
43.46,2.41
43.90,2.55
44.33,2.67
44.78,2.80
45.23,2.91
45.68,3.02
46.13,3.12
46.60,3.21
47.06,3.30
47.53,3.39
48.01,3.47
48.49,3.54
48.97,3.60
49.46,3.66
49.96,3.71
50.46,3.76
50.96,3.81
51.47,3.87
51.99,3.95
52.51,4.03
53.03,4.12
53.56,4.21
54.10,4.30
54.64,4.38
55.18,4.47
55.74,4.53
56.29,4.59
56.86,4.66
57.42,4.72
58.00,4.78
58.58,4.84
59.16,4.90
59.76,4.97
60.35,5.03
60.96,5.07
61.57,5.11
62.18,5.15
62.80,5.20
63.43,5.24
64.07,5.28
64.71,5.31
65.35,5.33
66.01,5.36
66.67,5.37
67.33,5.38
68.01,5.39
68.69,5.39
69.37,5.39
70.07,5.39
70.77,5.38
71.48,5.37
72.19,5.36
72.91,5.34
73.64,5.32
74.38,5.29
75.12,5.27
75.87,5.25
76.63,5.22
77.40,5.18
78.17,5.15
78.95,5.13
79.74,5.10
80.54,5.06
81.35,5.03
82.16,5.00
82.98,4.97
83.81,4.94
84.65,4.90
85.50,4.87
86.35,4.84
87.22,4.81
88.09,4.78
88.97,4.75
89.86,4.73
90.76,4.70
91.66,4.68
92.58,4.66
93.51,4.64
94.44,4.63
95.39,4.62
96.34,4.61
97.30,4.59
98.28,4.58
99.26,4.58
100.25,4.59
101.25,4.59
102.27,4.59
103.29,4.59
104.32,4.59
105.37,4.60
106.42,4.61
107.48,4.62
108.56,4.63
109.64,4.64
110.74,4.66
111.85,4.68
112.97,4.70
114.10,4.72
115.24,4.74
116.39,4.77
117.55,4.79
118.73,4.82
119.92,4.83
121.12,4.85
122.33,4.89
123.55,4.92
124.79,4.95
126.03,4.98
127.29,5.01
128.57,5.04
129.85,5.07
131.15,5.10
132.46,5.13
133.79,5.17
135.12,5.20
136.48,5.23
137.84,5.26
139.22,5.30
140.61,5.33
142.02,5.37
143.44,5.40
144.87,5.43
146.32,5.47
147.78,5.50
149.26,5.54
150.75,5.57
152.26,5.60
153.78,5.64
155.32,5.67
156.88,5.71
158.44,5.75
160.03,5.78
161.63,5.81
163.24,5.84
164.88,5.88
166.53,5.92
168.19,5.95
169.87,5.97
171.57,6.00
173.29,6.03
175.02,6.05
176.77,6.08
178.54,6.10
180.32,6.11
182.13,6.13
183.95,6.14
185.79,6.14
187.65,6.14
189.52,6.13
191.42,6.12
193.33,6.09
195.27,6.05
