frequency,raw
20.00,-13.10
20.20,-12.97
20.40,-12.84
20.61,-12.71
20.81,-12.57
21.02,-12.42
21.23,-12.28
21.44,-12.14
21.66,-12.00
21.87,-11.87
22.09,-11.73
22.31,-11.60
22.54,-11.47
22.76,-11.34
22.99,-11.20
23.22,-11.07
23.45,-10.93
23.69,-10.79
23.92,-10.65
24.16,-10.50
24.40,-10.35
24.65,-10.20
24.89,-10.05
25.14,-9.90
25.39,-9.76
25.65,-9.61
25.91,-9.48
26.16,-9.34
26.43,-9.21
26.69,-9.08
26.96,-8.95
27.23,-8.82
27.50,-8.68
27.77,-8.53
28.05,-8.38
28.33,-8.24
28.62,-8.10
28.90,-7.96
29.19,-7.83
29.48,-7.71
29.78,-7.58
30.08,-7.46
30.38,-7.34
30.68,-7.21
30.99,-7.09
31.30,-6.96
31.61,-6.82
31.93,-6.68
32.24,-6.54
32.57,-6.41
32.89,-6.29
33.22,-6.17
33.55,-6.07
33.89,-5.96
34.23,-5.83
34.57,-5.70
34.92,-5.56
35.27,-5.43
35.62,-5.31
35.97,-5.20
36.33,-5.10
36.70,-5.00
37.06,-4.89
37.43,-4.77
37.81,-4.66
38.19,-4.54
38.57,-4.44
38.95,-4.33
39.34,-4.22
39.74,-4.10
40.14,-3.99
40.54,-3.88
40.94,-3.77
41.35,-3.67
41.76,-3.58
42.18,-3.48
42.60,-3.39
43.03,-3.28
43.46,-3.18
43.90,-3.08
44.33,-2.99
44.78,-2.91
45.23,-2.84
45.68,-2.75
46.13,-2.65
46.60,-2.56
47.06,-2.48
47.53,-2.41
48.01,-2.35
48.49,-2.29
48.97,-2.24
49.46,-2.20
49.96,-2.15
50.46,-2.09
50.96,-2.02
51.47,-1.94
51.99,-1.86
52.51,-1.78
53.03,-1.69
53.56,-1.60
54.10,-1.52
54.64,-1.44
55.18,-1.37
55.74,-1.29
56.29,-1.21
56.86,-1.14
57.42,-1.07
58.00,-1.01
58.58,-0.95
59.16,-0.88
59.76,-0.81
60.35,-0.74
60.96,-0.67
61.57,-0.62
62.18,-0.57
62.80,-0.52
63.43,-0.46
64.07,-0.42
64.71,-0.38
65.35,-0.32
66.01,-0.26
66.67,-0.22
67.33,-0.18
68.01,-0.14
68.69,-0.11
69.37,-0.07
70.07,-0.03
70.77,0.01
71.48,0.04
72.19,0.07
72.91,0.09
73.64,0.12
74.38,0.14
75.12,0.16
75.87,0.18
76.63,0.20
77.40,0.20
78.17,0.23
78.95,0.26
79.74,0.28
80.54,0.28
81.35,0.28
82.16,0.28
82.98,0.29
83.81,0.30
84.65,0.30
85.50,0.31
86.35,0.31
87.22,0.32
88.09,0.31
88.97,0.31
89.86,0.31
90.76,0.29
91.66,0.29
92.58,0.29
93.51,0.29
94.44,0.28
95.39,0.27
96.34,0.26
97.30,0.26
98.28,0.26
99.26,0.25
100.25,0.24
101.25,0.22
102.27,0.21
103.29,0.20
104.32,0.18
105.37,0.17
106.42,0.16
107.48,0.15
108.56,0.13
109.64,0.11
110.74,0.10
111.85,0.09
112.97,0.06
114.10,0.04
115.24,0.03
116.39,0.02
117.55,0.01
118.73,-0.01
119.92,-0.03
121.12,-0.05
122.33,-0.08
123.55,-0.09
124.79,-0.10
126.03,-0.12
127.29,-0.14
128.57,-0.16
129.85,-0.18
131.15,-0.20
132.46,-0.22
133.79,-0.24
135.12,-0.26
136.48,-0.28
137.84,-0.30
139.22,-0.32
140.61,-0.33
142.02,-0.35
143.44,-0.37
144.87,-0.39
146.32,-0.41
147.78,-0.43
149.26,-0.45
150.75,-0.47
152.26,-0.49
153.78,-0.51
155.32,-0.53
156.88,-0.55
158.44,-0.57
160.03,-0.59
161.63,-0.62
163.24,-0.64
164.88,-0.63
166.53,-0.66
168.19,-0.68
169.87,-0.69
171.57,-0.71
173.29,-0.73
175.02,-0.76
176.77,-0.77
178.54,-0.78
180.32,-0.79
182.13,-0.83
183.95,-0.85
185.79,-0.88
187.65,-0.92
189.52,-0.96
191.42,-1.00
193.33,-1.05
195.27,-1.11
197.22,-1.17
199.19,-1.25
201.18,-1.31
203.19,-1.37
205.23,-1.43
207.28,-1.47
209.35,-1.51
211.44,-1.54
213.56,-1.56
215.69,-1.58
217.85,-1.59
220.03,-1.60
222.23,-1.62
224.45,-1.63
226.70,-1.65
228.96,-1.66
231.25,-1.67
233.57,-1.68
235.90,-1.69
238.26,-1.65
240.64,-1.64
243.05,-1.71
245.48,-1.73
247.93,-1.74
250.41,-1.76
252.92,-1.77
255.45,-1.78
258.00,-1.81
260.58,-1.83
263.19,-1.86
265.82,-1.88
268.48,-1.89
271.16,-1.91
273.87,-1.93
276.61,-1.95
279.38,-1.96
282.17,-1.97
284.99,-1.98
287.84,-1.98
290.72,-1.97
293.63,-1.96
296.57,-1.93
299.53,-1.90
302.53,-1.86
305.55,-1.80
308.61,-1.72
311.69,-1.61
314.81,-1.49
317.96,-1.35
321.14,-1.22
324.35,-1.11
327.59,-1.02
330.87,-0.95
334.18,-0.92
337.52,-0.91
340.90,-0.91
344.30,-0.93
347.75,-0.96
351.23,-0.99
354.74,-1.02
358.28,-1.05
361.87,-1.08
365.49,-1.09
369.14,-1.10
372.83,-1.12
376.56,-1.13
380.33,-1.15
384.13,-1.16
387.97,-1.18
391.85,-1.19
395.77,-1.20
