frequency,raw
20.00,-18.26
20.20,-18.11
20.40,-17.96
20.61,-17.82
20.81,-17.75
21.02,-17.74
21.23,-17.76
21.44,-17.75
21.66,-17.58
21.87,-17.37
22.09,-17.08
22.31,-16.80
22.54,-16.56
22.76,-16.34
22.99,-16.13
23.22,-15.91
23.45,-15.72
23.69,-15.55
23.92,-15.40
24.16,-15.26
24.40,-15.10
24.65,-14.92
24.89,-14.74
25.14,-14.56
25.39,-14.40
25.65,-14.26
25.91,-14.14
26.16,-14.02
26.43,-13.91
26.69,-13.80
26.96,-13.69
27.23,-13.57
27.50,-13.45
27.77,-13.33
28.05,-13.22
28.33,-13.11
28.62,-12.99
28.90,-12.86
29.19,-12.73
29.48,-12.59
29.78,-12.47
30.08,-12.36
30.38,-12.26
30.68,-12.17
30.99,-12.08
31.30,-11.97
31.61,-11.86
31.93,-11.73
32.24,-11.62
32.57,-11.51
32.89,-11.42
33.22,-11.31
33.55,-11.20
33.89,-11.08
34.23,-10.95
34.57,-10.82
34.92,-10.70
35.27,-10.59
35.62,-10.47
35.97,-10.35
36.33,-10.22
36.70,-10.08
37.06,-9.95
37.43,-9.82
37.81,-9.71
38.19,-9.60
38.57,-9.48
38.95,-9.35
39.34,-9.22
39.74,-9.09
40.14,-8.96
40.54,-8.83
40.94,-8.70
41.35,-8.57
41.76,-8.46
42.18,-8.37
42.60,-8.28
43.03,-8.18
43.46,-8.07
43.90,-7.96
44.33,-7.85
44.78,-7.74
45.23,-7.62
45.68,-7.47
46.13,-7.31
46.60,-7.15
47.06,-7.03
47.53,-6.93
48.01,-6.85
48.49,-6.76
48.97,-6.66
49.46,-6.55
49.96,-6.44
50.46,-6.31
50.96,-6.19
51.47,-6.07
51.99,-5.96
52.51,-5.85
53.03,-5.74
53.56,-5.63
54.10,-5.53
54.64,-5.43
55.18,-5.33
55.74,-5.21
56.29,-5.12
56.86,-5.05
57.42,-4.99
58.00,-4.92
58.58,-4.81
59.16,-4.72
59.76,-4.69
60.35,-4.65
60.96,-4.61
61.57,-4.54
62.18,-4.47
62.80,-4.40
63.43,-4.33
64.07,-4.26
64.71,-4.16
65.35,-4.06
66.01,-3.94
66.67,-3.86
67.33,-3.78
68.01,-3.68
68.69,-3.57
69.37,-3.47
70.07,-3.38
70.77,-3.31
71.48,-3.24
72.19,-3.17
72.91,-3.07
73.64,-3.01
74.38,-2.94
75.12,-2.87
75.87,-2.81
76.63,-2.74
77.40,-2.69
78.17,-2.64
78.95,-2.59
79.74,-2.50
80.54,-2.42
81.35,-2.35
82.16,-2.36
82.98,-2.33
83.81,-2.28
84.65,-2.23
85.50,-2.19
86.35,-2.16
87.22,-2.13
88.09,-2.10
88.97,-2.07
89.86,-2.04
90.76,-2.00
91.66,-1.98
92.58,-1.96
93.51,-1.97
94.44,-1.94
95.39,-1.91
96.34,-1.91
97.30,-1.89
98.28,-1.86
99.26,-1.85
100.25,-1.84
101.25,-1.84
102.27,-1.84
103.29,-1.85
104.32,-1.86
105.37,-1.85
106.42,-1.85
107.48,-1.86
108.56,-1.87
109.64,-1.88
110.74,-1.89
111.85,-1.90
112.97,-1.90
114.10,-1.91
115.24,-1.92
116.39,-1.93
117.55,-1.94
118.73,-1.95
119.92,-1.97
121.12,-1.98
122.33,-1.98
123.55,-2.00
124.79,-2.01
126.03,-2.02
127.29,-2.04
128.57,-2.05
129.85,-2.06
131.15,-2.06
132.46,-2.09
133.79,-2.11
135.12,-2.13
136.48,-2.15
137.84,-2.16
139.22,-2.18
140.61,-2.19
142.02,-2.20
143.44,-2.21
144.87,-2.22
146.32,-2.22
147.78,-2.23
149.26,-2.26
150.75,-2.28
152.26,-2.28
153.78,-2.28
155.32,-2.29
156.88,-2.30
158.44,-2.32
160.03,-2.33
161.63,-2.34
163.24,-2.34
164.88,-2.34
166.53,-2.37
168.19,-2.38
169.87,-2.38
171.57,-2.39
173.29,-2.40
175.02,-2.41
176.77,-2.42
178.54,-2.42
180.32,-2.42
182.13,-2.44
183.95,-2.44
185.79,-2.44
187.65,-2.45
189.52,-2.47
191.42,-2.48
193.33,-2.48
195.27,-2.49
197.22,-2.52
199.19,-2.52
201.18,-2.52
203.19,-2.53
205.23,-2.55
207.28,-2.56
209.35,-2.56
211.44,-2.56
213.56,-2.57
215.69,-2.58
217.85,-2.58
220.03,-2.59
222.23,-2.59
224.45,-2.59
226.70,-2.59
228.96,-2.60
231.25,-2.60
233.57,-2.60
235.90,-2.61
238.26,-2.53
240.64,-2.51
243.05,-2.62
245.48,-2.62
247.93,-2.62
250.41,-2.63
252.92,-2.64
255.45,-2.65
258.00,-2.66
260.58,-2.68
263.19,-2.69
265.82,-2.68
268.48,-2.70
271.16,-2.70
273.87,-2.70
276.61,-2.70
279.38,-2.70
282.17,-2.70
284.99,-2.69
287.84,-2.69
290.72,-2.69
293.63,-2.69
296.57,-2.68
299.53,-2.66
302.53,-2.67
305.55,-2.66
308.61,-2.65
311.69,-2.65
314.81,-2.64
317.96,-2.64
321.14,-2.63
324.35,-2.63
327.59,-2.62
330.87,-2.61
334.18,-2.59
337.52,-2.59
340.90,-2.60
344.30,-2.60
347.75,-2.60
351.23,-2.60
354.74,-2.60
358.28,-2.60
361.87,-2.60
365.49,-2.59
369.14,-2.58
372.83,-2.58
376.56,-2.57
380.33,-2.56
384.13,-2.56
387.97,-2.56
391.85,-2.56
395.77,-2.56
399.73,-2.56
403.72,-2.56
407.76,-2.56
411.84,-2.57
415.96,-2.58
