frequency,raw
20.00,-15.08
20.20,-14.98
20.40,-14.88
20.61,-14.78
20.81,-14.68
21.02,-14.57
21.23,-14.43
21.44,-14.26
21.66,-14.08
21.87,-13.89
22.09,-13.72
22.31,-13.56
22.54,-13.42
22.76,-13.30
22.99,-13.21
23.22,-13.12
23.45,-13.02
23.69,-12.90
23.92,-12.75
24.16,-12.56
24.40,-12.37
24.65,-12.17
24.89,-12.02
25.14,-11.93
25.39,-11.87
25.65,-11.87
25.91,-11.87
26.16,-11.88
26.43,-11.84
26.69,-11.73
26.96,-11.58
27.23,-11.39
27.50,-11.20
27.77,-11.03
28.05,-10.90
28.33,-10.82
28.62,-10.75
28.90,-10.69
29.19,-10.62
29.48,-10.54
29.78,-10.41
30.08,-10.28
30.38,-10.15
30.68,-10.03
30.99,-9.93
31.30,-9.84
31.61,-9.76
31.93,-9.67
32.24,-9.55
32.57,-9.41
32.89,-9.26
33.22,-9.11
33.55,-8.98
33.89,-8.87
34.23,-8.78
34.57,-8.69
34.92,-8.59
35.27,-8.48
35.62,-8.37
35.97,-8.26
36.33,-8.16
36.70,-8.06
37.06,-7.96
37.43,-7.85
37.81,-7.75
38.19,-7.65
38.57,-7.55
38.95,-7.44
39.34,-7.33
39.74,-7.20
40.14,-7.07
40.54,-6.94
40.94,-6.82
41.35,-6.71
41.76,-6.62
42.18,-6.53
42.60,-6.44
43.03,-6.34
43.46,-6.22
43.90,-6.10
44.33,-5.99
44.78,-5.88
45.23,-5.77
45.68,-5.65
46.13,-5.52
46.60,-5.42
47.06,-5.35
47.53,-5.28
48.01,-5.20
48.49,-5.08
48.97,-4.96
49.46,-4.84
49.96,-4.74
50.46,-4.64
50.96,-4.55
51.47,-4.46
51.99,-4.38
52.51,-4.30
53.03,-4.22
53.56,-4.10
54.10,-3.99
54.64,-3.88
55.18,-3.79
55.74,-3.72
56.29,-3.64
56.86,-3.55
57.42,-3.46
58.00,-3.36
58.58,-3.30
59.16,-3.21
59.76,-3.09
60.35,-3.01
60.96,-2.96
61.57,-2.94
62.18,-2.88
62.80,-2.79
63.43,-2.71
64.07,-2.64
64.71,-2.59
65.35,-2.55
66.01,-2.50
66.67,-2.43
67.33,-2.38
68.01,-2.34
68.69,-2.29
69.37,-2.25
70.07,-2.20
70.77,-2.16
71.48,-2.11
72.19,-2.05
72.91,-2.00
73.64,-1.97
74.38,-1.93
75.12,-1.89
75.87,-1.83
76.63,-1.78
77.40,-1.73
78.17,-1.70
78.95,-1.66
79.74,-1.61
80.54,-1.55
81.35,-1.49
82.16,-1.46
82.98,-1.41
