frequency,raw
20.00,-0.78
20.20,-0.81
20.40,-0.84
20.61,-0.87
20.81,-0.90
21.02,-0.91
21.23,-0.92
21.44,-0.91
21.66,-0.89
21.87,-0.86
22.09,-0.83
22.31,-0.80
22.54,-0.78
22.76,-0.76
22.99,-0.76
23.22,-0.75
23.45,-0.74
23.69,-0.72
23.92,-0.70
24.16,-0.67
24.40,-0.65
24.65,-0.65
24.89,-0.66
25.14,-0.70
25.39,-0.75
25.65,-0.80
25.91,-0.85
26.16,-0.88
26.43,-0.89
26.69,-0.89
26.96,-0.87
27.23,-0.84
27.50,-0.83
27.77,-0.82
28.05,-0.81
28.33,-0.82
28.62,-0.82
28.90,-0.83
29.19,-0.83
29.48,-0.84
29.78,-0.83
30.08,-0.83
30.38,-0.82
30.68,-0.82
30.99,-0.81
31.30,-0.81
31.61,-0.82
31.93,-0.83
32.24,-0.83
32.57,-0.84
32.89,-0.84
33.22,-0.85
33.55,-0.85
33.89,-0.85
34.23,-0.85
34.57,-0.85
34.92,-0.86
35.27,-0.85
35.62,-0.85
35.97,-0.85
36.33,-0.85
36.70,-0.83
37.06,-0.81
37.43,-0.77
37.81,-0.73
38.19,-0.69
38.57,-0.66
38.95,-0.65
39.34,-0.64
39.74,-0.64
40.14,-0.63
40.54,-0.61
40.94,-0.58
41.35,-0.55
41.76,-0.52
42.18,-0.50
42.60,-0.48
43.03,-0.47
43.46,-0.47
43.90,-0.48
44.33,-0.50
44.78,-0.50
45.23,-0.49
45.68,-0.45
46.13,-0.40
46.60,-0.39
47.06,-0.38
47.53,-0.37
48.01,-0.29
48.49,-0.22
48.97,-0.16
49.46,-0.13
49.96,-0.12
50.46,-0.06
50.96,-0.01
51.47,0.04
51.99,0.05
52.51,0.08
53.03,0.13
53.56,0.21
54.10,0.28
54.64,0.34
55.18,0.38
55.74,0.41
56.29,0.44
56.86,0.49
57.42,0.55
58.00,0.61
58.58,0.68
59.16,0.75
59.76,0.82
60.35,0.85
60.96,0.87
61.57,0.89
62.18,0.95
62.80,1.01
63.43,1.05
64.07,1.10
64.71,1.15
65.35,1.20
66.01,1.24
66.67,1.30
67.33,1.36
68.01,1.40
68.69,1.42
69.37,1.45
70.07,1.49
70.77,1.54
71.48,1.58
72.19,1.61
72.91,1.63
73.64,1.64
74.38,1.65
75.12,1.66
75.87,1.67
76.63,1.68
77.40,1.68
78.17,1.69
78.95,1.69
79.74,1.69
80.54,1.68
81.35,1.68
82.16,1.67
82.98,1.66
83.81,1.65
84.65,1.64
85.50,1.63
86.35,1.62
87.22,1.60
88.09,1.59
88.97,1.57
89.86,1.56
90.76,1.54
91.66,1.53
92.58,1.51
93.51,1.50
94.44,1.48
95.39,1.45
96.34,1.42
97.30,1.41
98.28,1.40
99.26,1.38
100.25,1.35
101.25,1.32
102.27,1.30
103.29,1.27
104.32,1.25
105.37,1.23
106.42,1.20
107.48,1.18
108.56,1.16
109.64,1.13
110.74,1.10
111.85,1.08
112.97,1.06
114.10,1.03
115.24,1.00
116.39,0.98
117.55,0.95
118.73,0.91
119.92,0.88
121.12,0.87
122.33,0.88
123.55,0.84
124.79,0.81
126.03,0.78
127.29,0.75
128.57,0.72
129.85,0.69
131.15,0.66
132.46,0.63
133.79,0.60
135.12,0.57
136.48,0.54
137.84,0.51
139.22,0.47
140.61,0.44
142.02,0.40
143.44,0.37
144.87,0.33
146.32,0.30
147.78,0.26
149.26,0.22
150.75,0.19
152.26,0.15
153.78,0.12
155.32,0.08
156.88,0.06
158.44,0.03
160.03,-0.00
161.63,-0.03
163.24,-0.07
164.88,-0.10
166.53,-0.14
168.19,-0.18
169.87,-0.22
171.57,-0.25
173.29,-0.29
175.02,-0.32
176.77,-0.36
178.54,-0.40
180.32,-0.43
182.13,-0.48
183.95,-0.53
185.79,-0.58
187.65,-0.62
189.52,-0.65
191.42,-0.70
193.33,-0.75
195.27,-0.79
197.22,-0.83
199.19,-0.88
201.18,-0.92
203.19,-0.96
205.23,-1.00
207.28,-1.03
209.35,-1.07
211.44,-1.12
213.56,-1.16
215.69,-1.20
217.85,-1.25
220.03,-1.30
222.23,-1.35
224.45,-1.40
226.70,-1.45
228.96,-1.50
231.25,-1.56
233.57,-1.63
235.90,-1.69
238.26,-1.80
240.64,-1.87
243.05,-1.80
245.48,-1.84
247.93,-1.89
250.41,-1.94
252.92,-2.00
255.45,-2.06
258.00,-2.11
260.58,-2.14
263.19,-2.19
265.82,-2.24
268.48,-2.29
271.16,-2.33
273.87,-2.39
276.61,-2.46
279.38,-2.51
282.17,-2.56
284.99,-2.61
287.84,-2.66
290.72,-2.70
293.63,-2.75
296.57,-2.79
299.53,-2.83
302.53,-2.88
305.55,-2.93
308.61,-2.98
311.69,-3.02
314.81,-3.06
317.96,-3.10
321.14,-3.15
324.35,-3.20
327.59,-3.25
330.87,-3.29
334.18,-3.32
337.52,-3.34
340.90,-3.37
344.30,-3.40
347.75,-3.43
351.23,-3.46
354.74,-3.49
358.28,-3.53
361.87,-3.56
365.49,-3.57
369.14,-3.59
372.83,-3.60
376.56,-3.60
380.33,-3.60
384.13,-3.61
387.97,-3.61
391.85,-3.62
395.77,-3.62
399.73,-3.61
403.72,-3.60
407.76,-3.58
411.84,-3.55
415.96,-3.52
420.12,-3.50
424.32,-3.50
428.56,-3.48
432.85,-3.47
437.18,-3.47
441.55,-3.48
445.96,-3.50
450.42,-3.53
454.93,-3.56
459.48,-3.59
464.07,-3.62
468.71,-3.64
473.40,-3.64
478.13,-3.62
482.91,-3.59
487.74,-3.56
492.62,-3.53
497.55,-3.48
502.52,-3.42
507.55,-3.37
512.62,-3.31
517.75,-3.25
522.93,-3.20
528.16,-3.14
533.44,-3.07
538.77,-3.01
544.16,-2.96
549.60,-2.89
555.10,-2.83
560.65,-2.78
566.25,-2.73
571.92,-2.68
577.64,-2.64
583.41,-2.58
589.25,-2.51
595.14,-2.45
601.09,-2.39
607.10,-2.31
613.17,-2.26
619.30,-2.20
625.50,-2.12
631.75,-2.04
638.07,-1.97
644.45,-1.92
650.89,-1.88
657.40,-1.84
663.98,-1.78
670.62,-1.71
677.32,-1.67
684.10,-1.65
690.94,-1.62
697.85,-1.58
704.83,-1.56
711.87,-1.57
718.99,-1.62
726.18,-1.62
733.44,-1.62
740.78,-1.66
748.19,-1.71
755.67,-1.81
763.23,-1.93
770.86,-2.07
778.57,-2.23
786.35,-2.41
794.22,-2.65
802.16,-2.92
810.18,-3.23
818.28,-3.55
826.46,-3.83
834.73,-3.97
843.08,-3.89
851.51,-3.59
860.02,-2.92
868.62,-2.22
877.31,-1.57
886.08,-1.07
894.94,-0.85
903.89,-0.69
912.93,-0.61
922.06,-0.57
931.28,-0.54
940.59,-0.52
950.00,-0.45
959.50,-0.36
969.09,-0.27
978.78,-0.20
988.57,-0.16
998.46,-0.02
1008.44,0.09
1018.53,0.15
1028.71,0.17
1039.00,0.20
1049.39,0.19
1059.88,0.16
1070.48,0.19
1081.19,0.21
1092.00,0.22
1102.92,0.24
1113.95,0.25
1125.09,0.23
1136.34,0.21
1147.70,0.19
1159.18,0.28
1170.77,0.39
1182.48,0.51
1194.30,0.58
1206.25,0.65
1218.31,0.71
1230.49,0.67
1242.80,0.62
1255.22,0.62
1267.78,0.63
1280.45,0.75
1293.26,0.78
1306.19,0.81
1319.25,0.85
1332.45,0.94
1345.77,1.01
1359.23,1.05
1372.82,1.24
1386.55,1.35
1400.41,1.38
1414.42,1.45
1428.56,1.52
1442.85,1.49
1457.28,1.53
1471.85,1.65
1486.57,1.77
1501.43,1.89
1516.45,1.91
1531.61,1.95
1546.93,2.00
1562.40,1.93
1578.02,1.85
1593.80,1.87
1609.74,1.92
1625.84,1.97
1642.10,1.89
1658.52,1.80
1675.10,1.68
1691.85,1.70
1708.77,1.69
1725.86,1.65
1743.12,1.78
1760.55,1.90
1778.15,2.01
1795.94,2.08
1813.90,2.16
1832.03,2.25
1850.36,2.36
1868.86,2.53
1887.55,2.68
1906.42,2.79
1925.49,2.81
1944.74,3.01
1964.19,2.92
1983.83,2.99
2003.67,3.32
2023.71,3.28
2043.94,3.43
2064.38,3.62
2085.03,3.61
2105.88,3.80
2126.94,4.03
2148.20,4.18
2169.69,4.28
2191.38,4.43
2213.30,4.71
2235.43,5.03
2257.78,5.39
2280.36,5.74
2303.17,6.05
2326.20,6.34
2349.46,6.55
2372.95,6.80
2396.68,7.11
2420.65,7.32
2444.86,7.55
2469.31,7.82
2494.00,8.08
2518.94,8.37
2544.13,8.67
2569.57,8.92
2595.27,9.12
2621.22,9.27
2647.43,9.35
2673.90,9.42
2700.64,9.44
2727.65,9.46
2754.93,9.61
2782.48,9.69
2810.30,9.72
2838.40,9.68
2866.79,9.65
2895.46,9.63
2924.41,9.56
2953.65,9.47
2983.19,9.34
3013.02,9.23
3043.15,9.13
3073.58,9.05
3104.32,8.89
3135.36,8.82
3166.72,8.77
3198.38,8.71
3230.37,8.69
3262.67,8.63
3295.30,8.50
3328.25,8.36
3361.53,8.20
3395.15,8.03
3429.10,7.85
3463.39,7.66
3498.03,7.48
3533.01,7.31
3568.34,7.11
3604.02,6.88
3640.06,6.58
3676.46,6.28
3713.22,6.00
3750.36,5.74
3787.86,5.66
3825.74,5.59
3864.00,5.55
3902.64,5.70
3941.66,5.89
3981.08,6.13
4020.89,6.43
4061.10,6.75
4101.71,7.00
4142.73,7.28
4184.15,7.56
4226.00,7.76
4268.26,7.92
4310.94,8.02
4354.05,7.99
4397.59,7.83
4441.56,7.59
4485.98,7.29
4530.84,6.75
4576.15,6.21
4621.91,5.75
4668.13,5.20
4714.81,4.50
4761.96,3.78
4809.58,3.20
4857.67,2.62
4906.25,2.16
4955.31,1.77
5004.87,1.43
5054.91,1.15
5105.46,0.83
5156.52,0.49
5208.08,0.27
5260.16,0.21
5312.77,0.24
5365.89,0.40
5419.55,0.64
5473.75,0.88
5528.49,1.08
5583.77,1.36
5639.61,1.56
5696.00,1.73
5752.96,1.85
5810.49,1.96
5868.60,2.08
5927.28,2.09
5986.56,1.96
6046.42,1.68
6106.89,1.30
6167.96,0.81
6229.64,0.27
6291.93,-0.29
6354.85,-1.02
6418.40,-1.77
6482.58,-2.54
6547.41,-3.28
6612.88,-4.02
6679.01,-4.75
6745.80,-5.37
6813.26,-5.91
6881.39,-6.32
6950.21,-6.65
7019.71,-6.93
7089.91,-7.18
7160.81,-7.20
7232.41,-7.11
7304.74,-6.89
7377.79,-6.56
7451.56,-6.10
7526.08,-5.54
7601.34,-4.86
7677.35,-4.20
7754.13,-3.53
7831.67,-2.75
7909.98,-1.96
7989.08,-1.16
8068.98,-0.66
8149.67,-0.23
8231.16,0.15
8313.47,0.34
8396.61,0.41
8480.57,0.29
8565.38,0.34
8651.03,0.46
8737.54,0.62
8824.92,0.61
8913.17,0.47
9002.30,0.27
9092.32,-0.33
9183.25,-0.81
9275.08,-1.13
9367.83,-1.13
9461.51,-1.17
9556.12,-0.97
9651.68,-0.51
9748.20,0.11
9845.68,0.97
9944.14,1.85
10043.58,2.85
10144.02,3.99
10245.46,4.73
10347.91,5.03
10451.39,4.78
10555.91,3.93
10661.46,3.08
10768.08,2.27
10875.76,1.70
10984.52,1.36
11094.36,1.11
11205.31,0.90
11317.36,0.42
11430.53,-0.00
11544.84,-0.36
11660.29,-0.72
11776.89,-0.79
11894.66,-0.46
12013.60,-0.09
12133.74,-0.04
12255.08,-0.46
12377.63,-1.22
12501.41,-2.04
12626.42,-3.04
12752.68,-3.95
12880.21,-4.87
13009.01,-5.81
13139.10,-6.76
13270.49,-7.67
13403.20,-8.55
13537.23,-8.69
13672.60,-8.37
13809.33,-7.68
13947.42,-7.50
14086.90,-8.06
14227.77,-9.07
14370.04,-10.45
14513.74,-12.08
14658.88,-12.31
14805.47,-12.08
14953.52,-11.09
15103.06,-10.01
15254.09,-8.87
15406.63,-7.55
15560.70,-6.20
15716.30,-4.81
15873.47,-3.67
16032.20,-2.61
16192.52,-1.63
16354.45,-1.16
16517.99,-1.23
16683.17,-3.23
16850.01,-5.73
17018.51,-8.51
17188.69,-10.81
17360.58,-11.29
17534.18,-10.49
17709.53,-8.66
17886.62,-7.75
18065.49,-7.45
18246.14,-7.75
18428.60,-8.54
18612.89,-9.76
18799.02,-11.25
18987.01,-12.74
19176.88,-13.91
19368.65,-14.95
19562.33,-16.11
19757.96,-17.64
19955.54,-19.17
