frequency,raw
20.00,-0.01
20.20,-0.01
20.40,-0.01
20.61,-0.01
20.81,-0.02
21.02,-0.03
21.23,-0.04
21.44,-0.06
21.66,-0.07
21.87,-0.08
22.09,-0.09
22.31,-0.09
22.54,-0.09
22.76,-0.08
22.99,-0.07
23.22,-0.05
23.45,-0.03
23.69,-0.01
23.92,0.00
24.16,0.02
24.40,0.03
24.65,0.03
24.89,0.03
25.14,0.03
25.39,0.02
25.65,-0.00
25.91,-0.02
26.16,-0.04
26.43,-0.06
26.69,-0.07
26.96,-0.07
27.23,-0.07
27.50,-0.05
27.77,-0.04
28.05,-0.03
28.33,-0.03
28.62,-0.03
28.90,-0.04
29.19,-0.04
29.48,-0.05
29.78,-0.05
30.08,-0.06
30.38,-0.07
30.68,-0.08
30.99,-0.09
31.30,-0.11
31.61,-0.12
31.93,-0.13
32.24,-0.12
32.57,-0.11
32.89,-0.09
33.22,-0.08
33.55,-0.07
33.89,-0.07
34.23,-0.06
34.57,-0.06
34.92,-0.04
35.27,-0.03
35.62,-0.02
35.97,-0.02
36.33,-0.01
36.70,-0.01
37.06,-0.01
37.43,0.00
37.81,0.02
38.19,0.03
38.57,0.05
38.95,0.06
39.34,0.07
39.74,0.09
40.14,0.11
40.54,0.13
40.94,0.14
41.35,0.14
41.76,0.14
42.18,0.13
42.60,0.13
43.03,0.15
43.46,0.17
43.90,0.19
44.33,0.20
44.78,0.19
45.23,0.19
45.68,0.22
46.13,0.27
46.60,0.32
47.06,0.37
47.53,0.40
48.01,0.44
48.49,0.47
48.97,0.50
49.46,0.53
49.96,0.55
50.46,0.57
50.96,0.60
51.47,0.63
51.99,0.65
52.51,0.68
53.03,0.70
53.56,0.72
54.10,0.75
54.64,0.77
55.18,0.79
55.74,0.82
56.29,0.85
56.86,0.87
57.42,0.90
58.00,0.93
58.58,0.94
59.16,0.96
59.76,0.97
60.35,1.01
60.96,1.07
61.57,1.12
62.18,1.16
62.80,1.23
63.43,1.28
64.07,1.33
64.71,1.37
65.35,1.43
66.01,1.51
66.67,1.55
67.33,1.61
68.01,1.66
68.69,1.72
69.37,1.77
70.07,1.83
70.77,1.88
71.48,1.92
72.19,1.97
72.91,2.02
73.64,2.05
74.38,2.07
75.12,2.09
75.87,2.10
76.63,2.11
77.40,2.14
78.17,2.15
78.95,2.16
79.74,2.17
80.54,2.17
81.35,2.16
82.16,2.16
82.98,2.17
83.81,2.17
84.65,2.16
85.50,2.15
86.35,2.14
87.22,2.13
88.09,2.12
88.97,2.10
89.86,2.09
90.76,2.08
91.66,2.07
92.58,2.07
93.51,2.04
94.44,2.02
95.39,2.01
96.34,1.98
97.30,1.97
98.28,1.95
99.26,1.93
100.25,1.90
101.25,1.88
102.27,1.86
103.29,1.84
104.32,1.81
105.37,1.79
106.42,1.77
107.48,1.74
108.56,1.72
109.64,1.69
110.74,1.67
111.85,1.65
112.97,1.62
114.10,1.60
115.24,1.58
116.39,1.55
117.55,1.53
118.73,1.51
119.92,1.49
121.12,1.46
122.33,1.43
123.55,1.40
124.79,1.38
126.03,1.35
127.29,1.33
128.57,1.30
129.85,1.27
131.15,1.24
132.46,1.21
133.79,1.18
135.12,1.15
136.48,1.12
137.84,1.09
139.22,1.06
140.61,1.03
142.02,1.00
143.44,0.96
144.87,0.94
146.32,0.90
147.78,0.87
149.26,0.84
150.75,0.80
152.26,0.77
153.78,0.74
155.32,0.72
156.88,0.69
158.44,0.67
160.03,0.65
161.63,0.61
163.24,0.58
164.88,0.55
166.53,0.51
168.19,0.47
169.87,0.44
171.57,0.40
173.29,0.36
175.02,0.32
176.77,0.28
178.54,0.23
180.32,0.18
182.13,0.15
183.95,0.11
185.79,0.07
187.65,0.03
189.52,-0.01
191.42,-0.05
193.33,-0.09
195.27,-0.13
197.22,-0.17
199.19,-0.21
201.18,-0.25
203.19,-0.30
205.23,-0.34
207.28,-0.37
209.35,-0.41
211.44,-0.46
213.56,-0.50
215.69,-0.55
217.85,-0.59
220.03,-0.63
222.23,-0.68
224.45,-0.73
226.70,-0.78
228.96,-0.83
231.25,-0.88
233.57,-0.93
235.90,-0.98
238.26,-1.02
240.64,-1.06
243.05,-1.10
245.48,-1.15
247.93,-1.20
250.41,-1.24
252.92,-1.29
255.45,-1.35
258.00,-1.40
260.58,-1.44
263.19,-1.49
265.82,-1.55
268.48,-1.60
271.16,-1.65
273.87,-1.71
276.61,-1.77
279.38,-1.84
282.17,-1.89
284.99,-1.94
287.84,-1.99
290.72,-2.03
293.63,-2.08
296.57,-2.13
299.53,-2.17
302.53,-2.23
305.55,-2.30
308.61,-2.36
311.69,-2.43
314.81,-2.49
317.96,-2.56
321.14,-2.63
324.35,-2.70
327.59,-2.77
330.87,-2.84
334.18,-2.91
337.52,-2.97
340.90,-3.02
344.30,-3.08
347.75,-3.13
351.23,-3.19
354.74,-3.24
358.28,-3.29
361.87,-3.34
365.49,-3.38
369.14,-3.44
372.83,-3.49
376.56,-3.53
380.33,-3.58
384.13,-3.62
387.97,-3.67
391.85,-3.73
395.77,-3.78
399.73,-3.83
403.72,-3.86
407.76,-3.90
411.84,-3.94
415.96,-3.98
420.12,-4.02
424.32,-4.06
428.56,-4.11
432.85,-4.16
437.18,-4.21
441.55,-4.26
445.96,-4.30
450.42,-4.35
454.93,-4.40
459.48,-4.46
464.07,-4.50
468.71,-4.51
473.40,-4.47
478.13,-4.40
482.91,-4.30
487.74,-4.18
492.62,-4.05
497.55,-3.93
502.52,-3.83
507.55,-3.74
512.62,-3.65
517.75,-3.57
522.93,-3.51
528.16,-3.44
533.44,-3.39
538.77,-3.34
544.16,-3.27
549.60,-3.20
555.10,-3.14
560.65,-3.08
566.25,-3.03
571.92,-2.97
577.64,-2.91
583.41,-2.84
589.25,-2.77
595.14,-2.70
601.09,-2.62
607.10,-2.53
613.17,-2.44
619.30,-2.36
625.50,-2.27
631.75,-2.17
638.07,-2.09
644.45,-2.01
650.89,-1.94
657.40,-1.88
663.98,-1.82
670.62,-1.76
677.32,-1.71
684.10,-1.66
690.94,-1.63
697.85,-1.61
704.83,-1.60
711.87,-1.62
718.99,-1.65
726.18,-1.68
733.44,-1.72
740.78,-1.79
748.19,-1.87
755.67,-1.97
763.23,-2.09
770.86,-2.21
778.57,-2.36
786.35,-2.53
794.22,-2.71
802.16,-2.89
810.18,-3.06
818.28,-3.16
826.46,-3.19
834.73,-3.02
843.08,-2.68
851.51,-2.24
860.02,-1.72
868.62,-1.26
877.31,-0.87
886.08,-0.62
894.94,-0.50
903.89,-0.41
912.93,-0.38
922.06,-0.38
931.28,-0.37
940.59,-0.35
950.00,-0.34
959.50,-0.28
969.09,-0.22
978.78,-0.14
988.57,-0.05
998.46,-0.01
1008.44,0.07
1018.53,0.15
1028.71,0.22
1039.00,0.28
1049.39,0.34
1059.88,0.38
1070.48,0.44
1081.19,0.47
1092.00,0.48
1102.92,0.54
1113.95,0.60
1125.09,0.63
1136.34,0.63
1147.70,0.62
1159.18,0.68
1170.77,0.77
1182.48,0.88
1194.30,0.98
1206.25,1.08
1218.31,1.09
1230.49,1.10
1242.80,1.10
1255.22,1.09
1267.78,1.14
1280.45,1.27
1293.26,1.33
1306.19,1.39
1319.25,1.47
1332.45,1.49
1345.77,1.54
1359.23,1.62
1372.82,1.72
1386.55,1.78
1400.41,1.80
1414.42,1.91
1428.56,2.02
1442.85,2.03
1457.28,2.04
1471.85,2.09
1486.57,2.14
1501.43,2.19
1516.45,2.30
1531.61,2.37
1546.93,2.40
1562.40,2.36
1578.02,2.31
1593.80,2.35
1609.74,2.44
1625.84,2.56
1642.10,2.61
1658.52,2.53
1675.10,2.33
1691.85,2.35
1708.77,2.40
1725.86,2.45
1743.12,2.49
1760.55,2.55
1778.15,2.66
1795.94,2.83
1813.90,2.85
1832.03,2.85
1850.36,2.90
1868.86,3.06
1887.55,3.19
1906.42,3.27
1925.49,3.26
1944.74,3.26
1964.19,3.27
1983.83,3.36
2003.67,3.51
2023.71,3.49
2043.94,3.54
2064.38,3.62
2085.03,3.73
2105.88,3.99
2126.94,4.28
2148.20,4.52
2169.69,4.64
2191.38,4.93
2213.30,5.28
2235.43,5.55
2257.78,5.84
2280.36,6.15
2303.17,6.48
2326.20,6.73
2349.46,6.92
2372.95,7.08
2396.68,7.23
2420.65,7.52
2444.86,7.79
2469.31,8.02
2494.00,8.23
2518.94,8.54
2544.13,8.85
2569.57,9.08
2595.27,9.32
2621.22,9.56
2647.43,9.69
2673.90,9.80
2700.64,9.92
2727.65,10.03
2754.93,10.13
2782.48,10.18
2810.30,10.19
2838.40,10.18
2866.79,10.15
2895.46,10.11
2924.41,10.08
2953.65,10.03
2983.19,9.92
3013.02,9.82
3043.15,9.74
3073.58,9.61
3104.32,9.42
3135.36,9.28
3166.72,9.17
3198.38,9.06
3230.37,8.96
3262.67,8.83
3295.30,8.66
3328.25,8.50
3361.53,8.32
3395.15,8.11
3429.10,7.95
3463.39,7.78
3498.03,7.59
3533.01,7.49
3568.34,7.35
3604.02,7.17
3640.06,6.98
3676.46,6.80
3713.22,6.62
3750.36,6.48
3787.86,6.40
3825.74,6.32
3864.00,6.26
3902.64,6.31
3941.66,6.37
3981.08,6.53
4020.89,6.72
4061.10,6.91
4101.71,7.17
4142.73,7.43
4184.15,7.71
4226.00,8.03
4268.26,8.31
4310.94,8.52
4354.05,8.69
4397.59,8.76
4441.56,8.78
4485.98,8.48
4530.84,8.11
4576.15,7.65
4621.91,7.16
4668.13,6.65
4714.81,5.94
4761.96,5.22
4809.58,4.62
4857.67,4.08
4906.25,3.67
4955.31,3.36
5004.87,3.13
5054.91,2.78
5105.46,2.44
5156.52,2.12
5208.08,1.83
5260.16,1.50
5312.77,1.20
5365.89,1.00
5419.55,1.03
5473.75,1.06
5528.49,1.02
5583.77,1.04
5639.61,1.07
5696.00,1.10
5752.96,1.10
5810.49,1.10
5868.60,1.14
5927.28,1.12
5986.56,1.03
6046.42,0.83
6106.89,0.57
6167.96,0.25
6229.64,-0.11
6291.93,-0.56
6354.85,-1.11
6418.40,-1.70
6482.58,-2.32
6547.41,-2.94
6612.88,-3.53
6679.01,-4.07
6745.80,-4.50
6813.26,-4.83
6881.39,-5.02
6950.21,-5.15
7019.71,-5.22
7089.91,-5.23
7160.81,-5.12
7232.41,-4.93
7304.74,-4.66
7377.79,-4.25
7451.56,-3.84
7526.08,-3.42
7601.34,-3.02
7677.35,-2.66
7754.13,-2.31
7831.67,-1.80
