frequency,raw
20.00,-0.15
20.20,-0.14
20.40,-0.13
20.61,-0.12
20.81,-0.11
21.02,-0.10
21.23,-0.10
21.44,-0.09
21.66,-0.08
21.87,-0.08
22.09,-0.07
22.31,-0.07
22.54,-0.06
22.76,-0.06
22.99,-0.06
23.22,-0.07
23.45,-0.07
23.69,-0.08
23.92,-0.09
24.16,-0.10
24.40,-0.11
24.65,-0.11
24.89,-0.11
25.14,-0.11
25.39,-0.10
25.65,-0.10
25.91,-0.09
26.16,-0.09
26.43,-0.09
26.69,-0.09
26.96,-0.09
27.23,-0.10
27.50,-0.10
27.77,-0.10
28.05,-0.10
28.33,-0.09
28.62,-0.08
28.90,-0.07
29.19,-0.07
29.48,-0.07
29.78,-0.07
30.08,-0.08
30.38,-0.09
30.68,-0.10
30.99,-0.11
31.30,-0.12
31.61,-0.12
31.93,-0.12
32.24,-0.12
32.57,-0.11
32.89,-0.11
33.22,-0.11
33.55,-0.12
33.89,-0.12
34.23,-0.12
34.57,-0.12
34.92,-0.12
35.27,-0.12
35.62,-0.12
35.97,-0.12
36.33,-0.12
36.70,-0.11
37.06,-0.10
37.43,-0.09
37.81,-0.08
38.19,-0.06
38.57,-0.05
38.95,-0.04
39.34,-0.03
39.74,-0.02
40.14,-0.01
40.54,0.00
40.94,0.01
41.35,0.01
41.76,0.01
42.18,0.01
42.60,0.01
43.03,0.01
43.46,0.01
43.90,0.01
44.33,0.01
44.78,0.01
45.23,-0.00
45.68,-0.01
46.13,-0.01
46.60,-0.01
47.06,-0.01
47.53,-0.02
48.01,-0.02
48.49,-0.02
48.97,-0.01
49.46,-0.01
49.96,-0.00
50.46,0.01
50.96,0.02
51.47,0.03
51.99,0.03
52.51,0.05
53.03,0.06
53.56,0.08
54.10,0.10
54.64,0.12
55.18,0.14
55.74,0.17
56.29,0.20
56.86,0.23
57.42,0.26
58.00,0.29
58.58,0.29
59.16,0.30
59.76,0.31
60.35,0.34
60.96,0.39
61.57,0.44
62.18,0.47
62.80,0.49
63.43,0.52
64.07,0.54
64.71,0.58
65.35,0.62
66.01,0.65
66.67,0.69
67.33,0.73
68.01,0.78
68.69,0.82
69.37,0.86
70.07,0.92
70.77,0.97
71.48,1.02
72.19,1.07
72.91,1.13
73.64,1.18
74.38,1.22
75.12,1.27
75.87,1.31
76.63,1.35
77.40,1.39
78.17,1.42
78.95,1.45
79.74,1.48
80.54,1.51
81.35,1.53
82.16,1.55
82.98,1.57
83.81,1.58
84.65,1.60
85.50,1.61
86.35,1.62
87.22,1.62
88.09,1.62
88.97,1.62
89.86,1.62
90.76,1.63
91.66,1.63
92.58,1.62
93.51,1.61
94.44,1.60
95.39,1.59
96.34,1.58
97.30,1.56
98.28,1.55
99.26,1.53
100.25,1.52
101.25,1.50
102.27,1.48
103.29,1.46
104.32,1.44
105.37,1.41
106.42,1.39
107.48,1.37
108.56,1.35
109.64,1.32
110.74,1.30
111.85,1.27
112.97,1.25
114.10,1.22
115.24,1.20
116.39,1.17
117.55,1.15
118.73,1.11
119.92,1.08
121.12,1.06
122.33,1.06
123.55,1.03
124.79,1.00
126.03,0.98
127.29,0.95
128.57,0.92
129.85,0.89
131.15,0.86
132.46,0.83
133.79,0.80
135.12,0.77
136.48,0.74
137.84,0.71
139.22,0.68
140.61,0.64
142.02,0.61
143.44,0.57
144.87,0.54
146.32,0.50
147.78,0.46
149.26,0.43
150.75,0.40
152.26,0.37
153.78,0.33
155.32,0.30
156.88,0.28
158.44,0.25
160.03,0.22
161.63,0.19
163.24,0.16
164.88,0.13
166.53,0.09
168.19,0.06
169.87,0.03
171.57,-0.02
173.29,-0.06
175.02,-0.10
176.77,-0.14
178.54,-0.18
180.32,-0.22
182.13,-0.26
183.95,-0.30
185.79,-0.35
187.65,-0.40
189.52,-0.43
191.42,-0.47
193.33,-0.51
195.27,-0.55
197.22,-0.59
199.19,-0.63
201.18,-0.67
203.19,-0.71
205.23,-0.75
207.28,-0.79
209.35,-0.82
211.44,-0.86
213.56,-0.90
215.69,-0.93
217.85,-0.97
220.03,-1.02
222.23,-1.06
224.45,-1.11
226.70,-1.16
228.96,-1.21
231.25,-1.26
233.57,-1.31
235.90,-1.35
238.26,-1.38
240.64,-1.42
243.05,-1.48
245.48,-1.51
247.93,-1.55
250.41,-1.59
252.92,-1.63
255.45,-1.67
258.00,-1.71
260.58,-1.75
263.19,-1.79
265.82,-1.83
268.48,-1.87
271.16,-1.92
273.87,-1.96
276.61,-2.00
279.38,-2.05
282.17,-2.08
284.99,-2.11
287.84,-2.14
290.72,-2.16
293.63,-2.19
296.57,-2.22
299.53,-2.24
302.53,-2.28
305.55,-2.32
308.61,-2.35
311.69,-2.39
314.81,-2.43
317.96,-2.47
321.14,-2.51
324.35,-2.55
327.59,-2.59
330.87,-2.63
334.18,-2.66
337.52,-2.69
340.90,-2.71
344.30,-2.74
347.75,-2.77
351.23,-2.79
354.74,-2.81
358.28,-2.83
361.87,-2.85
365.49,-2.87
369.14,-2.90
372.83,-2.93
376.56,-2.95
380.33,-2.99
384.13,-3.03
387.97,-3.07
391.85,-3.11
395.77,-3.16
399.73,-3.20
403.72,-3.24
407.76,-3.27
411.84,-3.30
415.96,-3.34
420.12,-3.37
424.32,-3.41
428.56,-3.46
432.85,-3.50
437.18,-3.54
441.55,-3.58
445.96,-3.62
450.42,-3.67
454.93,-3.71
459.48,-3.76
464.07,-3.79
468.71,-3.81
473.40,-3.78
478.13,-3.72
482.91,-3.64
487.74,-3.55
492.62,-3.44
497.55,-3.34
502.52,-3.25
507.55,-3.18
512.62,-3.10
517.75,-3.03
522.93,-2.98
528.16,-2.93
533.44,-2.89
538.77,-2.86
544.16,-2.82
549.60,-2.77
555.10,-2.74
560.65,-2.71
566.25,-2.69
571.92,-2.66
577.64,-2.63
583.41,-2.60
589.25,-2.57
595.14,-2.54
601.09,-2.51
607.10,-2.46
613.17,-2.42
619.30,-2.38
625.50,-2.32
631.75,-2.26
638.07,-2.20
644.45,-2.15
650.89,-2.11
657.40,-2.08
663.98,-2.03
670.62,-1.98
677.32,-1.94
684.10,-1.90
690.94,-1.87
697.85,-1.85
704.83,-1.85
711.87,-1.86
718.99,-1.89
726.18,-1.91
733.44,-1.95
740.78,-2.01
748.19,-2.09
755.67,-2.18
763.23,-2.30
770.86,-2.42
778.57,-2.57
786.35,-2.72
794.22,-2.91
802.16,-3.11
810.18,-3.30
818.28,-3.44
826.46,-3.52
834.73,-3.42
843.08,-3.16
851.51,-2.76
860.02,-2.21
868.62,-1.70
877.31,-1.23
886.08,-0.90
894.94,-0.73
903.89,-0.60
912.93,-0.52
922.06,-0.49
931.28,-0.45
940.59,-0.42
950.00,-0.39
959.50,-0.31
969.09,-0.24
978.78,-0.17
988.57,-0.09
998.46,-0.02
1008.44,0.09
1018.53,0.18
1028.71,0.23
1039.00,0.30
1049.39,0.35
1059.88,0.38
1070.48,0.44
1081.19,0.47
1092.00,0.49
1102.92,0.54
1113.95,0.59
1125.09,0.62
1136.34,0.62
1147.70,0.62
1159.18,0.67
1170.77,0.74
1182.48,0.85
1194.30,0.93
1206.25,1.00
1218.31,1.00
1230.49,1.00
1242.80,1.00
1255.22,1.00
1267.78,1.06
1280.45,1.19
1293.26,1.23
1306.19,1.28
1319.25,1.35
1332.45,1.37
1345.77,1.42
1359.23,1.48
1372.82,1.58
1386.55,1.64
1400.41,1.64
1414.42,1.72
1428.56,1.80
1442.85,1.80
1457.28,1.81
1471.85,1.86
1486.57,1.89
1501.43,1.93
1516.45,1.99
1531.61,2.03
1546.93,2.03
1562.40,1.98
1578.02,1.94
1593.80,1.96
1609.74,2.03
1625.84,2.12
1642.10,2.16
1658.52,2.08
1675.10,1.89
1691.85,1.89
1708.77,1.94
1725.86,2.02
1743.12,2.04
1760.55,2.10
1778.15,2.19
1795.94,2.35
1813.90,2.35
1832.03,2.35
1850.36,2.39
1868.86,2.56
1887.55,2.71
1906.42,2.81
1925.49,2.80
1944.74,2.80
1964.19,2.79
1983.83,2.88
2003.67,3.07
2023.71,3.05
2043.94,3.10
2064.38,3.19
2085.03,3.23
2105.88,3.50
2126.94,3.78
2148.20,3.95
2169.69,4.10
2191.38,4.33
2213.30,4.66
2235.43,5.01
2257.78,5.31
2280.36,5.61
2303.17,5.91
2326.20,6.23
2349.46,6.44
2372.95,6.62
2396.68,6.79
2420.65,7.05
2444.86,7.29
2469.31,7.53
2494.00,7.77
2518.94,8.09
2544.13,8.42
2569.57,8.66
2595.27,8.89
2621.22,9.10
2647.43,9.23
2673.90,9.31
2700.64,9.40
2727.65,9.49
2754.93,9.59
2782.48,9.64
2810.30,9.66
2838.40,9.63
2866.79,9.61
2895.46,9.60
2924.41,9.55
2953.65,9.50
2983.19,9.39
3013.02,9.28
3043.15,9.17
3073.58,9.04
3104.32,8.84
3135.36,8.71
3166.72,8.59
3198.38,8.47
3230.37,8.35
3262.67,8.21
3295.30,8.07
3328.25,7.92
3361.53,7.76
3395.15,7.55
3429.10,7.39
3463.39,7.21
3498.03,7.01
3533.01,6.90
3568.34,6.77
3604.02,6.59
3640.06,6.40
3676.46,6.22
3713.22,6.05
3750.36,5.88
3787.86,5.79
3825.74,5.70
3864.00,5.62
3902.64,5.68
3941.66,5.77
3981.08,5.95
4020.89,6.15
4061.10,6.33
4101.71,6.59
4142.73,6.85
4184.15,7.12
4226.00,7.45
4268.26,7.72
4310.94,7.92
4354.05,8.12
4397.59,8.21
4441.56,8.23
4485.98,7.91
4530.84,7.54
4576.15,7.12
4621.91,6.68
4668.13,6.26
4714.81,5.65
4761.96,5.01
4809.58,4.46
4857.67,3.95
4906.25,3.47
4955.31,3.08
5004.87,2.83
5054.91,2.39
5105.46,1.99
5156.52,1.65
5208.08,1.41
5260.16,1.16
5312.77,0.92
5365.89,0.70
5419.55,0.68
5473.75,0.70
5528.49,0.67
5583.77,0.68
5639.61,0.72
5696.00,0.78
5752.96,0.83
5810.49,0.88
5868.60,0.92
5927.28,0.91
5986.56,0.85
6046.42,0.69
6106.89,0.49
6167.96,0.28
6229.64,0.08
6291.93,-0.29
6354.85,-0.80
6418.40,-1.35
6482.58,-1.94
6547.41,-2.58
6612.88,-3.23
6679.01,-3.82
6745.80,-4.32
6813.26,-4.75
6881.39,-5.10
6950.21,-5.30
7019.71,-5.42
7089.91,-5.47
7160.81,-5.39
7232.41,-5.21
7304.74,-4.93
7377.79,-4.54
7451.56,-4.12
7526.08,-3.68
7601.34,-3.22
7677.35,-2.79
7754.13,-2.37
7831.67,-1.74
7909.98,-1.15
7989.08,-0.61
8068.98,-0.03
8149.67,0.52
8231.16,1.00
8313.47,1.37
8396.61,1.61
8480.57,1.48
8565.38,1.23
8651.03,1.00
8737.54,0.89
8824.92,0.71
8913.17,0.46
9002.30,0.18
9092.32,-0.42
9183.25,-0.87
9275.08,-1.19
9367.83,-1.35
9461.51,-1.35
9556.12,-1.10
9651.68,-0.66
9748.20,-0.13
9845.68,0.66
9944.14,1.56
10043.58,2.53
10144.02,3.49
10245.46,4.05
10347.91,4.30
10451.39,4.18
10555.91,3.52
10661.46,2.74
10768.08,1.90
10875.76,1.18
10984.52,0.60
11094.36,0.08
11205.31,-0.37
11317.36,-0.74
11430.53,-1.15
11544.84,-1.75
11660.29,-2.55
11776.89,-3.50
11894.66,-4.86
12013.60,-6.29
12133.74,-6.45
12255.08,-6.21
12377.63,-6.49
12501.41,-7.09
12626.42,-7.47
12752.68,-8.02
12880.21,-8.73
13009.01,-9.53
13139.10,-10.33
13270.49,-11.34
13403.20,-12.30
13537.23,-12.84
13672.60,-12.33
13809.33,-10.85
13947.42,-8.76
14086.90,-6.97
14227.77,-5.36
14370.04,-4.60
14513.74,-4.82
14658.88,-5.84
14805.47,-7.00
14953.52,-8.40
15103.06,-9.80
15254.09,-11.11
15406.63,-9.58
15560.70,-8.02
15716.30,-6.40
15873.47,-4.90
16032.20,-3.45
16192.52,-1.98
16354.45,-1.27
16517.99,-1.18
16683.17,-2.64
16850.01,-4.43
17018.51,-6.37
17188.69,-7.80
17360.58,-8.42
17534.18,-8.55
17709.53,-8.48
17886.62,-8.62
18065.49,-8.89
18246.14,-9.28
18428.60,-10.04
18612.89,-11.00
18799.02,-12.06
18987.01,-13.12
19176.88,-14.15
19368.65,-15.16
19562.33,-16.28
19757.96,-17.64
19955.54,-19.01
