frequency,raw
20.00,-2.72
20.20,-2.73
20.40,-2.73
20.61,-2.73
20.81,-2.75
21.02,-2.77
21.23,-2.79
21.44,-2.81
21.66,-2.82
21.87,-2.83
22.09,-2.83
22.31,-2.82
22.54,-2.81
22.76,-2.80
22.99,-2.78
23.22,-2.77
23.45,-2.76
23.69,-2.75
23.92,-2.74
24.16,-2.74
24.40,-2.75
24.65,-2.75
24.89,-2.75
25.14,-2.75
25.39,-2.74
25.65,-2.73
25.91,-2.72
26.16,-2.72
26.43,-2.71
26.69,-2.72
26.96,-2.72
27.23,-2.73
27.50,-2.74
27.77,-2.74
28.05,-2.73
28.33,-2.72
28.62,-2.70
28.90,-2.69
29.19,-2.67
29.48,-2.67
29.78,-2.66
30.08,-2.66
30.38,-2.65
30.68,-2.64
30.99,-2.62
31.30,-2.60
31.61,-2.58
31.93,-2.56
32.24,-2.55
32.57,-2.55
32.89,-2.55
33.22,-2.54
33.55,-2.54
33.89,-2.52
34.23,-2.49
34.57,-2.47
34.92,-2.45
35.27,-2.43
35.62,-2.43
35.97,-2.43
36.33,-2.43
36.70,-2.42
37.06,-2.40
37.43,-2.37
37.81,-2.34
38.19,-2.30
38.57,-2.27
38.95,-2.24
39.34,-2.21
39.74,-2.18
40.14,-2.16
40.54,-2.13
40.94,-2.12
41.35,-2.11
41.76,-2.09
42.18,-2.07
42.60,-2.04
43.03,-2.01
43.46,-1.98
43.90,-1.96
44.33,-1.94
44.78,-1.93
45.23,-1.91
45.68,-1.89
46.13,-1.87
46.60,-1.85
47.06,-1.84
47.53,-1.82
48.01,-1.81
48.49,-1.80
48.97,-1.79
49.46,-1.78
49.96,-1.76
50.46,-1.74
50.96,-1.72
51.47,-1.70
51.99,-1.66
52.51,-1.63
53.03,-1.58
53.56,-1.54
54.10,-1.50
54.64,-1.45
55.18,-1.40
55.74,-1.35
56.29,-1.29
56.86,-1.24
57.42,-1.20
58.00,-1.15
58.58,-1.11
59.16,-1.08
59.76,-1.05
60.35,-1.03
60.96,-1.01
61.57,-0.99
62.18,-0.96
62.80,-0.94
63.43,-0.92
64.07,-0.91
64.71,-0.90
65.35,-0.89
66.01,-0.87
66.67,-0.86
67.33,-0.84
68.01,-0.82
68.69,-0.81
69.37,-0.79
70.07,-0.78
70.77,-0.77
71.48,-0.75
72.19,-0.74
72.91,-0.72
73.64,-0.71
74.38,-0.71
75.12,-0.70
75.87,-0.70
76.63,-0.69
77.40,-0.68
78.17,-0.68
78.95,-0.68
79.74,-0.69
80.54,-0.69
81.35,-0.69
82.16,-0.69
82.98,-0.70
83.81,-0.71
84.65,-0.70
85.50,-0.70
86.35,-0.71
87.22,-0.73
88.09,-0.73
88.97,-0.74
89.86,-0.74
90.76,-0.74
91.66,-0.75
92.58,-0.75
93.51,-0.76
94.44,-0.77
95.39,-0.77
96.34,-0.77
97.30,-0.77
98.28,-0.77
99.26,-0.77
100.25,-0.78
101.25,-0.78
102.27,-0.78
103.29,-0.78
104.32,-0.78
105.37,-0.78
106.42,-0.79
107.48,-0.79
108.56,-0.78
109.64,-0.77
110.74,-0.77
111.85,-0.78
112.97,-0.77
114.10,-0.77
115.24,-0.78
