frequency,raw
20.00,-6.12
20.20,-6.05
20.40,-5.97
20.61,-5.90
20.81,-5.84
21.02,-5.80
21.23,-5.76
21.44,-5.71
21.66,-5.66
21.87,-5.60
22.09,-5.52
22.31,-5.42
22.54,-5.31
22.76,-5.20
22.99,-5.09
23.22,-4.98
23.45,-4.89
23.69,-4.81
23.92,-4.74
24.16,-4.67
24.40,-4.61
24.65,-4.56
24.89,-4.50
25.14,-4.43
25.39,-4.37
25.65,-4.30
25.91,-4.22
26.16,-4.15
26.43,-4.06
26.69,-3.98
26.96,-3.90
27.23,-3.82
27.50,-3.75
27.77,-3.69
28.05,-3.63
28.33,-3.57
28.62,-3.51
28.90,-3.45
29.19,-3.38
29.48,-3.32
29.78,-3.26
30.08,-3.19
30.38,-3.13
30.68,-3.06
30.99,-2.99
31.30,-2.92
31.61,-2.85
31.93,-2.79
32.24,-2.73
32.57,-2.66
32.89,-2.60
33.22,-2.55
33.55,-2.49
33.89,-2.43
34.23,-2.38
34.57,-2.33
34.92,-2.28
35.27,-2.22
35.62,-2.17
35.97,-2.11
36.33,-2.06
36.70,-2.01
37.06,-1.96
37.43,-1.92
37.81,-1.87
38.19,-1.83
38.57,-1.78
38.95,-1.72
39.34,-1.67
39.74,-1.62
40.14,-1.57
40.54,-1.53
40.94,-1.49
41.35,-1.45
41.76,-1.41
42.18,-1.37
42.60,-1.34
43.03,-1.30
43.46,-1.26
43.90,-1.22
44.33,-1.18
44.78,-1.15
45.23,-1.11
45.68,-1.08
46.13,-1.05
46.60,-1.02
47.06,-0.99
47.53,-0.96
48.01,-0.94
48.49,-0.91
48.97,-0.89
49.46,-0.87
49.96,-0.84
50.46,-0.81
50.96,-0.79
51.47,-0.77
51.99,-0.75
52.51,-0.74
53.03,-0.73
53.56,-0.72
54.10,-0.71
54.64,-0.70
55.18,-0.70
55.74,-0.69
56.29,-0.69
56.86,-0.70
57.42,-0.70
58.00,-0.71
58.58,-0.73
59.16,-0.74
59.76,-0.77
60.35,-0.78
60.96,-0.77
61.57,-0.75
62.18,-0.77
62.80,-0.81
63.43,-0.83
64.07,-0.83
64.71,-0.82
65.35,-0.82
66.01,-0.82
66.67,-0.83
67.33,-0.83
68.01,-0.83
68.69,-0.77
69.37,-0.72
70.07,-0.67
70.77,-0.66
71.48,-0.64
72.19,-0.62
72.91,-0.62
73.64,-0.61
74.38,-0.62
75.12,-0.63
75.87,-0.65
76.63,-0.66
77.40,-0.68
78.17,-0.72
78.95,-0.76
79.74,-0.78
80.54,-0.81
81.35,-0.85
82.16,-0.86
82.98,-0.87
83.81,-0.87
84.65,-0.88
85.50,-0.88
86.35,-0.89
87.22,-0.89
88.09,-0.89
88.97,-0.88
89.86,-0.87
90.76,-0.86
91.66,-0.85
92.58,-0.85
93.51,-0.83
94.44,-0.82
95.39,-0.82
96.34,-0.84
97.30,-0.84
98.28,-0.84
99.26,-0.84
100.25,-0.84
101.25,-0.87
102.27,-0.89
103.29,-0.91
104.32,-0.93
105.37,-0.95
106.42,-0.98
107.48,-1.01
108.56,-1.05
109.64,-1.08
110.74,-1.11
111.85,-1.14
112.97,-1.19
114.10,-1.23
115.24,-1.27
116.39,-1.32
117.55,-1.37
118.73,-1.40
119.92,-1.42
121.12,-1.47
122.33,-1.53
123.55,-1.58
124.79,-1.62
126.03,-1.67
127.29,-1.72
128.57,-1.76
129.85,-1.81
131.15,-1.85
132.46,-1.90
133.79,-1.95
135.12,-2.00
136.48,-2.05
137.84,-2.11
139.22,-2.16
140.61,-2.22
142.02,-2.28
143.44,-2.35
144.87,-2.41
146.32,-2.46
147.78,-2.51
149.26,-2.55
150.75,-2.59
152.26,-2.62
153.78,-2.66
155.32,-2.69
156.88,-2.73
158.44,-2.78
160.03,-2.82
161.63,-2.87
163.24,-2.93
164.88,-2.99
166.53,-3.04
168.19,-3.10
169.87,-3.15
171.57,-3.22
173.29,-3.27
175.02,-3.33
176.77,-3.38
178.54,-3.46
180.32,-3.53
182.13,-3.59
183.95,-3.66
185.79,-3.74
187.65,-3.81
189.52,-3.89
191.42,-3.96
193.33,-4.03
195.27,-4.08
197.22,-4.13
199.19,-4.16
201.18,-4.17
203.19,-4.17
205.23,-4.14
207.28,-4.09
209.35,-4.03
211.44,-3.95
213.56,-3.85
215.69,-3.76
217.85,-3.66
220.03,-3.57
222.23,-3.49
224.45,-3.41
226.70,-3.35
228.96,-3.28
231.25,-3.23
233.57,-3.19
235.90,-3.16
238.26,-3.13
240.64,-3.11
243.05,-3.09
245.48,-3.08
247.93,-3.07
250.41,-3.05
252.92,-3.05
255.45,-3.04
258.00,-3.04
260.58,-3.02
263.19,-3.01
265.82,-3.00
268.48,-3.00
271.16,-3.00
273.87,-3.00
276.61,-3.01
279.38,-3.04
282.17,-3.04
284.99,-3.04
287.84,-3.05
290.72,-3.05
293.63,-3.06
296.57,-3.07
299.53,-3.07
302.53,-3.11
305.55,-3.15
308.61,-3.18
311.69,-3.21
314.81,-3.22
317.96,-3.25
321.14,-3.29
324.35,-3.33
327.59,-3.36
330.87,-3.38
334.18,-3.40
337.52,-3.43
340.90,-3.48
344.30,-3.55
347.75,-3.60
351.23,-3.62
354.74,-3.61
358.28,-3.58
361.87,-3.55
365.49,-3.50
369.14,-3.46
372.83,-3.41
376.56,-3.36
380.33,-3.32
384.13,-3.29
387.97,-3.26
391.85,-3.24
395.77,-3.23
399.73,-3.21
403.72,-3.18
407.76,-3.15
411.84,-3.12
415.96,-3.10
420.12,-3.07
424.32,-3.03
428.56,-3.01
432.85,-2.98
437.18,-2.95
441.55,-2.91
445.96,-2.88
450.42,-2.84
454.93,-2.81
459.48,-2.80
464.07,-2.79
468.71,-2.77
473.40,-2.75
478.13,-2.73
482.91,-2.70
487.74,-2.67
492.62,-2.66
497.55,-2.64
502.52,-2.61
507.55,-2.58
512.62,-2.55
517.75,-2.51
522.93,-2.47
528.16,-2.44
533.44,-2.40
538.77,-2.37
544.16,-2.33
549.60,-2.29
555.10,-2.25
560.65,-2.21
566.25,-2.20
571.92,-2.18
577.64,-2.16
583.41,-2.14
589.25,-2.12
595.14,-2.09
601.09,-2.07
607.10,-2.05
613.17,-2.02
619.30,-2.00
625.50,-1.99
631.75,-1.98
638.07,-1.95
644.45,-1.93
650.89,-1.91
657.40,-1.89
663.98,-1.86
670.62,-1.81
677.32,-1.77
684.10,-1.74
690.94,-1.72
697.85,-1.71
704.83,-1.70
711.87,-1.69
718.99,-1.68
