frequency,raw
20.00,-6.18
20.20,-6.09
20.40,-6.00
20.61,-5.92
20.81,-5.82
21.02,-5.73
21.23,-5.64
21.44,-5.54
21.66,-5.46
21.87,-5.37
22.09,-5.30
22.31,-5.24
22.54,-5.18
22.76,-5.12
22.99,-5.05
23.22,-4.98
23.45,-4.90
23.69,-4.82
23.92,-4.73
24.16,-4.65
24.40,-4.57
24.65,-4.49
24.89,-4.43
25.14,-4.36
25.39,-4.29
25.65,-4.22
25.91,-4.14
26.16,-4.07
26.43,-3.99
26.69,-3.92
26.96,-3.85
27.23,-3.79
27.50,-3.73
27.77,-3.66
28.05,-3.59
28.33,-3.51
28.62,-3.43
28.90,-3.36
29.19,-3.30
29.48,-3.24
29.78,-3.19
30.08,-3.14
30.38,-3.09
30.68,-3.02
30.99,-2.96
31.30,-2.89
31.61,-2.82
31.93,-2.76
32.24,-2.70
32.57,-2.64
32.89,-2.59
33.22,-2.53
33.55,-2.47
33.89,-2.42
34.23,-2.36
34.57,-2.31
34.92,-2.26
35.27,-2.20
35.62,-2.15
35.97,-2.10
36.33,-2.05
36.70,-2.00
37.06,-1.94
37.43,-1.89
37.81,-1.85
38.19,-1.80
38.57,-1.75
38.95,-1.71
39.34,-1.66
39.74,-1.61
40.14,-1.57
40.54,-1.52
40.94,-1.48
41.35,-1.44
41.76,-1.40
42.18,-1.37
42.60,-1.33
43.03,-1.29
43.46,-1.26
43.90,-1.22
44.33,-1.19
44.78,-1.16
45.23,-1.12
45.68,-1.09
46.13,-1.06
46.60,-1.04
47.06,-1.01
47.53,-0.98
48.01,-0.95
48.49,-0.92
48.97,-0.90
49.46,-0.89
49.96,-0.86
50.46,-0.83
50.96,-0.81
51.47,-0.79
51.99,-0.79
52.51,-0.78
53.03,-0.77
53.56,-0.75
54.10,-0.75
54.64,-0.75
55.18,-0.76
55.74,-0.75
56.29,-0.75
56.86,-0.75
57.42,-0.77
58.00,-0.79
58.58,-0.81
59.16,-0.82
59.76,-0.83
60.35,-0.83
60.96,-0.83
61.57,-0.82
62.18,-0.81
62.80,-0.82
63.43,-0.81
64.07,-0.79
64.71,-0.76
65.35,-0.74
66.01,-0.72
66.67,-0.71
67.33,-0.69
68.01,-0.66
68.69,-0.65
69.37,-0.63
70.07,-0.61
70.77,-0.61
71.48,-0.62
72.19,-0.62
72.91,-0.63
73.64,-0.65
74.38,-0.66
75.12,-0.67
75.87,-0.68
76.63,-0.69
77.40,-0.70
78.17,-0.71
78.95,-0.71
79.74,-0.72
80.54,-0.73
81.35,-0.74
82.16,-0.75
82.98,-0.77
83.81,-0.79
84.65,-0.81
85.50,-0.81
86.35,-0.82
87.22,-0.81
88.09,-0.81
88.97,-0.81
89.86,-0.80
90.76,-0.80
91.66,-0.79
92.58,-0.79
93.51,-0.79
94.44,-0.80
95.39,-0.80
96.34,-0.80
97.30,-0.81
98.28,-0.82
99.26,-0.85
100.25,-0.87
101.25,-0.88
102.27,-0.90
103.29,-0.93
104.32,-0.95
105.37,-0.98
106.42,-1.02
107.48,-1.05
108.56,-1.08
109.64,-1.12
110.74,-1.16
111.85,-1.20
112.97,-1.25
114.10,-1.29
115.24,-1.34
116.39,-1.39
117.55,-1.44
118.73,-1.49
119.92,-1.54
121.12,-1.58
122.33,-1.62
123.55,-1.67
124.79,-1.72
126.03,-1.77
127.29,-1.81
128.57,-1.86
129.85,-1.91
131.15,-1.96
132.46,-2.02
133.79,-2.07
135.12,-2.13
136.48,-2.18
137.84,-2.24
139.22,-2.31
140.61,-2.37
142.02,-2.43
143.44,-2.48
144.87,-2.53
146.32,-2.57
147.78,-2.61
149.26,-2.63
150.75,-2.66
152.26,-2.70
153.78,-2.73
155.32,-2.77
156.88,-2.81
158.44,-2.85
160.03,-2.90
161.63,-2.96
