frequency,raw
20.00,-8.71
20.20,-8.58
20.40,-8.46
20.61,-8.34
20.81,-8.23
21.02,-8.12
21.23,-8.01
21.44,-7.89
21.66,-7.77
21.87,-7.64
22.09,-7.51
22.31,-7.37
22.54,-7.24
22.76,-7.10
22.99,-6.97
23.22,-6.84
23.45,-6.71
23.69,-6.59
23.92,-6.47
24.16,-6.35
24.40,-6.22
24.65,-6.09
24.89,-5.95
25.14,-5.80
25.39,-5.65
25.65,-5.51
25.91,-5.37
26.16,-5.23
26.43,-5.11
26.69,-4.99
26.96,-4.88
27.23,-4.77
27.50,-4.66
27.77,-4.54
28.05,-4.41
28.33,-4.29
28.62,-4.16
28.90,-4.03
29.19,-3.90
29.48,-3.77
29.78,-3.65
30.08,-3.52
30.38,-3.40
30.68,-3.27
30.99,-3.15
31.30,-3.03
31.61,-2.91
31.93,-2.79
32.24,-2.67
32.57,-2.55
32.89,-2.44
33.22,-2.33
33.55,-2.22
33.89,-2.11
34.23,-2.00
34.57,-1.89
34.92,-1.78
35.27,-1.67
35.62,-1.56
35.97,-1.44
36.33,-1.33
36.70,-1.22
37.06,-1.12
37.43,-1.01
37.81,-0.91
38.19,-0.80
38.57,-0.69
38.95,-0.59
39.34,-0.49
39.74,-0.40
40.14,-0.31
40.54,-0.22
40.94,-0.12
41.35,-0.03
41.76,0.07
42.18,0.16
42.60,0.25
43.03,0.35
43.46,0.44
43.90,0.53
44.33,0.61
44.78,0.70
45.23,0.78
45.68,0.86
46.13,0.95
46.60,1.04
47.06,1.13
47.53,1.21
48.01,1.28
48.49,1.35
48.97,1.42
49.46,1.50
49.96,1.59
50.46,1.67
50.96,1.74
51.47,1.80
51.99,1.86
52.51,1.93
53.03,2.01
53.56,2.07
54.10,2.13
54.64,2.20
55.18,2.27
55.74,2.32
56.29,2.36
56.86,2.40
57.42,2.45
58.00,2.50
58.58,2.55
59.16,2.59
59.76,2.64
60.35,2.69
60.96,2.75
61.57,2.81
62.18,2.87
62.80,2.90
63.43,2.94
64.07,2.99
64.71,3.05
65.35,3.09
66.01,3.11
66.67,3.14
67.33,3.17
68.01,3.21
68.69,3.24
69.37,3.28
70.07,3.31
70.77,3.33
71.48,3.36
72.19,3.39
