frequency,raw
20.00,4.14
20.20,4.19
20.40,4.24
20.61,4.29
20.81,4.34
21.02,4.39
21.23,4.44
21.44,4.49
21.66,4.53
21.87,4.58
22.09,4.63
22.31,4.67
22.54,4.71
22.76,4.75
22.99,4.78
23.22,4.82
23.45,4.86
23.69,4.90
23.92,4.94
24.16,4.98
24.40,5.03
24.65,5.07
24.89,5.11
25.14,5.16
25.39,5.20
25.65,5.24
25.91,5.27
26.16,5.31
26.43,5.35
26.69,5.39
26.96,5.42
27.23,5.46
27.50,5.49
27.77,5.52
28.05,5.55
28.33,5.58
28.62,5.60
28.90,5.63
29.19,5.66
29.48,5.68
29.78,5.72
30.08,5.75
30.38,5.78
30.68,5.81
30.99,5.83
31.30,5.85
31.61,5.87
31.93,5.89
32.24,5.91
32.57,5.93
32.89,5.96
33.22,5.98
33.55,6.00
33.89,6.02
34.23,6.04
34.57,6.06
34.92,6.07
35.27,6.09
35.62,6.11
35.97,6.12
36.33,6.14
36.70,6.15
37.06,6.16
37.43,6.17
37.81,6.18
38.19,6.19
38.57,6.20
38.95,6.21
39.34,6.22
39.74,6.23
40.14,6.24
40.54,6.24
40.94,6.25
41.35,6.25
41.76,6.26
42.18,6.26
42.60,6.26
43.03,6.25
43.46,6.25
43.90,6.25
44.33,6.24
44.78,6.23
45.23,6.22
45.68,6.21
46.13,6.19
46.60,6.17
47.06,6.15
47.53,6.14
48.01,6.12
48.49,6.11
48.97,6.10
49.46,6.09
49.96,6.08
50.46,6.08
50.96,6.07
51.47,6.06
51.99,6.06
52.51,6.05
53.03,6.05
53.56,6.05
54.10,6.04
54.64,6.04
55.18,6.03
55.74,6.02
56.29,6.00
56.86,5.99
57.42,5.96
58.00,5.94
58.58,5.91
59.16,5.88
59.76,5.84
60.35,5.80
60.96,5.74
61.57,5.68
62.18,5.62
62.80,5.55
63.43,5.48
64.07,5.41
64.71,5.33
65.35,5.25
66.01,5.16
66.67,5.08
67.33,5.00
68.01,4.93
68.69,4.86
69.37,4.81
70.07,4.77
70.77,4.75
71.48,4.73
72.19,4.72
72.91,4.72
73.64,4.72
74.38,4.73
75.12,4.73
75.87,4.74
76.63,4.74
77.40,4.74
78.17,4.74
78.95,4.74
79.74,4.74
80.54,4.75
81.35,4.75
82.16,4.75
82.98,4.77
83.81,4.78
84.65,4.80
85.50,4.81
86.35,4.81
87.22,4.80
88.09,4.79
88.97,4.76
89.86,4.73
90.76,4.68
91.66,4.64
92.58,4.60
93.51,4.58
94.44,4.57
95.39,4.57
96.34,4.59
97.30,4.61
98.28,4.63
99.26,4.65
100.25,4.65
101.25,4.66
102.27,4.66
103.29,4.66
104.32,4.65
105.37,4.64
106.42,4.62
107.48,4.61
108.56,4.59
109.64,4.57
110.74,4.54
111.85,4.52
112.97,4.49
114.10,4.47
115.24,4.44
116.39,4.41
117.55,4.38
118.73,4.34
119.92,4.30
121.12,4.27
122.33,4.24
123.55,4.21
124.79,4.17
126.03,4.14
127.29,4.11
128.57,4.08
129.85,4.04
131.15,4.01
132.46,3.98
133.79,3.94
135.12,3.91
136.48,3.87
137.84,3.83
139.22,3.80
140.61,3.77
142.02,3.73
143.44,3.70
144.87,3.66
146.32,3.63
147.78,3.59
149.26,3.55
150.75,3.51
152.26,3.47
153.78,3.43
155.32,3.38
156.88,3.34
158.44,3.31
160.03,3.27
161.63,3.24
163.24,3.21
164.88,3.18
166.53,3.15
168.19,3.12
169.87,3.09
171.57,3.07
173.29,3.04
175.02,3.01
176.77,2.98
178.54,2.96
180.32,2.93
182.13,2.90
183.95,2.87
185.79,2.84
187.65,2.81
189.52,2.78
191.42,2.75
193.33,2.71
195.27,2.68
197.22,2.64
199.19,2.60
201.18,2.55
203.19,2.51
205.23,2.47
207.28,2.45
209.35,2.43
211.44,2.42
213.56,2.40
215.69,2.39
217.85,2.37
220.03,2.35
222.23,2.33
224.45,2.31
226.70,2.28
228.96,2.25
231.25,2.22
233.57,2.19
235.90,2.16
238.26,2.10
240.64,2.06
243.05,2.06
245.48,2.04
247.93,2.01
250.41,1.98
252.92,1.95
255.45,1.92
258.00,1.88
260.58,1.85
263.19,1.82
265.82,1.79
268.48,1.74
271.16,1.70
273.87,1.66
276.61,1.61
279.38,1.55
282.17,1.52
284.99,1.50
287.84,1.49
290.72,1.49
293.63,1.47
296.57,1.45
299.53,1.43
302.53,1.41
305.55,1.38
308.61,1.35
311.69,1.32
314.81,1.29
317.96,1.26
321.14,1.22
324.35,1.19
327.59,1.14
330.87,1.10
334.18,1.07
337.52,1.03
340.90,0.99
344.30,0.95
347.75,0.91
351.23,0.87
354.74,0.83
358.28,0.80
361.87,0.77
365.49,0.74
369.14,0.70
372.83,0.67
376.56,0.66
380.33,0.66
384.13,0.65
387.97,0.63
391.85,0.59
395.77,0.54
399.73,0.50
403.72,0.47
407.76,0.44
411.84,0.41
415.96,0.38
420.12,0.35
424.32,0.32
428.56,0.27
432.85,0.23
437.18,0.18
441.55,0.12
445.96,0.07
450.42,0.04
454.93,-0.01
459.48,-0.05
464.07,-0.11
468.71,-0.17
473.40,-0.23
478.13,-0.29
482.91,-0.33
487.74,-0.35
492.62,-0.38
497.55,-0.41
502.52,-0.45
507.55,-0.50
512.62,-0.58
517.75,-0.66
522.93,-0.70
528.16,-0.70
533.44,-0.73
538.77,-0.77
544.16,-0.81
549.60,-0.85
555.10,-0.88
560.65,-0.90
566.25,-0.92
571.92,-0.95
577.64,-0.99
583.41,-1.02
589.25,-1.03
595.14,-1.04
601.09,-1.05
607.10,-1.05
613.17,-1.06
619.30,-1.05
625.50,-1.04
631.75,-1.02
638.07,-1.02
644.45,-0.99
650.89,-0.97
657.40,-0.99
663.98,-1.00
670.62,-1.03
677.32,-1.04
684.10,-1.06
690.94,-1.07
697.85,-1.06
704.83,-1.05
711.87,-1.03
718.99,-1.02
726.18,-1.01
733.44,-0.99
740.78,-0.94
748.19,-0.90
755.67,-0.84
763.23,-0.79
770.86,-0.71
778.57,-0.63
786.35,-0.56
794.22,-0.48
802.16,-0.39
810.18,-0.30
818.28,-0.23
826.46,-0.16
834.73,-0.11
843.08,-0.07
851.51,-0.04
860.02,-0.01
868.62,0.04
877.31,0.08
886.08,0.09
894.94,0.10
903.89,0.11
912.93,0.12
922.06,0.17
931.28,0.18
940.59,0.19
950.00,0.23
959.50,0.18
969.09,0.14
978.78,0.10
988.57,0.05
998.46,-0.00
1008.44,0.02
1018.53,0.03
1028.71,-0.01
1039.00,-0.07
1049.39,-0.14
1059.88,-0.19
1070.48,-0.26
1081.19,-0.36
1092.00,-0.47
1102.92,-0.60
1113.95,-0.59
1125.09,-0.56
1136.34,-0.56
1147.70,-0.62
1159.18,-0.59
1170.77,-0.54
1182.48,-0.61
1194.30,-0.60
1206.25,-0.59
1218.31,-0.62
1230.49,-0.56
1242.80,-0.51
1255.22,-0.49
1267.78,-0.37
1280.45,-0.34
1293.26,-0.32
1306.19,-0.31
1319.25,-0.29
1332.45,-0.30
1345.77,-0.25
1359.23,-0.13
1372.82,0.01
1386.55,0.11
1400.41,0.14
1414.42,0.21
1428.56,0.28
1442.85,0.30
1457.28,0.35
1471.85,0.43
1486.57,0.56
1501.43,0.69
1516.45,0.77
1531.61,0.86
1546.93,0.96
1562.40,1.05
1578.02,1.15
1593.80,1.33
1609.74,1.51
1625.84,1.69
