frequency,raw
20.00,-1.63
20.20,-1.56
20.40,-1.49
20.61,-1.43
20.81,-1.37
21.02,-1.32
21.23,-1.27
21.44,-1.23
21.66,-1.19
21.87,-1.15
22.09,-1.10
22.31,-1.05
22.54,-0.98
22.76,-0.92
22.99,-0.85
23.22,-0.79
23.45,-0.73
23.69,-0.67
23.92,-0.63
24.16,-0.59
24.40,-0.55
24.65,-0.51
24.89,-0.46
25.14,-0.40
25.39,-0.35
25.65,-0.29
25.91,-0.24
26.16,-0.20
26.43,-0.17
26.69,-0.15
26.96,-0.13
27.23,-0.10
27.50,-0.06
27.77,-0.01
28.05,0.04
28.33,0.09
28.62,0.14
28.90,0.18
29.19,0.22
29.48,0.25
29.78,0.28
30.08,0.31
30.38,0.35
30.68,0.39
30.99,0.42
31.30,0.46
31.61,0.49
31.93,0.52
32.24,0.55
32.57,0.58
32.89,0.61
33.22,0.64
33.55,0.67
33.89,0.70
34.23,0.72
34.57,0.75
34.92,0.78
35.27,0.81
35.62,0.84
35.97,0.86
36.33,0.89
36.70,0.91
37.06,0.93
37.43,0.95
37.81,0.97
38.19,0.99
38.57,1.01
38.95,1.03
39.34,1.06
39.74,1.09
40.14,1.12
40.54,1.15
40.94,1.18
41.35,1.20
41.76,1.23
42.18,1.27
42.60,1.30
43.03,1.34
43.46,1.37
43.90,1.40
44.33,1.43
44.78,1.44
45.23,1.45
45.68,1.45
46.13,1.44
46.60,1.44
47.06,1.43
47.53,1.42
48.01,1.40
48.49,1.37
48.97,1.34
49.46,1.31
49.96,1.30
50.46,1.29
50.96,1.28
51.47,1.26
51.99,1.24
52.51,1.23
53.03,1.21
53.56,1.19
54.10,1.17
54.64,1.15
55.18,1.14
55.74,1.11
56.29,1.09
56.86,1.08
57.42,1.06
58.00,1.05
58.58,1.05
59.16,1.06
59.76,1.09
60.35,1.11
60.96,1.12
61.57,1.12
62.18,1.12
62.80,1.14
63.43,1.16
64.07,1.18
64.71,1.19
65.35,1.22
66.01,1.26
66.67,1.31
67.33,1.35
68.01,1.39
68.69,1.44
69.37,1.48
70.07,1.52
70.77,1.58
71.48,1.63
72.19,1.68
72.91,1.72
73.64,1.75
74.38,1.78
75.12,1.82
75.87,1.85
76.63,1.89
77.40,1.92
78.17,1.96
78.95,2.01
79.74,2.06
80.54,2.11
81.35,2.15
82.16,2.19
82.98,2.22
83.81,2.26
84.65,2.29
85.50,2.31
86.35,2.33
87.22,2.35
88.09,2.36
88.97,2.36
89.86,2.37
90.76,2.37
91.66,2.36
92.58,2.36
93.51,2.34
94.44,2.32
95.39,2.30
96.34,2.27
97.30,2.25
98.28,2.20
99.26,2.16
100.25,2.11
101.25,2.09
102.27,2.07
103.29,2.06
104.32,2.06
105.37,2.08
106.42,2.10
107.48,2.11
108.56,2.14
109.64,2.15
110.74,2.16
111.85,2.17
112.97,2.18
114.10,2.18
115.24,2.18
116.39,2.18
117.55,2.17
118.73,2.17
119.92,2.18
121.12,2.17
122.33,2.15
123.55,2.14
124.79,2.14
126.03,2.12
127.29,2.11
128.57,2.10
129.85,2.08
131.15,2.07
132.46,2.05
133.79,2.03
135.12,2.01
136.48,1.99
137.84,1.97
139.22,1.95
140.61,1.92
142.02,1.90
143.44,1.87
144.87,1.85
146.32,1.83
147.78,1.80
149.26,1.77
150.75,1.74
152.26,1.71
153.78,1.69
155.32,1.66
156.88,1.63
158.44,1.60
160.03,1.56
161.63,1.54
163.24,1.52
164.88,1.49
166.53,1.46
168.19,1.44
169.87,1.40
171.57,1.38
173.29,1.35
175.02,1.32
176.77,1.29
178.54,1.27
180.32,1.24
182.13,1.21
183.95,1.18
185.79,1.15
187.65,1.13
189.52,1.10
191.42,1.07
193.33,1.04
195.27,1.02
197.22,0.99
199.19,0.97
201.18,0.94
203.19,0.91
205.23,0.88
207.28,0.85
209.35,0.82
211.44,0.79
213.56,0.76
215.69,0.73
217.85,0.69
220.03,0.66
222.23,0.63
224.45,0.60
226.70,0.58
228.96,0.55
231.25,0.54
233.57,0.53
235.90,0.52
238.26,0.50
240.64,0.49
243.05,0.49
245.48,0.47
247.93,0.45
250.41,0.42
252.92,0.38
255.45,0.34
258.00,0.31
260.58,0.28
263.19,0.25
265.82,0.22
268.48,0.18
271.16,0.15
273.87,0.13
276.61,0.11
279.38,0.08
282.17,0.05
284.99,0.02
287.84,0.01
290.72,-0.00
293.63,-0.01
296.57,-0.01
299.53,-0.03
302.53,-0.04
305.55,-0.06
308.61,-0.08
311.69,-0.11
314.81,-0.15
317.96,-0.17
321.14,-0.19
324.35,-0.22
327.59,-0.25
330.87,-0.27
334.18,-0.29
337.52,-0.30
340.90,-0.32
344.30,-0.33
347.75,-0.34
351.23,-0.36
354.74,-0.38
358.28,-0.38
361.87,-0.38
365.49,-0.37
369.14,-0.34
372.83,-0.33
376.56,-0.32
380.33,-0.32
384.13,-0.33
387.97,-0.34
391.85,-0.36
395.77,-0.39
399.73,-0.44
403.72,-0.49
407.76,-0.56
411.84,-0.66
415.96,-0.79
420.12,-0.94
424.32,-1.10
428.56,-1.22
432.85,-1.27
437.18,-1.27
441.55,-1.21
445.96,-1.15
450.42,-1.10
454.93,-1.05
459.48,-1.02
464.07,-0.99
468.71,-0.96
473.40,-0.94
478.13,-0.93
482.91,-0.93
487.74,-0.93
492.62,-0.94
497.55,-0.94
502.52,-0.94
507.55,-0.92
512.62,-0.89
517.75,-0.87
522.93,-0.85
528.16,-0.83
533.44,-0.81
538.77,-0.78
544.16,-0.77
549.60,-0.75
555.10,-0.74
560.65,-0.73
566.25,-0.74
571.92,-0.74
577.64,-0.75
583.41,-0.74
589.25,-0.71
595.14,-0.67
601.09,-0.62
607.10,-0.59
613.17,-0.57
619.30,-0.55
625.50,-0.52
631.75,-0.49
638.07,-0.46
644.45,-0.42
650.89,-0.39
657.40,-0.35
663.98,-0.31
670.62,-0.26
677.32,-0.23
684.10,-0.19
690.94,-0.15
697.85,-0.11
704.83,-0.08
711.87,-0.07
718.99,-0.06
726.18,-0.03
733.44,0.00
740.78,0.02
748.19,0.03
755.67,0.05
763.23,0.07
770.86,0.09
778.57,0.10
786.35,0.11
794.22,0.12
802.16,0.13
810.18,0.14
818.28,0.15
826.46,0.17
834.73,0.19
843.08,0.20
851.51,0.21
860.02,0.22
868.62,0.22
877.31,0.23
886.08,0.22
894.94,0.24
903.89,0.24
912.93,0.24
922.06,0.23
931.28,0.21
940.59,0.19
950.00,0.14
959.50,0.07
969.09,0.02
978.78,-0.00
988.57,0.00
998.46,0.00
1008.44,-0.02
1018.53,-0.03
1028.71,-0.02
1039.00,-0.06
1049.39,-0.08
1059.88,-0.08
1070.48,-0.11
1081.19,-0.14
1092.00,-0.15
1102.92,-0.17
1113.95,-0.18
1125.09,-0.20
1136.34,-0.23
1147.70,-0.29
1159.18,-0.30
1170.77,-0.30
1182.48,-0.34
1194.30,-0.35
1206.25,-0.37
1218.31,-0.40
1230.49,-0.38
1242.80,-0.35
1255.22,-0.35
1267.78,-0.37
1280.45,-0.38
1293.26,-0.42
1306.19,-0.47
1319.25,-0.49
1332.45,-0.48
1345.77,-0.48
1359.23,-0.49
1372.82,-0.51
1386.55,-0.52
1400.41,-0.53
1414.42,-0.46
1428.56,-0.40
1442.85,-0.39
1457.28,-0.37
1471.85,-0.35
1486.57,-0.38
1501.43,-0.42
1516.45,-0.34
1531.61,-0.28
1546.93,-0.26
1562.40,-0.20
1578.02,-0.14
1593.80,-0.13
1609.74,-0.07
1625.84,0.01
1642.10,0.04
1658.52,0.09
1675.10,0.15
1691.85,0.15
1708.77,0.17
1725.86,0.22
1743.12,0.34
1760.55,0.39
1778.15,0.42
1795.94,0.56
1813.90,0.66
1832.03,0.75
1850.36,0.85
1868.86,0.85
1887.55,0.96
1906.42,1.11
1925.49,1.23
1944.74,1.42
1964.19,1.50
1983.83,1.62
2003.67,1.83
2023.71,1.99
2043.94,2.19
2064.38,2.40
2085.03,2.59
2105.88,2.73
2126.94,2.91
2148.20,3.20
2169.69,3.43
2191.38,3.65
2213.30,3.91
2235.43,4.20
2257.78,4.51
2280.36,4.77
2303.17,4.99
2326.20,5.30
2349.46,5.60
2372.95,5.84
2396.68,6.04
2420.65,6.36
2444.86,6.64
2469.31,6.90
2494.00,7.20
2518.94,7.51
2544.13,7.80
2569.57,8.04
2595.27,8.30
2621.22,8.57
2647.43,8.86
2673.90,9.11
2700.64,9.31
2727.65,9.46
2754.93,9.68
2782.48,9.89
2810.30,10.06
2838.40,10.18
2866.79,10.26
2895.46,10.33
2924.41,10.33
2953.65,10.29
2983.19,10.11
3013.02,9.99
3043.15,9.91
3073.58,9.72
3104.32,9.57
3135.36,9.34
3166.72,9.08
3198.38,8.83
3230.37,8.57
3262.67,8.27
3295.30,7.91
3328.25,7.78
3361.53,7.66
3395.15,7.48
3429.10,7.34
3463.39,7.26
3498.03,7.26
3533.01,7.32
3568.34,7.36
3604.02,7.42
3640.06,7.70
3676.46,8.04
3713.22,8.44
3750.36,8.90
3787.86,9.31
3825.74,9.69
3864.00,9.92
3902.64,10.03
3941.66,10.12
3981.08,10.12
4020.89,10.05
4061.10,9.92
4101.71,9.71
4142.73,9.48
4184.15,9.23
4226.00,8.92
4268.26,8.60
4310.94,8.29
4354.05,8.00
4397.59,7.61
4441.56,7.16
4485.98,6.68
4530.84,6.22
4576.15,5.79
4621.91,5.37
4668.13,5.12
4714.81,5.00
4761.96,4.96
4809.58,5.02
4857.67,5.14
4906.25,5.30
4955.31,5.44
5004.87,5.52
5054.91,5.59
5105.46,5.69
5156.52,5.82
5208.08,6.00
5260.16,6.27
5312.77,6.56
5365.89,6.86
5419.55,7.16
5473.75,7.48
5528.49,7.84
5583.77,8.20
5639.61,8.56
5696.00,8.91
5752.96,9.27
5810.49,9.59
5868.60,9.71
5927.28,9.68
5986.56,9.49
6046.42,9.04
6106.89,8.36
6167.96,7.44
6229.64,6.45
6291.93,5.44
6354.85,4.52
6418.40,3.77
6482.58,3.44
6547.41,3.22
6612.88,3.07
6679.01,3.06
6745.80,2.89
6813.26,2.65
6881.39,2.44
6950.21,2.28
7019.71,2.16
7089.91,2.06
7160.81,1.96
7232.41,1.86
7304.74,1.75
7377.79,1.73
7451.56,1.90
7526.08,2.17
7601.34,2.44
7677.35,2.76
7754.13,3.09
7831.67,3.48
7909.98,3.75
7989.08,3.84
8068.98,3.22
8149.67,2.14
8231.16,0.45
8313.47,-1.53
8396.61,-3.60
8480.57,-5.72
8565.38,-7.60
8651.03,-9.10
8737.54,-10.07
8824.92,-10.40
8913.17,-10.49
9002.30,-10.54
9092.32,-10.64
9183.25,-11.01
9275.08,-11.53
9367.83,-12.10
9461.51,-12.21
9556.12,-11.87
9651.68,-11.12
9748.20,-10.05
9845.68,-8.93
9944.14,-7.80
10043.58,-6.64
10144.02,-5.46
10245.46,-4.38
10347.91,-3.46
10451.39,-2.78
10555.91,-2.47
10661.46,-2.28
10768.08,-2.19
10875.76,-2.11
10984.52,-2.15
11094.36,-2.22
11205.31,-2.33
11317.36,-2.78
11430.53,-3.23
11544.84,-3.83
11660.29,-4.66
11776.89,-5.44
11894.66,-6.28
12013.60,-7.16
12133.74,-8.29
12255.08,-10.51
