frequency,raw
20.00,-3.80
20.20,-3.76
20.40,-3.72
20.61,-3.69
20.81,-3.65
21.02,-3.62
21.23,-3.58
21.44,-3.53
21.66,-3.48
21.87,-3.43
22.09,-3.38
22.31,-3.33
22.54,-3.27
22.76,-3.23
22.99,-3.18
23.22,-3.14
23.45,-3.11
23.69,-3.07
23.92,-3.03
24.16,-3.00
24.40,-2.96
24.65,-2.93
24.89,-2.89
25.14,-2.86
25.39,-2.83
25.65,-2.79
25.91,-2.76
26.16,-2.72
26.43,-2.69
26.69,-2.65
26.96,-2.61
27.23,-2.57
27.50,-2.54
27.77,-2.51
28.05,-2.48
28.33,-2.45
28.62,-2.43
28.90,-2.41
29.19,-2.38
29.48,-2.36
29.78,-2.34
30.08,-2.31
30.38,-2.28
30.68,-2.25
30.99,-2.22
31.30,-2.20
31.61,-2.17
31.93,-2.15
32.24,-2.13
32.57,-2.11
32.89,-2.09
33.22,-2.07
33.55,-2.05
33.89,-2.03
34.23,-2.01
34.57,-1.99
34.92,-1.97
35.27,-1.96
35.62,-1.94
35.97,-1.93
36.33,-1.91
36.70,-1.88
37.06,-1.86
37.43,-1.83
37.81,-1.82
38.19,-1.80
38.57,-1.79
38.95,-1.77
39.34,-1.76
39.74,-1.74
40.14,-1.72
40.54,-1.71
40.94,-1.69
41.35,-1.68
41.76,-1.66
42.18,-1.65
42.60,-1.64
43.03,-1.63
43.46,-1.62
43.90,-1.61
44.33,-1.60
44.78,-1.59
45.23,-1.59
45.68,-1.58
46.13,-1.57
46.60,-1.56
47.06,-1.54
47.53,-1.52
48.01,-1.51
48.49,-1.51
48.97,-1.50
49.46,-1.49
49.96,-1.50
50.46,-1.49
50.96,-1.49
51.47,-1.47
51.99,-1.45
52.51,-1.45
53.03,-1.45
53.56,-1.45
54.10,-1.43
54.64,-1.41
55.18,-1.38
55.74,-1.39
56.29,-1.39
56.86,-1.39
57.42,-1.37
58.00,-1.36
58.58,-1.37
59.16,-1.38
59.76,-1.38
60.35,-1.37
60.96,-1.35
61.57,-1.33
62.18,-1.32
62.80,-1.33
63.43,-1.33
64.07,-1.33
64.71,-1.33
65.35,-1.32
66.01,-1.32
66.67,-1.31
67.33,-1.31
68.01,-1.31
68.69,-1.31
69.37,-1.31
70.07,-1.32
70.77,-1.32
71.48,-1.32
72.19,-1.31
72.91,-1.30
73.64,-1.30
74.38,-1.32
75.12,-1.34
75.87,-1.34
76.63,-1.34
77.40,-1.35
78.17,-1.34
78.95,-1.33
79.74,-1.33
80.54,-1.33
81.35,-1.34
82.16,-1.34
82.98,-1.35
83.81,-1.35
84.65,-1.36
85.50,-1.36
