frequency,raw
20.00,-0.19
20.20,-0.22
20.40,-0.25
20.61,-0.28
20.81,-0.32
21.02,-0.35
21.23,-0.37
21.44,-0.37
21.66,-0.35
21.87,-0.33
22.09,-0.30
22.31,-0.27
22.54,-0.25
22.76,-0.24
22.99,-0.24
23.22,-0.25
23.45,-0.26
23.69,-0.26
23.92,-0.25
24.16,-0.24
24.40,-0.22
24.65,-0.19
24.89,-0.17
25.14,-0.17
25.39,-0.16
25.65,-0.17
25.91,-0.18
26.16,-0.19
26.43,-0.19
26.69,-0.19
26.96,-0.18
27.23,-0.17
27.50,-0.16
27.77,-0.16
28.05,-0.15
28.33,-0.14
28.62,-0.13
28.90,-0.12
29.19,-0.11
29.48,-0.11
29.78,-0.11
30.08,-0.12
30.38,-0.12
30.68,-0.13
30.99,-0.14
31.30,-0.15
31.61,-0.16
31.93,-0.17
32.24,-0.18
32.57,-0.18
32.89,-0.17
33.22,-0.16
33.55,-0.14
33.89,-0.13
34.23,-0.13
34.57,-0.13
34.92,-0.13
35.27,-0.13
35.62,-0.12
35.97,-0.12
36.33,-0.13
36.70,-0.13
37.06,-0.14
37.43,-0.14
37.81,-0.14
38.19,-0.14
38.57,-0.14
38.95,-0.13
39.34,-0.13
39.74,-0.12
40.14,-0.11
40.54,-0.10
40.94,-0.10
41.35,-0.10
41.76,-0.11
42.18,-0.12
42.60,-0.13
43.03,-0.13
43.46,-0.12
43.90,-0.11
44.33,-0.09
44.78,-0.09
45.23,-0.09
45.68,-0.11
46.13,-0.14
46.60,-0.15
47.06,-0.15
47.53,-0.13
48.01,-0.13
48.49,-0.13
48.97,-0.12
49.46,-0.11
49.96,-0.11
50.46,-0.14
50.96,-0.17
51.47,-0.18
51.99,-0.15
52.51,-0.13
53.03,-0.13
53.56,-0.18
54.10,-0.21
54.64,-0.21
55.18,-0.16
55.74,-0.13
56.29,-0.14
56.86,-0.18
57.42,-0.17
58.00,-0.14
58.58,-0.09
59.16,-0.06
59.76,-0.08
60.35,-0.08
60.96,-0.08
61.57,-0.07
62.18,-0.06
62.80,-0.06
63.43,-0.05
64.07,-0.03
64.71,-0.01
65.35,-0.00
66.01,-0.01
66.67,-0.01
67.33,0.00
68.01,0.02
68.69,0.04
69.37,0.07
70.07,0.11
70.77,0.09
71.48,0.07
72.19,0.06
72.91,0.09
73.64,0.13
74.38,0.15
75.12,0.14
75.87,0.12
76.63,0.13
77.40,0.16
78.17,0.14
78.95,0.12
79.74,0.14
80.54,0.16
81.35,0.18
82.16,0.18
82.98,0.19
83.81,0.19
84.65,0.18
85.50,0.19
86.35,0.21
87.22,0.22
88.09,0.24
88.97,0.25
89.86,0.25
90.76,0.26
91.66,0.27
92.58,0.28
93.51,0.30
94.44,0.31
95.39,0.32
96.34,0.32
97.30,0.33
98.28,0.33
99.26,0.34
100.25,0.36
101.25,0.37
102.27,0.38
103.29,0.39
104.32,0.40
105.37,0.41
106.42,0.42
107.48,0.43
108.56,0.44
109.64,0.45
110.74,0.45
111.85,0.45
112.97,0.45
114.10,0.46
