frequency,raw
20.00,-0.71
20.20,-0.70
20.40,-0.70
20.61,-0.70
20.81,-0.71
21.02,-0.71
21.23,-0.72
21.44,-0.72
21.66,-0.72
21.87,-0.72
22.09,-0.70
22.31,-0.69
22.54,-0.67
22.76,-0.64
22.99,-0.62
23.22,-0.59
23.45,-0.58
23.69,-0.57
23.92,-0.57
24.16,-0.59
24.40,-0.61
24.65,-0.63
24.89,-0.65
25.14,-0.67
25.39,-0.68
25.65,-0.67
25.91,-0.66
26.16,-0.65
26.43,-0.62
26.69,-0.60
26.96,-0.58
27.23,-0.56
27.50,-0.55
27.77,-0.55
28.05,-0.56
28.33,-0.58
28.62,-0.59
28.90,-0.60
29.19,-0.61
29.48,-0.61
29.78,-0.60
30.08,-0.60
30.38,-0.59
30.68,-0.59
30.99,-0.59
31.30,-0.59
31.61,-0.59
31.93,-0.59
32.24,-0.59
32.57,-0.59
32.89,-0.59
33.22,-0.59
33.55,-0.59
33.89,-0.59
34.23,-0.58
34.57,-0.58
34.92,-0.58
35.27,-0.58
35.62,-0.58
35.97,-0.58
36.33,-0.58
36.70,-0.59
37.06,-0.60
37.43,-0.61
37.81,-0.61
38.19,-0.62
38.57,-0.61
38.95,-0.60
39.34,-0.59
39.74,-0.58
40.14,-0.58
40.54,-0.58
40.94,-0.59
41.35,-0.60
41.76,-0.61
42.18,-0.62
42.60,-0.63
43.03,-0.63
43.46,-0.62
43.90,-0.60
44.33,-0.58
44.78,-0.58
45.23,-0.57
45.68,-0.58
46.13,-0.58
46.60,-0.59
47.06,-0.60
47.53,-0.60
48.01,-0.61
48.49,-0.60
48.97,-0.59
49.46,-0.57
49.96,-0.59
50.46,-0.60
50.96,-0.61
51.47,-0.60
51.99,-0.60
52.51,-0.60
53.03,-0.61
53.56,-0.60
54.10,-0.57
54.64,-0.55
55.18,-0.56
55.74,-0.60
56.29,-0.61
56.86,-0.60
57.42,-0.59
58.00,-0.58
58.58,-0.59
59.16,-0.58
59.76,-0.55
60.35,-0.54
60.96,-0.56
61.57,-0.59
62.18,-0.58
62.80,-0.55
63.43,-0.54
64.07,-0.53
64.71,-0.52
65.35,-0.51
66.01,-0.51
66.67,-0.49
67.33,-0.48
68.01,-0.48
68.69,-0.48
69.37,-0.49
70.07,-0.49
70.77,-0.50
71.48,-0.49
72.19,-0.47
72.91,-0.45
73.64,-0.43
74.38,-0.42
75.12,-0.42
75.87,-0.43
76.63,-0.42
77.40,-0.38
78.17,-0.38
78.95,-0.38
79.74,-0.35
80.54,-0.34
81.35,-0.34
82.16,-0.33
82.98,-0.32
83.81,-0.31
84.65,-0.30
85.50,-0.29
86.35,-0.28
87.22,-0.27
88.09,-0.26
88.97,-0.25
89.86,-0.24
90.76,-0.24
91.66,-0.23
92.58,-0.22
93.51,-0.22
94.44,-0.21
95.39,-0.20
96.34,-0.19
97.30,-0.19
98.28,-0.18
99.26,-0.17
100.25,-0.17
101.25,-0.16
102.27,-0.16
103.29,-0.15
104.32,-0.14
105.37,-0.14
106.42,-0.13
107.48,-0.13
108.56,-0.12
109.64,-0.11
110.74,-0.11
111.85,-0.09
112.97,-0.09
114.10,-0.08
115.24,-0.07
116.39,-0.06
117.55,-0.05
118.73,-0.04
119.92,-0.03
121.12,-0.02
122.33,-0.01
123.55,0.00
124.79,0.01
126.03,0.01
127.29,0.02
128.57,0.01
129.85,0.01
131.15,0.01
132.46,0.01
133.79,0.01
135.12,0.00
136.48,-0.00
137.84,-0.00
139.22,-0.01
140.61,-0.01
142.02,-0.00
143.44,-0.00
144.87,0.00
146.32,0.00
147.78,0.01
149.26,0.02
150.75,0.02
152.26,0.02
153.78,0.03
155.32,0.03
156.88,0.03
158.44,0.04
160.03,0.04
161.63,0.05
163.24,0.06
164.88,0.06
166.53,0.07
168.19,0.09
169.87,0.11
171.57,0.13
173.29,0.15
175.02,0.16
176.77,0.18
178.54,0.20
180.32,0.22
182.13,0.23
183.95,0.24
185.79,0.25
187.65,0.25
189.52,0.26
191.42,0.27
193.33,0.27
195.27,0.27
197.22,0.27
199.19,0.27
201.18,0.27
203.19,0.27
205.23,0.26
207.28,0.25
209.35,0.24
211.44,0.23
213.56,0.23
215.69,0.21
217.85,0.19
220.03,0.15
222.23,0.13
224.45,0.10
226.70,0.07
228.96,0.02
231.25,-0.03
233.57,-0.08
235.90,-0.16
238.26,-0.22
240.64,-0.29
243.05,-0.37
245.48,-0.45
247.93,-0.54
250.41,-0.62
252.92,-0.70
255.45,-0.79
258.00,-0.87
260.58,-0.94
263.19,-1.00
265.82,-1.05
268.48,-1.11
271.16,-1.15
273.87,-1.18
276.61,-1.20
279.38,-1.23
282.17,-1.24
284.99,-1.25
287.84,-1.25
290.72,-1.25
293.63,-1.23
296.57,-1.21
299.53,-1.18
302.53,-1.15
305.55,-1.12
308.61,-1.10
311.69,-1.06
314.81,-1.02
317.96,-0.97
321.14,-0.92
324.35,-0.88
327.59,-0.85
