frequency,raw
20.00,-3.92
20.20,-3.85
20.40,-3.78
20.61,-3.71
20.81,-3.62
21.02,-3.53
21.23,-3.45
21.44,-3.37
21.66,-3.32
21.87,-3.27
22.09,-3.24
22.31,-3.21
22.54,-3.19
22.76,-3.17
22.99,-3.14
23.22,-3.11
23.45,-3.07
23.69,-3.03
23.92,-2.99
24.16,-2.96
24.40,-2.95
24.65,-2.93
24.89,-2.92
25.14,-2.90
25.39,-2.87
25.65,-2.83
25.91,-2.78
26.16,-2.72
26.43,-2.66
26.69,-2.61
26.96,-2.56
27.23,-2.53
27.50,-2.50
27.77,-2.48
28.05,-2.46
28.33,-2.44
28.62,-2.42
28.90,-2.40
29.19,-2.37
29.48,-2.35
29.78,-2.33
30.08,-2.30
30.38,-2.28
30.68,-2.26
30.99,-2.24
31.30,-2.22
31.61,-2.21
31.93,-2.19
32.24,-2.17
32.57,-2.14
32.89,-2.11
33.22,-2.08
33.55,-2.06
33.89,-2.04
34.23,-2.02
34.57,-2.01
34.92,-1.99
35.27,-1.98
35.62,-1.96
35.97,-1.95
36.33,-1.93
36.70,-1.91
37.06,-1.89
37.43,-1.87
37.81,-1.86
38.19,-1.85
38.57,-1.84
38.95,-1.83
39.34,-1.81
39.74,-1.79
40.14,-1.77
40.54,-1.75
40.94,-1.75
41.35,-1.75
41.76,-1.74
42.18,-1.71
42.60,-1.70
43.03,-1.69
43.46,-1.69
43.90,-1.68
44.33,-1.67
44.78,-1.65
45.23,-1.63
45.68,-1.62
46.13,-1.61
46.60,-1.61
47.06,-1.59
47.53,-1.58
48.01,-1.58
48.49,-1.59
48.97,-1.61
49.46,-1.63
49.96,-1.61
50.46,-1.58
50.96,-1.56
51.47,-1.55
51.99,-1.56
52.51,-1.55
53.03,-1.53
53.56,-1.50
54.10,-1.48
54.64,-1.45
55.18,-1.43
55.74,-1.43
56.29,-1.44
56.86,-1.47
57.42,-1.47
58.00,-1.46
58.58,-1.45
59.16,-1.43
59.76,-1.40
60.35,-1.39
60.96,-1.40
61.57,-1.40
62.18,-1.38
62.80,-1.37
63.43,-1.38
64.07,-1.39
64.71,-1.39
65.35,-1.39
66.01,-1.39
66.67,-1.38
67.33,-1.38
68.01,-1.37
68.69,-1.37
69.37,-1.37
70.07,-1.36
70.77,-1.37
71.48,-1.37
72.19,-1.37
72.91,-1.36
73.64,-1.37
74.38,-1.38
75.12,-1.39
75.87,-1.38
76.63,-1.38
77.40,-1.38
78.17,-1.38
78.95,-1.39
79.74,-1.41
80.54,-1.41
81.35,-1.41
82.16,-1.41
82.98,-1.41
83.81,-1.41
84.65,-1.42
85.50,-1.42
86.35,-1.43
87.22,-1.43
88.09,-1.43
88.97,-1.44
89.86,-1.44
90.76,-1.44
91.66,-1.44
92.58,-1.44
93.51,-1.45
94.44,-1.45
95.39,-1.45
96.34,-1.45
97.30,-1.44
98.28,-1.44
99.26,-1.44
100.25,-1.44
101.25,-1.45
102.27,-1.45
103.29,-1.45
104.32,-1.45
105.37,-1.45
106.42,-1.46
107.48,-1.46
108.56,-1.46
109.64,-1.46
110.74,-1.46
111.85,-1.48
112.97,-1.48
114.10,-1.48
115.24,-1.49
116.39,-1.50
117.55,-1.50
118.73,-1.51
119.92,-1.53
121.12,-1.54
122.33,-1.56
123.55,-1.56
124.79,-1.58
126.03,-1.59
127.29,-1.61
128.57,-1.63
129.85,-1.64
131.15,-1.65
132.46,-1.66
133.79,-1.67
135.12,-1.68
136.48,-1.70
137.84,-1.71
139.22,-1.72
140.61,-1.73
142.02,-1.75
143.44,-1.75
144.87,-1.76
146.32,-1.77
147.78,-1.78
149.26,-1.79
150.75,-1.79
152.26,-1.80
153.78,-1.81
155.32,-1.82
156.88,-1.82
158.44,-1.83
160.03,-1.84
161.63,-1.85
163.24,-1.85
164.88,-1.86
166.53,-1.87
168.19,-1.87
169.87,-1.87
171.57,-1.88
173.29,-1.89
175.02,-1.90
176.77,-1.90
178.54,-1.90
180.32,-1.89
182.13,-1.90
183.95,-1.91
185.79,-1.92
187.65,-1.92
189.52,-1.91
191.42,-1.91
193.33,-1.92
195.27,-1.93
197.22,-1.92
199.19,-1.92
201.18,-1.92
203.19,-1.93
