frequency,raw
20.00,-4.20
20.20,-4.21
20.40,-4.21
20.61,-4.22
20.81,-4.24
21.02,-4.26
21.23,-4.27
21.44,-4.29
21.66,-4.30
21.87,-4.30
22.09,-4.30
22.31,-4.30
22.54,-4.30
22.76,-4.30
22.99,-4.29
23.22,-4.28
23.45,-4.26
23.69,-4.25
23.92,-4.24
24.16,-4.24
24.40,-4.25
24.65,-4.26
24.89,-4.28
25.14,-4.31
25.39,-4.33
25.65,-4.35
25.91,-4.36
26.16,-4.37
26.43,-4.37
26.69,-4.37
26.96,-4.39
27.23,-4.41
27.50,-4.44
27.77,-4.48
28.05,-4.51
28.33,-4.53
28.62,-4.55
28.90,-4.55
29.19,-4.56
29.48,-4.56
29.78,-4.55
30.08,-4.54
30.38,-4.52
30.68,-4.48
30.99,-4.43
31.30,-4.38
31.61,-4.33
31.93,-4.28
32.24,-4.24
32.57,-4.20
32.89,-4.16
33.22,-4.12
33.55,-4.08
33.89,-4.06
34.23,-4.05
34.57,-4.05
34.92,-4.07
35.27,-4.09
35.62,-4.11
35.97,-4.12
36.33,-4.12
36.70,-4.13
37.06,-4.12
37.43,-4.11
37.81,-4.08
38.19,-4.04
38.57,-4.00
38.95,-3.96
39.34,-3.93
39.74,-3.91
40.14,-3.90
40.54,-3.89
40.94,-3.88
41.35,-3.89
41.76,-3.90
42.18,-3.92
42.60,-3.94
43.03,-3.95
43.46,-3.96
43.90,-3.96
44.33,-3.98
44.78,-3.99
45.23,-4.01
45.68,-4.02
46.13,-4.04
46.60,-4.06
47.06,-4.06
47.53,-4.03
48.01,-3.98
48.49,-3.94
48.97,-3.92
49.46,-3.91
49.96,-3.92
50.46,-3.92
50.96,-3.92
51.47,-3.91
51.99,-3.91
52.51,-3.90
53.03,-3.90
53.56,-3.89
54.10,-3.89
54.64,-3.88
55.18,-3.88
55.74,-3.89
56.29,-3.90
56.86,-3.90
57.42,-3.91
58.00,-3.92
58.58,-3.94
59.16,-3.95
59.76,-3.95
60.35,-3.94
60.96,-3.93
61.57,-3.93
62.18,-3.92
62.80,-3.90
63.43,-3.89
64.07,-3.89
64.71,-3.91
65.35,-3.92
66.01,-3.94
66.67,-3.93
67.33,-3.92
68.01,-3.91
68.69,-3.90
69.37,-3.89
70.07,-3.89
70.77,-3.87
71.48,-3.86
72.19,-3.87
72.91,-3.87
73.64,-3.86
74.38,-3.86
75.12,-3.86
75.87,-3.86
76.63,-3.86
77.40,-3.86
78.17,-3.86
78.95,-3.87
79.74,-3.87
80.54,-3.86
81.35,-3.86
82.16,-3.86
82.98,-3.86
83.81,-3.86
84.65,-3.85
85.50,-3.84
86.35,-3.84
87.22,-3.84
88.09,-3.83
88.97,-3.83
89.86,-3.84
90.76,-3.84
91.66,-3.84
92.58,-3.85
93.51,-3.84
94.44,-3.85
95.39,-3.86
96.34,-3.85
97.30,-3.83
98.28,-3.83
99.26,-3.84
100.25,-3.84
101.25,-3.85
102.27,-3.85
103.29,-3.85
104.32,-3.84
105.37,-3.84
106.42,-3.84
107.48,-3.84
108.56,-3.85
109.64,-3.85
110.74,-3.84
111.85,-3.85
112.97,-3.85
114.10,-3.85
115.24,-3.85
116.39,-3.85
117.55,-3.85
118.73,-3.86
119.92,-3.86
121.12,-3.85
122.33,-3.85
