frequency,raw
20.00,-10.51
20.20,-10.43
20.40,-10.36
20.61,-10.28
20.81,-10.19
21.02,-10.11
21.23,-10.02
21.44,-9.95
21.66,-9.88
21.87,-9.81
22.09,-9.74
22.31,-9.67
22.54,-9.60
22.76,-9.53
22.99,-9.45
23.22,-9.38
23.45,-9.30
23.69,-9.23
23.92,-9.16
24.16,-9.10
24.40,-9.05
24.65,-9.00
24.89,-8.94
25.14,-8.87
25.39,-8.80
25.65,-8.72
25.91,-8.64
26.16,-8.56
26.43,-8.48
26.69,-8.42
26.96,-8.36
27.23,-8.31
27.50,-8.26
27.77,-8.21
28.05,-8.16
28.33,-8.10
28.62,-8.04
28.90,-7.99
29.19,-7.94
29.48,-7.89
29.78,-7.85
30.08,-7.80
30.38,-7.76
30.68,-7.71
30.99,-7.65
31.30,-7.59
31.61,-7.53
31.93,-7.47
32.24,-7.40
32.57,-7.33
32.89,-7.25
33.22,-7.18
33.55,-7.11
33.89,-7.03
34.23,-6.96
34.57,-6.89
34.92,-6.83
35.27,-6.76
35.62,-6.70
35.97,-6.63
36.33,-6.55
36.70,-6.48
37.06,-6.41
37.43,-6.34
37.81,-6.28
38.19,-6.22
38.57,-6.16
38.95,-6.10
39.34,-6.03
39.74,-5.96
40.14,-5.89
40.54,-5.83
40.94,-5.77
41.35,-5.71
41.76,-5.66
42.18,-5.61
42.60,-5.56
43.03,-5.51
43.46,-5.47
43.90,-5.44
44.33,-5.41
44.78,-5.38
45.23,-5.34
45.68,-5.31
46.13,-5.27
46.60,-5.24
47.06,-5.21
47.53,-5.18
48.01,-5.15
48.49,-5.12
48.97,-5.09
49.46,-5.06
49.96,-5.02
50.46,-4.96
50.96,-4.90
51.47,-4.84
51.99,-4.76
52.51,-4.69
53.03,-4.62
53.56,-4.56
54.10,-4.49
54.64,-4.43
55.18,-4.35
55.74,-4.29
56.29,-4.23
56.86,-4.17
57.42,-4.11
58.00,-4.06
58.58,-4.02
59.16,-3.99
59.76,-3.96
60.35,-3.91
60.96,-3.86
61.57,-3.81
62.18,-3.80
62.80,-3.79
63.43,-3.75
64.07,-3.69
64.71,-3.68
65.35,-3.68
66.01,-3.68
66.67,-3.61
67.33,-3.55
68.01,-3.53
68.69,-3.52
69.37,-3.47
70.07,-3.41
70.77,-3.40
71.48,-3.37
72.19,-3.33
72.91,-3.28
73.64,-3.27
74.38,-3.24
75.12,-3.19
75.87,-3.16
76.63,-3.13
77.40,-3.10
78.17,-3.07
78.95,-3.04
79.74,-3.03
80.54,-3.02
81.35,-3.01
82.16,-3.00
82.98,-2.98
83.81,-2.95
84.65,-2.92
85.50,-2.90
86.35,-2.88
87.22,-2.88
88.09,-2.86
88.97,-2.85
89.86,-2.84
90.76,-2.83
91.66,-2.83
92.58,-2.82
93.51,-2.82
94.44,-2.80
95.39,-2.78
96.34,-2.75
97.30,-2.73
98.28,-2.72
99.26,-2.71
100.25,-2.69
101.25,-2.68
102.27,-2.67
103.29,-2.66
104.32,-2.65
105.37,-2.65
106.42,-2.64
107.48,-2.63
108.56,-2.63
109.64,-2.62
110.74,-2.62
111.85,-2.62
112.97,-2.62
114.10,-2.62
115.24,-2.61
116.39,-2.61
117.55,-2.61
118.73,-2.60
119.92,-2.58
121.12,-2.59
122.33,-2.61
123.55,-2.61
124.79,-2.61
126.03,-2.60
127.29,-2.59
128.57,-2.59
129.85,-2.58
131.15,-2.58
132.46,-2.57
133.79,-2.55
135.12,-2.55
136.48,-2.54
137.84,-2.53
139.22,-2.52
140.61,-2.51
142.02,-2.51
143.44,-2.51
144.87,-2.50
146.32,-2.49
147.78,-2.49
149.26,-2.48
150.75,-2.48
152.26,-2.48
153.78,-2.47
155.32,-2.47
156.88,-2.47
158.44,-2.47
160.03,-2.48
161.63,-2.47
163.24,-2.46
164.88,-2.46
166.53,-2.46
168.19,-2.47
169.87,-2.48
171.57,-2.48
173.29,-2.47
175.02,-2.48
176.77,-2.48
178.54,-2.49
180.32,-2.50
182.13,-2.49
183.95,-2.49
185.79,-2.48
187.65,-2.48
189.52,-2.48
191.42,-2.47
193.33,-2.47
195.27,-2.47
197.22,-2.46
199.19,-2.45
201.18,-2.45
203.19,-2.45
205.23,-2.44
207.28,-2.44
209.35,-2.43
211.44,-2.43
213.56,-2.43
215.69,-2.43
217.85,-2.42
220.03,-2.40
222.23,-2.38
224.45,-2.36
226.70,-2.34
228.96,-2.33
231.25,-2.32
233.57,-2.32
235.90,-2.33
238.26,-2.34
240.64,-2.33
243.05,-2.28
245.48,-2.25
247.93,-2.23
250.41,-2.22
252.92,-2.21
255.45,-2.21
258.00,-2.20
260.58,-2.19
263.19,-2.18
265.82,-2.17
268.48,-2.17
271.16,-2.17
273.87,-2.17
276.61,-2.16
279.38,-2.17
282.17,-2.16
284.99,-2.16
287.84,-2.15
290.72,-2.15
293.63,-2.16
296.57,-2.16
299.53,-2.17
302.53,-2.19
305.55,-2.21
308.61,-2.23
311.69,-2.26
314.81,-2.28
317.96,-2.31
321.14,-2.34
324.35,-2.36
327.59,-2.40
330.87,-2.42
334.18,-2.44
337.52,-2.45
340.90,-2.48
344.30,-2.53
347.75,-2.56
351.23,-2.59
354.74,-2.61
358.28,-2.64
361.87,-2.66
365.49,-2.69
369.14,-2.70
372.83,-2.71
376.56,-2.72
380.33,-2.72
384.13,-2.73
387.97,-2.73
391.85,-2.75
395.77,-2.78
399.73,-2.82
403.72,-2.86
407.76,-2.88
411.84,-2.88
415.96,-2.88
420.12,-2.88
424.32,-2.88
428.56,-2.89
432.85,-2.91
437.18,-2.93
441.55,-2.93
445.96,-2.94
450.42,-2.96
454.93,-2.96
459.48,-2.98
464.07,-3.01
468.71,-3.04
473.40,-3.07
478.13,-3.08
482.91,-3.09
487.74,-3.09
492.62,-3.11
497.55,-3.14
502.52,-3.17
507.55,-3.19
512.62,-3.19
517.75,-3.19
522.93,-3.20
528.16,-3.21
533.44,-3.20
538.77,-3.18
544.16,-3.20
549.60,-3.17
555.10,-3.15
560.65,-3.14
566.25,-3.10
571.92,-3.06
577.64,-3.01
583.41,-2.98
589.25,-2.95
595.14,-2.90
601.09,-2.85
607.10,-2.78
613.17,-2.75
619.30,-2.71
625.50,-2.66
631.75,-2.61
638.07,-2.58
644.45,-2.53
650.89,-2.49
