frequency,raw
20.00,-5.13
20.20,-5.12
20.40,-5.11
20.61,-5.11
20.81,-5.11
21.02,-5.13
21.23,-5.15
21.44,-5.17
21.66,-5.20
21.87,-5.22
22.09,-5.24
22.31,-5.25
22.54,-5.25
22.76,-5.24
22.99,-5.22
23.22,-5.19
23.45,-5.17
23.69,-5.15
23.92,-5.14
24.16,-5.14
24.40,-5.15
24.65,-5.17
24.89,-5.19
25.14,-5.20
25.39,-5.22
25.65,-5.22
25.91,-5.21
26.16,-5.20
26.43,-5.19
26.69,-5.19
26.96,-5.19
27.23,-5.20
27.50,-5.21
27.77,-5.21
28.05,-5.22
28.33,-5.21
28.62,-5.20
28.90,-5.20
29.19,-5.20
29.48,-5.21
29.78,-5.23
30.08,-5.26
30.38,-5.28
30.68,-5.30
30.99,-5.31
31.30,-5.30
31.61,-5.29
31.93,-5.27
32.24,-5.23
32.57,-5.18
32.89,-5.13
33.22,-5.07
33.55,-5.02
33.89,-4.99
34.23,-4.98
34.57,-4.99
34.92,-5.00
35.27,-5.01
35.62,-5.00
35.97,-4.99
36.33,-4.96
36.70,-4.92
37.06,-4.87
37.43,-4.81
37.81,-4.74
38.19,-4.67
38.57,-4.61
38.95,-4.56
39.34,-4.53
39.74,-4.51
40.14,-4.52
40.54,-4.53
40.94,-4.54
41.35,-4.55
41.76,-4.56
42.18,-4.59
42.60,-4.61
43.03,-4.64
43.46,-4.66
43.90,-4.67
44.33,-4.68
44.78,-4.69
45.23,-4.69
45.68,-4.69
46.13,-4.69
46.60,-4.69
47.06,-4.68
47.53,-4.66
48.01,-4.61
48.49,-4.56
48.97,-4.50
49.46,-4.46
49.96,-4.45
50.46,-4.46
50.96,-4.47
51.47,-4.48
51.99,-4.48
52.51,-4.50
53.03,-4.51
53.56,-4.53
54.10,-4.54
54.64,-4.56
55.18,-4.57
55.74,-4.58
56.29,-4.58
56.86,-4.57
57.42,-4.59
58.00,-4.61
58.58,-4.64
59.16,-4.67
59.76,-4.66
60.35,-4.66
60.96,-4.65
61.57,-4.64
62.18,-4.61
62.80,-4.60
63.43,-4.59
64.07,-4.58
64.71,-4.57
65.35,-4.57
66.01,-4.57
66.67,-4.56
67.33,-4.57
68.01,-4.58
68.69,-4.57
69.37,-4.57
70.07,-4.58
70.77,-4.58
71.48,-4.58
72.19,-4.58
72.91,-4.59
73.64,-4.59
74.38,-4.59
75.12,-4.59
75.87,-4.59
76.63,-4.60
77.40,-4.62
78.17,-4.63
78.95,-4.63
79.74,-4.62
80.54,-4.62
81.35,-4.61
82.16,-4.63
82.98,-4.63
83.81,-4.61
84.65,-4.61
85.50,-4.61
86.35,-4.61
87.22,-4.61
88.09,-4.60
88.97,-4.60
89.86,-4.60
90.76,-4.60
91.66,-4.60
92.58,-4.59
93.51,-4.58
94.44,-4.58
95.39,-4.58
96.34,-4.58
97.30,-4.61
98.28,-4.60
99.26,-4.60
100.25,-4.59
101.25,-4.59
102.27,-4.59
103.29,-4.59
104.32,-4.60
105.37,-4.61
106.42,-4.61
107.48,-4.60
108.56,-4.61
109.64,-4.61
110.74,-4.61
111.85,-4.61
112.97,-4.61
114.10,-4.61
115.24,-4.62
116.39,-4.63
117.55,-4.64
118.73,-4.64
119.92,-4.64
121.12,-4.64
122.33,-4.63
123.55,-4.63
124.79,-4.63
126.03,-4.63
127.29,-4.64
128.57,-4.64
129.85,-4.64
131.15,-4.64
132.46,-4.64
133.79,-4.64
135.12,-4.64
136.48,-4.64
137.84,-4.65
139.22,-4.64
140.61,-4.64
142.02,-4.64
143.44,-4.64
144.87,-4.63
146.32,-4.64
147.78,-4.64
149.26,-4.64
150.75,-4.63
152.26,-4.63
153.78,-4.63
155.32,-4.63
156.88,-4.63
158.44,-4.63
160.03,-4.62
161.63,-4.63
163.24,-4.63
164.88,-4.62
166.53,-4.61
168.19,-4.61
169.87,-4.61
171.57,-4.61
173.29,-4.61
175.02,-4.61
176.77,-4.61
178.54,-4.61
180.32,-4.61
182.13,-4.60
183.95,-4.59
185.79,-4.58
187.65,-4.59
189.52,-4.58
191.42,-4.58
193.33,-4.58
195.27,-4.57
197.22,-4.57
199.19,-4.57
201.18,-4.56
203.19,-4.56
205.23,-4.56
207.28,-4.55
209.35,-4.55
211.44,-4.55
213.56,-4.55
215.69,-4.54
217.85,-4.53
220.03,-4.54
222.23,-4.52
224.45,-4.52
226.70,-4.52
228.96,-4.52
231.25,-4.51
233.57,-4.50
235.90,-4.50
238.26,-4.51
240.64,-4.51
243.05,-4.49
245.48,-4.48
247.93,-4.48
250.41,-4.47
252.92,-4.46
255.45,-4.45
258.00,-4.44
260.58,-4.42
263.19,-4.41
265.82,-4.40
268.48,-4.39
271.16,-4.38
273.87,-4.38
276.61,-4.38
279.38,-4.38
282.17,-4.38
284.99,-4.37
287.84,-4.37
290.72,-4.37
293.63,-4.37
296.57,-4.37
299.53,-4.38
302.53,-4.37
305.55,-4.36
308.61,-4.35
311.69,-4.36
314.81,-4.35
317.96,-4.34
321.14,-4.33
324.35,-4.33
327.59,-4.33
330.87,-4.33
334.18,-4.33
337.52,-4.32
340.90,-4.32
344.30,-4.33
347.75,-4.33
351.23,-4.33
354.74,-4.32
358.28,-4.30
361.87,-4.29
365.49,-4.27
369.14,-4.25
372.83,-4.22
376.56,-4.19
380.33,-4.14
384.13,-4.09
387.97,-4.04
391.85,-3.99
395.77,-3.94
399.73,-3.89
403.72,-3.85
407.76,-3.81
411.84,-3.76
415.96,-3.71
420.12,-3.67
424.32,-3.64
428.56,-3.60
432.85,-3.57
437.18,-3.54
441.55,-3.50
445.96,-3.46
450.42,-3.42
454.93,-3.39
459.48,-3.36
464.07,-3.34
468.71,-3.32
473.40,-3.30
478.13,-3.28
482.91,-3.25
487.74,-3.23
492.62,-3.21
497.55,-3.20
502.52,-3.17
507.55,-3.14
512.62,-3.11
517.75,-3.07
522.93,-3.04
528.16,-3.01
533.44,-2.96
538.77,-2.91
544.16,-2.91
549.60,-2.85
555.10,-2.79
560.65,-2.73
566.25,-2.68
571.92,-2.63
577.64,-2.60
583.41,-2.57
589.25,-2.54
595.14,-2.48
601.09,-2.41
607.10,-2.35
613.17,-2.29
619.30,-2.20
625.50,-2.13
631.75,-2.08
638.07,-2.03
644.45,-1.98
650.89,-1.94
657.40,-1.94
663.98,-1.96
670.62,-1.97
677.32,-1.95
684.10,-1.91
690.94,-1.85
697.85,-1.81
704.83,-1.75
711.87,-1.69
718.99,-1.63
726.18,-1.58
733.44,-1.54
740.78,-1.50
748.19,-1.49
755.67,-1.53
763.23,-1.58
770.86,-1.63
778.57,-1.66
786.35,-1.65
794.22,-1.61
802.16,-1.56
810.18,-1.51
818.28,-1.46
826.46,-1.40
834.73,-1.34
843.08,-1.29
851.51,-1.21
860.02,-1.08
868.62,-1.01
877.31,-0.96
886.08,-0.90
894.94,-0.83
903.89,-0.76
912.93,-0.68
922.06,-0.58
931.28,-0.50
940.59,-0.40
950.00,-0.23
959.50,-0.24
969.09,-0.16
978.78,-0.09
988.57,-0.07
998.46,-0.01
1008.44,0.07
1018.53,0.11
1028.71,0.10
1039.00,0.21
1049.39,0.36
1059.88,0.50
1070.48,0.38
1081.19,0.28
1092.00,0.20
1102.92,0.14
1113.95,0.11
1125.09,0.18
1136.34,0.33
1147.70,0.35
1159.18,0.33
1170.77,0.31
1182.48,0.22
1194.30,0.12
1206.25,0.04
1218.31,0.42
1230.49,0.45
1242.80,0.39
1255.22,0.20
1267.78,0.19
1280.45,0.30
1293.26,0.42
1306.19,0.53
1319.25,0.70
1332.45,0.76
1345.77,0.79
1359.23,0.80
1372.82,0.74
1386.55,0.68
1400.41,0.65
1414.42,0.56
1428.56,0.48
1442.85,0.49
1457.28,0.66
1471.85,0.96
1486.57,0.68
1501.43,0.28
1516.45,0.33
1531.61,0.43
1546.93,0.61
1562.40,0.65
1578.02,0.62
1593.80,0.52
1609.74,0.55
1625.84,0.66
1642.10,0.76
1658.52,0.83
1675.10,0.85
1691.85,0.45
1708.77,0.02
1725.86,-0.38
1743.12,0.01
1760.55,0.12
1778.15,0.03
1795.94,-0.15
1813.90,-0.11
1832.03,-0.13
1850.36,-0.33
1868.86,-0.31
1887.55,-0.05
1906.42,0.12
1925.49,-0.12
1944.74,-0.14
1964.19,-0.04
