frequency,raw
20.00,-6.21
20.20,-6.14
20.40,-6.08
20.61,-6.01
20.81,-5.95
21.02,-5.89
21.23,-5.84
21.44,-5.78
21.66,-5.72
21.87,-5.66
22.09,-5.60
22.31,-5.54
22.54,-5.48
22.76,-5.42
22.99,-5.36
23.22,-5.30
23.45,-5.24
23.69,-5.18
23.92,-5.12
24.16,-5.06
24.40,-4.99
24.65,-4.92
24.89,-4.84
25.14,-4.76
25.39,-4.69
25.65,-4.62
25.91,-4.56
26.16,-4.51
26.43,-4.46
26.69,-4.42
26.96,-4.37
27.23,-4.32
27.50,-4.27
27.77,-4.21
28.05,-4.16
28.33,-4.10
28.62,-4.04
28.90,-3.98
29.19,-3.92
29.48,-3.86
29.78,-3.81
30.08,-3.75
30.38,-3.70
30.68,-3.65
30.99,-3.61
31.30,-3.56
31.61,-3.51
31.93,-3.46
32.24,-3.41
32.57,-3.36
32.89,-3.30
33.22,-3.25
33.55,-3.19
33.89,-3.14
34.23,-3.09
34.57,-3.05
34.92,-3.00
35.27,-2.96
35.62,-2.92
35.97,-2.88
36.33,-2.84
36.70,-2.80
37.06,-2.76
37.43,-2.72
37.81,-2.68
38.19,-2.63
38.57,-2.59
38.95,-2.55
39.34,-2.52
39.74,-2.48
40.14,-2.44
40.54,-2.40
40.94,-2.35
41.35,-2.30
41.76,-2.26
42.18,-2.22
42.60,-2.19
43.03,-2.16
43.46,-2.12
43.90,-2.08
44.33,-2.04
44.78,-2.00
45.23,-1.97
45.68,-1.94
46.13,-1.91
46.60,-1.88
47.06,-1.85
47.53,-1.83
48.01,-1.80
48.49,-1.77
48.97,-1.73
49.46,-1.70
49.96,-1.67
50.46,-1.64
50.96,-1.62
51.47,-1.60
51.99,-1.59
52.51,-1.57
53.03,-1.56
53.56,-1.55
54.10,-1.54
54.64,-1.53
55.18,-1.52
55.74,-1.50
56.29,-1.47
56.86,-1.44
57.42,-1.41
58.00,-1.38
58.58,-1.36
59.16,-1.34
59.76,-1.32
60.35,-1.30
60.96,-1.27
61.57,-1.24
62.18,-1.21
62.80,-1.19
63.43,-1.18
64.07,-1.18
64.71,-1.18
65.35,-1.18
66.01,-1.18
66.67,-1.19
67.33,-1.21
68.01,-1.24
68.69,-1.30
69.37,-1.36
70.07,-1.43
70.77,-1.51
71.48,-1.60
72.19,-1.69
72.91,-1.79
73.64,-1.87
74.38,-1.94
75.12,-1.99
75.87,-2.01
76.63,-2.04
77.40,-2.06
78.17,-2.09
78.95,-2.13
79.74,-2.17
80.54,-2.22
81.35,-2.26
82.16,-2.27
82.98,-2.26
83.81,-2.23
84.65,-2.15
85.50,-2.07
86.35,-1.98
87.22,-1.90
88.09,-1.81
88.97,-1.73
89.86,-1.65
90.76,-1.59
91.66,-1.53
92.58,-1.48
93.51,-1.43
94.44,-1.39
95.39,-1.35
96.34,-1.31
97.30,-1.27
98.28,-1.24
99.26,-1.23
100.25,-1.22
101.25,-1.21
102.27,-1.20
103.29,-1.20
104.32,-1.19
105.37,-1.18
106.42,-1.17
107.48,-1.15
108.56,-1.14
109.64,-1.13
110.74,-1.12
111.85,-1.12
112.97,-1.12
114.10,-1.12
115.24,-1.12
116.39,-1.12
117.55,-1.12
118.73,-1.13
119.92,-1.13
121.12,-1.13
122.33,-1.12
123.55,-1.13
124.79,-1.13
126.03,-1.14
127.29,-1.14
128.57,-1.15
129.85,-1.15
131.15,-1.16
132.46,-1.17
133.79,-1.18
135.12,-1.18
136.48,-1.19
137.84,-1.21
139.22,-1.22
140.61,-1.24
142.02,-1.26
143.44,-1.28
144.87,-1.30
146.32,-1.32
147.78,-1.34
149.26,-1.35
150.75,-1.36
152.26,-1.36
153.78,-1.36
155.32,-1.36
156.88,-1.36
