frequency,raw
20.00,5.85
20.20,5.88
20.40,5.92
20.61,5.95
20.81,5.98
21.02,6.00
21.23,6.02
21.44,6.05
21.66,6.08
21.87,6.11
22.09,6.14
22.31,6.17
22.54,6.20
22.76,6.22
22.99,6.25
23.22,6.27
23.45,6.29
23.69,6.32
23.92,6.34
24.16,6.36
24.40,6.38
24.65,6.40
24.89,6.43
25.14,6.45
25.39,6.47
25.65,6.50
25.91,6.52
26.16,6.54
26.43,6.56
26.69,6.58
26.96,6.60
27.23,6.60
27.50,6.61
27.77,6.61
28.05,6.62
28.33,6.63
28.62,6.64
28.90,6.65
29.19,6.67
29.48,6.68
29.78,6.69
30.08,6.70
30.38,6.70
30.68,6.70
30.99,6.70
31.30,6.69
31.61,6.69
31.93,6.68
32.24,6.68
32.57,6.67
32.89,6.67
33.22,6.67
33.55,6.67
33.89,6.67
34.23,6.67
34.57,6.67
34.92,6.68
35.27,6.68
35.62,6.68
35.97,6.67
36.33,6.65
36.70,6.63
37.06,6.62
37.43,6.62
37.81,6.63
38.19,6.64
38.57,6.64
38.95,6.62
39.34,6.61
39.74,6.59
40.14,6.58
40.54,6.58
40.94,6.59
41.35,6.59
41.76,6.60
42.18,6.60
42.60,6.61
43.03,6.61
43.46,6.61
43.90,6.60
44.33,6.60
44.78,6.60
45.23,6.60
45.68,6.61
46.13,6.61
46.60,6.59
47.06,6.56
47.53,6.54
48.01,6.52
48.49,6.52
48.97,6.52
49.46,6.53
49.96,6.52
50.46,6.52
50.96,6.51
51.47,6.49
51.99,6.48
52.51,6.46
53.03,6.45
53.56,6.43
54.10,6.41
54.64,6.40
55.18,6.38
55.74,6.36
56.29,6.34
56.86,6.33
57.42,6.32
58.00,6.31
58.58,6.31
59.16,6.30
59.76,6.29
60.35,6.30
60.96,6.31
61.57,6.32
62.18,6.33
62.80,6.35
63.43,6.37
64.07,6.39
64.71,6.42
65.35,6.45
66.01,6.48
66.67,6.52
67.33,6.56
68.01,6.60
68.69,6.64
69.37,6.68
70.07,6.72
70.77,6.77
71.48,6.82
72.19,6.87
72.91,6.91
73.64,6.95
74.38,6.99
75.12,7.04
75.87,7.09
76.63,7.13
77.40,7.17
78.17,7.21
78.95,7.25
79.74,7.28
80.54,7.32
81.35,7.35
82.16,7.38
82.98,7.41
83.81,7.43
84.65,7.45
85.50,7.47
86.35,7.49
87.22,7.50
88.09,7.51
88.97,7.51
89.86,7.51
90.76,7.50
91.66,7.49
92.58,7.47
93.51,7.42
94.44,7.37
95.39,7.32
96.34,7.26
97.30,7.20
98.28,7.14
99.26,7.10
100.25,7.06
101.25,7.05
102.27,7.03
103.29,7.01
104.32,7.00
105.37,6.98
106.42,6.96
107.48,6.94
108.56,6.92
109.64,6.90
110.74,6.88
111.85,6.86
112.97,6.84
114.10,6.82
115.24,6.79
116.39,6.76
117.55,6.74
118.73,6.71
119.92,6.69
121.12,6.66
122.33,6.63
123.55,6.60
124.79,6.57
126.03,6.53
127.29,6.49
128.57,6.46
129.85,6.41
131.15,6.37
132.46,6.33
133.79,6.29
135.12,6.24
136.48,6.19
137.84,6.14
139.22,6.09
140.61,6.04
142.02,5.98
143.44,5.93
144.87,5.87
146.32,5.80
147.78,5.74
149.26,5.67
150.75,5.60
152.26,5.52
153.78,5.45
155.32,5.37
156.88,5.28
158.44,5.18
160.03,5.07
161.63,4.96
163.24,4.85
164.88,4.75
166.53,4.68
168.19,4.62
169.87,4.58
171.57,4.53
173.29,4.49
175.02,4.47
176.77,4.41
178.54,4.34
180.32,4.27
182.13,4.19
183.95,4.11
185.79,4.03
187.65,3.96
189.52,3.87
191.42,3.79
193.33,3.71
195.27,3.63
197.22,3.54
199.19,3.44
201.18,3.35
203.19,3.26
205.23,3.17
207.28,3.07
209.35,2.96
211.44,2.85
213.56,2.76
215.69,2.70
217.85,2.64
220.03,2.57
222.23,2.49
224.45,2.41
226.70,2.32
228.96,2.23
231.25,2.13
233.57,2.04
235.90,1.95
238.26,1.84
240.64,1.74
243.05,1.66
245.48,1.57
247.93,1.49
250.41,1.42
252.92,1.34
255.45,1.26
258.00,1.19
260.58,1.10
263.19,1.02
265.82,0.94
268.48,0.85
271.16,0.76
273.87,0.66
276.61,0.56
279.38,0.46
282.17,0.36
284.99,0.26
287.84,0.16
290.72,0.06
293.63,-0.04
296.57,-0.13
299.53,-0.23
302.53,-0.33
305.55,-0.43
308.61,-0.52
311.69,-0.62
314.81,-0.71
317.96,-0.80
321.14,-0.89
324.35,-0.99
327.59,-1.07
330.87,-1.15
334.18,-1.24
337.52,-1.31
340.90,-1.38
344.30,-1.45
347.75,-1.51
351.23,-1.56
354.74,-1.61
358.28,-1.65
361.87,-1.68
365.49,-1.70
369.14,-1.72
372.83,-1.74
376.56,-1.78
380.33,-1.82
384.13,-1.87
387.97,-1.92
391.85,-1.98
395.77,-2.03
399.73,-2.08
403.72,-2.12
407.76,-2.15
411.84,-2.16
415.96,-2.18
420.12,-2.19
424.32,-2.21
428.56,-2.22
432.85,-2.23
437.18,-2.24
441.55,-2.25
445.96,-2.26
450.42,-2.27
454.93,-2.29
459.48,-2.30
464.07,-2.32
468.71,-2.34
473.40,-2.33
478.13,-2.31
482.91,-2.28
487.74,-2.27
492.62,-2.26
497.55,-2.25
502.52,-2.23
507.55,-2.20
512.62,-2.17
517.75,-2.14
522.93,-2.12
528.16,-2.08
533.44,-2.05
538.77,-2.01
544.16,-1.97
549.60,-1.92
555.10,-1.87
560.65,-1.84
566.25,-1.81
571.92,-1.77
577.64,-1.74
583.41,-1.69
589.25,-1.63
595.14,-1.57
601.09,-1.50
607.10,-1.44
613.17,-1.37
619.30,-1.31
625.50,-1.24
631.75,-1.19
638.07,-1.14
644.45,-1.10
650.89,-1.06
657.40,-1.03
663.98,-0.99
670.62,-0.95
677.32,-0.92
684.10,-0.89
690.94,-0.85
697.85,-0.81
704.83,-0.76
711.87,-0.71
718.99,-0.69
726.18,-0.64
733.44,-0.58
740.78,-0.54
748.19,-0.50
755.67,-0.45
763.23,-0.40
770.86,-0.35
778.57,-0.31
786.35,-0.27
794.22,-0.24
802.16,-0.20
810.18,-0.16
818.28,-0.13
826.46,-0.10
834.73,-0.06
843.08,-0.04
851.51,-0.03
860.02,-0.02
868.62,-0.03
877.31,-0.06
886.08,-0.14
894.94,-0.27
903.89,-0.39
912.93,-0.48
922.06,-0.50
931.28,-0.48
940.59,-0.42
950.00,-0.36
959.50,-0.30
969.09,-0.22
978.78,-0.15
988.57,-0.08
998.46,-0.01
1008.44,0.03
1018.53,0.07
1028.71,0.13
1039.00,0.14
1049.39,0.16
1059.88,0.18
1070.48,0.19
1081.19,0.23
1092.00,0.30
1102.92,0.39
1113.95,0.43
1125.09,0.47
1136.34,0.52
1147.70,0.65
1159.18,0.71
1170.77,0.74
1182.48,0.84
1194.30,0.94
1206.25,1.04
1218.31,1.21
1230.49,1.34
1242.80,1.46
1255.22,1.60
1267.78,1.71
1280.45,1.87
1293.26,2.03
1306.19,2.18
1319.25,2.33
1332.45,2.44
1345.77,2.54
1359.23,2.64
1372.82,2.72
1386.55,2.83
1400.41,2.97
1414.42,3.18
1428.56,3.40
1442.85,3.64
1457.28,3.88
1471.85,4.12
1486.57,4.36
1501.43,4.60
1516.45,4.81
1531.61,5.05
1546.93,5.31
1562.40,5.48
1578.02,5.65
1593.80,5.87
1609.74,6.08
1625.84,6.28
1642.10,6.47
1658.52,6.65
1675.10,6.83
1691.85,7.04
1708.77,7.22
1725.86,7.37
1743.12,7.52
1760.55,7.69
1778.15,7.89
1795.94,8.07
1813.90,8.24
1832.03,8.42
1850.36,8.61
1868.86,8.79
1887.55,8.96
1906.42,9.14
1925.49,9.34
1944.74,9.52
1964.19,9.70
1983.83,9.88
2003.67,10.05
2023.71,10.24
2043.94,10.43
2064.38,10.62
2085.03,10.78
2105.88,10.94
2126.94,11.11
2148.20,11.27
2169.69,11.42
2191.38,11.57
2213.30,11.72
2235.43,11.87
2257.78,12.02
2280.36,12.16
2303.17,12.30
2326.20,12.42
2349.46,12.55
2372.95,12.68
2396.68,12.80
2420.65,12.91
2444.86,13.01
2469.31,13.11
2494.00,13.21
2518.94,13.30
2544.13,13.39
2569.57,13.47
2595.27,13.55
2621.22,13.61
2647.43,13.67
2673.90,13.72
2700.64,13.76
2727.65,13.79
2754.93,13.81
2782.48,13.80
2810.30,13.78
2838.40,13.75
2866.79,13.68
2895.46,13.60
2924.41,13.48
2953.65,13.35
2983.19,13.16
3013.02,12.93
3043.15,12.65
3073.58,12.31
3104.32,11.90
3135.36,11.42
3166.72,10.90
3198.38,10.36
3230.37,9.81
3262.67,9.30
3295.30,8.84
3328.25,8.55
3361.53,8.33
3395.15,8.21
3429.10,8.14
3463.39,8.08
3498.03,8.04
3533.01,8.04
3568.34,8.09
3604.02,8.22
3640.06,8.43
3676.46,8.67
3713.22,8.91
3750.36,9.16
3787.86,9.41
3825.74,9.65
3864.00,9.85
3902.64,9.94
3941.66,10.02
3981.08,9.98
4020.89,9.87
4061.10,9.71
4101.71,9.46
4142.73,9.18
4184.15,8.86
4226.00,8.51
4268.26,8.16
4310.94,7.80
4354.05,7.49
4397.59,7.20
4441.56,6.92
4485.98,6.64
4530.84,6.37
4576.15,6.12
4621.91,5.87
4668.13,5.64
4714.81,5.39
4761.96,5.12
4809.58,4.80
4857.67,4.43
4906.25,3.97
4955.31,3.47
5004.87,2.89
5054.91,2.23
5105.46,1.58
5156.52,0.96
5208.08,0.49
5260.16,0.16
5312.77,-0.13
5365.89,-0.44
5419.55,-0.71
5473.75,-0.92
5528.49,-1.09
5583.77,-1.22
5639.61,-1.29
5696.00,-1.33
5752.96,-1.19
5810.49,-1.01
5868.60,-0.75
5927.28,-0.52
5986.56,-0.32
6046.42,-0.14
6106.89,0.01
6167.96,0.08
6229.64,0.08
6291.93,0.03
6354.85,-0.12
6418.40,-0.31
6482.58,-0.57
6547.41,-0.83
6612.88,-1.08
6679.01,-1.29
6745.80,-1.46
6813.26,-1.59
6881.39,-1.63
6950.21,-1.55
7019.71,-1.35
7089.91,-1.00
7160.81,-0.37
7232.41,0.42
7304.74,1.34
7377.79,2.28
7451.56,3.12
7526.08,3.83
7601.34,4.40
7677.35,4.77
7754.13,5.06
7831.67,5.27
7909.98,5.49
7989.08,5.72
8068.98,6.06
8149.67,6.48
8231.16,7.00
8313.47,7.37
8396.61,7.51
8480.57,6.96
8565.38,5.43
8651.03,3.28
8737.54,0.53
8824.92,-2.78
8913.17,-7.19
9002.30,-12.02
9092.32,-17.19
9183.25,-15.85
9275.08,-11.94
9367.83,-8.82
9461.51,-6.60
9556.12,-4.95
9651.68,-3.85
9748.20,-3.23
9845.68,-3.39
9944.14,-3.99
10043.58,-5.00
10144.02,-6.22
10245.46,-7.59
10347.91,-8.96
10451.39,-10.29
10555.91,-11.32
10661.46,-12.12
10768.08,-12.69
10875.76,-12.87
10984.52,-12.58
11094.36,-12.05
11205.31,-11.29
11317.36,-10.23
11430.53,-8.97
11544.84,-7.31
11660.29,-5.45
11776.89,-3.05
11894.66,-1.14
12013.60,0.50
12133.74,0.93
12255.08,0.38
12377.63,-0.43
12501.41,-1.24
12626.42,-1.94
12752.68,-2.53
12880.21,-2.96
13009.01,-3.31
13139.10,-3.65
13270.49,-4.05
13403.20,-4.51
13537.23,-5.17
13672.60,-5.90
13809.33,-6.71
13947.42,-7.94
14086.90,-7.77
14227.77,-6.74
14370.04,-5.25
14513.74,-3.33
14658.88,-1.79
14805.47,-0.44
14953.52,0.58
15103.06,1.31
15254.09,1.90
15406.63,2.00
15560.70,2.01
15716.30,1.88
15873.47,1.90
16032.20,2.10
16192.52,2.81
16354.45,3.52
16517.99,4.02
16683.17,2.88
16850.01,0.96
17018.51,-1.46
17188.69,-3.69
17360.58,-4.90
17534.18,-5.40
17709.53,-5.29
17886.62,-5.21
18065.49,-5.30
18246.14,-5.64
18428.60,-6.64
18612.89,-7.65
18799.02,-8.73
18987.01,-9.99
19176.88,-11.57
19368.65,-13.02
19562.33,-14.39
19757.96,-15.80
19955.54,-17.21
