frequency,raw
20.00,6.24
20.20,6.31
20.40,6.39
20.61,6.46
20.81,6.53
21.02,6.60
21.23,6.66
21.44,6.73
21.66,6.80
21.87,6.86
22.09,6.92
22.31,6.99
22.54,7.05
22.76,7.12
22.99,7.19
23.22,7.26
23.45,7.34
23.69,7.41
23.92,7.48
24.16,7.54
24.40,7.60
24.65,7.66
24.89,7.71
25.14,7.77
25.39,7.82
25.65,7.87
25.91,7.92
26.16,7.97
26.43,8.02
26.69,8.07
26.96,8.12
27.23,8.17
27.50,8.22
27.77,8.27
28.05,8.31
28.33,8.36
28.62,8.40
28.90,8.44
29.19,8.48
29.48,8.51
29.78,8.54
30.08,8.57
30.38,8.60
30.68,8.64
30.99,8.67
31.30,8.71
31.61,8.75
31.93,8.79
32.24,8.82
32.57,8.85
32.89,8.88
33.22,8.89
33.55,8.91
33.89,8.93
34.23,8.94
34.57,8.96
34.92,8.97
35.27,8.98
35.62,8.99
35.97,9.00
36.33,9.01
36.70,9.03
37.06,9.04
37.43,9.04
37.81,9.05
38.19,9.06
38.57,9.07
38.95,9.08
39.34,9.10
39.74,9.12
40.14,9.14
40.54,9.16
40.94,9.18
41.35,9.21
41.76,9.24
42.18,9.26
42.60,9.29
43.03,9.31
43.46,9.34
43.90,9.36
44.33,9.38
44.78,9.37
45.23,9.35
45.68,9.32
46.13,9.29
46.60,9.27
47.06,9.26
47.53,9.25
48.01,9.24
48.49,9.24
48.97,9.24
49.46,9.25
49.96,9.25
50.46,9.26
50.96,9.27
51.47,9.29
51.99,9.32
52.51,9.35
53.03,9.39
53.56,9.42
54.10,9.46
54.64,9.49
55.18,9.52
55.74,9.55
56.29,9.58
56.86,9.59
57.42,9.60
58.00,9.60
58.58,9.60
59.16,9.60
59.76,9.60
60.35,9.59
60.96,9.57
61.57,9.57
62.18,9.57
62.80,9.56
63.43,9.57
64.07,9.58
64.71,9.60
65.35,9.62
66.01,9.65
66.67,9.69
67.33,9.73
68.01,9.77
68.69,9.82
69.37,9.86
70.07,9.90
70.77,9.93
71.48,9.95
72.19,9.98
72.91,10.00
73.64,10.02
74.38,10.05
75.12,10.07
75.87,10.11
76.63,10.15
77.40,10.19
78.17,10.23
78.95,10.28
79.74,10.34
80.54,10.39
81.35,10.45
82.16,10.50
82.98,10.55
83.81,10.60
84.65,10.65
85.50,10.70
86.35,10.75
87.22,10.79
88.09,10.84
88.97,10.88
89.86,10.92
90.76,10.95
91.66,10.98
92.58,11.02
93.51,11.05
94.44,11.08
95.39,11.11
96.34,11.14
97.30,11.17
98.28,11.19
99.26,11.22
100.25,11.24
101.25,11.27
102.27,11.29
103.29,11.31
104.32,11.34
105.37,11.35
106.42,11.37
107.48,11.39
108.56,11.40
109.64,11.42
110.74,11.43
111.85,11.44
112.97,11.46
114.10,11.47
115.24,11.48
116.39,11.48
117.55,11.49
118.73,11.49
119.92,11.49
121.12,11.49
122.33,11.49
123.55,11.49
124.79,11.49
126.03,11.48
127.29,11.48
128.57,11.48
129.85,11.47
131.15,11.47
132.46,11.46
133.79,11.46
135.12,11.44
136.48,11.42
137.84,11.40
139.22,11.38
140.61,11.37
142.02,11.36
143.44,11.35
144.87,11.34
146.32,11.34
147.78,11.33
149.26,11.31
150.75,11.29
152.26,11.28
153.78,11.26
155.32,11.24
156.88,11.22
158.44,11.20
160.03,11.18
161.63,11.15
163.24,11.12
164.88,11.10
